Wavelength(nm)      SolarFlux(mW/m^2/nm)
1.00000000e+00      4.33215304e-02      
1.37500000e+00      3.46559528e-02      
2.12500000e+00      1.24127918e-01      
2.87500000e+00      1.49023625e-01      
3.62500000e+00      1.09343073e-01      
4.12500000e+00      1.36570137e-01      
4.37500000e+00      1.50183669e-01      
4.62500000e+00      1.50183669e-01      
4.87500000e+00      1.50183669e-01      
5.12500000e+00      2.56248671e-01      
5.37500000e+00      2.56248671e-01      
5.62500000e+00      2.56248671e-01      
5.87500000e+00      2.56248671e-01      
6.12500000e+00      2.26256281e-01      
6.37500000e+00      2.26256281e-01      
6.62500000e+00      2.26256281e-01      
6.87500000e+00      2.26256281e-01      
7.12500000e+00      2.35768597e-01      
7.37500000e+00      2.35768597e-01      
7.62500000e+00      2.35768597e-01      
7.87500000e+00      2.35768597e-01      
8.12500000e+00      1.42622915e-01      
8.37500000e+00      1.42622915e-01      
8.62500000e+00      1.42622915e-01      
8.87500000e+00      1.42622915e-01      
9.12500000e+00      1.58889443e-01      
9.37500000e+00      1.58889443e-01      
9.62500000e+00      1.58889443e-01      
9.87500000e+00      1.58889443e-01      
1.01250000e+01      5.47816597e-02      
1.03750000e+01      5.47816597e-02      
1.06250000e+01      5.47816597e-02      
1.08750000e+01      5.47816597e-02      
1.11250000e+01      3.89718982e-02      
1.13750000e+01      3.89718982e-02      
1.16250000e+01      3.89718982e-02      
1.18750000e+01      3.89718982e-02      
1.21000000e+01      2.51055936e-02      
1.23000001e+01      2.42389506e-02      
1.25000001e+01      2.42389506e-02      
1.27000002e+01      2.42389506e-02      
1.31125002e+01      2.34036132e-02      
1.37375002e+01      2.72201028e-02      
1.43625002e+01      7.32285923e-02      
1.49875002e+01      8.00107975e-02      
1.55875002e+01      8.76776283e-02      
1.61625003e+01      1.11685326e-01      
1.67375003e+01      1.35851980e-01      
1.73125004e+01      5.20799698e-01      
1.79625003e+01      3.96614628e-01      
1.86875002e+01      2.58499568e-01      
1.94125001e+01      2.63883388e-01      
2.01375000e+01      1.70605770e-01      
2.08250000e+01      1.20363533e-01      
2.14750001e+01      9.74280755e-02      
2.21250002e+01      1.24008412e-01      
2.27750003e+01      1.18925375e-01      
2.35875003e+01      7.61378498e-02      
2.45625002e+01      1.74300227e-01      
2.55375001e+01      2.72050075e-01      
2.65125000e+01      9.16970123e-02      
2.71250000e+01      1.31318143e-01      
2.73750000e+01      1.60043459e-01      
2.76250000e+01      1.60043459e-01      
2.78750000e+01      2.39110685e-01      
2.82500000e+01      5.55379586e-01      
2.87500000e+01      5.55379586e-01      
2.92500000e+01      5.52022599e-02      
2.97500000e+01      5.52022599e-02      
3.02500000e+01      1.74838666e+00      
3.07500000e+01      1.74838666e+00      
3.12500000e+01      2.24184098e-01      
3.17500000e+01      2.24184098e-01      
3.22500000e+01      3.09061640e-01      
3.27500000e+01      3.09061640e-01      
3.32500000e+01      3.01302307e-01      
3.37500000e+01      3.01302307e-01      
3.42500000e+01      1.27883953e-01      
3.47500000e+01      1.27883953e-01      
3.52500000e+01      1.09218466e-01      
3.57500000e+01      1.09218466e-01      
3.61250000e+01      4.16300152e-01      
3.63750000e+01      4.93070574e-01      
3.66250000e+01      4.93070574e-01      
3.68750000e+01      3.36732113e-01      
3.73750000e+01      2.40551920e-02      
3.81250000e+01      1.48446683e-02      
3.88750000e+01      1.01940876e-02      
3.96250000e+01      1.01034500e-02      
4.03750000e+01      1.68211007e-02      
4.11250000e+01      2.74495906e-02      
4.18750000e+01      2.45241318e-02      
4.26250000e+01      8.04472453e-03      
4.33750000e+01      1.86168119e-02      
4.41250000e+01      1.10399585e-02      
4.48750000e+01      7.51931780e-03      
4.56250000e+01      8.05488986e-03      
4.62500000e+01      2.65895268e-02      
4.67500000e+01      2.89063564e-02      
4.72500000e+01      1.13947800e-02      
4.77500000e+01      1.13947800e-02      
4.82500000e+01      1.88366217e-02      
4.87500000e+01      1.88366217e-02      
4.92500000e+01      6.65746438e-02      
4.97500000e+01      6.65746438e-02      
5.02500000e+01      2.69271173e-02      
5.07500000e+01      2.69271173e-02      
5.12500000e+01      9.16046814e-03      
5.17500000e+01      9.16046814e-03      
5.22500000e+01      1.60228829e-02      
5.27500000e+01      1.60228829e-02      
5.32500000e+01      1.17224773e-02      
5.37500000e+01      1.17224773e-02      
5.42500000e+01      7.50080072e-03      
5.47500000e+01      7.50080072e-03      
5.52500000e+01      3.33415936e-02      
5.57500000e+01      3.33415936e-02      
5.62500000e+01      1.00912752e-02      
5.67500000e+01      1.00912752e-02      
5.72500000e+01      9.98033020e-03      
5.77500000e+01      9.98033020e-03      
5.82500000e+01      5.61177897e-02      
5.87500000e+01      5.61177897e-02      
5.92500000e+01      1.16254444e-02      
5.97500000e+01      1.16254444e-02      
6.02500000e+01      4.74691420e-02      
6.07500000e+01      4.74691420e-02      
6.12500000e+01      1.43288640e-02      
6.17500000e+01      1.43288640e-02      
6.21250000e+01      5.22802170e-02      
6.23750000e+01      6.17680552e-02      
6.26250000e+01      6.17680552e-02      
6.28750000e+01      3.86447306e-02      
6.36250000e+01      1.25199455e-02      
6.48750000e+01      3.21172862e-03      
6.61250000e+01      2.55750940e-03      
6.73750000e+01      2.45981281e-03      
6.83750000e+01      7.60188442e-03      
6.91250000e+01      6.97070140e-03      
6.98750000e+01      9.53543525e-03      
7.06250000e+01      1.61514496e-02      
7.13750000e+01      7.02435674e-03      
7.21250000e+01      5.85084822e-03      
7.28750000e+01      5.77881809e-03      
7.36250000e+01      6.80826635e-03      
7.43750000e+01      8.32827537e-03      
7.51250000e+01      1.11678222e-02      
7.58750000e+01      1.88899582e-02      
7.66250000e+01      3.14946834e-02      
