Wavelength(nm)      SolarFlux(mW/m^2/nm)
1.00000000e+00      1.08303826e-02      
1.37500000e+00      8.66398820e-03      
2.12500000e+00      3.10319796e-02      
2.87500000e+00      3.72559063e-02      
3.62500000e+00      2.73357683e-02      
4.12500000e+00      3.41425343e-02      
4.37500000e+00      3.75459173e-02      
4.62500000e+00      3.75459173e-02      
4.87500000e+00      3.75459173e-02      
5.12500000e+00      6.40621678e-02      
5.37500000e+00      6.40621678e-02      
5.62500000e+00      6.40621678e-02      
5.87500000e+00      6.40621678e-02      
6.12500000e+00      5.65640703e-02      
6.37500000e+00      5.65640703e-02      
6.62500000e+00      5.65640703e-02      
6.87500000e+00      5.65640703e-02      
7.12500000e+00      5.89421493e-02      
7.37500000e+00      5.89421493e-02      
7.62500000e+00      5.89421493e-02      
7.87500000e+00      5.89421493e-02      
8.12500000e+00      3.56557288e-02      
8.37500000e+00      3.56557288e-02      
8.62500000e+00      3.56557288e-02      
8.87500000e+00      3.56557288e-02      
9.12500000e+00      3.97223608e-02      
9.37500000e+00      3.97223608e-02      
9.62500000e+00      3.97223608e-02      
9.87500000e+00      3.97223608e-02      
1.01250000e+01      1.36954149e-02      
1.03750000e+01      1.36954149e-02      
1.06250000e+01      1.36954149e-02      
1.08750000e+01      1.36954149e-02      
1.11250000e+01      9.74297455e-03      
1.13750000e+01      9.74297455e-03      
1.16250000e+01      9.74297455e-03      
1.18750000e+01      9.74297455e-03      
1.21000000e+01      6.27639839e-03      
1.23000001e+01      6.05973764e-03      
1.25000001e+01      6.05973764e-03      
1.27000002e+01      6.05973764e-03      
1.31125002e+01      5.85090330e-03      
1.37375002e+01      6.80502571e-03      
1.43625002e+01      1.83071481e-02      
1.49875002e+01      2.00026994e-02      
1.55875002e+01      2.19194071e-02      
1.61625003e+01      2.79213315e-02      
1.67375003e+01      3.39629950e-02      
1.73125004e+01      1.30199924e-01      
1.79625003e+01      9.91536569e-02      
1.86875002e+01      6.46248920e-02      
1.94125001e+01      6.59708470e-02      
2.01375000e+01      4.26514424e-02      
2.08250000e+01      3.00908832e-02      
2.14750001e+01      2.43570189e-02      
2.21250002e+01      3.10021031e-02      
2.27750003e+01      2.97313437e-02      
2.35875003e+01      1.90344624e-02      
2.45625002e+01      4.35750568e-02      
2.55375001e+01      6.80125188e-02      
2.65125000e+01      2.29242531e-02      
2.71250000e+01      3.28295358e-02      
2.73750000e+01      4.00108648e-02      
2.76250000e+01      4.00108648e-02      
2.78750000e+01      5.97776711e-02      
2.82500000e+01      1.38844896e-01      
2.87500000e+01      1.38844896e-01      
2.92500000e+01      1.38005650e-02      
2.97500000e+01      1.38005650e-02      
3.02500000e+01      4.37096665e-01      
3.07500000e+01      4.37096665e-01      
3.12500000e+01      5.60460245e-02      
3.17500000e+01      5.60460245e-02      
3.22500000e+01      7.72654100e-02      
3.27500000e+01      7.72654100e-02      
3.32500000e+01      7.53255768e-02      
3.37500000e+01      7.53255768e-02      
3.42500000e+01      3.19709882e-02      
3.47500000e+01      3.19709882e-02      
3.52500000e+01      2.73046164e-02      
3.57500000e+01      2.73046164e-02      
3.61250000e+01      1.04075038e-01      
3.63750000e+01      1.23267644e-01      
3.66250000e+01      1.23267644e-01      
3.68750000e+01      8.41830283e-02      
3.73750000e+01      6.01379801e-03      
3.81250000e+01      3.71116708e-03      
3.88750000e+01      2.54852190e-03      
3.96250000e+01      2.52586249e-03      
4.03750000e+01      4.20527518e-03      
4.11250000e+01      6.86239764e-03      
4.18750000e+01      6.13103296e-03      
4.26250000e+01      2.01118113e-03      
4.33750000e+01      4.65420297e-03      
4.41250000e+01      2.75998962e-03      
4.48750000e+01      1.87982945e-03      
4.56250000e+01      2.01372247e-03      
4.62500000e+01      6.64738169e-03      
4.67500000e+01      7.22658909e-03      
4.72500000e+01      2.84869501e-03      
4.77500000e+01      2.84869501e-03      
4.82500000e+01      4.70915544e-03      
4.87500000e+01      4.70915544e-03      
4.92500000e+01      1.66436610e-02      
4.97500000e+01      1.66436610e-02      
5.02500000e+01      6.73177933e-03      
5.07500000e+01      6.73177933e-03      
5.12500000e+01      2.29011703e-03      
5.17500000e+01      2.29011703e-03      
5.22500000e+01      4.00572073e-03      
5.27500000e+01      4.00572073e-03      
5.32500000e+01      2.93061932e-03      
5.37500000e+01      2.93061932e-03      
5.42500000e+01      1.87520018e-03      
5.47500000e+01      1.87520018e-03      
5.52500000e+01      8.33539840e-03      
5.57500000e+01      8.33539840e-03      
5.62500000e+01      2.52281881e-03      
5.67500000e+01      2.52281881e-03      
5.72500000e+01      2.49508255e-03      
5.77500000e+01      2.49508255e-03      
5.82500000e+01      1.40294474e-02      
5.87500000e+01      1.40294474e-02      
5.92500000e+01      2.90636111e-03      
5.97500000e+01      2.90636111e-03      
6.02500000e+01      1.18672855e-02      
6.07500000e+01      1.18672855e-02      
6.12500000e+01      3.58221600e-03      
6.17500000e+01      3.58221600e-03      
6.21250000e+01      1.30700542e-02      
6.23750000e+01      1.54420138e-02      
6.26250000e+01      1.54420138e-02      
6.28750000e+01      9.66118266e-03      
6.36250000e+01      3.12998638e-03      
