alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.16858617E+19 2.33840290E+02 1.00000000E+05 4.57084235E-01 2.41370559E+02 1.03690419E-40 1.09080399E-40 5.58944060E-08 1.03611459E-40 1.03611459E-40 1.03611459E-40 1.03611459E-40 1.03729151E-40 2.54301212E-19 7.14152107E-06 1.98159746E-04 1.24486812E-31 2.10579014E-25 1.42830421E-09 1.57113464E-07 7.14152107E-01 2.67578422E-21 2.52413621E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.07605794E-30 6.03667311E-22 1.53563220E-17 6.69460663E-25 2.28548745E-24 6.34484262E-19 2.85660843E-13 3.05540296E-17 6.02260109E-14 2.85660844E-01 1.06593556E-32 2.05751787E-33 4.55175976E-14 1.00000000E-40 1.00000000E-40 2.00486950E-35 8.64758817E-33 6.61551677E-16 1.71095969E-15 4.38205153E-24 1.56049529E-23 7.75470010E-14 3.57076054E-08 5.38272932E-20 3.01486855E-27 4.70881092E-35 1.16326353E-11 2.61348714E-37 5.23444097E-33 3.28781981E-30 1.00914336E-39 1.61458948E-40 1.51952691E-40 1.20819218E-32 2.77431241E-36 1.51811157E-17 1.40876732E-38 1.00000000E-40 3.55535062E-38 1.00000000E-40 1.00000000E-40 1.27106259E-14 3.36010677E-36 8.72893883E-37 1.00000000E-40 1.00000000E-40 1.56755880E-39 1.41404613E-37 7.68739957E-34 1.35157816E-40 2.13189520E-33 1.12455005E-22 9.96237188E-28 3.95666818E-39 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 1.94406802E+19 2.22484795E+02 1.00000000E+05 5.27605368E-01 3.08068567E+02 1.07221504E-40 1.16505256E-40 6.05924515E-08 1.07182549E-40 1.07182549E-40 1.07182549E-40 1.07182549E-40 1.07317520E-40 2.03412108E-20 7.52885786E-06 1.07644463E-04 1.80673331E-32 2.95190039E-25 1.14283557E-08 1.85804636E-07 7.51351760E-01 2.35527952E-23 2.34620111E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.54976753E-38 9.50052213E-30 1.13753498E-22 1.60757786E-17 6.12363747E-25 2.15732293E-24 6.63999730E-19 3.04632514E-13 2.97102160E-17 6.36222526E-14 2.28216740E-01 1.11560444E-32 2.15340701E-33 4.77972632E-14 1.00000000E-40 1.00000000E-40 2.10375800E-35 9.05068474E-33 6.35209784E-16 2.22184589E-15 2.46403643E-23 9.30809818E-24 8.34436931E-14 3.76151593E-08 4.54604001E-20 1.42005992E-27 3.16888087E-35 1.22555997E-11 2.73550024E-37 5.47899746E-33 3.44105893E-30 1.05581700E-39 1.69004348E-40 1.59032977E-40 1.26464390E-32 2.89835002E-36 7.71265508E-18 1.37499573E-38 1.00000000E-40 3.46634876E-38 1.00000000E-40 1.00000000E-40 2.83246639E-14 2.12255138E-37 7.91643235E-37 1.00000000E-40 1.00000000E-40 6.70087416E-40 1.47957804E-37 8.10568720E-34 1.41549123E-40 2.24224962E-33 1.83021062E-24 9.67393438E-28 2.27162746E-39 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 1.66844553E+19 2.20494768E+02 1.00000000E+05 5.16154947E-01 3.51188348E+02 1.15990664E-40 1.30843513E-40 6.94535188E-08 1.15981627E-40 1.15981627E-40 1.15981627E-40 1.15981627E-40 1.16139531E-40 1.12142602E-20 7.95141092E-06 7.73043843E-05 1.50045622E-32 4.69474402E-25 2.33306610E-08 2.19105348E-07 7.91781135E-01 6.99521073E-24 2.18905372E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.70164098E-39 9.96411350E-30 6.25129230E-23 1.68627591E-17 5.20876624E-25 1.88803251E-24 6.96060569E-19 3.25673151E-13 2.81241361E-17 6.81559618E-14 2.11736632E-01 1.16964954E-32 2.25780374E-33 5.02788831E-14 1.00000000E-40 1.00000000E-40 2.21781389E-35 9.48949633E-33 6.12530386E-16 2.81468509E-15 5.91168351E-23 1.93612043E-23 8.39761910E-14 3.96933509E-08 4.73537129E-20 8.90230860E-28 2.12360982E-35 1.30276469E-11 2.86868467E-37 5.74595249E-33 3.60785470E-30 1.10831161E-39 1.77240870E-40 1.66735767E-40 1.32625344E-32 3.03295587E-36 6.24307193E-18 1.34135541E-38 1.00000000E-40 3.38058367E-38 1.00000000E-40 1.00000000E-40 4.57760619E-14 1.33986903E-38 7.19248009E-37 1.00000000E-40 1.00000000E-40 3.69769301E-40 1.55070989E-37 8.63177741E-34 1.48508595E-40 2.30944627E-33 6.94045613E-25 9.38498306E-28 1.42600465E-39 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.45165211E+19 2.19854384E+02 1.00000000E+05 4.36990801E-01 3.34521963E+02 1.23675178E-40 1.44431955E-40 7.86341700E-08 1.23676269E-40 1.23676269E-40 1.23676269E-40 1.23676269E-40 1.23856041E-40 8.36546519E-21 8.23921983E-06 6.67367134E-05 1.48315335E-32 6.88526576E-25 3.70024873E-08 2.53075414E-07 8.18459507E-01 3.67637442E-24 2.00308523E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.71535656E-40 1.02532791E-29 4.44407438E-23 1.73550033E-17 4.34340255E-25 1.61541563E-24 7.15697913E-19 3.41946940E-13 2.57808506E-17 7.26392185E-14 2.11526185E-01 1.20293586E-32 2.32224659E-33 5.18849158E-14 1.00000000E-40 1.00000000E-40 2.30091537E-35 9.76017674E-33 6.01398443E-16 3.44444617E-15 1.05673642E-22 3.48894223E-23 8.21751692E-14 4.10928130E-08 5.00351907E-20 6.90766544E-28 1.39638650E-35 1.36919896E-11 2.95151816E-37 5.91204943E-33 3.71070096E-30 1.14326651E-39 1.82366576E-40 1.71478181E-40 1.36456860E-32 3.11364458E-36 5.46347638E-18 1.28200276E-38 1.00000000E-40 3.23135609E-38 1.00000000E-40 1.00000000E-40 6.46650092E-14 2.69666321E-39 6.40878009E-37 1.00000000E-40 1.00000000E-40 2.47356619E-40 1.59415392E-37 9.09808043E-34 1.52842825E-40 2.33617149E-33 4.31030364E-25 8.91653700E-28 9.46411711E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.29399244E+19 2.18102006E+02 1.00000000E+05 3.22916623E-01 2.45865212E+02 1.28745230E-40 1.54581082E-40 8.67545711E-08 1.28747110E-40 1.28747110E-40 1.28747110E-40 1.28747110E-40 1.28946599E-40 6.34641081E-21 8.37859722E-06 6.08609707E-05 1.39232786E-32 9.11424694E-25 5.19607229E-08 2.86440086E-07 8.30092293E-01 2.11214225E-24 1.79823778E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.88059798E-40 1.03547339E-29 3.40752651E-23 1.75290936E-17 3.61706361E-25 1.37757332E-24 7.21973192E-19 3.52735717E-13 2.31891480E-17 7.72057043E-14 2.10952678E-01 1.21388757E-32 2.34374176E-33 5.25392126E-14 1.00000000E-40 1.00000000E-40 2.35047054E-35 9.84998244E-33 5.80230590E-16 4.08764548E-15 1.60710076E-22 4.24269162E-23 7.65750718E-14 4.17466819E-08 5.21335203E-20 5.55874755E-28 9.10082219E-36 1.42377098E-11 2.98018406E-37 5.96961589E-33 3.74475154E-30 1.15941438E-39 1.84144758E-40 1.73035939E-40 1.37781722E-32 3.13697754E-36 4.51916151E-18 1.20166452E-38 1.00000000E-40 3.03014022E-38 1.00000000E-40 1.00000000E-40 8.43719630E-14 1.08480541E-39 5.60636537E-37 1.00000000E-40 1.00000000E-40 2.07314798E-40 1.60788707E-37 9.49865638E-34 1.54345303E-40 2.32111254E-33 2.90251763E-25 8.30493941E-28 6.70211726E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.14925675E+19 2.18543888E+02 1.00000000E+05 1.98037456E-01 2.36233528E+01 1.34823637E-40 1.65103370E-40 9.59860636E-08 1.34822051E-40 1.34822051E-40 1.34822051E-40 1.34822051E-40 1.35043944E-40 6.00881013E-21 8.47045356E-06 6.16363348E-05 1.62351163E-32 1.31999272E-24 6.84884677E-08 3.21953872E-07 8.36729672E-01 1.69314144E-24 1.60419720E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.03960750E-29 3.03412594E-23 1.76001911E-17 2.92828309E-25 1.14014264E-24 7.23777546E-19 3.62164885E-13 2.09183119E-17 8.29364094E-14 2.13028089E-01 1.21745303E-32 2.35119048E-33 5.28824057E-14 1.00000000E-40 1.00000000E-40 2.39563769E-35 9.88024186E-33 5.91946336E-16 4.77892297E-15 2.40376488E-22 6.51301908E-23 8.47876725E-14 4.21589247E-08 5.63001527E-20 5.33422936E-28 6.13029841E-36 1.48447267E-11 2.99141581E-37 5.99220584E-33 3.75613221E-30 1.17117969E-39 1.84844314E-40 1.73540206E-40 1.38297521E-32 3.14200899E-36 4.26816336E-18 1.11938871E-38 1.00000000E-40 2.82494888E-38 1.00000000E-40 1.00000000E-40 1.05539148E-13 6.38948612E-40 4.88010842E-37 1.00000000E-40 1.00000000E-40 1.53721558E-40 1.61175137E-37 9.95492020E-34 1.54910423E-40 2.28896621E-33 2.55172400E-25 7.68366413E-28 5.06431370E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.02087717E+19 2.19047112E+02 1.00000000E+05 4.82237229E-02 1.45015129E-01 1.41470520E-40 1.75308524E-40 1.06092890E-07 1.41464096E-40 1.41464096E-40 1.41464096E-40 1.41464096E-40 1.41711155E-40 6.03119563E-21 8.56854617E-06 6.24155314E-05 1.98071708E-32 1.93876963E-24 8.71319896E-08 3.61886182E-07 8.43664723E-01 1.49039877E-24 1.43048341E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.04437720E-29 2.91381935E-23 1.76799773E-17 2.37360379E-25 9.43427126E-25 7.25709788E-19 3.72568299E-13 1.91944854E-17 9.08616953E-14 2.15143857E-01 1.22137890E-32 2.35959817E-33 5.32506610E-14 1.00000000E-40 1.00000000E-40 2.45268799E-35 9.91387784E-33 6.16523485E-16 5.55219194E-15 3.52427757E-22 1.02530146E-22 9.99206389E-14 4.25970078E-08 6.19774872E-20 5.48050064E-28 4.46088852E-36 1.56249727E-11 3.00432532E-37 6.01809332E-33 3.76876073E-30 1.18631360E-39 1.85645962E-40 1.74095393E-40 1.38887423E-32 3.14886363E-36 4.14131167E-18 1.04281490E-38 1.00000000E-40 2.63497483E-38 1.00000000E-40 1.00000000E-40 1.29025383E-13 4.20356965E-40 4.25246863E-37 1.00000000E-40 1.00000000E-40 1.22439423E-40 1.61600729E-37 1.05446563E-33 1.55523417E-40 2.25999383E-33 2.42731996E-25 7.10514635E-28 4.13994196E-40 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 9.09899079E+18 2.19037393E+02 1.00000000E+05 2.60487204E-03 1.27156459E-04 1.48173081E-40 1.84539654E-40 1.16770765E-07 1.48160743E-40 1.48160743E-40 1.48160743E-40 1.48160743E-40 1.48435582E-40 6.08972227E-21 8.66695697E-06 6.31515009E-05 2.38357698E-32 2.80195292E-24 1.08054941E-07 4.06440649E-07 8.50280317E-01 1.33318494E-24 1.27429228E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.04906804E-29 2.94277308E-23 1.77555179E-17 1.93820190E-25 7.85409110E-25 7.27235424E-19 3.83762494E-13 1.80204942E-17 1.01619453E-13 2.17137112E-01 1.22478151E-32 2.36730425E-33 5.36062997E-14 1.00000000E-40 1.00000000E-40 2.52121897E-35 9.94378204E-33 6.39293907E-16 6.41139940E-15 5.04339353E-22 1.46893059E-22 1.17050361E-13 4.30311417E-08 6.90519184E-20 5.67864944E-28 3.72269860E-36 1.65906021E-11 3.01683766E-37 6.04311328E-33 3.77993043E-30 1.20434476E-39 1.86421297E-40 1.74575629E-40 1.39455063E-32 3.15534882E-36 3.99510635E-18 9.71089516E-39 1.00000000E-40 2.45805711E-38 1.00000000E-40 1.00000000E-40 1.55053259E-13 2.84373020E-40 3.70840949E-37 1.00000000E-40 1.00000000E-40 1.05014146E-40 1.61948186E-37 1.12796736E-33 1.56071986E-40 2.23010817E-33 2.34643437E-25 6.56316628E-28 3.67751340E-40 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 8.10887017E+18 2.19372001E+02 1.00000000E+05 3.67615503E-05 6.93346311E-08 1.55490556E-40 1.93697213E-40 1.28499285E-07 1.55473672E-40 1.55473672E-40 1.55473672E-40 1.55473672E-40 1.55780163E-40 6.52700610E-21 8.76157458E-06 6.38107139E-05 3.03627076E-32 4.18237191E-24 1.31429885E-07 4.55877963E-07 8.56138656E-01 1.29730374E-24 1.13357420E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.05319912E-29 3.18700213E-23 1.78178329E-17 1.57562054E-25 6.50181226E-25 7.27980841E-19 3.95638518E-13 1.73699100E-17 1.15963403E-13 2.18890551E-01 1.22704863E-32 2.37317066E-33 5.39231921E-14 1.00000000E-40 1.00000000E-40 2.60141968E-35 9.96504894E-33 6.67981796E-16 7.36102978E-15 7.26787429E-22 2.29193715E-22 1.41420536E-13 4.34405891E-08 7.85320046E-20 6.19712392E-28 3.80312692E-36 1.77590335E-11 3.02754877E-37 6.06444274E-33 3.78777177E-30 1.22509320E-39 1.87083313E-40 1.74893671E-40 1.39935031E-32 3.15997265E-36 4.00635682E-18 9.03700087E-39 1.00000000E-40 2.29298925E-38 1.00000000E-40 1.00000000E-40 1.83853590E-13 2.09563477E-40 3.23634328E-37 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.62136123E-37 1.21760740E-33 1.56477639E-40 2.19832534E-33 2.43182090E-25 6.05383607E-28 3.53880386E-40 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 7.22655932E+18 2.20073645E+02 1.00000000E+05 2.28598957E-07 6.75827873E-11 1.63166087E-40 2.03203249E-40 1.41337055E-07 1.63144517E-40 1.63144517E-40 1.63144517E-40 1.63144517E-40 1.63486846E-40 7.39821452E-21 8.85190160E-06 6.43839103E-05 4.09065939E-32 6.46677460E-24 1.57512828E-07 5.10706156E-07 8.61150647E-01 1.36210439E-24 1.00675703E-25 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.05672142E-29 3.68530294E-23 1.78652147E-17 1.27436601E-25 5.34895907E-25 7.27866614E-19 4.08259954E-13 1.72211889E-17 1.34988669E-13 2.20375729E-01 1.22806593E-32 2.37702312E-33 5.41972439E-14 1.00000000E-40 1.00000000E-40 2.69469175E-35 9.97682073E-33 7.02076148E-16 8.40949100E-15 1.06067333E-21 3.91824881E-22 1.74683046E-13 4.38225005E-08 9.11377269E-20 7.11706487E-28 4.81086688E-36 1.91585423E-11 3.03629227E-37 6.08173897E-33 3.79195324E-30 1.24893168E-39 1.87621520E-40 1.75033192E-40 1.40319103E-32 3.16251713E-36 4.17944887E-18 8.40414478E-39 1.00000000E-40 2.13926738E-38 1.00000000E-40 1.00000000E-40 2.15757693E-13 1.66921941E-40 2.82663494E-37 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.62148682E-37 1.32583672E-33 1.56725665E-40 2.16450898E-33 2.68563074E-25 5.57515806E-28 3.66824256E-40 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
