alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.72534503E+19 1.86069218E+02 1.00000000E+05 1.56013842E+00 6.31952076E+02 7.97572572E-02 3.67582272E-34 3.98582382E-07 2.51565280E-40 2.51565280E-40 2.51565280E-40 2.51565280E-40 2.55684195E-40 1.93350594E-15 7.14152088E-06 2.35616767E-07 1.44992105E-23 2.92552103E-19 1.42830418E-09 1.57113460E-07 7.12182100E-01 4.82345589E-18 9.06106720E-18 1.00000000E-40 1.00000000E-40 1.56533497E-38 1.26828172E-27 1.88273190E-20 3.91680601E-18 2.57059724E-16 1.96427074E-22 9.07421209E-22 1.86272089E-23 2.85660835E-13 3.03864959E-14 6.10260722E-15 6.71607512E-03 6.33144243E-33 3.48526920E-29 1.53890943E-11 1.00000000E-40 1.00000000E-40 1.04647965E-27 1.79350848E-30 5.45384090E-13 1.54516603E-10 8.44798046E-18 6.18959503E-17 1.61459239E-12 3.57076044E-08 6.20310589E-15 4.03851145E-21 5.95206128E-23 5.60783273E-09 1.34914847E-31 1.51276397E-19 5.23641758E-28 6.60117672E-29 4.29707503E-35 1.00000000E-40 9.62840616E-28 6.93046332E-28 1.08638287E-13 1.87514342E-35 1.99403805E-36 4.13088592E-33 1.00000000E-40 2.45718438E-40 1.03947744E-12 1.32325270E-24 3.31133532E-28 1.00000000E-40 1.00000000E-40 8.03670654E-30 8.61720500E-31 6.54565352E-27 1.81012971E-39 2.89601714E-24 5.34718604E-16 1.07567811E-18 1.14979182E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.38585254E+19 1.81287639E+02 1.00000000E+05 1.66905669E+00 6.80005253E+02 4.94270568E+00 3.96698410E-34 4.22999791E-07 2.69061150E-40 2.69061150E-40 2.69061150E-40 2.69061150E-40 2.73528908E-40 3.24536086E-16 7.46353407E-06 1.52077058E-07 2.70306929E-24 4.23905228E-19 8.02131947E-09 1.77829875E-07 5.98104089E-01 1.32458788E-19 9.54449022E-18 1.00000000E-40 1.00000000E-40 4.18972296E-39 6.55355843E-28 1.94634816E-20 7.81785063E-19 2.63050465E-16 1.47594252E-22 7.29004502E-22 1.92529943E-23 2.70616699E-13 2.89032778E-14 1.25541054E-14 5.28396611E-03 6.66142315E-33 3.60251394E-29 1.59434341E-11 1.00000000E-40 1.00000000E-40 1.08191748E-27 1.85558994E-30 4.40361970E-13 1.85722706E-10 3.36799702E-17 4.97641931E-17 1.07313030E-12 3.73702575E-08 5.83636784E-15 2.31138262E-21 3.85039394E-23 5.81912309E-09 1.39474691E-31 1.56385331E-19 5.40564088E-28 6.78588090E-29 4.44229060E-35 1.00000000E-40 9.97113434E-28 7.14736662E-28 6.46757094E-14 1.90205291E-35 5.17955170E-38 4.19943983E-33 1.00000000E-40 3.87206211E-40 2.39833180E-12 3.67888603E-25 2.70512164E-28 1.00000000E-40 1.00000000E-40 8.58243684E-30 8.91347820E-31 6.76698387E-27 2.44906752E-39 5.97388726E-24 1.48207393E-17 1.11513398E-18 1.11953759E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 2.06271292E+19 1.78349351E+02 1.00000000E+05 1.85590120E+00 7.59334507E+02 1.14425937E+01 4.43815294E-34 4.65273343E-07 2.99080992E-40 2.99080992E-40 2.99080992E-40 2.99080992E-40 3.04145495E-40 1.71204121E-16 7.81147203E-06 1.03908185E-07 1.64843364E-24 6.03217604E-19 1.58323508E-08 2.01626693E-07 5.32155032E-01 3.46884163E-20 1.00471494E-17 1.00000000E-40 1.00000000E-40 3.12901502E-39 4.61476482E-28 2.01488029E-20 3.91570054E-19 2.70163413E-16 1.15464608E-22 5.86199508E-22 1.99222375E-23 2.79804361E-13 2.84511593E-14 2.07880782E-14 4.42360460E-03 7.11724653E-33 3.72807657E-29 1.65336309E-11 1.00000000E-40 1.00000000E-40 1.12004211E-27 1.92224212E-30 3.82533207E-13 2.13154944E-10 6.43101610E-17 5.71648958E-17 7.50618424E-13 3.91533451E-08 5.70877165E-15 1.31962799E-21 2.42719263E-23 6.05961894E-09 1.44382429E-31 1.61880724E-19 5.58586397E-28 6.98159829E-29 4.59856636E-35 1.00000000E-40 1.03423346E-27 7.37747269E-28 4.45245559E-14 1.94362063E-35 1.27626936E-38 4.28940403E-33 1.00000000E-40 5.80499844E-40 3.97584755E-12 1.23557175E-25 2.37375819E-28 1.00000000E-40 1.00000000E-40 8.97484437E-30 9.23485529E-31 7.00521330E-27 3.34293364E-39 9.30104788E-24 3.91726119E-18 1.15787027E-18 1.10722415E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.80259432E+19 1.77051529E+02 1.00000000E+05 2.06097058E+00 8.45513369E+02 1.44442091E+01 4.94729950E-34 5.11060737E-07 3.32004077E-40 3.32004077E-40 3.32004077E-40 3.32004077E-40 3.37749748E-40 1.18447149E-16 8.01360970E-06 8.37956733E-08 1.28242631E-24 7.45587705E-19 2.46271544E-08 2.24307137E-07 5.11134799E-01 1.59236248E-20 1.03504753E-17 1.00000000E-40 1.00000000E-40 2.52063661E-39 3.65493610E-28 2.04422631E-20 2.48482798E-19 2.72671308E-16 9.15150883E-23 4.73577427E-22 2.01980525E-23 3.07748657E-13 2.81926638E-14 2.97969641E-14 4.11889482E-03 7.54055330E-33 3.78023327E-29 1.67981939E-11 1.00000000E-40 1.00000000E-40 1.13632369E-27 1.95118709E-30 3.57396355E-13 2.33648292E-10 9.18083191E-17 7.08767228E-17 5.93764743E-13 4.01991952E-08 5.63593232E-15 8.51388032E-22 1.49010654E-23 6.19331527E-09 1.46477502E-31 1.64218380E-19 5.65519215E-28 7.03620874E-29 4.66523512E-35 1.00777212E-40 1.05144644E-27 7.46031061E-28 3.47023606E-14 1.95623624E-35 5.45154947E-39 4.30630538E-33 1.00000000E-40 7.30760507E-40 5.70599180E-12 6.39100579E-26 2.17270480E-28 1.00000000E-40 1.00000000E-40 9.15174416E-30 9.37554481E-31 7.10699007E-27 4.40826958E-39 1.23915568E-23 1.83777828E-18 1.17828782E-18 1.08545904E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.59761220E+19 1.76652598E+02 1.00000000E+05 2.27358465E+00 9.35416727E+02 1.28946913E+01 5.48195037E-34 5.58860226E-07 3.66113951E-40 3.66113951E-40 3.66113951E-40 3.66113951E-40 3.72590810E-40 9.19945740E-17 8.07042554E-06 7.89478937E-08 1.05976232E-24 8.12484271E-19 3.41441734E-08 2.45333666E-07 5.11999575E-01 9.44491840E-21 1.04510269E-17 1.00000000E-40 1.00000000E-40 1.96917291E-39 3.04668898E-28 2.03567938E-20 1.80787510E-19 2.70778658E-16 7.30725853E-23 3.83970303E-22 2.00931616E-23 3.53359766E-13 2.84028008E-14 3.98495915E-14 4.18887561E-03 7.92270894E-33 3.76136880E-29 1.67463033E-11 1.00000000E-40 1.00000000E-40 1.13147630E-27 1.94350984E-30 3.46132806E-13 2.47165338E-10 1.09672325E-16 8.01678601E-17 5.05990914E-13 4.05099041E-08 5.55362067E-15 6.14702763E-22 8.95146950E-24 6.22068875E-09 1.45853058E-31 1.63502661E-19 5.61780051E-28 6.95634065E-29 4.64526289E-35 1.01663753E-40 1.04928711E-27 7.40195779E-28 2.89245402E-14 1.93919139E-35 2.98398300E-39 4.25149103E-33 1.00000000E-40 7.94795158E-40 7.53732982E-12 4.20312660E-26 2.04455598E-28 1.00000000E-40 1.00000000E-40 9.14310158E-30 9.33964677E-31 7.07682639E-27 5.61568678E-39 1.50298080E-23 1.11006485E-18 1.17687402E-18 1.05257446E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.42338567E+19 1.76454664E+02 1.00000000E+05 2.50692663E+00 1.03453099E+03 1.22669893E+01 6.07554854E-34 6.11872199E-07 4.03527509E-40 4.03527509E-40 4.03527509E-40 4.03527509E-40 4.10828773E-40 7.65944192E-17 8.08411260E-06 8.13769829E-08 9.01170951E-25 8.45739043E-19 4.45758908E-08 2.67310960E-07 5.09988497E-01 6.40038231E-21 1.04782547E-17 1.00000000E-40 1.00000000E-40 1.55112521E-39 2.63759157E-28 2.01595874E-20 1.45774353E-19 2.67981633E-16 5.82214060E-23 3.09954503E-22 1.98714851E-23 4.19993631E-13 2.94454041E-14 5.26201148E-14 4.47733569E-03 8.35805863E-33 3.72088202E-29 1.65966740E-11 1.00000000E-40 1.00000000E-40 1.12035090E-27 1.92463006E-30 3.37115162E-13 2.56729947E-10 1.18230216E-16 7.95827236E-17 4.41058238E-13 4.05980288E-08 5.45582725E-15 4.64371537E-22 5.33413207E-24 6.22076672E-09 1.44424144E-31 1.61880433E-19 5.54791920E-28 6.83509099E-29 4.59964207E-35 1.01689571E-40 1.04143230E-27 7.30063508E-28 2.45878151E-14 1.91607987E-35 1.86392896E-39 4.17903488E-33 1.00000000E-40 8.21648889E-40 9.51774618E-12 3.06424130E-26 1.98007991E-28 1.00000000E-40 1.00000000E-40 9.07074880E-30 9.24870049E-31 7.00763535E-27 7.01206336E-39 1.72717070E-23 7.66706221E-19 1.16889248E-18 1.02054688E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.26812398E+19 1.76339380E+02 1.00000000E+05 2.77416362E+00 1.14844434E+03 1.19948839E+01 6.76438247E-34 6.73266089E-07 4.46355706E-40 4.46355706E-40 4.46355706E-40 4.46355706E-40 4.54621287E-40 6.65219221E-17 8.10373094E-06 8.81989289E-08 7.82104784E-25 8.61979547E-19 5.62053922E-08 2.91885252E-07 5.08215227E-01 4.70368178E-21 1.04940445E-17 1.00000000E-40 1.00000000E-40 1.23883634E-39 2.34359472E-28 1.99754878E-20 1.26130624E-19 2.65835800E-16 4.65911124E-23 2.50890415E-22 1.96558294E-23 5.11199089E-13 3.12176429E-14 6.93046845E-14 4.92551844E-03 8.90391282E-33 3.68177804E-29 1.64516096E-11 1.00000000E-40 1.00000000E-40 1.10988516E-27 1.90641155E-30 3.29267531E-13 2.64109698E-10 1.20395785E-16 7.35378664E-17 3.89661148E-13 4.07102105E-08 5.36066365E-15 3.58795238E-22 3.17551252E-24 6.23109234E-09 1.43085662E-31 1.60354471E-19 5.47999555E-28 6.71512525E-29 4.55687182E-35 1.01607213E-40 1.03430806E-27 7.20179543E-28 2.11977756E-14 1.89744775E-35 1.26190159E-39 4.11303118E-33 1.00000000E-40 8.29913592E-40 1.17059215E-11 2.34849459E-26 1.97314514E-28 1.00000000E-40 1.00000000E-40 8.99288000E-30 9.15926939E-31 6.94283731E-27 8.64836299E-39 1.92045697E-23 5.74510428E-19 1.16151864E-18 9.94092042E-31 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.12963498E+19 1.76430374E+02 1.00000000E+05 3.07786303E+00 1.27844064E+03 1.20032373E+01 7.56272732E-34 7.43653870E-07 4.95000382E-40 4.95000382E-40 4.95000382E-40 4.95000382E-40 5.04389038E-40 6.03799841E-17 8.12573324E-06 9.90293161E-08 7.02441030E-25 8.72519782E-19 6.91496718E-08 3.19221066E-07 5.06447763E-01 3.73166590E-21 1.04921809E-17 1.00000000E-40 1.00000000E-40 1.00663643E-39 2.14311935E-28 1.97953879E-20 1.13933114E-19 2.64123323E-16 3.73196104E-23 2.03026846E-22 1.94366385E-23 6.29352196E-13 3.34288879E-14 9.03035490E-14 5.53183484E-03 9.57176740E-33 3.64228874E-29 1.63032315E-11 1.00000000E-40 1.00000000E-40 1.09957071E-27 1.88793078E-30 3.24529992E-13 2.69454641E-10 1.18426504E-16 6.73258371E-17 3.51618978E-13 4.08289815E-08 5.28061972E-15 2.83689107E-22 1.89010352E-24 6.24869810E-09 1.41772734E-31 1.58851503E-19 5.41141469E-28 6.59305044E-29 4.51488271E-35 1.01469645E-40 1.02745032E-27 7.10200167E-28 1.86941562E-14 1.88148187E-35 9.21877720E-40 4.05010610E-33 1.00000000E-40 8.28645578E-40 1.41221055E-11 1.87068818E-26 2.01492405E-28 1.00000000E-40 1.00000000E-40 8.90713442E-30 9.06663085E-31 6.87928481E-27 1.05465169E-38 2.08422140E-23 4.63996036E-19 1.15420555E-18 9.71570192E-31 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 1.00745821E+19 1.76569019E+02 1.00000000E+05 3.41748502E+00 1.42455309E+03 1.22207656E+01 8.48248105E-34 8.22937317E-07 5.49361706E-40 5.49361706E-40 5.49361706E-40 5.49361706E-40 5.60043503E-40 5.59700929E-17 8.14677475E-06 1.13016989E-07 6.40656920E-25 8.78369539E-19 8.35175243E-08 3.49470073E-07 5.04477876E-01 3.08393301E-21 1.04666717E-17 1.00000000E-40 1.00000000E-40 8.28040812E-40 1.98713270E-28 1.96110251E-20 1.05515881E-19 2.62649310E-16 2.99517121E-23 1.64464529E-22 1.92052044E-23 7.76971737E-13 3.59155202E-14 1.16739639E-13 6.27025720E-03 1.03750669E-32 3.60080285E-29 1.61442887E-11 1.00000000E-40 1.00000000E-40 1.08894578E-27 1.86834370E-30 3.19720766E-13 2.72836741E-10 1.13900283E-16 6.06634757E-17 3.20118296E-13 4.09376777E-08 5.19632838E-15 2.27385370E-22 1.12517205E-24 6.27094748E-09 1.40426526E-31 1.57305021E-19 5.33980137E-28 6.46582918E-29 4.47179770E-35 1.01291659E-40 1.02043637E-27 6.99814034E-28 1.66468011E-14 1.86676950E-35 7.01583925E-40 3.98748015E-33 1.00000000E-40 8.21655467E-40 1.67841095E-11 1.52086762E-26 2.10166048E-28 1.00000000E-40 1.00000000E-40 8.81030797E-30 8.96642989E-31 6.81412346E-27 1.27282155E-38 2.21999517E-23 3.90322698E-19 1.14645167E-18 9.51796925E-31 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 8.99734727E+18 1.76760461E+02 1.00000000E+05 3.79567710E+00 1.58817695E+03 1.25988415E+01 9.55230095E-34 9.11826586E-07 6.09850173E-40 6.09850173E-40 6.09850173E-40 6.09850173E-40 6.22018516E-40 5.27526297E-17 8.16550901E-06 1.29820408E-07 5.93920095E-25 8.84260561E-19 9.94242023E-08 3.82840320E-07 5.02231400E-01 2.63103212E-21 1.04141465E-17 1.00000000E-40 1.00000000E-40 6.90383758E-40 1.86305805E-28 1.94193465E-20 9.90234782E-20 2.61299858E-16 2.40652788E-23 1.33282456E-22 1.89579729E-23 9.56801189E-13 3.85280203E-14 1.50304091E-13 7.12963365E-03 1.13308155E-32 3.55667202E-29 1.59717869E-11 1.00000000E-40 1.00000000E-40 1.07783787E-27 1.84730311E-30 3.14365683E-13 2.74361171E-10 1.08139353E-16 5.47922932E-17 2.93574501E-13 4.10295831E-08 5.10810131E-15 1.84305492E-22 6.70353218E-25 6.29681004E-09 1.39025530E-31 1.55690354E-19 5.26422155E-28 6.33223534E-29 4.42692847E-35 1.01079827E-40 1.01311083E-27 6.88900093E-28 1.49562539E-14 1.85252041E-35 5.51384021E-40 3.92371681E-33 1.00000000E-40 8.13561695E-40 1.97107153E-11 1.25452251E-26 2.23342633E-28 1.00000000E-40 1.00000000E-40 8.70130306E-30 8.85678458E-31 6.74630995E-27 1.52154039E-38 2.32969719E-23 3.38857143E-19 1.13805467E-18 9.34102322E-31 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
