alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.80841213E+19 1.80565671E+02 1.00000000E+05 1.03547845E+00 4.09757931E+02 1.28097607E-01 2.36537780E-34 2.58653851E-07 1.65160153E-40 1.65160153E-40 1.65160153E-40 1.65160153E-40 1.67207289E-40 9.51944459E-16 7.14152058E-06 8.61139315E-08 7.44580635E-24 3.44724261E-19 1.42830412E-09 1.57113452E-07 4.27855802E-01 1.83645331E-18 2.44761539E-18 1.00000000E-40 1.00000000E-40 7.76770606E-39 1.37180073E-27 4.52462223E-20 2.28273147E-18 2.89093492E-17 3.11321551E-24 1.04518453E-23 5.86341173E-27 2.85660823E-13 2.48299268E-14 9.15490007E-15 3.59151267E-03 1.12135924E-31 5.73687912E-27 4.03345954E-11 1.00000000E-40 1.00000000E-40 8.01782615E-30 1.80103714E-31 2.85600847E-13 6.88953137E-11 1.13982171E-17 5.20372274E-17 5.31298996E-13 3.57076029E-08 2.95300813E-15 7.30596586E-22 1.31871073E-23 4.06219219E-09 2.82386668E-30 5.10079777E-19 2.35545303E-28 6.95617994E-30 3.79540337E-36 6.29807599E-39 3.22593518E-27 2.50375090E-27 5.08245187E-14 1.94597059E-34 6.12272571E-39 1.86642556E-34 1.00000000E-40 1.00000000E-40 1.25220266E-12 3.47736734E-24 2.02216826E-28 1.00000000E-40 1.00000000E-40 1.19479693E-29 1.96636716E-30 2.67114243E-26 1.05355409E-39 1.31610843E-23 1.54843273E-16 1.16780960E-20 3.15312649E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.37229428E+19 1.82323744E+02 1.00000000E+05 2.27787042E+00 9.36821124E+02 1.23292508E+01 5.47051972E-34 6.04975651E-07 3.38585933E-40 3.38585933E-40 3.38585933E-40 3.38585933E-40 3.44630076E-40 6.48409258E-17 8.00039143E-06 1.31337804E-07 5.38980473E-25 3.38176631E-19 2.79363618E-08 2.32708090E-07 4.86976757E-01 1.01190097E-20 2.80574491E-18 1.00000000E-40 1.00000000E-40 3.14138285E-39 4.21384616E-28 4.64950209E-20 9.15807723E-20 2.76519966E-17 1.86834656E-24 7.69212764E-24 6.60811292E-27 3.17639438E-13 1.93014199E-14 1.23116834E-14 4.43243540E-03 1.14487838E-31 5.93766369E-27 4.17626958E-11 1.00000000E-40 1.00000000E-40 8.27307840E-30 2.15317585E-31 3.32125572E-13 8.41115399E-11 7.47237523E-17 4.48532198E-17 5.82695897E-13 4.00338663E-08 2.84457162E-15 6.39226238E-22 9.13890025E-24 4.17637616E-09 2.91354457E-30 5.26212565E-19 2.43179382E-28 6.97692273E-30 3.90333151E-36 6.56877588E-39 3.33168746E-27 2.57937334E-27 5.04909534E-14 1.95254610E-34 1.00000000E-40 1.66130323E-34 1.00000000E-40 1.00000000E-40 2.91300743E-12 2.30885374E-25 2.29342309E-28 1.00000000E-40 1.00000000E-40 1.33048586E-29 1.94876756E-30 2.75369641E-26 1.71524939E-39 2.17476610E-23 6.96313786E-19 1.29240853E-20 3.09247464E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 2.02136998E+19 1.81997117E+02 1.00000000E+05 4.37606164E+00 1.79351008E+03 4.57643074E+01 1.03919509E-33 1.13890593E-06 5.95761717E-40 5.95761717E-40 5.95761717E-40 5.95761717E-40 6.08298419E-40 3.17588264E-17 9.01531060E-06 1.53619773E-07 2.48946706E-25 2.97742501E-19 6.00993926E-08 3.23811494E-07 5.55326141E-01 3.15354955E-21 3.15845531E-18 1.00000000E-40 1.00000000E-40 1.66916822E-39 2.20786084E-28 4.77842582E-20 3.32336808E-20 2.63745872E-17 1.36952714E-24 5.77756550E-24 8.10835273E-27 3.64508760E-13 1.67929853E-14 1.66518749E-14 5.38669704E-03 1.15779448E-31 6.19380504E-27 4.34541713E-11 1.00000000E-40 1.00000000E-40 8.57503389E-30 2.93261084E-31 3.35744251E-13 9.70555621E-11 1.19535744E-16 3.71657185E-17 5.16423322E-13 4.51360521E-08 2.65387647E-15 4.81041889E-22 6.22147929E-24 4.29662376E-09 3.01955629E-30 5.45258348E-19 2.53005775E-28 6.98068349E-30 4.01928081E-36 6.84573995E-39 3.45768825E-27 2.66744306E-27 4.25503920E-14 1.95736000E-34 1.00000000E-40 1.52225953E-34 1.00000000E-40 1.00000000E-40 4.87959348E-12 2.02499346E-26 2.55692568E-28 1.00000000E-40 1.00000000E-40 1.43317484E-29 1.92359886E-30 2.84915199E-26 2.81237075E-39 3.02838616E-23 1.79983378E-19 1.53331125E-20 3.03719986E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.75814292E+19 1.81527950E+02 1.00000000E+05 6.05366512E+00 2.48297754E+03 5.48225798E+01 1.44341805E-33 1.52892114E-06 8.24355949E-40 8.24355949E-40 8.24355949E-40 8.24355949E-40 8.42854771E-40 1.96281467E-17 9.96262722E-06 1.69375663E-07 1.45752522E-25 2.57668308E-19 9.67423417E-08 4.23076529E-07 6.17417710E-01 1.54714388E-21 3.41533761E-18 1.00000000E-40 1.00000000E-40 9.51814138E-40 1.33001839E-28 4.79608865E-20 1.61027482E-20 2.45420429E-17 9.80217735E-25 4.21356363E-24 1.03592718E-26 4.16980917E-13 1.47351074E-14 2.08287924E-14 6.33045696E-03 1.13638896E-31 6.36007786E-27 4.43838714E-11 1.00000000E-40 1.00000000E-40 8.71969512E-30 4.26140440E-31 3.27866490E-13 1.05314025E-10 1.41892177E-16 3.11169564E-17 4.35245613E-13 4.98939193E-08 2.40130017E-15 3.36023343E-22 4.11361661E-24 4.31793715E-09 3.07015601E-30 5.54345031E-19 2.59144162E-28 6.81121360E-30 4.04897510E-36 6.95525854E-39 3.52234163E-27 2.70489979E-27 3.45768700E-14 1.91470858E-34 1.00000000E-40 1.40671295E-34 1.00000000E-40 1.00000000E-40 7.03192222E-12 6.80001896E-27 2.76904183E-28 1.00000000E-40 1.00000000E-40 1.47671881E-29 1.84971553E-30 2.88997323E-26 4.46612287E-39 3.75785915E-23 7.72857433E-20 1.87857765E-20 2.92550251E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.55536542E+19 1.81450830E+02 1.00000000E+05 7.25243687E+00 3.00777850E+03 4.85564023E+01 1.76090172E-33 1.83230604E-06 1.03310297E-39 1.03310297E-39 1.03310297E-39 1.03310297E-39 1.05691700E-39 1.38253302E-17 1.07928939E-05 1.91033036E-07 9.90949498E-26 2.23838494E-19 1.36543562E-07 5.26598038E-07 6.69378304E-01 9.53486202E-22 3.55631685E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.74853382E-29 4.70318069E-20 8.60273287E-21 2.22958802E-17 6.78252572E-25 2.96334559E-24 1.34811525E-26 4.71436720E-13 1.27205626E-14 2.39415117E-14 7.28549510E-03 1.08566665E-31 6.43118594E-27 4.45345106E-11 1.00000000E-40 1.00000000E-40 8.70280144E-30 6.36933501E-31 3.19804187E-13 1.08786737E-10 1.47632935E-16 2.60523005E-17 3.68367923E-13 5.40592041E-08 2.12990655E-15 2.31109371E-22 2.65256694E-24 4.23917257E-09 3.06400253E-30 5.53373201E-19 2.61450649E-28 6.49246232E-30 3.99631134E-36 6.88941650E-39 3.52471069E-27 2.69148614E-27 2.82812106E-14 1.82815704E-34 1.00000000E-40 1.30853042E-34 1.00000000E-40 1.00000000E-40 9.27334007E-12 3.80730876E-27 2.92950726E-28 1.00000000E-40 1.00000000E-40 1.46573444E-29 1.73435233E-30 2.87580051E-26 6.88090539E-39 4.33101499E-23 4.27635537E-20 2.33933837E-20 2.76649743E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.38133596E+19 1.81826179E+02 1.00000000E+05 8.47589356E+00 3.54104825E+03 4.88193087E+01 2.07942928E-33 2.14177981E-06 1.23228841E-39 1.23228841E-39 1.23228841E-39 1.23228841E-39 1.26151111E-39 1.07323310E-17 1.16042333E-05 2.25209320E-07 7.41047325E-26 1.94100277E-19 1.80190421E-07 6.37969099E-07 7.17510672E-01 6.85569657E-22 3.61806051E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.16944232E-29 4.56402929E-20 4.82939156E-21 2.00292253E-17 4.58980789E-25 2.03444267E-24 1.77822229E-26 5.30590483E-13 1.08710429E-14 2.59576601E-14 8.48861227E-03 1.02362898E-31 6.48422863E-27 4.44760564E-11 1.00000000E-40 1.00000000E-40 8.63407116E-30 9.67857445E-31 3.16757201E-13 1.09065383E-10 1.41871417E-16 2.20863096E-17 3.19226513E-13 5.81231208E-08 1.87842710E-15 1.62037487E-22 1.69149250E-24 4.11690403E-09 3.03991371E-30 5.49537790E-19 2.63118482E-28 6.13730242E-30 3.92026039E-36 6.73711838E-39 3.51027552E-27 2.66245310E-27 2.36899498E-14 1.72525269E-34 1.00000000E-40 1.23580685E-34 1.00000000E-40 1.00000000E-40 1.16473508E-11 2.44013185E-27 3.07538346E-28 1.00000000E-40 1.00000000E-40 1.42397733E-29 1.60634030E-30 2.84435292E-26 1.04439743E-38 4.79630509E-23 2.79699671E-20 2.95599440E-20 2.60267489E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.22712286E+19 1.82231302E+02 1.00000000E+05 9.81262318E+00 4.12338784E+03 4.83162322E+01 2.42494978E-33 2.47683909E-06 1.44204725E-39 1.44204725E-39 1.44204725E-39 1.44204725E-39 1.47730530E-39 8.62414630E-18 1.24497218E-05 2.70882829E-07 5.68048624E-26 1.66192549E-19 2.28836481E-07 7.60805528E-07 7.65750799E-01 5.22079795E-22 3.62224639E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.46488031E-29 4.40884127E-20 2.79758876E-21 1.78974156E-17 3.07336440E-25 1.37992979E-24 2.36241478E-26 5.96154277E-13 9.26775231E-15 2.74845622E-14 9.96914276E-03 9.58459232E-32 6.55317358E-27 4.44793199E-11 1.00000000E-40 1.00000000E-40 8.56271982E-30 1.48219181E-30 3.12854197E-13 1.07108921E-10 1.29028522E-16 1.79426749E-17 2.75303086E-13 6.23512079E-08 1.64382193E-15 1.14309564E-22 1.07331220E-24 3.97743803E-09 3.01541260E-30 5.46229944E-19 2.65564494E-28 5.81002444E-30 3.85306969E-36 6.54120976E-39 3.50053710E-27 2.63427903E-27 1.97494667E-14 1.61836179E-34 1.00000000E-40 1.18611049E-34 1.00000000E-40 1.00000000E-40 1.42185331E-11 1.64862076E-27 3.22911878E-28 1.00000000E-40 1.00000000E-40 1.36416894E-29 1.47850133E-30 2.81337873E-26 1.57265840E-38 5.19453799E-23 1.96219520E-20 3.77054801E-20 2.45271207E-30 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.09095315E+19 1.82686050E+02 1.00000000E+05 1.12845568E+01 4.76947373E+03 4.86794782E+01 2.80675507E-33 2.84691793E-06 1.67130555E-39 1.67130555E-39 1.67130555E-39 1.67130555E-39 1.71320216E-39 7.08755440E-18 1.33119182E-05 3.28691789E-07 4.43108897E-26 1.40857543E-19 2.82883264E-07 8.95574836E-07 8.13789680E-01 4.12736328E-22 3.56945560E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.28381390E-29 4.23665567E-20 1.64419664E-21 1.58985165E-17 2.03454624E-25 9.24126778E-25 3.13472117E-26 6.67442815E-13 7.85475031E-15 2.91495680E-14 1.17507639E-02 8.90767618E-32 6.62769113E-27 4.45151034E-11 1.00000000E-40 1.00000000E-40 8.47891460E-30 2.26710270E-30 3.07765853E-13 1.03163388E-10 1.12655940E-16 1.43228855E-17 2.35701622E-13 6.66554899E-08 1.42688619E-15 8.07802206E-23 6.77535214E-25 3.81904443E-09 2.98722317E-30 5.43115651E-19 2.68402814E-28 5.53986768E-30 3.80230484E-36 6.29982441E-39 3.49326714E-27 2.60530866E-27 1.63806779E-14 1.50751396E-34 1.00000000E-40 1.15110989E-34 1.00000000E-40 1.00000000E-40 1.70061507E-11 1.15059207E-27 3.39606362E-28 1.00000000E-40 1.00000000E-40 1.28905445E-29 1.35166099E-30 2.78130681E-26 2.34820169E-38 5.53739508E-23 1.44252539E-20 4.81463165E-20 2.31609488E-30 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 9.71251684E+18 1.83151196E+02 1.00000000E+05 1.29051361E+01 5.48772678E+03 4.97875589E+01 3.22778375E-33 3.25697298E-06 1.92033939E-39 1.92033939E-39 1.92033939E-39 1.92033939E-39 1.96818092E-39 5.88013441E-18 1.41731111E-05 3.99274184E-07 3.47994221E-26 1.18107808E-19 3.42701151E-07 1.04266090E-06 8.61343968E-01 3.32256056E-22 3.46288916E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.42954938E-29 4.04814509E-20 9.70668633E-22 1.40370849E-17 1.33225537E-25 6.11474136E-25 4.13404809E-26 7.44204166E-13 6.60740081E-15 3.46385091E-14 1.38469793E-02 8.21321241E-32 6.69721664E-27 4.45589814E-11 1.00000000E-40 1.00000000E-40 8.37396524E-30 3.44626225E-30 2.99735343E-13 9.74987058E-11 9.52317938E-17 1.12597316E-17 1.99464341E-13 7.09462237E-08 1.22680607E-15 5.69361882E-23 4.25399179E-25 3.64150575E-09 2.95242739E-30 5.39938091E-19 2.71237819E-28 5.37098743E-30 3.77858809E-36 6.01407410E-39 3.48668315E-27 2.57429912E-27 1.34568541E-14 1.39336880E-34 1.00000000E-40 1.12482942E-34 1.00000000E-40 1.00000000E-40 2.00367830E-11 8.17485723E-28 3.58378748E-28 1.00000000E-40 1.00000000E-40 1.20168197E-29 1.22709811E-30 2.74705608E-26 3.47480428E-38 5.83395206E-23 1.08843625E-20 6.12167988E-20 2.19291125E-30 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 8.66041506E+18 1.83637301E+02 1.00000000E+05 1.47014206E+01 6.29159865E+03 5.14375963E+01 3.69121016E-33 3.70999951E-06 2.18561836E-39 2.18561836E-39 2.18561836E-39 2.18561836E-39 2.23738779E-39 4.90054359E-18 1.50168983E-05 4.83232193E-07 2.73546435E-26 9.81431887E-20 4.08661251E-07 1.20246483E-06 9.08191079E-01 2.70340283E-22 3.30832950E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.80081178E-29 3.84565708E-20 5.74731343E-22 1.23226620E-17 8.63531528E-26 4.00096733E-25 5.40362055E-26 8.26704499E-13 5.52387204E-15 6.49579845E-14 1.62684826E-02 7.51069326E-32 6.75168876E-27 4.45930409E-11 1.00000000E-40 1.00000000E-40 8.24106126E-30 5.19206006E-30 2.83785508E-13 9.04196724E-11 7.84464229E-17 8.81400829E-18 1.66727512E-13 7.51397153E-08 1.04433765E-15 3.99426251E-23 2.65632486E-25 3.44615399E-09 2.90868575E-30 5.36536479E-19 2.73693097E-28 5.36771008E-30 3.79561374E-36 5.68808770E-39 3.47958136E-27 2.54050756E-27 1.09453667E-14 1.27714969E-34 1.00000000E-40 1.10289404E-34 1.00000000E-40 1.00000000E-40 2.33360196E-11 5.87074433E-28 3.80216993E-28 1.00000000E-40 1.00000000E-40 1.10542178E-29 1.10643961E-30 2.71011797E-26 5.09336988E-38 6.09132985E-23 8.31903519E-21 7.72573225E-20 2.08367875E-30 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
