alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.00000000E-01 5.29999912E-01 1.84289635E+19 2.08301105E+02 1.00000000E+05 7.03631591E-01 2.72451920E+02 3.96422819E-10 1.48684933E-34 6.64287879E-08 1.15696864E-40 1.15696864E-40 1.15696864E-40 1.15696864E-40 1.15809997E-40 8.63161409E-16 9.43396449E-06 1.04642465E-05 6.05206741E-25 7.31901266E-21 1.88679290E-09 2.07547219E-07 9.43396449E-01 4.54770258E-18 1.38525254E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.96501628E-30 1.56103039E-26 7.96425422E-20 2.77029625E-17 4.15552406E-24 1.94149766E-23 1.95444479E-21 3.77358579E-13 4.84834638E-15 1.67285234E-15 7.20105727E-02 2.09497049E-33 3.96478049E-32 1.08039172E-12 1.00000000E-40 1.00000000E-40 2.09168230E-33 3.03030351E-32 4.70790562E-13 4.24823221E-11 7.83146018E-19 7.99302985E-19 8.86616710E-14 4.71698225E-10 5.74814258E-16 9.00023077E-22 2.86010582E-24 1.68151245E-09 4.19540701E-36 1.32107936E-25 8.74634665E-30 2.28699389E-33 1.55287108E-39 1.14590149E-40 1.05134508E-31 5.56789775E-33 1.10647195E-13 7.94447863E-36 1.00000000E-40 1.12138501E-34 1.00000000E-40 1.00000000E-40 1.43853766E-12 1.60693203E-26 2.97971488E-28 1.00000000E-40 1.00000000E-40 1.34364838E-32 2.00183779E-35 1.06597176E-31 1.03434798E-39 1.24706367E-27 1.35999959E-16 6.55128458E-23 1.24195012E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.50000000E+00 4.82137084E-01 1.68964390E+19 2.06676953E+02 1.00000000E+05 8.32366345E-01 3.03944558E+02 7.18496735E-10 2.59123595E-34 7.30770763E-08 1.27684976E-40 1.27684976E-40 1.27684976E-40 1.27684976E-40 1.27811516E-40 1.55819125E-16 9.41921567E-06 8.61114775E-06 1.29412585E-25 8.32217245E-21 1.04681717E-08 2.25074841E-07 9.29550961E-01 1.51057191E-19 1.32791388E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.23942730E-32 1.55044917E-26 1.40380183E-20 2.76318250E-17 3.51884663E-24 1.68748525E-23 1.94603022E-21 5.39939936E-13 4.69835867E-15 2.97613263E-15 6.60309401E-02 2.08790373E-33 3.95073725E-32 1.07932722E-12 1.00000000E-40 1.00000000E-40 2.08734467E-33 3.02048761E-32 4.55751001E-13 4.84584111E-11 1.80124056E-18 8.98846873E-19 7.02190392E-14 1.50478275E-09 5.62642380E-16 7.53025373E-22 2.35759470E-24 1.68195156E-09 4.18069073E-36 1.29086405E-25 8.71451925E-30 2.11231424E-33 1.54818518E-39 1.15567801E-40 1.04886971E-31 5.49648819E-33 8.85196996E-14 8.08728775E-36 1.00000000E-40 1.10623444E-34 1.00000000E-40 1.00000000E-40 2.97273883E-12 2.50065457E-27 2.74295721E-28 1.00000000E-40 1.00000000E-40 6.52583707E-33 1.93872965E-35 1.06647166E-31 1.22669772E-39 1.14334035E-27 4.89978055E-18 6.41113461E-23 1.03552485E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.50000000E+00 4.38140064E-01 1.55725153E+19 2.03784391E+02 1.00000000E+05 1.01501228E+00 3.45039625E+02 1.53544617E-09 5.20913508E-34 8.16010124E-08 1.42978455E-40 1.42978455E-40 1.42978455E-40 1.42978455E-40 1.43122813E-40 7.33179060E-17 9.40795078E-06 6.69827113E-06 6.79855285E-26 9.03208584E-21 1.97912388E-08 2.44214187E-07 9.15072558E-01 3.68549972E-20 1.27155707E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04935479E-33 1.53948179E-26 8.58143677E-21 2.75866808E-17 3.04325785E-24 1.48818813E-23 1.93544242E-21 7.10759614E-13 5.15853830E-15 5.52112125E-15 5.99840008E-02 2.08035516E-33 3.93555380E-32 1.07773148E-12 1.00000000E-40 1.00000000E-40 2.08561793E-33 3.00972798E-32 4.02993062E-13 5.25287388E-11 3.02494600E-18 8.62312548E-19 4.82990388E-14 2.61062444E-09 5.44104073E-16 5.64551339E-22 1.89623470E-24 1.68769841E-09 4.16562313E-36 1.26156269E-25 8.67890475E-30 1.95280015E-33 1.54391344E-39 1.16679921E-40 1.04672743E-31 5.41030779E-33 6.55542273E-14 8.25512891E-36 1.00000000E-40 1.08947516E-34 1.00000000E-40 1.00000000E-40 4.68997666E-12 3.32170073E-28 2.51571955E-28 1.00000000E-40 1.00000000E-40 3.93961528E-33 1.87055353E-35 1.07127970E-31 1.46039082E-39 1.05785218E-27 1.26507389E-18 6.26080906E-23 8.83575852E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.50000000E+00 3.97723824E-01 1.42573950E+19 2.02049662E+02 1.00000000E+05 1.22523607E+00 3.86757889E+02 3.48800546E-09 1.10316329E-33 9.02682369E-08 1.58155686E-40 1.58155686E-40 1.58155686E-40 1.58155686E-40 1.58318878E-40 4.73508080E-17 9.39968381E-06 5.61173013E-06 4.98708568E-26 9.99953084E-21 2.99434114E-08 2.65136825E-07 8.99884231E-01 1.59595622E-20 1.21702872E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.55738621E-33 1.52807029E-26 6.34076386E-21 2.75673806E-17 2.60015385E-24 1.29543873E-23 1.92235054E-21 8.92560612E-13 5.51528027E-15 9.84547417E-15 5.64349400E-02 2.07220489E-33 3.91876674E-32 1.07548802E-12 1.00000000E-40 1.00000000E-40 2.08652045E-33 2.99756239E-32 3.71013295E-13 5.51160344E-11 4.24770065E-18 9.19362737E-19 3.78512808E-14 3.78742658E-09 5.35780999E-16 4.18842107E-22 1.51319629E-24 1.69787016E-09 4.15057334E-36 1.23360386E-25 8.63839323E-30 1.80696254E-33 1.53994896E-39 1.17781768E-40 1.04477441E-31 5.31671889E-33 5.20786744E-14 8.42853524E-36 1.00000000E-40 1.07211025E-34 1.00000000E-40 1.00000000E-40 6.63344479E-12 6.96815183E-29 2.32330568E-28 1.00000000E-40 1.00000000E-40 2.71672018E-33 1.80274645E-35 1.08072437E-31 1.71669251E-39 9.84766939E-28 5.84804894E-19 6.11030466E-23 7.74930490E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.50000000E+00 3.60734284E-01 1.30434083E+19 2.00314821E+02 1.00000000E+05 1.45336058E+00 4.28029032E+02 8.12885547E-09 2.39248909E-33 9.87422304E-08 1.72594771E-40 1.72594771E-40 1.72594771E-40 1.72594771E-40 1.72777150E-40 3.38206502E-17 9.39422429E-06 4.74110494E-06 4.06873129E-26 1.11147221E-20 4.10520771E-08 2.88103140E-07 8.83899157E-01 8.42627532E-21 1.16393204E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.37013942E-33 1.51606395E-26 5.00619166E-21 2.75750445E-17 2.22094806E-24 1.12703849E-23 1.90645732E-21 1.08684527E-12 5.78426166E-15 2.23065521E-14 5.32299955E-02 2.06328010E-33 3.89999619E-32 1.07250651E-12 1.00000000E-40 1.00000000E-40 2.09015542E-33 2.98366254E-32 3.39108099E-13 5.64722190E-11 5.43697178E-18 9.64137074E-19 2.98724352E-14 5.03557908E-09 5.28848547E-16 3.08953475E-22 1.20192519E-24 1.71214529E-09 4.13564051E-36 1.20674125E-25 8.59207769E-30 1.67306144E-33 1.53622493E-39 1.18829633E-40 1.04294576E-31 5.21805907E-33 4.15098022E-14 8.60074064E-36 1.00000000E-40 1.05414228E-34 1.00000000E-40 1.00000000E-40 8.85351789E-12 2.51780956E-29 2.15913798E-28 1.00000000E-40 1.00000000E-40 2.09464669E-33 1.73619596E-35 1.09525969E-31 1.98917041E-39 9.19896862E-28 3.32594045E-19 5.96186577E-23 6.97351775E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.50000000E+00 3.26907337E-01 1.19235714E+19 1.98579767E+02 1.00000000E+05 1.70421034E+00 4.71681331E+02 1.92545453E-08 5.28930802E-33 1.07752840E-07 1.87554053E-40 1.87554053E-40 1.87554053E-40 1.87554053E-40 1.87757290E-40 2.55897236E-17 9.39165718E-06 3.99704164E-06 3.48669206E-26 1.24402231E-20 5.32323814E-08 3.13353795E-07 8.67096224E-01 4.97712698E-21 1.11197837E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.32483041E-34 1.50337544E-26 4.17580372E-21 2.76124302E-17 1.89554299E-24 9.79713474E-24 1.88754268E-21 1.29436218E-12 6.04913059E-15 8.08952942E-14 5.01097702E-02 2.05341756E-33 3.87899221E-32 1.06872735E-12 1.00000000E-40 1.00000000E-40 2.09669760E-33 2.96780846E-32 2.94527194E-13 5.67995466E-11 6.60265801E-18 1.01332877E-18 2.36688788E-14 6.35158247E-09 5.22878744E-16 2.27126463E-22 9.52063879E-25 1.73034047E-09 4.12098845E-36 1.18081550E-25 8.53935713E-30 1.54995749E-33 1.53272459E-39 1.19798803E-40 1.04121783E-31 5.11573937E-33 3.31236916E-14 8.76705540E-36 1.00000000E-40 1.03553104E-34 1.00000000E-40 1.00000000E-40 1.13720898E-11 1.16321627E-29 2.01829592E-28 1.00000000E-40 1.00000000E-40 1.76504400E-33 1.67126969E-35 1.11543798E-31 2.27288672E-39 8.61132882E-28 2.09574103E-19 5.81660613E-23 6.41869591E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.50000000E+00 2.95995981E-01 1.08916114E+19 1.96838650E+02 1.00000000E+05 1.98463590E+00 5.20563464E+02 4.61221030E-08 1.19002799E-32 1.18005247E-07 2.04243384E-40 2.04243384E-40 2.04243384E-40 2.04243384E-40 2.04470561E-40 2.00895024E-17 9.39215083E-06 3.35595592E-06 2.93807526E-26 1.40365252E-20 6.66163955E-08 3.41166314E-07 8.49462550E-01 3.15664343E-21 1.06084910E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.48694874E-34 1.48993318E-26 4.04959161E-21 2.76834508E-17 1.61642257E-24 8.50859443E-24 1.86540083E-21 1.51566139E-12 6.49913659E-15 3.73508251E-13 4.70288906E-02 2.04245448E-33 3.85551841E-32 1.06410056E-12 1.00000000E-40 1.00000000E-40 2.10635354E-33 2.94979678E-32 2.05674963E-13 5.63426576E-11 7.76143270E-18 1.07082615E-18 1.88242485E-14 7.73125833E-09 5.17482520E-16 1.66539123E-22 7.53156720E-25 1.75238925E-09 4.10675234E-36 1.15568121E-25 8.47968338E-30 1.43660090E-33 1.52944270E-39 1.20673305E-40 1.03957814E-31 5.01052596E-33 2.64542150E-14 8.92388107E-36 1.00000000E-40 1.01619656E-34 1.00000000E-40 1.00000000E-40 1.40701729E-11 5.91638368E-30 1.89667738E-28 1.00000000E-40 1.00000000E-40 1.58798336E-33 1.60804016E-35 1.14191965E-31 2.56364118E-39 8.07203470E-28 1.34078316E-19 5.67501846E-23 6.02161747E-35 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E+00 2.67770410E-01 9.94159480E+18 1.95084712E+02 1.00000000E+05 2.28818381E+00 5.73899935E+02 1.10659268E-07 2.70819155E-32 1.29383398E-07 2.22379542E-40 2.22379542E-40 2.22379542E-40 2.22379542E-40 2.22633596E-40 1.61685718E-17 9.39590331E-06 2.80379154E-06 2.38776294E-26 1.59875827E-20 8.13559550E-08 3.71860146E-07 8.30988010E-01 2.10000784E-21 1.01020443E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.82867067E-34 1.47567582E-26 7.33828638E-21 2.77930993E-17 1.37784509E-24 7.38307591E-24 1.83982972E-21 1.75135261E-12 7.24785006E-15 1.49433197E-12 4.39810315E-02 2.03029868E-33 3.82932057E-32 1.05858042E-12 1.00000000E-40 1.00000000E-40 2.11935057E-33 2.92941994E-32 8.61170385E-14 5.54908369E-11 8.93212281E-18 1.13947434E-18 1.50352886E-14 9.16980334E-09 5.12272193E-16 1.21789145E-22 5.96041359E-25 1.77832248E-09 4.09303102E-36 1.13120503E-25 8.41251079E-30 1.33201953E-33 1.52637679E-39 1.21441187E-40 1.03801719E-31 4.90279868E-33 2.11437553E-14 9.06818541E-36 1.00000000E-40 9.96037196E-35 1.00000000E-40 1.00000000E-40 1.64329126E-11 3.16516518E-30 1.79084730E-28 1.00000000E-40 1.00000000E-40 1.49358028E-33 1.54643448E-35 1.17548403E-31 2.85748085E-39 7.57257363E-28 8.44272247E-20 5.53729668E-23 5.73797646E-35 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.50000000E+00 2.42017016E-01 9.06699671E+18 1.93329960E+02 1.00000000E+05 2.61251568E+00 6.32196583E+02 2.64348356E-07 6.25241411E-32 1.42098062E-07 2.42239905E-40 2.42239905E-40 2.42239905E-40 2.42239905E-40 2.42524240E-40 1.32449898E-17 9.40313896E-06 2.33138707E-06 2.06927937E-26 1.84314522E-20 9.76268610E-08 4.05804865E-07 8.11664197E-01 1.44508670E-21 9.59691057E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.78672127E-34 1.46055307E-26 2.38636417E-20 2.79473435E-17 1.17533981E-24 6.40114642E-24 1.81063010E-21 2.00245940E-12 8.05458304E-15 3.99550129E-12 4.09889329E-02 2.01695612E-33 3.80012096E-32 1.05212254E-12 1.00000000E-40 1.00000000E-40 2.13593753E-33 2.90646274E-32 3.07097258E-14 5.45399907E-11 1.01605386E-17 1.22455199E-18 1.20932287E-14 1.06618944E-08 5.06928625E-16 8.87968848E-23 4.72992447E-25 1.80826197E-09 4.07989749E-36 1.10726653E-25 8.33729154E-30 1.23531492E-33 1.52352666E-39 1.22092711E-40 1.03652705E-31 4.79270108E-33 1.69203559E-14 9.19728710E-36 1.00000000E-40 9.74939179E-35 1.00000000E-40 1.00000000E-40 1.80006109E-11 1.74845139E-30 1.69791199E-28 1.00000000E-40 1.00000000E-40 1.44404109E-33 1.48630254E-35 1.21704983E-31 3.15050258E-39 7.10680205E-28 5.74548630E-20 5.40348059E-23 5.53636322E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
9.50000000E+00 2.18538865E-01 8.26246829E+18 1.91573580E+02 1.00000000E+05 2.95300936E+00 6.95294461E+02 6.30713421E-07 1.59335069E-31 1.56242528E-07 2.63826412E-40 2.63826412E-40 2.63826412E-40 2.63826412E-40 2.64144734E-40 1.09838431E-17 9.41409743E-06 1.92836893E-06 1.85528664E-26 2.15985703E-20 1.15633682E-07 4.43429121E-07 7.91482897E-01 1.01825685E-21 9.08946494E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.09338281E-34 1.44452472E-26 6.51658339E-20 2.81524314E-17 1.00459166E-24 5.54599920E-24 1.77760342E-21 2.26973810E-12 8.98133406E-15 7.86599158E-12 3.80531198E-02 2.00241638E-33 3.76762401E-32 1.04467250E-12 1.00000000E-40 1.00000000E-40 2.15638356E-33 2.88069768E-32 1.36485102E-14 5.35356250E-11 1.15440801E-17 1.33418528E-18 9.82712137E-15 1.22017729E-08 5.01072255E-16 6.44919453E-23 3.77548697E-25 1.84241631E-09 4.06740295E-36 1.08375747E-25 8.25346513E-30 1.14565735E-33 1.52089258E-39 1.22619332E-40 1.03509958E-31 4.68022087E-33 1.35548826E-14 9.30873912E-36 1.00000000E-40 9.52780036E-35 1.00000000E-40 1.00000000E-40 1.88937704E-11 9.85884757E-31 1.61541316E-28 1.00000000E-40 1.00000000E-40 1.41778940E-33 1.42744908E-35 1.26769820E-31 3.43876167E-39 6.67003232E-28 4.07927515E-20 5.27351883E-23 5.39422240E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
