alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.00000000E-01 5.03485312E-01 1.90647818E+19 1.91280934E+02 1.00000000E+05 7.02379010E-01 2.71999018E+02 6.61797590E-10 1.46283194E-34 6.57933399E-08 1.15593450E-40 1.15593450E-40 1.15593450E-40 1.15593450E-40 1.15706464E-40 2.23945686E-16 9.93084038E-06 7.93589684E-07 1.83380648E-25 2.48908775E-20 1.98616808E-09 2.18478488E-07 9.93084038E-01 5.66918060E-19 3.86035779E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.45979707E-32 1.65823866E-26 1.72361782E-16 1.05812200E-16 2.90472594E-22 3.19189459E-22 1.76087285E-21 3.97233615E-13 8.13779941E-15 6.57787326E-11 1.60414121E-02 2.54626990E-33 3.82190457E-32 2.12197200E-12 1.00000000E-40 1.00000000E-40 2.48885304E-33 2.99932432E-32 1.57420933E-15 2.19523404E-11 3.12891933E-18 4.41137206E-18 2.93246347E-14 4.96542018E-10 4.72285904E-16 1.79532094E-22 4.21482443E-20 1.75812957E-09 4.05217690E-36 1.11450334E-25 8.85756553E-30 3.15199960E-31 1.50828065E-39 1.32742434E-40 1.04096369E-31 4.72542629E-33 2.41228543E-14 1.13225667E-35 1.00000000E-40 9.17813364E-35 1.00000000E-40 1.00000000E-40 4.14346250E-12 5.91972881E-28 7.35902190E-29 1.00000000E-40 1.00000000E-40 2.44167167E-33 1.14207723E-35 7.86293877E-32 3.02929524E-39 2.38975136E-28 1.08175276E-17 5.27843415E-23 9.29139964E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.50000000E+00 4.53590115E-01 1.74625467E+19 1.88136352E+02 1.00000000E+05 8.30331247E-01 3.03275437E+02 2.22090575E-07 2.88838044E-34 7.24751075E-08 1.27524869E-40 1.27524869E-40 1.27524869E-40 1.27524869E-40 1.27651218E-40 3.62223830E-17 9.83888982E-06 5.28652696E-07 5.90016539E-26 4.40460836E-20 1.10929132E-08 2.35637433E-07 9.10723726E-01 1.78157586E-20 4.31853669E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.52370791E-33 1.65288344E-26 5.00791112E-17 9.80038523E-17 9.06190082E-23 2.35552537E-22 1.73071196E-21 6.05172046E-13 7.09294319E-15 7.73379097E-11 1.29372191E-02 2.55072512E-33 3.79633629E-32 1.89378838E-12 1.00000000E-40 1.00000000E-40 2.60282427E-33 2.98075185E-32 1.04251915E-15 2.58547896E-11 1.08520713E-17 6.81230973E-18 2.86713178E-14 4.27436301E-09 4.52636335E-16 1.47843671E-22 4.59115313E-20 1.76796640E-09 4.05228675E-36 1.11032240E-25 8.80786794E-30 3.24435231E-31 1.50665749E-39 1.32411667E-40 1.04044028E-31 4.70224888E-33 1.65785264E-14 1.13614813E-35 1.00000000E-40 9.06529652E-35 1.00000000E-40 1.00000000E-40 6.57431088E-12 1.17287384E-28 8.39636525E-29 1.00000000E-40 1.00000000E-40 2.32208578E-33 1.12573867E-35 7.89455308E-32 3.16105589E-39 2.36658305E-28 5.22649781E-19 4.93929890E-23 9.08252254E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.50000000E+00 4.07926052E-01 1.59675132E+19 1.85037978E+02 1.00000000E+05 1.01272956E+00 3.44217580E+02 1.04677771E-04 2.69950046E-32 8.11347331E-08 1.42848856E-40 1.42848856E-40 1.42848856E-40 1.42848856E-40 1.42993039E-40 1.74047709E-17 9.74202862E-06 3.41611111E-07 1.02286417E-25 8.82488962E-20 2.10015453E-08 2.54395429E-07 8.21762824E-01 4.31657836E-21 4.57236679E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.98447282E-34 1.64204799E-26 4.08266876E-17 1.00150753E-16 6.79472645E-23 2.08777426E-22 1.66860449E-21 8.31211968E-13 7.84029928E-15 1.01037679E-10 1.02803409E-02 2.53149553E-33 3.74542087E-32 1.73334800E-12 1.00000000E-40 1.00000000E-40 2.85194830E-33 2.94146489E-32 6.19096414E-16 2.93111608E-11 3.08880491E-17 1.21543410E-17 3.04678522E-14 8.27237817E-09 4.34929042E-16 1.16682921E-22 5.45736835E-20 1.78861926E-09 4.05280808E-36 1.10210466E-25 8.70313220E-30 3.42139383E-31 1.50333308E-39 1.31423943E-40 1.03915102E-31 4.66241350E-33 1.10558915E-14 1.13014355E-35 1.00000000E-40 8.80622325E-35 1.00000000E-40 1.00000000E-40 8.00107143E-12 1.82948410E-29 9.32901509E-29 1.00000000E-40 1.00000000E-40 2.19308883E-33 1.09314425E-35 7.96106100E-32 3.29166714E-39 2.30350728E-28 3.90904009E-19 4.69017714E-23 9.00142654E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.50000000E+00 3.66170208E-01 1.45869523E+19 1.81817283E+02 1.00000000E+05 1.22310825E+00 3.86329033E+02 2.10869117E-02 1.33764278E-29 8.99216203E-08 1.58079454E-40 1.58079454E-40 1.58079454E-40 1.58079454E-40 1.58242512E-40 1.04630420E-17 9.64218062E-06 2.12384282E-07 5.41764369E-25 2.15951746E-19 3.17521667E-08 2.74904386E-07 7.26450246E-01 1.60421734E-21 4.59108770E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.60111986E-34 1.62553266E-26 4.45478465E-17 1.12517344E-16 6.70185079E-23 2.20144622E-22 1.57336705E-21 1.08257124E-12 9.32516497E-15 1.38710349E-10 7.95843722E-03 2.48678202E-33 3.66557160E-32 1.63362573E-12 1.00000000E-40 1.00000000E-40 3.27036048E-33 2.87859049E-32 3.46682816E-16 3.21823869E-11 8.57883678E-17 2.60227522E-17 3.74154858E-14 1.23856858E-08 4.16182045E-16 9.18896998E-23 7.04563000E-20 1.82179961E-09 4.05352364E-36 1.08969173E-25 8.53553565E-30 3.65843597E-31 1.49807433E-39 1.29686294E-40 1.03668244E-31 4.60570945E-33 6.89915208E-15 1.11241288E-35 1.00000000E-40 8.38281702E-35 1.00000000E-40 1.00000000E-40 8.82214585E-12 3.20675797E-30 9.98152501E-29 1.00000000E-40 1.00000000E-40 2.04458628E-33 1.04283341E-35 8.06520265E-32 3.39644098E-39 2.19890030E-28 1.09439441E-18 4.49868671E-23 9.02005040E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.50000000E+00 3.28003535E-01 1.33189613E+19 1.78371262E+02 1.00000000E+05 1.45201199E+00 4.28050420E+02 2.35672756E-01 4.27570262E-27 9.85702195E-08 1.72628332E-40 1.72628332E-40 1.72628332E-40 1.72628332E-40 1.72810681E-40 6.86944539E-18 9.54072219E-06 1.24533671E-07 2.75574515E-24 6.20673960E-19 4.33771589E-08 2.97293827E-07 6.25094486E-01 7.05124194E-22 4.36876904E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.61533373E-34 1.60321606E-26 5.40853825E-17 1.34523982E-16 7.39293238E-23 2.57366514E-22 1.44473881E-21 1.36572163E-12 1.11968296E-14 1.93178551E-10 5.91760811E-03 2.41638572E-33 3.55223981E-32 1.56930112E-12 1.00000000E-40 1.00000000E-40 3.90631886E-33 2.78864902E-32 1.93512579E-16 3.43366431E-11 2.46505248E-16 6.37565021E-17 4.98456303E-14 1.65023801E-08 3.92998297E-16 7.32935596E-23 9.80579045E-20 1.87013245E-09 4.05391820E-36 1.07296653E-25 8.29542956E-30 3.91464134E-31 1.49063871E-39 1.27118905E-40 1.03238531E-31 4.53100667E-33 3.93622221E-15 1.08163620E-35 1.00000000E-40 7.77856773E-35 1.00000000E-40 1.00000000E-40 9.32867670E-12 7.62513846E-31 1.02530307E-28 1.00000000E-40 1.00000000E-40 1.87124566E-33 9.73282724E-36 8.20956513E-32 3.45219239E-39 2.05262738E-28 3.12959681E-18 4.33073386E-23 9.10771358E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.50000000E+00 2.93128763E-01 1.21557062E+19 1.74660604E+02 1.00000000E+05 1.70567660E+00 4.72911429E+02 4.67501507E-01 7.69447204E-25 1.07953377E-07 1.87878798E-40 1.87878798E-40 1.87878798E-40 1.87878798E-40 1.88082320E-40 4.68084594E-18 9.43795421E-06 6.78136019E-08 1.08078966E-23 2.01834757E-18 5.59007132E-08 3.21659904E-07 5.18004141E-01 3.31993543E-22 3.94254266E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.09270498E-34 1.57504563E-26 6.76506257E-17 1.65366534E-16 8.28529775E-23 3.08331060E-22 1.28354631E-21 1.68732192E-12 1.31672259E-14 2.68332361E-10 4.17958545E-03 2.31990521E-33 3.40034475E-32 1.51674166E-12 1.00000000E-40 1.00000000E-40 4.82262586E-33 2.66774100E-32 1.17535376E-16 3.56609749E-11 7.40811393E-16 1.70639069E-16 6.76187245E-14 2.05115143E-08 3.61611212E-16 6.15253328E-23 1.46535281E-19 1.93733079E-09 4.05319043E-36 1.05185034E-25 7.97179432E-30 4.13724744E-31 1.48090576E-39 1.23654567E-40 1.02534433E-31 4.43650409E-33 2.16791092E-15 1.03641064E-35 1.00000000E-40 6.97971882E-35 1.00000000E-40 1.00000000E-40 9.71341765E-12 2.27414926E-31 1.00758128E-28 1.00000000E-40 1.00000000E-40 1.67059728E-33 8.83122472E-36 8.39662636E-32 3.43268446E-39 1.86499871E-28 6.94064142E-18 4.16228949E-23 9.24207601E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.50000000E+00 2.61252028E-01 1.10953793E+19 1.70543132E+02 1.00000000E+05 1.99427191E+00 5.25024876E+02 8.56268714E-01 6.45531304E-23 1.19099130E-07 2.05322978E-40 2.05322978E-40 2.05322978E-40 2.05322978E-40 2.05551311E-40 3.17522172E-18 9.33324540E-06 3.32160096E-08 3.48471512E-23 7.43814934E-18 6.93369752E-08 3.48065625E-07 4.05512409E-01 1.55175503E-22 3.39922713E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.67558647E-35 1.54111576E-26 8.35579155E-17 2.03915014E-16 8.87030049E-23 3.54461773E-22 1.09184912E-21 2.05407182E-12 1.48673925E-14 3.69208656E-10 2.74279155E-03 2.19663919E-33 3.20492543E-32 1.45827345E-12 1.00000000E-40 1.00000000E-40 6.09578903E-33 2.51203665E-32 8.36272920E-17 3.60742759E-11 2.34209689E-15 4.87051679E-16 8.89871873E-14 2.43101938E-08 3.16515136E-16 5.68781872E-23 2.35001944E-19 2.02850779E-09 4.05051856E-36 1.02635420E-25 7.55352424E-30 4.27011802E-31 1.46919172E-39 1.19262033E-40 1.01442135E-31 4.32000322E-33 1.28547566E-15 9.75350638E-36 1.00000000E-40 5.97897991E-35 1.00000000E-40 1.00000000E-40 1.00680551E-11 7.96768022E-32 9.41069121E-29 1.00000000E-40 1.00000000E-40 1.44160767E-33 7.71461614E-36 8.62927916E-32 3.30925323E-39 1.63671037E-28 1.21720583E-17 3.97701501E-23 9.40863558E-35 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E+00 2.32125141E-01 1.01223189E+19 1.66095889E+02 1.00000000E+05 2.31897261E+00 5.86531001E+02 1.19332785E+00 1.74755117E-21 1.32660182E-07 2.25306566E-40 2.25306566E-40 2.25306566E-40 2.25306566E-40 2.25564008E-40 2.16455484E-18 9.22365426E-06 1.45787977E-08 1.03542197E-22 3.19326037E-17 8.36853527E-08 3.76502027E-07 2.87664477E-01 7.07144221E-23 2.84628507E-19 1.00000000E-40 1.00000000E-40 1.36582595E-39 5.75363123E-35 1.50145300E-26 1.00393466E-16 2.48863777E-16 8.55787706E-23 3.65319669E-22 8.72459864E-22 2.47148395E-12 1.61566269E-14 5.01960618E-10 1.66551016E-03 2.04527225E-33 2.96119852E-32 1.38414874E-12 1.00000000E-40 1.00000000E-40 7.81320302E-33 2.31782799E-32 7.13245336E-17 3.55275049E-11 7.74842984E-15 1.47028878E-15 1.11449897E-13 2.78076915E-08 2.57547534E-16 5.79268694E-23 4.02878977E-19 2.15022567E-09 4.04465329E-36 9.96433788E-26 7.02935955E-30 4.26322594E-31 1.45639181E-39 1.13960702E-40 9.98131149E-32 4.17836567E-33 1.01361729E-15 8.97084984E-36 1.00000000E-40 4.78050607E-35 1.00000000E-40 1.00000000E-40 1.03917645E-11 5.90117815E-32 8.24752405E-29 1.00000000E-40 1.00000000E-40 1.18405065E-33 6.38167283E-36 8.91008929E-32 3.05225330E-39 1.36891514E-28 1.83681302E-17 3.76291470E-23 9.59664596E-35 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.50000000E+00 2.05526815E-01 9.22713774E+18 1.61331141E+02 1.00000000E+05 2.70194583E+00 6.68917776E+02 1.21738877E+00 3.04654657E-21 1.52073767E-07 2.50208971E-40 2.50208971E-40 2.50208971E-40 2.50208971E-40 2.50502972E-40 1.41969587E-18 9.10471614E-06 5.67473483E-09 3.09584634E-22 1.56846836E-16 9.89397475E-08 4.06924831E-07 1.87461836E-01 2.93724632E-23 2.37044112E-19 1.00000000E-40 1.00000000E-40 2.13832509E-39 4.37578419E-35 1.45612471E-26 1.16028520E-16 2.98961173E-16 7.33455601E-23 3.32111732E-22 6.28276102E-22 2.94118025E-12 1.83988803E-14 6.73938570E-10 9.27204120E-04 1.86429273E-33 2.66534186E-32 1.29361689E-12 1.00000000E-40 1.00000000E-40 1.00693856E-32 2.08224161E-32 6.83695325E-17 3.40073829E-11 2.65325149E-14 4.65714921E-15 1.30717470E-13 3.09322912E-08 1.90239203E-16 6.35412011E-23 7.31642978E-19 2.31098907E-09 4.03438167E-36 9.62061194E-26 6.38955896E-30 4.08316477E-31 1.44442252E-39 1.07910013E-40 9.74746365E-32 4.00798467E-33 1.40925575E-15 8.00515573E-36 1.00000000E-40 3.41550983E-35 1.00000000E-40 1.00000000E-40 1.06050561E-11 1.53239749E-31 6.61490044E-29 1.00000000E-40 1.00000000E-40 8.99756475E-34 4.84866162E-36 9.24240892E-32 2.63520287E-39 1.06452330E-28 2.52585151E-17 3.51074141E-23 9.79673109E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
9.50000000E+00 1.81261465E-01 8.40092268E+18 1.56277054E+02 1.00000000E+05 3.25394399E+00 8.49335026E+02 1.16102836E+00 7.05520322E-21 2.05243849E-07 2.94222869E-40 2.94222869E-40 2.94222869E-40 2.94222869E-40 2.94576481E-40 9.55045501E-19 8.97037011E-06 1.93823930E-09 1.00583558E-21 8.57478550E-16 1.15086612E-07 4.39248150E-07 1.13749268E-01 1.15663678E-23 2.03179659E-19 1.00000000E-40 1.00000000E-40 6.58412306E-39 3.62867063E-35 1.40517237E-26 1.28135492E-16 3.52027854E-16 5.53978427E-23 2.64865148E-22 3.61230283E-22 3.45212178E-12 2.87697901E-14 8.93845233E-10 4.68660843E-04 1.65253417E-33 2.31492335E-32 1.19046181E-12 1.00000000E-40 1.00000000E-40 1.29589125E-32 1.80405093E-32 6.88793460E-17 3.15341756E-11 9.19340794E-14 1.52425924E-14 1.39951267E-13 3.36317402E-08 1.26271851E-16 8.55365179E-23 1.39412139E-18 2.52148113E-09 4.01852367E-36 9.23182447E-26 5.62677988E-30 3.72070921E-31 1.43639074E-39 1.01635023E-40 9.42300214E-32 3.80499204E-33 3.29825234E-15 6.84954157E-36 1.00000000E-40 1.98485248E-35 1.00000000E-40 1.00000000E-40 1.05796641E-11 5.43142520E-31 4.60650556E-29 1.00000000E-40 1.00000000E-40 5.97260761E-34 3.17750584E-36 9.63046485E-32 2.04742937E-39 7.32063563E-29 3.29871220E-17 3.21288786E-23 9.99390001E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
