alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.80867797E+19 1.80548580E+02 1.00000000E+05 1.03520198E+00 4.09567323E+02 1.24501835E-01 2.36396310E-34 2.58499431E-07 1.65122964E-40 1.65122964E-40 1.65122964E-40 1.65122964E-40 1.67168533E-40 9.62937572E-16 7.14152056E-06 8.67776650E-08 7.56692610E-24 3.46491683E-19 1.42830411E-09 1.57113453E-07 4.29525777E-01 1.86139009E-18 2.52731432E-18 1.00000000E-40 1.00000000E-40 7.74333625E-39 1.39368276E-27 4.53958744E-20 2.30065827E-18 2.85283965E-17 3.04886064E-24 1.02023206E-23 5.25074298E-27 2.85660823E-13 2.48933124E-14 9.17084335E-15 3.60884858E-03 1.10525052E-31 5.70714325E-27 4.02811856E-11 1.00000000E-40 1.00000000E-40 8.00558632E-30 1.50169116E-31 2.88129756E-13 6.93867149E-11 1.16087737E-17 5.24464842E-17 5.40981905E-13 3.57076028E-08 2.98818916E-15 7.58163930E-22 1.37867552E-23 4.08478868E-09 2.81970823E-30 5.09428214E-19 2.34243853E-28 6.96679109E-30 3.80492674E-36 6.34758856E-39 3.22079426E-27 2.50156772E-27 5.15639383E-14 1.94224296E-34 6.19374852E-39 1.65871226E-34 1.00000000E-40 1.00000000E-40 1.26829467E-12 3.50982314E-24 2.05211122E-28 1.00000000E-40 1.00000000E-40 1.21331868E-29 1.96070313E-30 2.66994507E-26 8.87915768E-40 1.31654465E-23 1.58063983E-16 1.07217254E-20 3.16108647E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.36335351E+19 1.83013489E+02 1.00000000E+05 2.27800114E+00 9.36775770E+02 1.23425663E+01 5.46988043E-34 6.04922166E-07 3.38611029E-40 3.38611029E-40 3.38611029E-40 3.38611029E-40 3.44654579E-40 6.96490629E-17 8.01611848E-06 1.43194690E-07 5.99747247E-25 3.49871090E-19 2.79942292E-08 2.33168110E-07 4.91952327E-01 1.11785768E-20 2.89520600E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.42927044E-28 4.66522175E-20 9.04829177E-20 2.72510224E-17 1.80690820E-24 7.44375292E-24 5.94774896E-27 3.18790489E-13 1.90683422E-14 1.19481784E-14 4.47271322E-03 1.12920901E-31 5.91002692E-27 4.17177848E-11 1.00000000E-40 1.00000000E-40 8.26330380E-30 1.79182740E-31 3.47691970E-13 8.47394564E-11 7.67712296E-17 4.65088567E-17 6.24274989E-13 4.01132025E-08 2.90818996E-15 6.86140596E-22 9.59648418E-24 4.19981961E-09 2.91019760E-30 5.25659703E-19 2.41940370E-28 6.98128255E-30 3.91241673E-36 6.62194212E-39 3.32721866E-27 2.57764885E-27 5.39466736E-14 1.95006081E-34 1.00000000E-40 1.50554060E-34 1.00000000E-40 1.00000000E-40 2.95365331E-12 2.31401046E-25 2.34595934E-28 1.00000000E-40 1.00000000E-40 1.35272567E-29 1.94190062E-30 2.75300523E-26 1.45425843E-39 2.18629869E-23 7.71709223E-19 1.19142983E-20 3.10234860E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 2.02088334E+19 1.82040943E+02 1.00000000E+05 4.37725555E+00 1.79391401E+03 4.58002325E+01 1.03939552E-33 1.13914421E-06 5.95889680E-40 5.95889680E-40 5.95889680E-40 5.95889680E-40 6.08427708E-40 3.18156890E-17 9.05027672E-06 1.56111442E-07 2.51263125E-25 2.97587656E-19 6.02423193E-08 3.24866258E-07 5.62265167E-01 3.17209517E-21 3.25447242E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.21109523E-28 4.79438934E-20 3.32733251E-20 2.59571751E-17 1.33373402E-24 5.63090465E-24 7.35971661E-27 3.66001110E-13 1.67978914E-14 1.67248532E-14 5.40080087E-03 1.14137372E-31 6.17037881E-27 4.34209279E-11 1.00000000E-40 1.00000000E-40 8.56924747E-30 2.43499720E-31 3.38776187E-13 9.75604130E-11 1.21164462E-16 3.69025435E-17 5.26025015E-13 4.53118258E-08 2.67594292E-15 4.98609040E-22 6.52743075E-24 4.32091452E-09 3.01749205E-30 5.44831809E-19 2.51906929E-28 6.97438380E-30 4.02628658E-36 6.90194829E-39 3.45412857E-27 2.66627942E-27 4.31704694E-14 1.95489076E-34 1.00000000E-40 1.40343477E-34 1.00000000E-40 1.00000000E-40 4.94692507E-12 2.02865267E-26 2.60283015E-28 1.00000000E-40 1.00000000E-40 1.45342944E-29 1.91450382E-30 2.84903299E-26 2.39812377E-39 3.04854442E-23 1.81732074E-19 1.42339421E-20 3.04669953E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.76095718E+19 1.81237843E+02 1.00000000E+05 6.05458469E+00 2.48329553E+03 5.48288434E+01 1.44359069E-33 1.52906084E-06 8.24471078E-40 8.24471078E-40 8.24471078E-40 8.24471078E-40 8.42970033E-40 1.89975784E-17 1.00139152E-05 1.66792984E-07 1.41466640E-25 2.55117151E-19 9.68913282E-08 4.24496435E-07 6.24854441E-01 1.48541762E-21 3.51093655E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.29715127E-28 4.80980507E-20 1.62093581E-20 2.41143849E-17 9.55259739E-25 4.11042949E-24 9.48942423E-27 4.18864968E-13 1.48173901E-14 2.12724216E-14 6.27550754E-03 1.11969553E-31 6.34142850E-27 4.43513538E-11 1.00000000E-40 1.00000000E-40 8.71664730E-30 3.53573786E-31 3.24226880E-13 1.05580166E-10 1.43379347E-16 2.98768112E-17 4.29920213E-13 5.01514900E-08 2.40097569E-15 3.37398469E-22 4.31355191E-24 4.34056370E-09 3.06887881E-30 5.53899783E-19 2.58209412E-28 6.78849517E-30 4.05059277E-36 7.00919560E-39 3.51882653E-27 2.70355673E-27 3.41018107E-14 1.91115729E-34 1.00000000E-40 1.31572901E-34 1.00000000E-40 1.00000000E-40 7.11789229E-12 6.68795120E-27 2.80608704E-28 1.00000000E-40 1.00000000E-40 1.49346347E-29 1.83806904E-30 2.88954228E-26 3.82411608E-39 3.78118674E-23 7.46419305E-20 1.75763750E-20 2.93400062E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.55580677E+19 1.81399356E+02 1.00000000E+05 7.25278890E+00 3.00790827E+03 4.85428901E+01 1.76098360E-33 1.83235036E-06 1.03320856E-39 1.03320856E-39 1.03320856E-39 1.03320856E-39 1.05702117E-39 1.37195752E-17 1.08604444E-05 1.89503906E-07 9.91990447E-26 2.23781400E-19 1.36700647E-07 5.28391617E-07 6.76757217E-01 9.47678650E-22 3.64623025E-18 1.00000000E-40 1.00000000E-40 4.07398317E-40 8.66386505E-29 4.71361850E-20 8.61298657E-21 2.18674497E-17 6.55914370E-25 2.86923324E-24 1.24648208E-26 4.73913818E-13 1.27344051E-14 2.41868711E-14 7.25303590E-03 1.06956967E-31 6.41952367E-27 4.45055024E-11 1.00000000E-40 1.00000000E-40 8.70358051E-30 5.29888046E-31 3.20216577E-13 1.08840061E-10 1.49457497E-16 2.63403248E-17 3.69706200E-13 5.43985062E-08 2.13433034E-15 2.32440115E-22 2.78278004E-24 4.25877439E-09 3.06386630E-30 5.52932099E-19 2.60773058E-28 6.44923449E-30 3.99054671E-36 6.93788985E-39 3.52144072E-27 2.69003890E-27 2.83759828E-14 1.82318160E-34 1.00000000E-40 1.23764131E-34 1.00000000E-40 1.00000000E-40 9.37218828E-12 3.80087805E-27 2.95920247E-28 1.00000000E-40 1.00000000E-40 1.47895961E-29 1.72045162E-30 2.87505168E-26 5.91918192E-39 4.35666916E-23 4.26367549E-20 2.20679530E-20 2.77344483E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.38149213E+19 1.81805624E+02 1.00000000E+05 8.47618079E+00 3.54114513E+03 4.88125790E+01 2.07948882E-33 2.14180622E-06 1.23236927E-39 1.23236927E-39 1.23236927E-39 1.23236927E-39 1.26158938E-39 1.06797206E-17 1.16895430E-05 2.24390000E-07 7.42727716E-26 1.93879868E-19 1.80404624E-07 6.40280980E-07 7.24772777E-01 6.84212524E-22 3.69927222E-18 1.00000000E-40 1.00000000E-40 7.28425436E-40 6.10826323E-29 4.57091408E-20 4.81710111E-21 1.96048086E-17 4.41613632E-25 1.96012726E-24 1.65896664E-26 5.33591738E-13 1.08620133E-14 2.60972617E-14 8.47106163E-03 1.00828423E-31 6.48181485E-27 4.44579184E-11 1.00000000E-40 1.00000000E-40 8.64029169E-30 8.09783821E-31 3.17652611E-13 1.08898967E-10 1.43347666E-16 2.23067772E-17 3.21163267E-13 5.85518258E-08 1.87890335E-15 1.62759138E-22 1.77559365E-24 4.13309977E-09 3.04148845E-30 5.49178763E-19 2.62792539E-28 6.06878327E-30 3.90573092E-36 6.77866211E-39 3.50779008E-27 2.66124991E-27 2.37916839E-14 1.71875265E-34 1.00000000E-40 1.17743028E-34 1.00000000E-40 1.00000000E-40 1.17535732E-11 2.44081684E-27 3.09725899E-28 1.00000000E-40 1.00000000E-40 1.43346210E-29 1.59045337E-30 2.84359967E-26 9.03383286E-39 4.82418311E-23 2.79724961E-20 2.81103775E-20 2.60851788E-30 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.22725078E+19 1.82212306E+02 1.00000000E+05 9.81289680E+00 4.12347294E+03 4.83063300E+01 2.42500039E-33 2.47685058E-06 1.44211769E-39 1.44211769E-39 1.44211769E-39 1.44211769E-39 1.47737247E-39 8.57557780E-18 1.25524316E-05 2.70103581E-07 5.68176303E-26 1.65820582E-19 2.29120198E-07 7.63663281E-07 7.72874877E-01 5.20728315E-22 3.69231024E-18 1.00000000E-40 1.00000000E-40 7.61849186E-40 4.40852746E-29 4.41159165E-20 2.78123635E-21 1.74784267E-17 2.94202332E-25 1.32290235E-24 2.22200649E-26 5.99484229E-13 9.24693502E-15 2.75538536E-14 9.95174054E-03 9.43743506E-32 6.56098057E-27 4.44741733E-11 1.00000000E-40 1.00000000E-40 8.57463773E-30 1.24942973E-30 3.13527506E-13 1.06705548E-10 1.30120765E-16 1.80734484E-17 2.76588178E-13 6.28677644E-08 1.64008448E-15 1.14331301E-22 1.12743406E-24 3.98965074E-09 3.01882392E-30 5.45967862E-19 2.65633200E-28 5.70860848E-30 3.82808317E-36 6.57417673E-39 3.49895738E-27 2.63337118E-27 1.97984520E-14 1.61015562E-34 1.00000000E-40 1.13430837E-34 1.00000000E-40 1.00000000E-40 1.43219756E-11 1.64760045E-27 3.24187975E-28 1.00000000E-40 1.00000000E-40 1.36968448E-29 1.46075871E-30 2.81263415E-26 1.36842431E-38 5.22425740E-23 1.95879859E-20 3.61201170E-20 2.45780076E-30 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.09123010E+19 1.82639686E+02 1.00000000E+05 1.12848167E+01 4.76955407E+03 4.86693422E+01 2.80680242E-33 2.84691904E-06 1.67137588E-39 1.67137588E-39 1.67137588E-39 1.67137588E-39 1.71326861E-39 7.01796374E-18 1.34307151E-05 3.27353632E-07 4.40662282E-26 1.40240501E-19 2.83238352E-07 8.98964393E-07 8.20775441E-01 4.09503462E-22 3.62639271E-18 1.00000000E-40 1.00000000E-40 7.10392404E-40 3.22524175E-29 4.23469975E-20 1.62885029E-21 1.54865099E-17 1.93751484E-25 8.81424835E-25 2.97019030E-26 6.70812226E-13 7.82670099E-15 2.91330412E-14 1.17199165E-02 8.76542667E-32 6.64597344E-27 4.45237622E-11 1.00000000E-40 1.00000000E-40 8.49610134E-30 1.92745821E-30 3.07672553E-13 1.02519377E-10 1.13357027E-16 1.43203368E-17 2.35801118E-13 6.72536720E-08 1.41900987E-15 8.02383279E-23 7.12195035E-25 3.82670500E-09 2.99239467E-30 5.42950949E-19 2.68881399E-28 5.39457118E-30 3.76525125E-36 6.32271102E-39 3.49261070E-27 2.60467972E-27 1.63476953E-14 1.49748880E-34 1.00000000E-40 1.10172414E-34 1.00000000E-40 1.00000000E-40 1.70928676E-11 1.14606113E-27 3.39842883E-28 1.00000000E-40 1.00000000E-40 1.29052977E-29 1.33225458E-30 2.78052570E-26 2.05613613E-38 5.56876703E-23 1.43105612E-20 4.64249249E-20 2.32071951E-30 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 9.71444032E+18 1.83114931E+02 1.00000000E+05 1.29053867E+01 5.48780899E+03 4.97770690E+01 3.22782874E-33 3.25696876E-06 1.92040852E-39 1.92040852E-39 1.92040852E-39 1.92040852E-39 1.96824250E-39 5.81742744E-18 1.43062146E-05 3.98151128E-07 3.45117317E-26 1.17373618E-19 3.43131898E-07 1.04656450E-06 8.68228573E-01 3.29481875E-22 3.50541120E-18 1.00000000E-40 1.00000000E-40 6.13157072E-40 2.37910949E-29 4.04106025E-20 9.57516366E-22 1.36336862E-17 1.26074347E-25 5.79593417E-25 3.94353692E-26 7.47253695E-13 6.57078500E-15 3.42824723E-14 1.38175612E-02 8.07485437E-32 6.72562016E-27 4.45820820E-11 1.00000000E-40 1.00000000E-40 8.39549880E-30 2.95683697E-30 2.99523840E-13 9.66304486E-11 9.55740825E-17 1.12329981E-17 1.99212224E-13 7.16175726E-08 1.21668767E-15 5.62949088E-23 4.47499316E-25 3.64417553E-09 2.95914813E-30 5.39870755E-19 2.72117161E-28 5.16604625E-30 3.72812494E-36 6.02578240E-39 3.48695334E-27 2.57393175E-27 1.34041509E-14 1.38151531E-34 1.00000000E-40 1.07517142E-34 1.00000000E-40 1.00000000E-40 2.00899684E-11 8.13283796E-28 3.57493878E-28 1.00000000E-40 1.00000000E-40 1.19925394E-29 1.20630337E-30 2.74620921E-26 3.06281004E-38 5.86708835E-23 1.07716226E-20 5.93763113E-20 2.19727502E-30 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 8.65979239E+18 1.83650506E+02 1.00000000E+05 1.47016501E+01 6.29167618E+03 5.14271811E+01 3.69124235E-33 3.70999055E-06 2.18566479E-39 2.18566479E-39 2.18566479E-39 2.18566479E-39 2.23741666E-39 4.86080101E-18 1.51626504E-05 4.83339058E-07 2.71579554E-26 9.74522450E-20 4.09195759E-07 1.20691905E-06 9.15071705E-01 2.69249020E-22 3.33595747E-18 1.00000000E-40 1.00000000E-40 4.97749018E-40 1.76225670E-29 3.83326006E-20 5.63970546E-22 1.19292697E-17 8.11036899E-26 3.76406801E-25 5.18718779E-26 8.29024584E-13 5.47831460E-15 6.30239222E-14 1.62540826E-02 7.37555778E-32 6.78940243E-27 4.46320680E-11 1.00000000E-40 1.00000000E-40 8.26572127E-30 4.49714815E-30 2.84271390E-13 8.93572941E-11 7.85344850E-17 8.83559053E-18 1.66687991E-13 7.58764702E-08 1.03340913E-15 3.94382390E-23 2.79650449E-25 3.44361930E-09 2.91667587E-30 5.36578189E-19 2.74944415E-28 5.08072136E-30 3.73084263E-36 5.68809045E-39 3.48084819E-27 2.54043857E-27 1.09112730E-14 1.26357095E-34 1.00000000E-40 1.05135281E-34 1.00000000E-40 1.00000000E-40 2.33381883E-11 5.84611632E-28 3.78194741E-28 1.00000000E-40 1.00000000E-40 1.09940886E-29 1.08460423E-30 2.70925265E-26 4.52087635E-38 6.12663008E-23 8.24528959E-21 7.53397072E-20 2.08803977E-30 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
