alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.61503053E+19 1.93918508E+02 1.00000000E+05 4.36527000E-01 2.18590000E+02 1.00000000E-40 1.03753959E-40 5.29941733E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.58150000E-27 7.14152000E-06 8.85979706E-07 2.90990000E-37 6.91638000E-26 1.42830000E-09 1.57113000E-07 7.14151857E-01 5.75666000E-29 7.96460000E-31 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.33332000E-30 1.49336000E-20 1.01211000E-17 2.88956000E-25 9.95188000E-25 4.23155000E-19 1.81041000E-13 7.51929000E-21 3.00455000E-13 1.50453938E-02 6.76921000E-33 1.25181000E-33 2.98715000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.40568000E-33 6.49632000E-20 1.95467000E-15 3.45783000E-24 4.79398000E-23 8.62026000E-13 2.29755000E-17 1.08643000E-27 4.18255000E-36 1.00000000E-40 1.76075000E-15 1.54288000E-37 3.09995000E-33 2.06437000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.16793000E-33 1.58796000E-36 3.26166000E-25 1.00000000E-40 1.00000000E-40 1.31055000E-40 1.00000000E-40 1.00000000E-40 8.51434000E-15 1.00000000E-40 1.94917000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.65268000E-28 9.39240000E-31 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.15878278E+19 2.00356228E+02 1.00000000E+05 4.51985000E-01 3.34330000E+02 1.00000000E-40 1.12791349E-40 5.92220290E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.43962000E-28 7.47372000E-06 1.25411221E-06 1.34707000E-36 4.27165000E-25 9.82559000E-09 1.81092000E-07 7.43248192E-01 1.09555000E-30 1.04003000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.58142000E-30 3.60814000E-21 1.05947000E-17 2.50807000E-25 8.95925000E-25 4.42839000E-19 1.94157000E-13 7.12476000E-21 3.15328000E-13 1.60747599E-02 7.08413000E-33 1.31003000E-33 3.13228000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.65715000E-33 3.77743000E-19 2.55244000E-15 3.02341000E-23 3.04412000E-23 4.70346000E-13 2.46400000E-17 1.07285000E-27 9.41009000E-37 1.00000000E-40 1.84266000E-15 1.61466000E-37 3.24415000E-33 2.16040000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.50137000E-33 1.66183000E-36 2.13035000E-25 1.00000000E-40 1.00000000E-40 1.37215000E-40 1.00000000E-40 1.00000000E-40 1.99487000E-14 1.00000000E-40 2.03988000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.66213000E-28 9.82931000E-31 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 1.79111230E+19 2.05393883E+02 1.00000000E+05 3.23173000E-01 3.10006000E+02 1.00000000E-40 1.21477026E-40 6.65542648E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.15742000E-28 7.83227000E-06 1.62941525E-06 2.04904000E-36 8.49890000E-25 1.98226000E-08 2.08840000E-07 7.78450168E-01 2.22008000E-31 1.32606000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.84920000E-30 1.76667000E-21 1.11088000E-17 2.20222000E-25 8.11825000E-25 4.64085000E-19 2.08838000E-13 6.60925000E-21 3.34444000E-13 1.72565291E-02 7.42403000E-33 1.37286000E-33 3.28840000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.92857000E-33 6.86861000E-19 3.25441000E-15 9.18448000E-23 3.34088000E-23 2.18313000E-13 2.64207000E-17 1.05310000E-27 1.70549000E-37 1.00000000E-40 1.93107000E-15 1.69212000E-37 3.39980000E-33 2.26406000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.86127000E-33 1.74156000E-36 1.34367000E-25 1.00000000E-40 1.00000000E-40 1.43905000E-40 1.00000000E-40 1.00000000E-40 3.35271000E-14 1.00000000E-40 2.13779000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.13848000E-28 1.03009000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.52230057E+19 2.09651160E+02 1.00000000E+05 1.47613000E-01 1.55556000E+02 1.00000000E-40 1.26729986E-40 7.35504671E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.99855000E-28 8.03837000E-06 1.88926364E-06 3.15099000E-36 1.44557000E-24 3.10869000E-08 2.35831000E-07 8.01536278E-01 9.11080000E-32 1.62726000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.00314000E-30 1.14045000E-21 1.14101000E-17 1.85663000E-25 7.03899000E-25 4.76298000E-19 2.20383000E-13 6.08604000E-21 3.51096000E-13 1.80787171E-02 7.61943000E-33 1.40896000E-33 3.38098000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.08459000E-33 1.09975000E-18 3.99362000E-15 1.91614000E-22 5.68885000E-23 1.10810000E-13 2.77041000E-17 1.04318000E-27 1.00000000E-40 1.00000000E-40 1.98189000E-15 1.73665000E-37 3.48927000E-33 2.32364000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.06815000E-33 1.78740000E-36 9.68936000E-26 1.00000000E-40 1.00000000E-40 1.47829000E-40 1.00000000E-40 1.00000000E-40 4.86434000E-14 1.00000000E-40 2.19411000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.03640000E-28 1.05719000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.32359290E+19 2.13224433E+02 1.00000000E+05 4.61943000E-02 3.50170000E+01 1.00000000E-40 1.27907512E-40 7.98419376E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.60890000E-28 8.08998000E-06 2.01388711E-06 4.94569000E-36 2.28031000E-24 4.33191000E-08 2.61422000E-07 8.11473467E-01 5.58427000E-32 1.93599000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04169000E-30 8.68756000E-22 1.14954000E-17 1.51313000E-25 5.88350000E-25 4.79356000E-19 2.28573000E-13 5.75018000E-21 3.65826000E-13 1.84933916E-02 7.66840000E-33 1.41798000E-33 3.40916000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.12367000E-33 1.78708000E-18 4.75130000E-15 3.31919000E-22 1.00276000E-22 7.73993000E-14 2.84499000E-17 1.03885000E-27 1.00000000E-40 1.00000000E-40 1.99461000E-15 1.74781000E-37 3.51168000E-33 2.33856000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.11997000E-33 1.79888000E-36 7.80795000E-26 1.00000000E-40 1.00000000E-40 1.48942000E-40 1.00000000E-40 1.00000000E-40 6.48985000E-14 1.00000000E-40 2.20827000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.13650000E-28 1.06398000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.16009512E+19 2.16502109E+02 1.00000000E+05 3.91141000E-03 4.85934000E-20 1.00000000E-40 1.26471494E-40 8.62525788E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.50093000E-28 8.08996000E-06 2.07490169E-06 8.09845000E-36 3.54406000E-24 5.68169000E-08 2.88431000E-07 8.17845000E-01 4.31393000E-32 2.27059000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04170000E-30 7.37483000E-22 1.15107000E-17 1.21523000E-25 4.83590000E-25 4.79356000E-19 2.36171000E-13 5.82878000E-21 3.84173000E-13 1.87945264E-02 7.66844000E-33 1.41794000E-33 3.41620000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.12368000E-33 2.91796000E-18 5.57249000E-15 5.32164000E-22 1.64600000E-22 8.47408000E-14 2.89927000E-17 1.04061000E-27 4.91405000E-37 1.00000000E-40 1.99462000E-15 1.74781000E-37 3.51169000E-33 2.33856000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.11997000E-33 1.79888000E-36 6.68349000E-26 1.00000000E-40 1.00000000E-40 1.49135000E-40 1.00000000E-40 1.00000000E-40 8.27824000E-14 1.00000000E-40 2.20835000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.39944000E-28 1.06398000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.01834314E+19 2.19592185E+02 1.00000000E+05 2.08531000E-18 8.45863000E-20 1.00000000E-40 1.23339164E-40 9.32083412E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.65004000E-28 8.08994000E-06 2.13715331E-06 1.51524000E-35 5.79110000E-24 7.20315000E-08 3.18874000E-07 8.25300158E-01 4.17446000E-32 2.64775000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04170000E-30 6.91772000E-22 1.15293000E-17 9.64119000E-26 3.91937000E-25 4.79355000E-19 2.44734000E-13 6.53254000E-21 4.10235000E-13 1.91375122E-02 7.66849000E-33 1.41790000E-33 3.42398000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.12368000E-33 4.91480000E-18 6.49811000E-15 8.49781000E-22 3.26205000E-22 1.36804000E-13 2.95067000E-17 1.05478000E-27 1.00000000E-40 1.00000000E-40 1.99462000E-15 1.74780000E-37 3.51169000E-33 2.33856000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.11997000E-33 1.79888000E-36 6.10051000E-26 1.00000000E-40 1.00000000E-40 1.49361000E-40 1.00000000E-40 1.00000000E-40 1.02940000E-13 1.00000000E-40 2.20844000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00785000E-28 1.06398000E-30 1.00000000E-40 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 8.95859656E+18 2.22470028E+02 1.00000000E+05 6.73438000E-18 3.00518000E-19 1.00000000E-40 1.19567863E-40 1.00739387E-07 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.20776000E-28 8.08991000E-06 2.20679625E-06 3.29696000E-35 1.01118000E-23 8.92562000E-08 3.53340000E-07 8.33247960E-01 5.16796000E-32 3.07474000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04171000E-30 7.14892000E-22 1.15517000E-17 7.54472000E-26 3.12778000E-25 4.79354000E-19 2.54428000E-13 8.13959000E-21 4.46827000E-13 1.95100474E-02 7.66854000E-33 1.41786000E-33 3.43265000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.12368000E-33 8.59393000E-18 7.54602000E-15 1.38557000E-21 8.23822000E-22 2.76792000E-13 2.99875000E-17 1.08240000E-27 1.00000000E-40 1.00000000E-40 1.99462000E-15 1.74780000E-37 3.51169000E-33 2.33856000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.11997000E-33 1.79887000E-36 5.95390000E-26 1.00000000E-40 1.00000000E-40 1.49624000E-40 1.00000000E-40 1.00000000E-40 1.25760000E-13 1.00000000E-40 2.20855000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.37328000E-28 1.06397000E-30 1.00000000E-40 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 7.90288200E+18 2.25089919E+02 1.00000000E+05 4.62446000E-17 1.81842000E-18 1.00000000E-40 1.18635512E-40 1.08845278E-07 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.47137000E-28 8.08988000E-06 2.28324686E-06 7.68450000E-35 1.82758000E-23 1.08803000E-07 3.92451000E-07 8.41204612E-01 7.70918000E-32 3.55929000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04171000E-30 7.98105000E-22 1.15780000E-17 5.87256000E-26 2.47860000E-25 4.79353000E-19 2.65428000E-13 1.11246000E-20 4.98467000E-13 1.99019763E-02 7.66859000E-33 1.41781000E-33 3.44238000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.12368000E-33 1.49214000E-17 8.73521000E-15 2.29203000E-21 2.31218000E-21 6.08206000E-13 3.04295000E-17 1.11605000E-27 1.00000000E-40 1.00000000E-40 1.99462000E-15 1.74780000E-37 3.51169000E-33 2.33856000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.11997000E-33 1.79887000E-36 5.98697000E-26 1.00000000E-40 1.00000000E-40 1.49932000E-40 1.00000000E-40 1.00000000E-40 1.51653000E-13 1.00000000E-40 2.20867000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.11896000E-28 1.06397000E-30 1.00000000E-40 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 6.99288799E+18 2.27427531E+02 1.00000000E+05 4.40205000E-16 1.49046000E-17 1.00000000E-40 1.28791542E-40 1.17380046E-07 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.49766000E-28 8.08984000E-06 2.36623787E-06 1.92380000E-34 3.43625000E-23 1.30997000E-07 4.36860000E-07 8.48825427E-01 1.39479000E-31 4.10946000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04171000E-30 9.66035000E-22 1.16087000E-17 4.54804000E-26 1.95124000E-25 4.79352000E-19 2.77918000E-13 1.63101000E-20 5.72153000E-13 2.03059955E-02 7.66865000E-33 1.41775000E-33 3.45330000E-14 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.12368000E-33 2.56110000E-17 1.00854000E-14 3.88429000E-21 7.20650000E-21 1.36749000E-12 3.08259000E-17 1.15558000E-27 1.00000000E-40 1.00000000E-40 1.99462000E-15 1.74780000E-37 3.51169000E-33 2.33856000E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.11997000E-33 1.79887000E-36 6.18531000E-26 1.00000000E-40 1.00000000E-40 1.50293000E-40 1.00000000E-40 1.00000000E-40 1.81050000E-13 1.00000000E-40 2.20881000E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.19668000E-27 1.06396000E-30 1.00000000E-40 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
