alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E+01 2.46958029E+19 2.05339677E+02 1.00000000E+05 7.01869576E-01 2.71773006E+02 3.91148705E-10 1.45507467E-34 6.56954883E-08 1.15538484E-40 1.15538484E-40 1.15538484E-40 1.15538484E-40 1.15651439E-40 7.60564262E-16 7.14152081E-06 5.14363722E-06 6.39094968E-25 9.10708705E-21 1.42830417E-09 1.57113458E-07 7.14152081E-01 3.65689284E-18 1.62883381E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.84757613E-31 1.80132239E-26 1.05955571E-19 2.59521164E-17 1.74086902E-24 7.65194441E-24 2.20097488E-21 2.85660832E-13 4.90843427E-15 3.50076766E-16 4.25025881E-02 2.82879734E-33 3.72943333E-32 1.10278415E-12 1.00000000E-40 1.00000000E-40 1.68677129E-33 2.94974330E-32 3.80512466E-13 4.02235402E-11 2.05368936E-19 1.07921176E-18 5.33442541E-13 3.57076040E-08 6.32867002E-16 3.48078793E-22 7.17200064E-25 1.53347743E-09 3.74609195E-36 1.22117650E-25 8.69428944E-30 6.87600597E-34 1.40624938E-39 1.25221522E-40 9.59493247E-32 4.76624310E-33 3.52931647E-14 1.06884233E-35 1.00000000E-40 1.06414727E-34 1.00000000E-40 1.00000000E-40 1.90386647E-13 2.08659456E-26 2.80743361E-28 1.00000000E-40 1.00000000E-40 3.38108066E-33 1.34716701E-35 6.67266958E-32 1.17593989E-39 2.19490932E-28 1.16072308E-16 4.36594869E-23 1.29051643E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E+01 2.14210534E+19 2.01916108E+02 1.00000000E+05 8.29453496E-01 3.02874167E+02 7.03653208E-10 2.50749386E-34 7.23509276E-08 1.27437727E-40 1.27437727E-40 1.27437727E-40 1.27437727E-40 1.27563980E-40 1.02561192E-16 7.58950984E-06 3.99485468E-06 9.05654334E-26 1.07871603E-20 1.01582894E-08 1.85081656E-07 7.40073494E-01 7.25451975E-20 1.62929798E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.54002205E-33 1.80123618E-26 3.37922419E-20 2.70960636E-17 1.46817837E-24 6.78818893E-24 2.29235917E-21 4.87424289E-13 7.71693075E-15 1.07080890E-15 3.81955919E-02 2.94225893E-33 3.89399812E-32 1.15418096E-12 1.00000000E-40 1.00000000E-40 1.76411626E-33 3.08048430E-32 3.52436591E-13 4.86209923E-11 9.10461071E-19 1.05244459E-18 4.27235107E-13 3.79485329E-08 6.02758065E-16 2.28930937E-22 4.80407969E-25 1.60912741E-09 3.91042788E-36 1.21705929E-25 9.07255344E-30 6.77219658E-34 1.46882458E-39 1.33150604E-40 1.00324050E-31 4.89011692E-33 2.45646397E-14 1.15347570E-35 1.00000000E-40 1.09911998E-34 1.00000000E-40 1.00000000E-40 4.47881139E-13 2.29399168E-27 2.66119809E-28 1.00000000E-40 1.00000000E-40 2.31995073E-33 1.36120182E-35 6.99696926E-32 1.64508559E-39 2.30885596E-28 2.16893241E-18 4.48043397E-23 1.12910813E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E+01 1.85330883E+19 1.98500921E+02 1.00000000E+05 1.01136774E+00 3.43646128E+02 1.49715637E-09 5.00840202E-34 8.09707587E-08 1.42721657E-40 1.42721657E-40 1.42721657E-40 1.42721657E-40 1.42865696E-40 4.75844777E-17 8.08724403E-06 2.96952085E-06 4.36419885E-26 1.30477076E-20 2.06585864E-08 2.17793963E-07 7.67164816E-01 1.72149562E-20 1.62605188E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.27773065E-33 1.80396521E-26 3.54000419E-20 2.83658141E-17 1.25498401E-24 6.04926050E-24 2.38660529E-21 7.29122199E-13 1.17144282E-14 2.79404527E-15 3.38701689E-02 3.05852459E-33 4.07515194E-32 1.20981160E-12 1.00000000E-40 1.00000000E-40 1.85267477E-33 3.22353646E-32 3.14982307E-13 5.54855353E-11 1.76475008E-18 1.12416129E-18 3.16940259E-13 4.04319794E-08 5.95023534E-16 1.38881684E-22 3.10027957E-25 1.69927728E-09 4.09185183E-36 1.21529937E-25 9.48276212E-30 6.67716392E-34 1.53844856E-39 1.41981027E-40 1.05196329E-31 5.01005145E-33 1.71348579E-14 1.25005077E-35 1.00000000E-40 1.13636198E-34 1.00000000E-40 1.00000000E-40 7.54760504E-13 2.24095475E-28 2.56489198E-28 1.00000000E-40 1.00000000E-40 1.89829429E-33 1.37412966E-35 7.38890020E-32 2.27528128E-39 2.39461358E-28 4.68710675E-19 4.60330153E-23 1.02495189E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E+01 1.63218655E+19 1.95536522E+02 1.00000000E+05 1.22087228E+00 3.85433797E+02 3.38805754E-09 1.05439585E-33 8.96720545E-08 1.57875644E-40 1.57875644E-40 1.57875644E-40 1.57875644E-40 1.58038467E-40 2.82796119E-17 8.44812909E-06 2.16491187E-06 2.74311350E-26 1.57751731E-20 3.25621229E-08 2.50453549E-07 7.77487221E-01 6.66990344E-21 1.58223356E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.04393488E-33 1.77062683E-26 4.03178531E-20 2.91051697E-17 1.04860188E-24 5.26157741E-24 2.42749960E-21 9.99407879E-13 1.60646074E-14 5.90951120E-15 2.96262277E-02 3.10997106E-33 4.17861425E-32 1.24160521E-12 1.00000000E-40 1.00000000E-40 1.91048859E-33 3.30434815E-32 2.79459485E-13 5.99135032E-11 2.69035901E-18 1.28620128E-18 2.36144982E-13 4.22255821E-08 5.80447154E-16 8.33375620E-23 1.92569651E-25 1.76438281E-09 4.19705280E-36 1.18947699E-25 9.70524623E-30 6.44169080E-34 1.57984913E-39 1.48231363E-40 1.08146065E-31 5.01954605E-33 1.20860249E-14 1.32631118E-35 1.00000000E-40 1.15001233E-34 1.00000000E-40 1.00000000E-40 1.09448801E-12 3.79125899E-29 2.45796774E-28 1.00000000E-40 1.00000000E-40 1.67888910E-33 1.35747199E-35 7.68563285E-32 3.00391605E-39 2.41554686E-28 1.68422324E-19 4.63449358E-23 9.41770329E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E+01 1.46210961E+19 1.93024069E+02 1.00000000E+05 1.44793900E+00 4.26448459E+02 7.86435560E-09 2.27171108E-33 9.81296464E-08 1.72258144E-40 1.72258144E-40 1.72258144E-40 1.72258144E-40 1.72440063E-40 1.89341961E-17 8.65882230E-06 1.58168359E-06 1.96610039E-26 1.89669559E-20 4.54263802E-08 2.81850704E-07 7.70660776E-01 3.25646975E-21 1.50031957E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.80760146E-34 1.70469708E-26 4.51169653E-20 2.92871872E-17 8.55696770E-25 4.46278223E-24 2.41306651E-21 1.29162997E-12 2.03726732E-14 1.08323098E-14 2.57730955E-02 3.09863188E-33 4.20091784E-32 1.24841697E-12 1.00000000E-40 1.00000000E-40 1.93634760E-33 3.32035361E-32 2.46684915E-13 6.20245567E-11 3.64525968E-18 1.52518803E-18 1.78406737E-13 4.32634852E-08 5.58745203E-16 5.07953724E-23 1.15931432E-25 1.80191718E-09 4.22363705E-36 1.14199235E-25 9.73267902E-30 6.08220839E-34 1.59192149E-39 1.51573418E-40 1.09088769E-31 4.92452603E-33 8.65466397E-15 1.37744676E-35 1.00000000E-40 1.13975994E-34 1.00000000E-40 1.00000000E-40 1.45168918E-12 1.20002402E-29 2.33461006E-28 1.00000000E-40 1.00000000E-40 1.53363128E-33 1.31367769E-35 7.88351594E-32 3.80215716E-39 2.37609933E-28 7.71001583E-20 4.57701099E-23 8.70460051E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.31875799E+19 1.90454232E+02 1.00000000E+05 1.69729383E+00 4.69642923E+02 1.85454563E-08 4.98385564E-33 1.07065912E-07 1.87117992E-40 1.87117992E-40 1.87117992E-40 1.87117992E-40 1.87320623E-40 1.32043337E-17 8.81951079E-06 1.15201976E-06 1.46961215E-26 2.26885673E-20 5.94199136E-08 3.14501989E-07 7.56378134E-01 1.74213326E-21 1.40174060E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.50837666E-34 1.63057773E-26 4.97718051E-20 2.92649236E-17 6.94296927E-25 3.75608914E-24 2.37310423E-21 1.61633217E-12 2.47494402E-14 1.84268821E-14 2.22922449E-02 3.06647647E-33 4.19330702E-32 1.24542547E-12 1.00000000E-40 1.00000000E-40 1.95403098E-33 3.31225860E-32 2.13999716E-13 6.27649916E-11 4.64282122E-18 1.74087049E-18 1.33839552E-13 4.40471152E-08 5.31848711E-16 3.08416677E-23 6.88153339E-26 1.83279919E-09 4.22389003E-36 1.08928239E-25 9.68467632E-30 5.68905025E-34 1.59421717E-39 1.53712303E-40 1.09357980E-31 4.79241836E-33 6.16201852E-15 1.41749856E-35 1.00000000E-40 1.11999972E-34 1.00000000E-40 1.00000000E-40 1.82996369E-12 4.75841005E-30 2.21860598E-28 1.00000000E-40 1.00000000E-40 1.43147725E-33 1.26125862E-35 8.07949597E-32 4.69436411E-39 2.31100093E-28 3.90599572E-20 4.49152142E-23 8.15126407E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.18935241E+19 1.88018450E+02 1.00000000E+05 1.97599389E+00 5.17976479E+02 4.42203079E-08 1.11192744E-32 1.17211281E-07 2.03689076E-40 2.03689076E-40 2.03689076E-40 2.03689076E-40 2.03915466E-40 9.60628899E-18 8.98009760E-06 8.40567096E-07 1.15845742E-26 2.75022322E-20 7.48438445E-08 3.50113364E-07 7.38995518E-01 1.00831560E-21 1.29503930E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.27688758E-34 1.55878654E-26 5.38755865E-20 2.92024772E-17 5.61229015E-25 3.14241364E-24 2.32101096E-21 1.98589629E-12 2.91525301E-14 2.98314113E-14 1.92479681E-02 3.03412167E-33 4.17989758E-32 1.23976313E-12 1.00000000E-40 1.00000000E-40 1.97527195E-33 3.29925826E-32 1.84246889E-13 6.27160464E-11 5.74356261E-18 2.02200020E-18 1.01239614E-13 4.48261240E-08 5.04028997E-16 1.87840833E-23 4.09018968E-26 1.86727304E-09 4.22282088E-36 1.03838215E-25 9.61717407E-30 5.29853737E-34 1.59609775E-39 1.55477139E-40 1.09593606E-31 4.65375292E-33 4.44348262E-15 1.45335913E-35 1.00000000E-40 1.09720324E-34 1.00000000E-40 1.00000000E-40 2.23484626E-12 2.06213547E-30 2.11644945E-28 1.00000000E-40 1.00000000E-40 1.35359138E-33 1.20822948E-35 8.32438314E-32 5.70805221E-39 2.23701897E-28 2.15868536E-20 4.40576829E-23 7.74016536E-35 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.07490359E+19 1.85413766E+02 1.00000000E+05 2.27740682E+00 5.70588262E+02 1.05575276E-07 2.50539659E-32 1.28426092E-07 2.21666674E-40 2.21666674E-40 2.21666674E-40 2.21666674E-40 2.21919697E-40 6.96974676E-18 9.13424438E-06 6.03253858E-07 9.89622703E-27 3.35922110E-20 9.17477041E-08 3.88650272E-07 7.17769939E-01 5.90469099E-22 1.17852067E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.50709612E-34 1.48834329E-26 5.70224821E-20 2.90719409E-17 4.52574743E-25 2.61798447E-24 2.25425996E-21 2.40561516E-12 3.34621548E-14 4.66450278E-14 1.64020499E-02 3.00127335E-33 4.15727881E-32 1.23036978E-12 1.00000000E-40 1.00000000E-40 1.99917809E-33 3.27874860E-32 1.54294071E-13 6.20059854E-11 6.98450678E-18 2.28584834E-18 7.55701608E-14 4.55689946E-08 4.70451239E-16 1.11280943E-23 2.49699447E-26 1.90397264E-09 4.21769357E-36 9.88621970E-26 9.52212305E-30 4.90535621E-34 1.59649210E-39 1.56717269E-40 1.09721280E-31 4.50579686E-33 3.16337623E-15 1.48315209E-35 1.00000000E-40 1.07031086E-34 1.00000000E-40 1.00000000E-40 2.66288546E-12 8.99106294E-31 2.02119942E-28 1.00000000E-40 1.00000000E-40 1.28583247E-33 1.15370368E-35 8.61814850E-32 6.85046708E-39 2.15431169E-28 1.31380008E-20 4.31702559E-23 7.41877283E-35 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 9.72836370E+18 1.82852855E+02 1.00000000E+05 2.59913787E+00 6.27963377E+02 2.50654103E-07 5.68547381E-32 1.40911696E-07 2.41323090E-40 2.41323090E-40 2.41323090E-40 2.41323090E-40 2.41606071E-40 5.09686653E-18 9.27666859E-06 4.27249364E-07 2.53367370E-26 4.17307241E-20 1.10154750E-07 4.30046007E-07 6.92122254E-01 3.53644087E-22 1.05091160E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.02351485E-34 1.41868133E-26 5.83727475E-20 2.88508528E-17 3.61765459E-25 2.16063442E-24 2.17085249E-21 2.88066161E-12 3.73449048E-14 6.96657804E-14 1.38194469E-02 2.96777120E-33 4.12280050E-32 1.21640316E-12 1.00000000E-40 1.00000000E-40 2.02515500E-33 3.24869551E-32 1.26218353E-13 6.07422929E-11 8.43157621E-18 2.63422972E-18 5.64099148E-14 4.62494829E-08 4.32564186E-16 6.43123382E-24 1.68129235E-26 1.94180808E-09 4.20644828E-36 9.39618656E-26 9.39319909E-30 4.50574788E-34 1.59458779E-39 1.57306303E-40 1.09684241E-31 4.34665814E-33 2.24549915E-15 1.50520099E-35 1.00000000E-40 1.03850672E-34 1.00000000E-40 1.00000000E-40 3.11065120E-12 3.93445706E-31 1.92789896E-28 1.00000000E-40 1.00000000E-40 1.22085095E-33 1.09707497E-35 8.96186583E-32 8.12851502E-39 2.06309543E-28 2.41624807E-20 4.22344384E-23 7.14990724E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 8.82159290E+18 1.80282095E+02 1.00000000E+05 2.93651944E+00 6.89888028E+02 5.94171776E-07 1.31848382E-31 1.54741546E-07 2.62645993E-40 2.62645993E-40 2.62645993E-40 2.62645993E-40 2.62962535E-40 3.70559400E-18 9.40401304E-06 2.97539191E-07 2.25402066E-25 5.27151544E-20 1.30085896E-07 4.74270534E-07 6.61672683E-01 2.12230645E-22 9.11403037E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.01264557E-35 1.34962835E-26 5.69532296E-20 2.85250375E-17 2.85756875E-25 1.76398380E-24 2.06944810E-21 3.41622998E-12 4.03278531E-14 9.69111059E-14 1.14818911E-02 2.93355581E-33 4.07487516E-32 1.19732638E-12 1.00000000E-40 1.00000000E-40 2.05305802E-33 3.20785589E-32 1.01081329E-13 5.90142030E-11 1.01500933E-17 3.08479382E-18 4.21908895E-14 4.68509287E-08 3.89497233E-16 3.56415972E-24 1.42423544E-26 1.98014445E-09 4.18799015E-36 8.91254749E-26 9.22642503E-30 4.09720761E-34 1.58994252E-39 1.57156863E-40 1.09451152E-31 4.17544043E-33 1.57023199E-15 1.51821260E-35 1.00000000E-40 1.00126868E-34 1.00000000E-40 1.00000000E-40 3.57774482E-12 1.68503815E-31 1.83325783E-28 1.00000000E-40 1.00000000E-40 1.15525548E-33 1.03801968E-35 9.35845884E-32 9.55041844E-39 1.96377542E-28 1.54654459E-19 4.12422996E-23 6.90910730E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
