alt temp press den eddy H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 O1D HS4 C4H3 H2Oaer H2Oaer_r CO2aer CO2aer_r S8aer S8aer_r H2SO4aer H2SO4aer_r C2H2aer C2H2aer_r C2H4aer C2H4aer_r C2H6aer C2H6aer_r CH4aer CH4aer_r HCaer1 HCaer1_r S2aer S2aer_r SO2aer SO2aer_r H2Saer H2Saer_r
6.00000000E-01 2.71616109E+02 1.27354888E+00 3.39607138E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 4.29613423E-03 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.45703866E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
1.80000000E+00 2.64848328E+02 1.16514753E+00 3.18640078E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 2.62183147E-03 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.47378169E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
3.00000000E+00 2.58080547E+02 1.06348920E+00 2.98465769E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 1.55644503E-03 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.48443555E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
4.20000000E+00 2.51312766E+02 9.68316968E-01 2.79074213E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 8.96758304E-04 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49103242E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
5.40000000E+00 2.44544985E+02 8.79377195E-01 2.60455274E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 5.00183657E-04 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49499816E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
6.60000000E+00 2.37777204E+02 7.96419545E-01 2.42598668E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 2.69320510E-04 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49730679E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
7.80000000E+00 2.31009422E+02 7.19197042E-01 2.25493961E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 1.39547942E-04 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49860452E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
9.00000000E+00 2.24241641E+02 6.47466122E-01 2.09130561E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 6.93350128E-05 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49930665E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
1.02000000E+01 2.17473860E+02 5.80986680E-01 1.93497710E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 3.29021802E-05 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49967098E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
1.14000000E+01 2.10706079E+02 5.19522127E-01 1.78584475E+19 3.00000000E+05 1.00000000E-40 5.00000000E-02 1.48450921E-05 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.49985155E-01 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05 1.00000000E-40 1.00000000E-05
