alt           press         den           temp          eddy          H2Oaer        SO2aer        CO2aer        S8aer         H2SO4aer      C2H2aer       C2H4aer       C2H6aer       CH4aer        HCaer1        H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           C2            C2H           C2H2          C2H4          HO2           H2O2          O3            SO3           H2SO4         HCl           Cl            Cl2           HOCl          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          1CH2          HCCO          HSO           CH3O          H2COH         C4H           C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          HS4           C4H3          O1D           H2Oaer_r      SO2aer_r      CO2aer_r      S8aer_r       H2SO4aer_r    C2H2aer_r     C2H4aer_r     C2H6aer_r     CH4aer_r      HCaer1_r      
5.92280E-001  7.00131E-001  2.17623E+019  2.33019E+002  1.00000E+005  4.36527E-001  2.18590E+002  1.00000E-040  1.00000E-040  4.61863E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.58150E-027  7.14152E-006  1.80425E-004  2.90990E-037  6.91638E-026  1.42830E-009  1.57113E-007  7.14152E-001  5.75666E-029  7.96460E-031  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.33332E-030  1.49336E-020  1.01211E-017  2.88956E-025  9.95188E-025  4.23155E-019  1.81041E-013  7.51929E-021  3.00455E-013  2.85661E-001  6.76921E-033  1.25181E-033  2.98715E-014  1.00000E-040  1.00000E-040  1.00000E-040  5.40568E-033  6.49632E-020  1.95467E-015  3.45783E-024  4.79398E-023  8.62026E-013  2.29755E-017  1.08643E-027  4.18255E-036  1.00000E-040  1.76075E-015  1.54288E-037  3.09995E-033  2.06437E-030  1.00000E-040  1.00000E-040  1.00000E-040  7.16793E-033  1.58796E-036  3.26166E-025  1.00000E-040  1.00000E-040  1.31055E-040  1.00000E-040  1.00000E-040  8.51434E-015  1.00000E-040  1.94917E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.65268E-028  9.39240E-031  1.00000E-040  1.00000E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.77684E+000  5.97166E-001  1.90494E+019  2.27055E+002  1.00000E+005  4.51985E-001  3.34330E+002  1.00000E-040  1.00000E-040  5.89665E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  7.43962E-028  7.47372E-006  1.26014E-004  1.34707E-036  4.27165E-025  9.82559E-009  1.81092E-007  7.47373E-001  1.09555E-030  1.04003E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.58142E-030  3.60814E-021  1.05947E-017  2.50807E-025  8.95925E-025  4.42839E-019  1.94157E-013  7.12476E-021  3.15328E-013  2.52493E-001  7.08413E-033  1.31003E-033  3.13228E-014  1.00000E-040  1.00000E-040  1.00000E-040  5.65715E-033  3.77743E-019  2.55244E-015  3.02341E-023  3.04412E-023  4.70346E-013  2.46400E-017  1.07285E-027  9.41009E-037  1.00000E-040  1.84266E-015  1.61466E-037  3.24415E-033  2.16040E-030  1.00000E-040  1.00000E-040  1.00000E-040  7.50137E-033  1.66183E-036  2.13035E-025  1.00000E-040  1.00000E-040  1.37215E-040  1.00000E-040  1.00000E-040  1.99487E-014  1.00000E-040  2.03988E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.66213E-028  9.82931E-031  1.00000E-040  1.00000E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.96140E+000  5.07918E-001  1.66681E+019  2.20711E+002  1.00000E+005  3.23173E-001  3.10006E+002  1.00000E-040  1.00000E-040  5.91625E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.15742E-028  7.83227E-006  8.20965E-005  2.04904E-036  8.49890E-025  1.98226E-008  2.08840E-007  7.83230E-001  2.22008E-031  1.32606E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.84920E-030  1.76667E-021  1.11088E-017  2.20222E-025  8.11825E-025  4.64085E-019  2.08838E-013  6.60925E-021  3.34444E-013  2.16679E-001  7.42403E-033  1.37286E-033  3.28840E-014  1.00000E-040  1.00000E-040  1.00000E-040  5.92857E-033  6.86861E-019  3.25441E-015  9.18448E-023  3.34088E-023  2.18313E-013  2.64207E-017  1.05310E-027  1.70549E-037  1.00000E-040  1.93107E-015  1.69212E-037  3.39980E-033  2.26406E-030  1.00000E-040  1.00000E-040  1.00000E-040  7.86127E-033  1.74156E-036  1.34367E-025  1.00000E-040  1.00000E-040  1.43905E-040  1.00000E-040  1.00000E-040  3.35271E-014  1.00000E-040  2.13779E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.13848E-028  1.03009E-030  1.00000E-040  1.00000E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.14596E+000  4.40637E-001  1.46778E+019  2.17438E+002  1.00000E+005  1.47613E-001  1.55556E+002  1.00000E-040  1.00000E-040  5.98485E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.99855E-028  8.03837E-006  5.93076E-005  3.15099E-036  1.44557E-024  3.10869E-008  2.35831E-007  8.03842E-001  9.11080E-032  1.62726E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.00314E-030  1.14045E-021  1.14101E-017  1.85663E-025  7.03899E-025  4.76298E-019  2.20383E-013  6.08604E-021  3.51096E-013  1.96090E-001  7.61943E-033  1.40896E-033  3.38098E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.08459E-033  1.09975E-018  3.99362E-015  1.91614E-022  5.68885E-023  1.10810E-013  2.77041E-017  1.04318E-027  1.00000E-040  1.00000E-040  1.98189E-015  1.73665E-037  3.48927E-033  2.32364E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.06815E-033  1.78740E-036  9.68936E-026  1.00000E-040  1.00000E-040  1.47829E-040  1.00000E-040  1.00000E-040  4.86434E-014  1.00000E-040  2.19411E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.03640E-028  1.05719E-030  1.00000E-040  1.00000E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.33052E+000  3.89650E-001  1.30363E+019  2.16490E+002  1.00000E+005  4.61943E-002  3.50170E+001  1.00000E-040  1.00000E-040  6.13286E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.60890E-028  8.08998E-006  5.12271E-005  4.94569E-036  2.28031E-024  4.33191E-008  2.61422E-007  8.09005E-001  5.58427E-032  1.93599E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.04169E-030  8.68756E-022  1.14954E-017  1.51313E-025  5.88350E-025  4.79356E-019  2.28573E-013  5.75018E-021  3.65826E-013  1.90935E-001  7.66840E-033  1.41798E-033  3.40916E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.12367E-033  1.78708E-018  4.75130E-015  3.31919E-022  1.00276E-022  7.73993E-014  2.84499E-017  1.03885E-027  1.00000E-040  1.00000E-040  1.99461E-015  1.74781E-037  3.51168E-033  2.33856E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.11997E-033  1.79888E-036  7.80795E-026  1.00000E-040  1.00000E-040  1.48942E-040  1.00000E-040  1.00000E-040  6.48985E-014  1.00000E-040  2.20827E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.13650E-028  1.06398E-030  1.00000E-040  1.00000E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.51508E+000  3.46768E-001  1.15930E+019  2.16651E+002  1.00000E+005  3.91141E-003  4.85934E-020  1.00000E-040  1.00000E-040  6.31520E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.50093E-028  8.08996E-006  5.04497E-005  8.09845E-036  3.54406E-024  5.68169E-008  2.88431E-007  8.09006E-001  4.31393E-032  2.27059E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.04170E-030  7.37483E-022  1.15107E-017  1.21523E-025  4.83590E-025  4.79356E-019  2.36171E-013  5.82878E-021  3.84173E-013  1.90935E-001  7.66844E-033  1.41794E-033  3.41620E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.12368E-033  2.91796E-018  5.57249E-015  5.32164E-022  1.64600E-022  8.47408E-014  2.89927E-017  1.04061E-027  4.91405E-037  1.00000E-040  1.99462E-015  1.74781E-037  3.51169E-033  2.33856E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.11997E-033  1.79888E-036  6.68349E-026  1.00000E-040  1.00000E-040  1.49135E-040  1.00000E-040  1.00000E-040  8.27824E-014  1.00000E-040  2.20835E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.39944E-028  1.06398E-030  1.00000E-040  1.00000E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.69964E+000  3.08741E-001  1.02631E+019  2.17888E+002  1.00000E+005  2.08531E-018  8.45863E-020  1.00000E-040  1.00000E-040  6.51824E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.65004E-028  8.08994E-006  5.04497E-005  1.51524E-035  5.79110E-024  7.20315E-008  3.18874E-007  8.09006E-001  4.17446E-032  2.64775E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.04170E-030  6.91772E-022  1.15293E-017  9.64119E-026  3.91937E-025  4.79355E-019  2.44734E-013  6.53254E-021  4.10235E-013  1.90935E-001  7.66849E-033  1.41790E-033  3.42398E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.12368E-033  4.91480E-018  6.49811E-015  8.49781E-022  3.26205E-022  1.36804E-013  2.95067E-017  1.05478E-027  1.00000E-040  1.00000E-040  1.99462E-015  1.74780E-037  3.51169E-033  2.33856E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.11997E-033  1.79888E-036  6.10051E-026  1.00000E-040  1.00000E-040  1.49361E-040  1.00000E-040  1.00000E-040  1.02940E-013  1.00000E-040  2.20844E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.00785E-028  1.06398E-030  1.00000E-040  1.73379E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.88420E+000  2.75166E-001  9.04741E+018  2.20286E+002  1.00000E+005  6.73438E-018  3.00518E-019  1.00000E-040  1.00000E-040  6.72714E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.20776E-028  8.08991E-006  5.04497E-005  3.29696E-035  1.01118E-023  8.92562E-008  3.53340E-007  8.09006E-001  5.16796E-032  3.07474E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.04171E-030  7.14892E-022  1.15517E-017  7.54472E-026  3.12778E-025  4.79354E-019  2.54428E-013  8.13959E-021  4.46827E-013  1.90935E-001  7.66854E-033  1.41786E-033  3.43265E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.12368E-033  8.59393E-018  7.54602E-015  1.38557E-021  8.23822E-022  2.76792E-013  2.99875E-017  1.08240E-027  1.00000E-040  1.00000E-040  1.99462E-015  1.74780E-037  3.51169E-033  2.33856E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.11997E-033  1.79887E-036  5.95390E-026  1.00000E-040  1.00000E-040  1.49624E-040  1.00000E-040  1.00000E-040  1.25760E-013  1.00000E-040  2.20855E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.37328E-028  1.06397E-030  1.00000E-040  3.65995E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.00688E+001  2.45598E-001  7.96984E+018  2.23199E+002  1.00000E+005  4.62446E-017  1.81842E-018  1.00000E-040  1.00000E-040  6.90181E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.47137E-028  8.08988E-006  5.04497E-005  7.68450E-035  1.82758E-023  1.08803E-007  3.92451E-007  8.09006E-001  7.70918E-032  3.55929E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.04171E-030  7.98105E-022  1.15780E-017  5.87256E-026  2.47860E-025  4.79353E-019  2.65428E-013  1.11246E-020  4.98467E-013  1.90935E-001  7.66859E-033  1.41781E-033  3.44238E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.12368E-033  1.49214E-017  8.73521E-015  2.29203E-021  2.31218E-021  6.08206E-013  3.04295E-017  1.11605E-027  1.00000E-040  1.00000E-040  1.99462E-015  1.74780E-037  3.51169E-033  2.33856E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.11997E-033  1.79887E-036  5.98697E-026  1.00000E-040  1.00000E-040  1.49932E-040  1.00000E-040  1.00000E-040  1.51653E-013  1.00000E-040  2.20867E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.11896E-028  1.06397E-030  1.00000E-040  7.73217E-040  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.12533E+001  2.19575E-001  7.01807E+018  2.26611E+002  1.00000E+005  4.40205E-016  1.49046E-017  1.00000E-040  1.00000E-040  7.00460E-008  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.49766E-028  8.08984E-006  5.04497E-005  1.92380E-034  3.43625E-023  1.30997E-007  4.36860E-007  8.09006E-001  1.39479E-031  4.10946E-030  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.04171E-030  9.66035E-022  1.16087E-017  4.54804E-026  1.95124E-025  4.79352E-019  2.77918E-013  1.63101E-020  5.72153E-013  1.90935E-001  7.66865E-033  1.41775E-033  3.45330E-014  1.00000E-040  1.00000E-040  1.00000E-040  6.12368E-033  2.56110E-017  1.00854E-014  3.88429E-021  7.20650E-021  1.36749E-012  3.08259E-017  1.15558E-027  1.00000E-040  1.00000E-040  1.99462E-015  1.74780E-037  3.51169E-033  2.33856E-030  1.00000E-040  1.00000E-040  1.00000E-040  8.11997E-033  1.79887E-036  6.18531E-026  1.00000E-040  1.00000E-040  1.50293E-040  1.00000E-040  1.00000E-040  1.81050E-013  1.00000E-040  2.20881E-038  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.19668E-027  1.06396E-030  1.00000E-040  1.65316E-039  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
