alt press den temp eddy H2Oaer SO2aer H2Saer CO2aer S8aer S2aer HClaer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r H2Saer_r CO2aer_r S8aer_r S2aer_r HClaer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
2.50000000E-01 1.00691000E+00 3.40390000E+19 2.14255956E+02 1.00000000E+05 5.30267000E-01 2.05128000E+02 1.06460000E-40 2.96653000E-10 1.10500000E-34 1.41942000E-12 1.06361000E-40 5.19385000E-08 1.06454000E-40 1.06454000E-40 1.06454000E-40 1.06454000E-40 1.06454000E-40 3.83763000E-19 1.00000000E-40 8.68979000E-06 5.02290000E-29 2.75452000E-20 9.93142000E-10 1.09246000E-07 9.93142000E-01 2.12250000E-21 6.82746000E-21 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.85490000E-35 1.02999000E-26 4.64120000E-16 5.82570000E-17 5.95069000E-22 9.69620000E-23 8.49101000E-23 1.69174000E-09 3.19293000E-13 3.26154000E-11 6.84912000E-03 4.81686000E-37 2.87036000E-32 5.17984000E-11 1.00000000E-40 1.00000000E-40 1.54663000E-33 2.28607000E-32 3.81944000E-18 9.64382000E-13 7.37944000E-19 1.05388000E-18 1.34720000E-13 3.24318000E-08 9.77918000E-18 1.47833000E-23 1.71649000E-28 9.86628000E-10 2.91258000E-36 6.85840000E-26 1.13417000E-29 1.38815000E-32 1.18306000E-39 1.00000000E-40 7.52790000E-32 2.91876000E-33 5.97395000E-14 2.55852000E-36 1.00000000E-40 6.45817000E-35 1.00000000E-40 1.00000000E-40 1.72935000E-15 9.51446000E-32 1.28646000E-28 1.00000000E-40 1.00000000E-40 3.08681000E-37 7.55073000E-36 1.23563000E-31 8.69730000E-39 1.35561000E-28 1.95999000E-21 2.84314000E-23 2.07361000E-35 4.80451000E-38 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E-01 9.58148000E-01 3.25255000E+19 2.13367114E+02 1.00000000E+05 5.35882000E-01 2.05719000E+02 1.00469000E-40 3.20120000E-10 1.19549000E-34 5.57184000E-13 1.00451000E-40 5.20914000E-08 1.00468000E-40 1.00468000E-40 1.00468000E-40 1.00468000E-40 1.00468000E-40 7.18569000E-20 2.45046000E-08 7.31580000E-06 1.65611000E-29 3.16490000E-20 3.20591000E-09 1.14446000E-07 9.93120000E-01 1.41131000E-22 7.52800000E-21 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.21136000E-36 1.03377000E-26 1.89678000E-16 2.37110000E-17 8.74220000E-23 1.47600000E-23 8.93951000E-23 1.66979000E-09 3.11538000E-13 3.28901000E-11 6.87281000E-03 5.06992000E-37 2.88087000E-32 5.16631000E-11 1.00000000E-40 1.00000000E-40 1.55243000E-33 2.29503000E-32 2.20720000E-18 1.06450000E-12 1.54306000E-18 1.48866000E-18 1.33120000E-13 3.25513000E-08 9.43104000E-18 1.28957000E-23 1.54407000E-28 9.91549000E-10 2.92337000E-36 6.88347000E-26 1.13868000E-29 1.39302000E-32 1.18845000E-39 1.00230000E-40 7.55571000E-32 2.92941000E-33 5.08914000E-14 2.59701000E-36 1.00000000E-40 6.48153000E-35 1.00000000E-40 1.00000000E-40 1.99622000E-15 3.99742000E-32 1.29135000E-28 1.00000000E-40 1.00000000E-40 2.15267000E-37 7.57786000E-36 1.24117000E-31 8.73445000E-39 1.36060000E-28 2.05564000E-22 2.85387000E-23 2.07951000E-35 1.13970000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.25000000E+00 9.11531000E-01 3.13569000E+19 2.10548877E+02 1.00000000E+05 5.61925000E-01 2.10388000E+02 1.00245000E-40 4.00968000E-10 1.47167000E-34 2.61418000E-13 1.00239000E-40 5.26197000E-08 1.00245000E-40 1.00245000E-40 1.00245000E-40 1.00245000E-40 1.00245000E-40 3.20380000E-20 5.00840000E-08 5.82749000E-06 1.08200000E-29 3.10799000E-20 5.51953000E-09 1.19882000E-07 9.93099000E-01 3.59596000E-23 8.23223000E-21 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.08980000E-36 1.03749000E-26 1.04300000E-16 1.11820000E-17 2.02692000E-23 3.04010000E-24 9.38795000E-23 1.64841000E-09 2.88880000E-13 3.31073000E-11 6.89481000E-03 5.56700000E-37 2.89125000E-32 5.13724000E-11 1.00000000E-40 1.00000000E-40 1.55832000E-33 2.30453000E-32 1.65990000E-18 1.16647000E-12 2.50720000E-18 1.45826000E-18 1.02146000E-13 3.26703000E-08 7.99187000E-18 9.78328000E-24 1.35171000E-28 9.97661000E-10 2.93413000E-36 6.90825000E-26 1.14352000E-29 1.39759000E-32 1.19491000E-39 1.00508000E-40 7.58347000E-32 2.93989000E-33 3.90391000E-14 2.64687000E-36 1.00000000E-40 6.50443000E-35 1.00000000E-40 1.00000000E-40 2.16404000E-15 1.34671000E-32 1.29620000E-28 1.00000000E-40 1.00000000E-40 2.39310000E-37 7.60438000E-36 1.24775000E-31 8.77648000E-39 1.36550000E-28 7.98086000E-23 2.86476000E-23 2.08529000E-35 2.05671000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.75000000E+00 8.66386000E-01 3.02088000E+19 2.07727776E+02 1.00000000E+05 5.90121000E-01 2.15467000E+02 1.00120000E-40 5.05376000E-10 1.82729000E-34 1.41748000E-13 1.00116000E-40 5.32233000E-08 1.00120000E-40 1.00120000E-40 1.00120000E-40 1.00120000E-40 1.00120000E-40 1.89735000E-20 7.66482000E-08 4.33229000E-06 8.17406000E-30 2.99049000E-20 7.92904000E-09 1.25541000E-07 9.93079000E-01 1.43655000E-23 8.93601000E-21 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.26049000E-36 1.04132000E-26 6.55341000E-17 6.00842000E-18 6.15299000E-24 8.14726000E-25 9.83483000E-23 1.62783000E-09 2.66273000E-13 3.32596000E-11 6.91593000E-03 6.31385000E-37 2.90189000E-32 5.10080000E-11 1.00000000E-40 1.00000000E-40 1.56451000E-33 2.31490000E-32 1.38773000E-18 1.26986000E-12 3.45657000E-18 1.58826000E-18 7.79364000E-14 3.27934000E-08 6.75286000E-18 6.87075000E-24 1.16715000E-28 1.00489000E-09 2.94526000E-36 6.93362000E-26 1.14883000E-29 1.40205000E-32 1.20267000E-39 1.00800000E-40 7.61218000E-32 2.95056000E-33 2.98468000E-14 2.70310000E-36 1.00000000E-40 6.52772000E-35 1.00000000E-40 1.00000000E-40 2.36071000E-15 4.28620000E-33 1.30114000E-28 1.00000000E-40 1.00000000E-40 3.60635000E-37 7.63133000E-36 1.25557000E-31 8.82471000E-39 1.37047000E-28 4.33769000E-23 2.87608000E-23 2.09172000E-35 3.13309000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.25000000E+00 8.22772000E-01 2.90823000E+19 2.04911494E+02 1.00000000E+05 6.26793000E-01 2.22043000E+02 1.00029000E-40 6.77573000E-10 2.38855000E-34 8.33092000E-14 1.00026000E-40 5.41906000E-08 1.00028000E-40 1.00028000E-40 1.00028000E-40 1.00028000E-40 1.00028000E-40 1.24769000E-20 1.04227000E-07 3.14374000E-06 6.43714000E-30 2.86383000E-20 1.04405000E-08 1.31436000E-07 9.93060000E-01 6.90310000E-24 9.63771000E-21 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.09742000E-37 1.04526000E-26 4.42635000E-17 3.48935000E-18 2.17958000E-24 2.55552000E-25 1.02799000E-22 1.60802000E-09 2.45420000E-13 3.33663000E-11 6.93635000E-03 7.32261000E-37 2.91287000E-32 5.06042000E-11 1.00000000E-40 1.00000000E-40 1.57105000E-33 2.32623000E-32 1.18290000E-18 1.37463000E-12 4.35124000E-18 1.78349000E-18 6.02936000E-14 3.29219000E-08 5.68457000E-18 4.61136000E-24 9.99373000E-29 1.01312000E-09 2.95687000E-36 6.95983000E-26 1.15470000E-29 1.40643000E-32 1.21185000E-39 1.01105000E-40 7.64211000E-32 2.96155000E-33 2.28344000E-14 2.76348000E-36 1.00000000E-40 6.55159000E-35 1.00000000E-40 1.00000000E-40 2.64217000E-15 1.47597000E-33 1.30621000E-28 1.00000000E-40 1.00000000E-40 5.79089000E-37 7.65896000E-36 1.26472000E-31 8.87969000E-39 1.37558000E-28 2.68424000E-23 2.88790000E-23 2.09908000E-35 4.33928000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.75000000E+00 7.80739000E-01 2.79155000E+19 2.02571455E+02 1.00000000E+05 6.67984000E-01 2.29644000E+02 1.00090000E-40 9.15830000E-10 3.14810000E-34 5.23433000E-14 1.00085000E-40 5.54314000E-08 1.00090000E-40 1.00090000E-40 1.00090000E-40 1.00090000E-40 1.00090000E-40 9.09465000E-21 1.32882000E-07 2.34858000E-06 5.37996000E-30 2.78731000E-20 1.30631000E-08 1.37590000E-07 9.93041000E-01 3.91040000E-24 1.03362000E-20 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.64411000E-37 1.04935000E-26 3.19520000E-17 2.19867000E-18 8.93908000E-25 9.40392000E-26 1.07229000E-22 1.58890000E-09 2.29163000E-13 3.34479000E-11 6.95610000E-03 8.61212000E-37 2.92427000E-32 5.01786000E-11 1.00000000E-40 1.00000000E-40 1.57800000E-33 2.33861000E-32 1.05582000E-18 1.48081000E-12 5.19239000E-18 2.06235000E-18 4.87681000E-14 3.30566000E-08 4.93574000E-18 3.05188000E-24 8.51310000E-29 1.02226000E-09 2.96903000E-36 6.98699000E-26 1.16115000E-29 1.41074000E-32 1.22258000E-39 1.01424000E-40 7.67342000E-32 2.97289000E-33 1.79799000E-14 2.82690000E-36 1.00000000E-40 6.57617000E-35 1.00000000E-40 1.00000000E-40 3.05751000E-15 6.28350000E-34 1.31141000E-28 1.00000000E-40 1.00000000E-40 8.94178000E-37 7.68739000E-36 1.27530000E-31 8.94189000E-39 1.38083000E-28 1.84573000E-23 2.90022000E-23 2.10748000E-35 5.69656000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.25000000E+00 7.40397000E-01 2.66996000E+19 2.00852197E+02 1.00000000E+05 7.15699000E-01 2.38616000E+02 1.00069000E-40 1.26652000E-09 4.23369000E-34 3.55575000E-14 1.00063000E-40 5.70797000E-08 1.00105000E-40 1.00105000E-40 1.00105000E-40 1.00105000E-40 1.00106000E-40 7.36334000E-21 1.62720000E-07 1.86023000E-06 4.79819000E-30 2.77837000E-20 1.58109000E-08 1.44035000E-07 9.93023000E-01 2.58806000E-24 1.10313000E-20 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.31271000E-37 1.05361000E-26 2.44816000E-17 1.50025000E-18 4.19834000E-25 4.03759000E-26 1.11646000E-22 1.57038000E-09 2.17802000E-13 3.35187000E-11 6.97523000E-03 1.02108000E-36 2.93613000E-32 4.97407000E-11 1.00000000E-40 1.00000000E-40 1.58538000E-33 2.35215000E-32 1.00394000E-18 1.58858000E-12 5.99389000E-18 2.40995000E-18 4.14225000E-14 3.31985000E-08 4.47913000E-18 2.03955000E-24 7.22809000E-29 1.03226000E-09 2.98180000E-36 7.01525000E-26 1.16823000E-29 1.41498000E-32 1.23504000E-39 1.01759000E-40 7.70628000E-32 2.98465000E-33 1.47382000E-14 2.89286000E-36 1.00000000E-40 6.60157000E-35 1.00000000E-40 1.00000000E-40 3.65814000E-15 3.50097000E-34 1.31679000E-28 1.00000000E-40 1.00000000E-40 1.30756000E-36 7.71677000E-36 1.28741000E-31 9.01185000E-39 1.38626000E-28 1.38989000E-23 2.91309000E-23 2.11698000E-35 7.24498000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.75000000E+00 7.01752000E-01 2.54897000E+19 1.99404862E+02 1.00000000E+05 7.69253000E-01 2.48692000E+02 1.00022000E-40 1.77691000E-09 5.76934000E-34 2.54337000E-14 1.00020000E-40 5.90142000E-08 1.02238000E-40 1.02238000E-40 1.02238000E-40 1.02238000E-40 1.02340000E-40 6.27769000E-21 1.93847000E-07 1.53789000E-06 4.41188000E-30 2.80329000E-20 1.86976000E-08 1.50802000E-07 9.93004000E-01 1.85978000E-24 1.17224000E-20 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.45550000E-37 1.05806000E-26 1.94471000E-17 1.07407000E-18 2.14382000E-25 1.90518000E-26 1.16052000E-22 1.55240000E-09 2.08985000E-13 3.35878000E-11 6.99373000E-03 1.21556000E-36 2.94850000E-32 4.92958000E-11 1.00000000E-40 1.00000000E-40 1.59324000E-33 2.36693000E-32 9.78279000E-19 1.69808000E-12 6.76175000E-18 2.73636000E-18 3.59907000E-14 3.33484000E-08 4.14604000E-18 1.38887000E-24 6.12530000E-29 1.04311000E-09 2.99524000E-36 7.04472000E-26 1.17598000E-29 1.41917000E-32 1.24943000E-39 1.02112000E-40 7.74083000E-32 2.99687000E-33 1.23285000E-14 2.96111000E-36 1.00000000E-40 6.62788000E-35 1.00000000E-40 1.00000000E-40 4.50356000E-15 2.36378000E-34 1.32236000E-28 1.00000000E-40 1.00000000E-40 1.82556000E-36 7.74721000E-36 1.30119000E-31 9.09020000E-39 1.39189000E-28 1.10082000E-23 2.92656000E-23 2.12767000E-35 8.99687000E-37 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.25000000E+00 6.64758000E-01 2.43184000E+19 1.97990940E+02 1.00000000E+05 8.27466000E-01 2.59485000E+02 1.00012000E-40 2.50732000E-09 7.90973000E-34 1.86539000E-14 1.00011000E-40 6.11167000E-08 1.05990000E-40 1.05990000E-40 1.05990000E-40 1.05990000E-40 1.06099000E-40 5.42333000E-21 2.26330000E-07 1.30091000E-06 4.08733000E-30 2.83838000E-20 2.17345000E-08 1.57919000E-07 9.92987000E-01 1.37784000E-24 1.24078000E-20 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.80985000E-37 1.06271000E-26 1.57617000E-17 7.88438000E-19 1.14711000E-25 9.45547000E-27 1.20443000E-22 1.53493000E-09 2.01242000E-13 3.36615000E-11 7.01159000E-03 1.44886000E-36 2.96144000E-32 4.88480000E-11 1.00000000E-40 1.00000000E-40 1.60161000E-33 2.38305000E-32 9.48818000E-19 1.80932000E-12 7.49694000E-18 2.98443000E-18 3.14485000E-14 3.35068000E-08 3.84589000E-18 9.66253000E-25 5.18949000E-29 1.05480000E-09 3.00941000E-36 7.07553000E-26 1.18445000E-29 1.42330000E-32 1.26596000E-39 1.02483000E-40 7.77723000E-32 3.00960000E-33 1.03658000E-14 3.03149000E-36 1.00000000E-40 6.65519000E-35 1.00000000E-40 1.00000000E-40 5.67040000E-15 1.75409000E-34 1.32813000E-28 1.00000000E-40 1.00000000E-40 2.45412000E-36 7.77882000E-36 1.31674000E-31 9.17749000E-39 1.39773000E-28 8.93389000E-24 2.94067000E-23 2.13961000E-35 1.09543000E-36 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.75000000E+00 6.29380000E-01 2.31528000E+19 1.96891400E+02 1.00000000E+05 8.91857000E-01 2.71601000E+02 1.00004000E-40 3.59307000E-09 1.09874000E-33 1.41161000E-14 1.00003000E-40 6.35622000E-08 1.10267000E-40 1.10267000E-40 1.10267000E-40 1.10267000E-40 1.10386000E-40 4.92569000E-21 2.60248000E-07 1.13476000E-06 3.90601000E-30 2.91010000E-20 2.49342000E-08 1.65413000E-07 9.92970000E-01 1.09809000E-24 1.30860000E-20 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.39937000E-37 1.06757000E-26 1.31212000E-17 5.99194000E-19 6.51343000E-26 5.01582000E-27 1.24818000E-22 1.51794000E-09 1.95354000E-13 3.37440000E-11 7.02881000E-03 1.72586000E-36 2.97499000E-32 4.84002000E-11 1.00000000E-40 1.00000000E-40 1.61054000E-33 2.40062000E-32 9.49653000E-19 1.92231000E-12 8.20678000E-18 3.27706000E-18 2.80446000E-14 3.36746000E-08 3.65496000E-18 6.92749000E-25 4.40515000E-29 1.06735000E-09 3.02436000E-36 7.10778000E-26 1.19369000E-29 1.42737000E-32 1.28488000E-39 1.02874000E-40 7.81562000E-32 3.02288000E-33 8.90983000E-15 3.10392000E-36 1.00000000E-40 6.68361000E-35 1.00000000E-40 1.00000000E-40 7.25982000E-15 1.39559000E-34 1.33412000E-28 1.00000000E-40 1.00000000E-40 3.19613000E-36 7.81171000E-36 1.33420000E-31 9.27437000E-39 1.40381000E-28 7.54784000E-24 2.95545000E-23 2.15286000E-35 1.31711000E-36 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
