alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.60091570E+19 1.94970878E+02 1.00000000E+05 4.36522571E-01 2.18603091E+02 1.00000000E-40 1.03752726E-40 5.29947784E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.07341683E-28 7.14151868E-06 8.85812898E-07 9.50384261E-37 3.31272894E-25 1.42830374E-09 1.57113411E-07 7.14151868E-01 1.34718013E-30 7.94181094E-31 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.34424369E-30 5.64566383E-21 1.01412946E-17 3.02303854E-25 1.33438088E-24 4.24021725E-19 2.85660747E-13 7.23844642E-21 3.01649098E-13 1.50436914E-02 6.78308179E-33 1.25437166E-33 2.99172207E-14 1.00000000E-40 1.00000000E-40 2.55102814E-40 5.41675392E-33 2.99881307E-21 1.94907726E-15 2.12242119E-23 5.39418189E-23 4.25643038E-16 3.57075934E-08 7.04210045E-28 3.35343192E-37 1.00000000E-40 1.76435754E-15 1.54604203E-37 3.10629784E-33 2.06859845E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.18261144E-33 1.59121715E-36 2.25742979E-26 1.00000000E-40 1.00000000E-40 1.31353361E-40 1.00000000E-40 1.00000000E-40 8.36348768E-15 1.00000000E-40 1.95317839E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.96586785E-40 1.00000000E-40 1.00000000E-40 1.43425186E-40 7.06500162E-29 9.41163604E-31 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.15732160E+19 2.00491931E+02 1.00000000E+05 4.51960984E-01 3.34317356E+02 1.00000000E-40 1.12789666E-40 5.92223981E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.40441897E-28 7.45605227E-06 1.25340014E-06 9.83934500E-36 1.81267782E-24 9.58815109E-09 1.80235095E-07 7.43228719E-01 9.68950900E-32 1.03179799E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.57125757E-30 1.59188012E-21 1.05749999E-17 2.32154604E-25 1.06226800E-24 4.42032885E-19 2.36896731E-13 6.97710648E-21 3.15854884E-13 1.60720269E-02 7.07123028E-33 1.30764262E-33 3.12580478E-14 1.00000000E-40 1.00000000E-40 2.40961096E-40 5.64684982E-33 3.29644835E-20 2.53223595E-15 1.73905929E-22 5.41954539E-22 2.09873550E-15 1.47854974E-08 7.88000209E-28 1.84150642E-37 1.00000000E-40 1.83930542E-15 1.61171618E-37 3.23824612E-33 2.15646942E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.48771424E-33 1.65881103E-36 2.99727467E-26 1.00000000E-40 1.00000000E-40 1.36982494E-40 1.00000000E-40 1.00000000E-40 1.95814321E-14 1.00000000E-40 2.03616982E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.99682970E-40 1.00000000E-40 1.00000000E-40 1.86755103E-40 1.06388082E-28 9.81141455E-31 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 1.78923665E+19 2.05609197E+02 1.00000000E+05 3.23137900E-01 3.09962848E+02 1.00000000E-40 1.21474793E-40 6.65545082E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.56685409E-28 7.81520996E-06 1.63066527E-06 4.66518331E-35 5.24170633E-24 1.95256640E-08 2.07877479E-07 7.78418791E-01 7.11334702E-32 1.31680667E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.83707973E-30 1.10171303E-21 1.10854924E-17 1.82739328E-25 8.60946506E-25 4.63123192E-19 2.20278093E-13 6.55268604E-21 3.34818898E-13 1.72545769E-02 7.40864216E-33 1.37001370E-33 3.28120787E-14 1.00000000E-40 1.00000000E-40 2.22009270E-40 5.91628092E-33 1.64010108E-19 3.23170312E-15 6.20289052E-22 2.68862692E-21 7.38557195E-15 4.10899964E-09 8.83108297E-28 6.78889587E-38 1.00000000E-40 1.92706601E-15 1.68861478E-37 3.39275267E-33 2.25936381E-30 1.01028248E-40 1.01028247E-40 1.01028247E-40 7.84497573E-33 1.73796151E-36 3.71212641E-26 1.01028240E-40 1.00000000E-40 1.43613470E-40 1.00000000E-40 1.00000000E-40 3.31115492E-14 1.00000000E-40 2.13336333E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.02056494E-40 1.01028247E-40 1.01028107E-40 2.31578384E-40 2.46447214E-28 1.02795283E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.52102842E+19 2.09826506E+02 1.00000000E+05 1.47588319E-01 1.55515636E+02 1.00000000E-40 1.26726987E-40 7.35506976E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.17405406E-28 8.02740381E-06 1.89037304E-06 1.53775246E-34 1.18269395E-23 3.08240104E-08 2.35068385E-07 8.01529881E-01 7.86130344E-32 1.61956564E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.99504227E-30 9.01348772E-22 1.13944982E-17 1.43273155E-25 6.92145086E-25 4.75655573E-19 2.22367316E-13 6.07307468E-21 3.51363903E-13 1.80768854E-02 7.60915774E-33 1.40706141E-33 3.37622040E-14 1.00000000E-40 1.00000000E-40 2.04093068E-40 6.07638636E-33 5.32322022E-19 3.97473481E-15 1.50846409E-21 1.00063555E-20 1.92650130E-14 8.22492836E-10 9.54642636E-28 1.98968545E-38 1.00000000E-40 1.97921539E-15 1.73431078E-37 3.48456604E-33 2.32050587E-30 1.01066787E-40 1.01066786E-40 1.01066786E-40 8.05727231E-33 1.78499867E-36 4.18765239E-26 1.01066782E-40 1.00000000E-40 1.47631192E-40 1.00000000E-40 1.00000000E-40 4.82844267E-14 1.00000000E-40 2.19115166E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.02133571E-40 1.01066786E-40 1.01066468E-40 2.64734603E-40 5.06385532E-28 1.05576726E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.32318752E+19 2.13289759E+02 1.00000000E+05 4.61792452E-02 3.48802902E+01 1.00000000E-40 1.27903542E-40 7.98421993E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.34892642E-28 8.08435657E-06 2.01413962E-06 4.08572625E-34 2.31323928E-23 4.31020255E-08 2.60866550E-07 8.11462060E-01 1.03724132E-31 1.93000944E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.03750599E-30 7.90001611E-22 1.14873027E-17 1.11334746E-25 5.49864870E-25 4.79024004E-19 2.28678902E-13 5.76137691E-21 3.65887029E-13 1.84903458E-02 7.66308539E-33 1.41699602E-33 3.40666381E-14 1.00000000E-40 1.00000000E-40 1.89222065E-40 6.11942750E-33 1.33708999E-18 4.73662723E-15 2.98818794E-21 3.15412967E-20 4.07557529E-14 1.26557536E-10 1.00104526E-27 1.07278703E-38 1.00000000E-40 1.99323276E-15 1.74659607E-37 3.50924861E-33 2.33694025E-30 1.00477034E-40 1.00477032E-40 1.00477032E-40 8.11434126E-33 1.79764532E-36 4.41665082E-26 1.00477030E-40 1.00000000E-40 1.48838294E-40 1.00000000E-40 1.00000000E-40 6.46060384E-14 1.00000000E-40 2.20673911E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00954063E-40 1.00477032E-40 1.00476409E-40 2.85080754E-40 9.32269770E-28 1.06324310E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.15956452E+19 2.16601177E+02 1.00000000E+05 3.89792253E-03 4.86030182E-20 1.00000000E-40 1.26466553E-40 8.62529307E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.77123713E-28 8.08867854E-06 2.07481898E-06 1.00269874E-33 4.27169518E-23 5.66455586E-08 2.88060315E-07 8.17821803E-01 1.60279032E-31 2.26620784E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04074160E-30 7.39585725E-22 1.15087445E-17 8.62046082E-26 4.34270248E-25 4.79279874E-19 2.36088015E-13 5.86589668E-21 3.83908031E-13 1.87905537E-02 7.66722699E-33 1.41771788E-33 3.41555941E-14 1.00000000E-40 1.00000000E-40 1.77956831E-40 6.12270747E-33 2.92595460E-18 5.56172890E-15 5.34565208E-21 9.52091211E-20 8.08427328E-14 1.58565503E-11 1.03969566E-27 1.43419536E-38 1.00000000E-40 1.99430186E-15 1.74753022E-37 3.51113102E-33 2.33819022E-30 1.00105378E-40 1.00105376E-40 1.00105375E-40 8.11868480E-33 1.79860947E-36 4.58325161E-26 1.00105373E-40 1.00000000E-40 1.49109489E-40 1.00000000E-40 1.00000000E-40 8.25541417E-14 1.00000000E-40 2.20799928E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00210749E-40 1.00105375E-40 1.00104236E-40 2.95642199E-40 1.67659852E-27 1.06381107E-30 1.00000000E-40 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.01816575E+19 2.19630444E+02 1.00000000E+05 2.08625328E-18 8.46501145E-20 1.00000000E-40 1.23333610E-40 9.32088296E-08 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.04662942E-27 8.09258868E-06 2.13695971E-06 2.29300107E-33 7.57798740E-23 7.19229444E-08 3.18714393E-07 8.25269733E-01 2.66574663E-31 2.64534316E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04368150E-30 7.31240294E-22 1.15330290E-17 6.70655971E-26 3.43994982E-25 4.79512047E-19 2.44744469E-13 6.61155532E-21 4.09647583E-13 1.91328202E-02 7.67099960E-33 1.41836702E-33 3.42502343E-14 1.00000000E-40 1.00000000E-40 1.69319523E-40 6.12568557E-33 5.75507091E-18 6.49220180E-15 8.99586440E-21 2.61223507E-19 1.62829896E-13 1.67858536E-12 1.07519973E-27 7.99002023E-39 1.00000000E-40 1.99527280E-15 1.74837582E-37 3.51283974E-33 2.33932632E-30 1.00053827E-40 1.00053823E-40 1.00053823E-40 8.12263063E-33 1.79948344E-36 4.68421114E-26 1.00053822E-40 1.00000000E-40 1.49406994E-40 1.00000000E-40 1.00000000E-40 1.02797928E-13 1.00000000E-40 2.20916388E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00107644E-40 1.00053823E-40 1.00051867E-40 2.99464206E-40 2.91902226E-27 1.06432585E-30 1.00000000E-40 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 8.95695646E+18 2.22510764E+02 1.00000000E+05 6.74256091E-18 3.00995345E-19 1.00000000E-40 1.19563395E-40 1.00740104E-07 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.97076986E-27 8.09546333E-06 2.20653766E-06 5.06657678E-33 1.32146284E-22 8.92184674E-08 3.53384311E-07 8.33207100E-01 4.67545093E-31 3.07439669E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04585366E-30 7.64400907E-22 1.15595521E-17 5.23462220E-26 2.72976607E-25 4.79683068E-19 2.54547126E-13 8.29389059E-21 4.46035732E-13 1.95045821E-02 7.67380041E-33 1.41883226E-33 3.43495096E-14 1.00000000E-40 1.00000000E-40 1.62154963E-40 6.12788309E-33 1.04191967E-17 7.54518108E-15 1.46511721E-20 6.78199087E-19 3.38195832E-13 1.53619507E-13 1.10897244E-27 3.18639894E-39 1.00000000E-40 1.99598889E-15 1.74900048E-37 3.51410016E-33 2.34016514E-30 1.00071615E-40 1.00071609E-40 1.00071609E-40 8.12554343E-33 1.80012607E-36 4.75799372E-26 1.00071608E-40 1.00000000E-40 1.49724055E-40 1.00000000E-40 1.00000000E-40 1.25713011E-13 1.00000000E-40 2.21006264E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00143214E-40 1.00071609E-40 1.00068427E-40 3.00416272E-40 5.03156788E-27 1.06470281E-30 1.00000000E-40 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 7.90294129E+18 2.25088231E+02 1.00000000E+05 4.63283835E-17 1.82274060E-18 1.00000000E-40 1.18636940E-40 1.08846429E-07 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.71140573E-27 8.09729698E-06 2.28293183E-06 1.07526494E-32 2.27171174E-22 1.08840833E-07 3.92687468E-07 8.41153903E-01 8.25128967E-31 3.56101891E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04725027E-30 8.43680447E-22 1.15885977E-17 4.10936922E-26 2.17607155E-25 4.79792638E-19 2.65636723E-13 1.14177675E-20 4.97803469E-13 1.98957183E-02 7.67562322E-33 1.41910891E-33 3.44549577E-14 1.00000000E-40 1.00000000E-40 1.55924580E-40 6.12929629E-33 1.73463226E-17 8.73944553E-15 2.34050265E-20 1.63765782E-18 6.94746790E-13 1.23862777E-14 1.13917912E-27 1.66309952E-39 1.00000000E-40 1.99644910E-15 1.74940237E-37 3.51491032E-33 2.34070455E-30 1.00092062E-40 1.00092054E-40 1.00092054E-40 8.12741639E-33 1.80053915E-36 4.77616255E-26 1.00092053E-40 1.00000000E-40 1.50067486E-40 1.00000000E-40 1.00000000E-40 1.51707744E-13 1.00000000E-40 2.21069439E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00184102E-40 1.00092054E-40 1.00087197E-40 3.00732479E-40 8.48936933E-27 1.06494378E-30 1.00000000E-40 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 6.99357467E+18 2.27405201E+02 1.00000000E+05 4.41264480E-16 1.49526830E-17 1.00000000E-40 1.28842466E-40 1.17381634E-07 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.99612180E-27 8.09852748E-06 2.36583499E-06 2.23309740E-32 3.90150767E-22 1.31123593E-07 4.37301054E-07 8.48756905E-01 1.46290751E-30 4.11352444E-30 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.04820122E-30 9.91790678E-22 1.16211610E-17 3.24409091E-26 1.74259148E-25 4.79866801E-19 2.78208702E-13 1.68632352E-20 5.72542120E-13 2.02986600E-02 7.67688908E-33 1.41927181E-33 3.45699578E-14 1.00000000E-40 1.00000000E-40 1.50386763E-40 6.13025928E-33 2.67234643E-17 1.00953995E-14 3.72541554E-20 3.76249423E-18 1.36862294E-12 9.16878818E-16 1.16634161E-27 1.41930087E-39 1.00000000E-40 1.99676212E-15 1.74967437E-37 3.51546141E-33 2.34107153E-30 1.00107443E-40 1.00107431E-40 1.00107430E-40 8.12869059E-33 1.80081792E-36 4.76408349E-26 1.00107431E-40 1.00000000E-40 1.50453786E-40 1.00000000E-40 1.00000000E-40 1.81224494E-13 1.00000000E-40 2.21118368E-38 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.00214853E-40 1.00107431E-40 1.00100423E-40 3.01038297E-40 1.42095718E-26 1.06510523E-30 1.00000000E-40 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
