alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.55285514E+19 1.98641439E+02 1.00000000E+05 1.07264049E+00 4.23752491E+02 6.26450909E-10 2.44669205E-34 1.99436977E-07 1.73868093E-40 1.73868093E-40 1.73868093E-40 1.73868093E-40 1.75793658E-40 2.66602747E-15 7.14152080E-06 1.87465084E-06 7.39051690E-24 7.27677559E-20 1.42830416E-09 1.57113457E-07 7.14152080E-01 1.03495280E-17 1.67856462E-17 1.00000000E-40 1.00000000E-40 3.03945042E-40 3.59733483E-29 3.79788464E-22 1.16156516E-18 2.03395348E-16 1.01729286E-22 4.91208431E-22 1.52594446E-23 2.85660832E-13 1.46479829E-14 1.63347247E-15 2.35315104E-02 3.06999439E-33 2.25141152E-30 3.73543599E-12 1.00000000E-40 1.00000000E-40 1.70256255E-29 3.16998293E-31 6.97370520E-13 1.46185251E-10 1.72627514E-18 1.06261925E-17 1.99552407E-12 3.57076041E-08 3.44406566E-15 2.82911640E-21 2.69047512E-23 3.76533294E-09 2.57194201E-33 3.06681587E-21 4.44996218E-29 6.47136123E-31 8.30416153E-37 1.00000000E-40 3.06174057E-29 9.91221392E-30 1.15038288E-13 8.30016963E-36 6.74420211E-38 1.00125360E-33 1.00000000E-40 1.00000000E-40 5.74804311E-13 4.50719571E-25 1.64587246E-27 1.00000000E-40 1.00000000E-40 3.76605373E-31 3.00521778E-32 1.26000473E-28 5.78406175E-38 3.36284608E-26 8.07431306E-16 1.39320153E-19 5.09683421E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.22289188E+19 1.94577873E+02 1.00000000E+05 1.18486816E+00 4.69159568E+02 6.92290371E-10 2.70971818E-34 2.17014209E-07 1.92026128E-40 1.92026128E-40 1.92026128E-40 1.92026128E-40 1.94171888E-40 3.86942596E-16 7.57646197E-06 1.36923032E-06 1.13937019E-24 9.00490643E-20 9.15812488E-09 1.82698094E-07 7.21815653E-01 2.37104485E-19 1.65185851E-17 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.07638565E-29 3.95790072E-22 4.95438282E-19 2.12426297E-16 8.46341716E-23 4.34833365E-22 1.58567586E-23 5.67269057E-13 2.65741004E-14 6.11600872E-15 2.01276270E-02 3.23057915E-33 2.34495920E-30 3.89701354E-12 1.00000000E-40 1.00000000E-40 1.77521867E-29 3.30637679E-31 6.12859042E-13 1.74528522E-10 7.41565311E-18 1.01145738E-17 1.52171261E-12 3.79230448E-08 3.26737028E-15 1.79023944E-21 1.75953092E-23 3.95105259E-09 2.68061494E-33 3.19584281E-21 4.62766055E-29 6.52288744E-31 8.65502139E-37 1.00000000E-40 3.20226033E-29 1.02192812E-29 7.57389427E-14 8.50616922E-36 1.41289189E-39 1.01959475E-33 1.00000000E-40 1.00000000E-40 1.35541095E-12 6.49822840E-26 1.40268876E-27 1.00000000E-40 1.00000000E-40 3.82008291E-31 3.07586802E-32 1.31329815E-28 1.32985947E-37 7.57814936E-26 1.74330535E-17 1.45798025E-19 4.79453857E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 1.93030392E+19 1.90583206E+02 1.00000000E+05 1.33552840E+00 5.30100852E+02 7.80729537E-10 3.06327244E-34 2.40488329E-07 2.16401747E-40 2.16401747E-40 2.16401747E-40 2.16401747E-40 2.18848472E-40 1.73373859E-16 8.05670493E-06 9.33356655E-07 5.48818808E-25 1.15342039E-19 1.84011627E-08 2.12401501E-07 7.27016730E-01 5.29808616E-20 1.60877503E-17 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.77431943E-30 4.13443287E-22 5.56178021E-19 2.22936234E-16 7.19227062E-23 3.88204050E-22 1.64612272E-23 9.19118382E-13 4.25584952E-14 1.75652596E-14 1.67478166E-02 3.46227070E-33 2.44624569E-30 4.06733844E-12 1.00000000E-40 1.00000000E-40 1.85580650E-29 3.45358215E-31 5.20676441E-13 1.96438743E-10 1.47723631E-17 1.08727701E-17 1.07374549E-12 4.03491628E-08 3.15859958E-15 1.02174704E-21 1.10735951E-23 4.17576060E-09 2.80039818E-33 3.33794189E-21 4.81524828E-29 6.54671064E-31 9.04171330E-37 1.00000000E-40 3.35915475E-29 1.05298121E-29 4.97786367E-14 8.74189998E-36 2.90014920E-40 1.03911245E-33 1.00000000E-40 1.00000000E-40 2.26312622E-12 8.18633077E-27 1.27687706E-27 1.00000000E-40 1.00000000E-40 3.89763751E-31 3.14529389E-32 1.37204772E-28 2.43846751E-37 1.19287007E-25 3.60291879E-18 1.52965980E-19 4.61994917E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.70500617E+19 1.87185293E+02 1.00000000E+05 1.49036946E+00 5.92974954E+02 8.71817422E-10 3.42980825E-34 2.64253881E-07 2.41444062E-40 2.41444062E-40 2.41444062E-40 2.41444062E-40 2.44211789E-40 9.80975499E-17 8.39566100E-06 6.13917083E-07 3.41902819E-25 1.49775009E-19 2.88069756E-08 2.41460194E-07 7.12564643E-01 1.89345029E-20 1.51201539E-17 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.65749120E-30 4.23273323E-22 6.63929546E-19 2.29532392E-16 5.99269215E-23 3.38046690E-22 1.66852468E-23 1.35526963E-12 6.04282168E-14 4.03131075E-14 1.36248484E-02 3.71998798E-33 2.49880647E-30 4.15159329E-12 1.00000000E-40 1.00000000E-40 1.90184595E-29 3.53124884E-31 4.33524999E-13 2.09236379E-10 2.35067931E-17 1.28649825E-17 7.59977867E-13 4.20545648E-08 2.98306622E-15 5.63343549E-22 6.74798164E-24 4.34002142E-09 2.86708846E-33 3.41657202E-21 4.90108402E-29 6.39284843E-31 9.25692374E-37 1.00150887E-40 3.45479611E-29 1.06073996E-29 3.31866557E-14 8.80649003E-36 1.00000000E-40 1.03648661E-33 1.00000000E-40 1.00000000E-40 3.21736652E-12 1.54794032E-27 1.23687228E-27 1.00000000E-40 1.00000000E-40 3.89000818E-31 3.14322988E-32 1.40479241E-28 3.82950220E-37 1.54356771E-25 1.21020667E-18 1.57259870E-19 4.45352978E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.53086929E+19 1.84354306E+02 1.00000000E+05 1.64286715E+00 6.55280303E+02 9.63570118E-10 3.79831624E-34 2.87468033E-07 2.66093242E-40 2.66093242E-40 2.66093242E-40 2.66093242E-40 2.69191872E-40 6.18806813E-17 8.58058305E-06 4.01302111E-07 2.59002979E-25 1.96177077E-19 3.99713023E-08 2.68751397E-07 6.79066048E-01 8.42792683E-21 1.36571031E-17 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.34015998E-30 4.25055847E-22 7.80936838E-19 2.31595595E-16 4.85869008E-23 2.85408618E-22 1.65187457E-23 1.90003002E-12 7.91581983E-14 8.09212270E-14 1.09697135E-02 4.03230197E-33 2.50122683E-30 4.14665385E-12 1.00000000E-40 1.00000000E-40 1.91231474E-29 3.53689012E-31 3.52110887E-13 2.13884230E-10 3.35807731E-17 1.61530562E-17 5.46855456E-13 4.29773167E-08 2.73494945E-15 3.04744654E-22 4.07177463E-24 4.43577891E-09 2.87916253E-33 3.42993956E-21 4.88265026E-29 6.06979165E-31 9.29572533E-37 1.02632672E-40 3.48649351E-29 1.04548913E-29 2.24647475E-14 8.69622779E-36 1.00000000E-40 1.01173724E-33 1.00000000E-40 1.00000000E-40 4.13337112E-12 5.08737833E-28 1.26629153E-27 1.00000000E-40 1.00000000E-40 3.79608788E-31 3.07097507E-32 1.41078068E-28 5.43865551E-37 1.77525297E-25 5.48244526E-19 1.58539945E-19 4.27624743E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.38615943E+19 1.81193472E+02 1.00000000E+05 1.80319868E+00 7.21289662E+02 1.15067927E-09 4.25238409E-34 3.12078366E-07 2.91992913E-40 2.91992913E-40 2.91992913E-40 2.91992913E-40 2.95454914E-40 3.92585589E-17 8.70964295E-06 2.57795208E-07 5.97294831E-25 2.58977688E-19 5.20156552E-08 2.96647378E-07 6.35868685E-01 3.94457904E-21 1.19147290E-17 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.36540847E-30 4.23992436E-22 9.00699617E-19 2.31364135E-16 3.87463838E-23 2.36760018E-22 1.61662125E-23 2.60779595E-12 9.88861600E-14 1.52966354E-13 8.69850772E-03 4.47914178E-33 2.48414719E-30 4.10296191E-12 1.00000000E-40 1.00000000E-40 1.91058927E-29 3.51355195E-31 2.68122627E-13 2.14038690E-10 4.55167165E-17 1.95011793E-17 3.88924927E-13 4.36110278E-08 2.40165459E-15 1.54146094E-22 2.58831536E-24 4.51222948E-09 2.87186560E-33 3.42005643E-21 4.82021553E-29 5.66290101E-31 9.27190760E-37 1.03855077E-40 3.49624728E-29 1.02073855E-29 1.47941846E-14 8.51777159E-36 1.00000000E-40 9.77616366E-34 1.00000000E-40 1.00000000E-40 4.96933759E-12 2.14844588E-28 1.36398726E-27 1.00000000E-40 1.00000000E-40 3.66607079E-31 2.96862029E-32 1.40727874E-28 7.27153142E-37 1.90425776E-25 7.95165553E-19 1.58707391E-19 4.12414724E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.25523934E+19 1.78149448E+02 1.00000000E+05 1.98472153E+00 7.96652861E+02 5.50086095E-09 5.97754656E-34 3.40544571E-07 3.21299648E-40 3.21299648E-40 3.21299648E-40 3.21299648E-40 3.25189006E-40 2.51163523E-17 8.83355911E-06 1.64004991E-07 4.56283270E-24 3.53253641E-19 6.51830770E-08 3.26750224E-07 5.86987917E-01 1.92422623E-21 9.98250181E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.66150329E-30 4.22665323E-22 9.85163840E-19 2.29612780E-16 3.00884016E-23 1.91782369E-22 1.57237749E-23 3.54903580E-12 1.17524774E-13 2.63143844E-13 6.82805514E-03 5.13198781E-33 2.46255767E-30 4.04490015E-12 1.00000000E-40 1.00000000E-40 1.90834019E-29 3.48229948E-31 1.94018422E-13 2.12012293E-10 6.06122546E-17 2.46950724E-17 2.83168439E-13 4.42113293E-08 2.01725858E-15 7.07353731E-23 1.92577190E-24 4.59415151E-09 2.86270559E-33 3.40777148E-21 4.74280702E-29 5.20843135E-31 9.24198897E-37 1.04629956E-40 3.50520341E-29 9.92855192E-30 9.53377049E-15 8.31953433E-36 1.00000000E-40 9.39755323E-34 1.00000000E-40 1.00000000E-40 5.68839568E-12 1.01094778E-28 1.52399158E-27 1.00000000E-40 1.00000000E-40 3.52316270E-31 2.85456886E-32 1.40286448E-28 9.35046881E-37 1.95469811E-25 3.91396771E-18 1.58712312E-19 4.00502716E-32 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.14015636E+19 1.74802272E+02 1.00000000E+05 2.18442760E+00 8.80740641E+02 2.75184345E-07 3.30634189E-33 3.72583189E-07 3.53515957E-40 3.53515957E-40 3.53515957E-40 3.53515957E-40 3.57900653E-40 1.51091913E-17 8.94324632E-06 1.00721871E-07 2.74117540E-23 4.94337303E-19 7.94626383E-08 3.58840457E-07 5.31646940E-01 8.88077575E-22 7.88738943E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.09914401E-30 4.20669757E-22 9.48409521E-19 2.25553654E-16 2.25192389E-23 1.50948308E-22 1.51712800E-23 4.78546315E-12 1.28893442E-13 3.68334833E-13 5.21922040E-03 6.04214516E-33 2.43384756E-30 3.96782740E-12 1.00000000E-40 1.00000000E-40 1.90380557E-29 3.43934773E-31 1.43474182E-13 2.08313259E-10 8.00983942E-17 3.25621763E-17 2.15918914E-13 4.47338582E-08 1.57215853E-15 2.67537747E-23 1.76864000E-24 4.67581849E-09 2.84895687E-33 3.38982696E-21 4.64506089E-29 4.69958211E-31 9.19716166E-37 1.05007680E-40 3.51007725E-29 9.60777361E-30 5.65858691E-15 8.08958792E-36 1.00000000E-40 8.96706200E-34 1.00000000E-40 1.00000000E-40 6.27642073E-12 4.83878595E-29 1.73462361E-27 1.00000000E-40 1.00000000E-40 3.36320939E-31 2.72545167E-32 1.39620176E-28 1.16646435E-36 1.94158448E-25 1.51919880E-17 1.58394097E-19 3.90173052E-32 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 1.03702389E+19 1.71535013E+02 1.00000000E+05 2.40850555E+00 9.77137392E+02 2.71981315E-05 8.57660133E-32 4.09809021E-07 3.89628045E-40 3.89628045E-40 3.89628045E-40 3.89628045E-40 3.94603369E-40 8.75147086E-18 9.03486470E-06 6.00211963E-08 1.16613806E-22 7.13512523E-19 9.48436853E-08 3.92812253E-07 4.69694031E-01 3.97403446E-22 5.75670624E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.96673973E-31 4.17871009E-22 7.46904263E-19 2.18923291E-16 1.60014860E-23 1.13967886E-22 1.45001646E-23 6.35598538E-12 1.26173883E-13 3.66183026E-13 3.89645428E-03 7.26199399E-33 2.39702240E-30 3.87008525E-12 1.00000000E-40 1.00000000E-40 1.89643039E-29 3.38321287E-31 1.44296614E-13 2.03333875E-10 1.05153037E-16 5.24370045E-17 1.93211015E-13 4.51603274E-08 1.14080968E-15 8.17721354E-24 1.77782356E-24 4.75438688E-09 2.82972150E-33 3.36514488E-21 4.52484792E-29 4.13704764E-31 9.13451963E-37 1.05035537E-40 3.50977573E-29 9.24134745E-30 3.14591147E-15 7.82262291E-36 1.00000000E-40 8.47817552E-34 1.00000000E-40 1.00000000E-40 6.80225222E-12 2.37190519E-29 1.98607121E-27 1.00000000E-40 1.00000000E-40 3.18429853E-31 2.58007803E-32 1.38685000E-28 1.42014849E-36 1.88122642E-25 4.14890749E-17 1.57692824E-19 3.80322277E-32 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 9.45074882E+18 1.68280343E+02 1.00000000E+05 2.66324864E+00 1.09082141E+03 2.61263060E-03 3.44299404E-30 4.54584655E-07 4.30626937E-40 4.30626937E-40 4.30626937E-40 4.30626937E-40 4.36327660E-40 4.90392091E-18 9.10333036E-06 3.45938403E-08 3.81189086E-22 1.06178711E-18 1.11283064E-07 4.28464572E-07 4.01141723E-01 1.71527536E-22 3.81554495E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.26009415E-31 4.14082550E-22 4.77029694E-19 2.09960407E-16 1.07772631E-23 8.19236841E-23 1.37012684E-23 8.24464609E-12 1.10113294E-13 2.64624501E-13 2.83320816E-03 8.82554243E-33 2.35083568E-30 3.74987602E-12 1.00000000E-40 1.00000000E-40 1.88541452E-29 3.31205465E-31 1.94246222E-13 1.97288881E-10 1.36607024E-16 1.07038993E-16 2.11553674E-13 4.54660116E-08 7.74750528E-16 2.11037369E-24 1.68223761E-24 4.82656374E-09 2.80374725E-33 3.33222827E-21 4.37962219E-29 3.53027760E-31 9.05001422E-37 1.04678076E-40 3.50274875E-29 8.82466706E-30 1.69912376E-15 7.51341049E-36 1.00000000E-40 7.92489592E-34 1.00000000E-40 1.00000000E-40 7.26691156E-12 1.20838972E-29 2.27026811E-27 1.00000000E-40 1.00000000E-40 2.98420869E-31 2.41711345E-32 1.37419495E-28 1.69421610E-36 1.78656891E-25 8.57249941E-17 1.56529371E-19 3.70111774E-32 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
