alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.00000000E-01 5.29999912E-01 1.78048593E+19 2.15602573E+02 1.00000000E+05 7.14230277E-01 2.75471983E+02 5.45342084E-06 2.05728985E-30 7.64916670E-08 1.16369325E-40 1.16369325E-40 1.16369325E-40 1.16369325E-40 1.16483315E-40 3.07940473E-15 9.43396450E-06 2.81485023E-05 2.95988302E-24 1.22265896E-20 1.88679290E-09 2.07547219E-07 9.43396450E-01 2.00212675E-17 2.89714695E-17 1.00000000E-40 1.00000000E-40 7.41953091E-37 8.89668559E-28 1.46047441E-21 4.97061314E-19 8.16979482E-16 3.65473663E-21 1.59595866E-20 5.21351880E-22 3.77358580E-13 1.13107884E-14 8.74652173E-15 1.26137674E-01 2.30671786E-32 7.32401925E-32 1.32913806E-11 1.00000000E-40 1.00000000E-40 1.32208709E-23 1.22935523E-29 9.55912607E-13 1.54922349E-10 5.81686398E-19 1.13981828E-18 3.72651697E-13 4.71698225E-10 1.39045597E-15 6.85334680E-21 7.46278655E-23 2.50778413E-09 9.82501723E-33 1.85270943E-22 2.03474017E-27 1.12370462E-29 3.86868167E-34 1.00000000E-40 1.25584902E-31 4.27763301E-32 4.22061158E-13 2.78338155E-34 7.40228712E-32 5.36930695E-32 1.00000000E-40 6.12027353E-38 5.69390077E-12 1.55333159E-24 1.19176051E-26 1.00000000E-40 1.00000000E-40 3.41937966E-30 1.44199078E-32 1.48587346E-29 9.34969041E-39 2.14886253E-25 1.07402548E-15 3.03417252E-19 2.64952158E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.50000000E+00 4.83769804E-01 1.63164210E+19 2.14748718E+02 1.00000000E+05 8.56911670E-01 3.10076592E+02 1.67110247E-04 8.15706150E-29 8.24038362E-08 1.29187363E-40 1.29187363E-40 1.29187363E-40 1.29187363E-40 1.29315869E-40 1.71148183E-15 9.39225069E-06 2.36796005E-05 2.11617507E-24 1.41370421E-20 3.54341978E-09 2.10942883E-07 9.34431615E-01 5.80897709E-18 2.96600985E-17 1.00000000E-40 1.00000000E-40 4.52455302E-37 3.07048922E-28 1.47350545E-21 5.44067545E-19 8.21532151E-16 3.15541527E-21 1.40386787E-20 5.18571331E-22 1.82968660E-12 1.79698533E-14 2.41996742E-14 1.17711283E-01 2.30416184E-32 7.30753920E-32 1.32641651E-11 1.00000000E-40 1.00000000E-40 1.32035553E-23 1.21424306E-29 9.29230480E-13 1.76568335E-10 8.67047243E-19 1.47205349E-18 3.28187872E-13 5.62533708E-10 1.36275558E-15 5.95190938E-21 6.74203699E-23 2.51181992E-09 9.91549900E-33 1.85085605E-22 2.03198703E-27 1.08429561E-29 3.85748198E-34 1.00000000E-40 1.25381374E-31 4.22896255E-32 3.57677822E-13 3.38331618E-34 2.13617024E-32 5.20270894E-32 1.00000000E-40 7.17939335E-38 1.17804787E-11 7.74872019E-25 1.10881975E-26 1.00000000E-40 1.00000000E-40 1.69861168E-30 1.49320238E-32 1.49195806E-29 1.52302211E-38 2.35376437E-25 3.83017095E-16 2.99588645E-19 2.40556730E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.50000000E+00 4.41157609E-01 1.51277913E+19 2.11219973E+02 1.00000000E+05 1.04871605E+00 3.52271516E+02 3.06732461E-03 2.48184319E-27 8.89360968E-08 1.44261980E-40 1.44261980E-40 1.44261980E-40 1.44261980E-40 1.44408472E-40 9.69027101E-16 9.35382683E-06 1.90652384E-05 1.39938631E-24 1.48130004E-20 5.33545473E-09 2.14736940E-07 9.25417781E-01 1.98893752E-18 2.96744069E-17 1.00000000E-40 1.00000000E-40 3.06097033E-37 1.46781555E-28 1.50870032E-21 4.47544450E-19 8.34225483E-16 2.86155713E-21 1.29577387E-20 5.15685924E-22 3.17460765E-12 2.06294738E-14 4.69081101E-14 1.09230189E-01 2.31787944E-32 7.30935078E-32 1.32397606E-11 1.00000000E-40 1.00000000E-40 1.32390406E-23 1.20391807E-29 7.95958043E-13 1.91357243E-10 1.19132966E-18 1.21812869E-18 2.09268930E-13 6.42331971E-10 1.30249525E-15 4.53433302E-21 5.81679190E-23 2.53130558E-09 1.01586166E-32 1.86476533E-22 2.03727671E-27 1.04380979E-29 3.85552445E-34 1.00000000E-40 1.25445808E-31 4.16972746E-32 2.64050519E-13 4.42919707E-34 7.31870865E-33 4.97820654E-32 1.00000000E-40 7.94673793E-38 1.85159292E-11 3.12698565E-25 9.42894462E-27 1.00000000E-40 1.00000000E-40 1.12407350E-30 1.58146320E-32 1.51271256E-29 2.66596487E-38 2.73076215E-25 1.61363344E-16 2.94862974E-19 2.15460912E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.50000000E+00 4.01840270E-01 1.38898159E+19 2.09543260E+02 1.00000000E+05 1.26816100E+00 3.93612076E+02 3.03608314E-02 5.77023537E-26 9.67873348E-08 1.59224064E-40 1.59224064E-40 1.59224064E-40 1.59224064E-40 1.59389652E-40 6.96224271E-16 9.31782904E-06 1.63892158E-05 1.20205716E-24 1.63106520E-20 7.26281085E-09 2.18915848E-07 9.16246821E-01 1.00620690E-18 2.95340617E-17 1.00000000E-40 1.00000000E-40 2.41647059E-37 1.05150437E-28 1.56802147E-21 3.67360315E-19 8.54936318E-16 2.59148456E-21 1.19254800E-20 5.12621033E-22 4.44611685E-12 2.19113195E-14 7.37618097E-14 1.04509580E-01 2.35086837E-32 7.32887409E-32 1.32168773E-11 1.00000000E-40 1.00000000E-40 1.33287991E-23 1.20143701E-29 7.29210031E-13 2.01041626E-10 1.51835466E-18 1.29458428E-18 1.66685672E-13 7.14303363E-10 1.28166426E-15 3.45341195E-21 4.95478555E-23 2.56257261E-09 1.05689977E-32 1.89765667E-22 2.05078643E-27 1.00479354E-29 3.86293971E-34 1.00648714E-40 1.25675449E-31 4.10838402E-32 2.16766346E-13 5.83763539E-34 3.70809249E-33 4.75465866E-32 1.00000000E-40 9.05472302E-38 2.58706922E-11 1.37881311E-25 8.18428086E-27 1.00000000E-40 1.00000000E-40 8.79709480E-31 1.70157998E-32 1.54916879E-29 4.39176118E-38 3.21175911E-25 9.85515320E-17 2.89678748E-19 1.96134526E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.50000000E+00 3.65752786E-01 1.27444105E+19 2.07866548E+02 1.00000000E+05 1.50869393E+00 4.36597399E+02 1.41419646E-01 9.81052060E-25 1.05102256E-07 1.73821686E-40 1.73821686E-40 1.73821686E-40 1.73821686E-40 1.74007220E-40 5.30799754E-16 9.28402714E-06 1.41990437E-05 1.08761137E-24 1.80919705E-20 9.33778873E-09 2.23508404E-07 9.06840003E-01 5.71889256E-19 2.93107804E-17 1.00000000E-40 1.00000000E-40 2.04993948E-37 8.54019497E-29 1.65419736E-21 2.97417584E-19 8.83670748E-16 2.38618564E-21 1.11459570E-20 5.09331167E-22 5.66129868E-12 2.23694004E-14 1.06330271E-13 1.00236498E-01 2.40476138E-32 7.36722010E-32 1.31952182E-11 1.00000000E-40 1.00000000E-40 1.34761893E-23 1.20769808E-29 6.67834553E-13 2.06567074E-10 1.84244622E-18 1.36339105E-18 1.34328312E-13 7.80139477E-10 1.26646288E-15 2.63315006E-21 4.20165754E-23 2.60444909E-09 1.11660343E-32 1.95185812E-22 2.07299411E-27 9.67365997E-30 3.88019921E-34 1.02322481E-40 1.26041349E-31 4.04790878E-32 1.79671339E-13 7.60759172E-34 2.11784263E-33 4.53632329E-32 1.00000000E-40 1.04403450E-37 3.38787272E-11 6.90881649E-26 7.16535215E-27 1.00000000E-40 1.00000000E-40 7.78498466E-31 1.85282447E-32 1.60279098E-29 6.81888143E-38 3.76613177E-25 6.72886720E-17 2.84188822E-19 1.81370077E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.50000000E+00 3.32653463E-01 1.16845498E+19 2.06203859E+02 1.00000000E+05 1.77599916E+00 4.83970970E+02 2.98860514E-01 1.17007357E-23 1.14702844E-07 1.89437296E-40 1.89437296E-40 1.89437296E-40 1.89437296E-40 1.89645139E-40 4.21292913E-16 9.25247862E-06 1.23035090E-05 1.01604636E-24 2.02232780E-20 1.15653333E-08 2.28530102E-07 8.97166445E-01 3.51345944E-19 2.90247748E-17 1.00000000E-40 1.00000000E-40 1.83297289E-37 7.44591427E-29 1.77033831E-21 2.42311152E-19 9.20505841E-16 2.22848160E-21 1.05572114E-20 5.05787712E-22 6.83174383E-12 2.24533847E-14 1.57946963E-13 9.60962833E-02 2.48076441E-32 7.42604062E-32 1.31746525E-11 1.00000000E-40 1.00000000E-40 1.36848245E-23 1.22344475E-29 6.04257972E-13 2.08636391E-10 2.16376628E-18 1.44312029E-18 1.09106563E-13 8.40917786E-10 1.25505227E-15 2.01198094E-21 3.57105218E-23 2.65594226E-09 1.19717115E-32 2.02977345E-22 2.10441439E-27 9.31627317E-30 3.90783577E-34 1.04672084E-40 1.26528370E-31 3.99023873E-32 1.49855860E-13 9.74318559E-34 1.31222481E-33 4.32477623E-32 1.00000000E-40 1.21853246E-37 4.25323496E-11 3.87625502E-26 6.30874886E-27 1.00000000E-40 1.00000000E-40 7.44704247E-31 2.03605807E-32 1.67517237E-29 1.00791499E-37 4.36903774E-25 4.91969633E-17 2.78481837E-19 1.70154232E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.50000000E+00 3.02318215E-01 1.07047707E+19 2.04551972E+02 1.00000000E+05 2.07586349E+00 5.38712107E+02 4.36249909E-01 9.34486700E-23 1.26441690E-07 2.07178929E-40 2.07178929E-40 2.07178929E-40 2.07178929E-40 2.07412828E-40 3.43945072E-16 9.22334006E-06 1.06460899E-05 9.57661713E-25 2.27780165E-20 1.39508592E-08 2.33999304E-07 8.87201386E-01 2.27969224E-19 2.86831633E-17 1.00000000E-40 1.00000000E-40 1.70477429E-37 6.80912859E-29 1.92016354E-21 2.03046922E-19 9.65607425E-16 2.10619302E-21 1.01153726E-20 5.01964990E-22 7.96905351E-12 2.25178929E-14 3.29767280E-13 9.20071535E-02 2.58009643E-32 7.50720156E-32 1.31550727E-11 1.00000000E-40 1.00000000E-40 1.39586672E-23 1.24942551E-29 5.07615062E-13 2.07883797E-10 2.48164769E-18 1.53665548E-18 8.92237308E-14 8.97504268E-10 1.24551977E-15 1.53974436E-21 3.06276007E-23 2.71629253E-09 1.30122027E-32 2.13417032E-22 2.14560919E-27 8.97638562E-30 3.94642388E-34 1.07535569E-40 1.27128364E-31 3.93665147E-32 1.25526184E-13 1.22522052E-33 8.62001018E-34 4.12018004E-32 1.00000000E-40 1.43959171E-37 5.17357140E-11 2.36574593E-26 5.58224791E-27 1.00000000E-40 1.00000000E-40 7.46253598E-31 2.25334544E-32 1.76814485E-29 1.43214706E-37 5.00155090E-25 3.71936846E-17 2.72609960E-19 1.61713426E-34 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E+00 2.74536371E-01 9.80003431E+18 2.02903256E+02 1.00000000E+05 2.40792298E+00 6.03592757E+02 6.18977775E-01 4.79004991E-22 1.41337020E-07 2.27429044E-40 2.27429044E-40 2.27429044E-40 2.27429044E-40 2.27693474E-40 2.86545929E-16 9.19683068E-06 9.19123781E-06 8.74929279E-25 2.58392967E-20 1.64999886E-08 2.39936304E-07 8.76922405E-01 1.53865477E-19 2.82889021E-17 1.00000000E-40 1.00000000E-40 1.63495815E-37 6.44667045E-29 2.10807974E-21 1.94490340E-19 1.01920106E-15 2.01027924E-21 9.78698023E-21 4.97838078E-22 9.08486859E-12 2.31003760E-14 1.23723158E-12 8.79358080E-02 2.70421552E-32 7.61254450E-32 1.31363403E-11 1.00000000E-40 1.00000000E-40 1.43019610E-23 1.28645147E-29 2.97104232E-13 2.05128984E-10 2.78835939E-18 1.64367323E-18 7.33426021E-14 9.50597201E-10 1.23597755E-15 1.17849424E-21 2.67243352E-23 2.78491179E-09 1.43184343E-32 2.26826860E-22 2.19717453E-27 8.65452044E-30 3.99656034E-34 1.10791164E-40 1.27836526E-31 3.88804441E-32 1.05391046E-13 1.51435116E-33 5.91475228E-34 3.92218036E-32 1.00000000E-40 1.72099404E-37 6.08773623E-11 1.53658714E-26 4.96493811E-27 1.00000000E-40 1.00000000E-40 7.66442450E-31 2.50767492E-32 1.88379591E-29 1.97131630E-37 5.64743701E-25 2.77357442E-17 2.66607393E-19 1.55490071E-34 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.50000000E+00 2.49112681E-01 8.96464750E+18 2.01270127E+02 1.00000000E+05 2.78677989E+00 6.90370751E+02 9.04284834E-01 1.55374154E-21 1.63859788E-07 2.52617995E-40 2.52617995E-40 2.52617995E-40 2.52617995E-40 2.52920311E-40 2.42517269E-16 9.17319146E-06 7.92705082E-06 7.89759511E-25 2.95296651E-20 1.92181836E-08 2.46362689E-07 8.66304659E-01 1.07050439E-19 2.78432129E-17 1.00000000E-40 1.00000000E-40 1.61029231E-37 6.27119173E-29 2.33928369E-21 3.57009156E-19 1.08154623E-15 1.93389680E-21 9.54311003E-21 4.93380202E-22 1.01928129E-11 2.42091696E-14 4.71698330E-12 8.39542256E-02 2.85510856E-32 7.74357991E-32 1.31182107E-11 1.00000000E-40 1.00000000E-40 1.47191862E-23 1.33541834E-29 9.61529864E-14 2.01622384E-10 3.07119829E-18 1.76826217E-18 6.07260305E-14 1.00076250E-09 1.22521011E-15 9.00900530E-22 2.39645713E-23 2.86133552E-09 1.59268131E-32 2.43581398E-22 2.25973152E-27 8.35115044E-30 4.05884601E-34 1.14340514E-40 1.28649225E-31 3.84506199E-32 8.86495560E-14 1.84259625E-33 4.20310386E-34 3.73026003E-32 1.00000000E-40 2.08192246E-37 6.81227263E-11 1.04856871E-26 4.44121631E-27 1.00000000E-40 1.00000000E-40 7.94363513E-31 2.80289669E-32 2.02449496E-29 2.64431583E-37 6.29155521E-25 2.07126367E-17 2.60497580E-19 1.51087892E-34 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
9.50000000E+00 2.25864291E-01 8.19451537E+18 1.99636997E+02 1.00000000E+05 3.26998853E+00 8.43329967E+02 1.20666881E+00 3.39470725E-21 2.11358173E-07 2.97523628E-40 2.97523628E-40 2.97523628E-40 2.97523628E-40 2.97882413E-40 2.07224545E-16 9.15270329E-06 6.81815368E-06 7.29378542E-25 3.41024344E-20 2.21121193E-08 2.53301723E-07 8.55322348E-01 7.60271393E-20 2.73464871E-17 1.00000000E-40 1.00000000E-40 1.62970312E-37 6.22099266E-29 2.61987823E-21 1.06561104E-18 1.15288511E-15 1.87296426E-21 9.36187162E-21 4.88563532E-22 1.13099192E-11 2.54881310E-14 1.13564485E-11 7.99861880E-02 3.03530911E-32 7.90148765E-32 1.31002466E-11 1.00000000E-40 1.00000000E-40 1.52150816E-23 1.39732284E-29 3.60642590E-14 1.97917851E-10 3.34273076E-18 1.91896815E-18 5.07162547E-14 1.04845358E-09 1.21117337E-15 6.86310781E-22 2.23267271E-23 2.94520373E-09 1.78800336E-32 2.64115659E-22 2.33392776E-27 8.06675329E-30 4.13388765E-34 1.18099298E-40 1.29563249E-31 3.80817997E-32 7.45677502E-14 2.21080143E-33 3.06280212E-34 3.54387250E-32 1.00000000E-40 2.55678167E-37 7.28881646E-11 7.43963146E-27 3.99792904E-27 1.00000000E-40 1.00000000E-40 8.22160184E-31 3.14368346E-32 2.19292499E-29 3.47257924E-37 6.91923006E-25 1.59771501E-17 2.54298025E-19 1.48226021E-34 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
