alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E+01 2.65204252E+21 1.91212176E+02 1.00000000E+05 7.10612744E-01 2.75156067E+02 1.28757377E-05 1.47320051E-34 6.65305693E-08 1.16977633E-40 1.16977633E-40 1.16977633E-40 1.16977633E-40 1.17091995E-40 3.77761135E-15 7.14152064E-08 5.33149502E-09 8.47197177E-22 4.06502818E-19 1.42830413E-11 1.57113454E-09 7.14152064E-03 1.10562257E-17 1.03407366E-16 1.00000000E-40 1.00000000E-40 1.81213429E-37 2.86977705E-26 4.29506226E-24 6.56204380E-17 1.54409445E-16 4.18664046E-20 9.12257796E-20 2.22972879E-21 2.85660826E-15 3.89128943E-15 1.97428761E-15 1.10691386E-04 2.31917720E-33 3.83272856E-32 1.15377542E-12 1.00000000E-40 1.00000000E-40 1.70456622E-33 2.90103800E-32 1.11663955E-13 4.76441217E-11 6.46465551E-17 1.35580891E-16 8.44876623E-13 3.57076032E-12 1.69219377E-14 8.62387175E-19 9.80710334E-20 1.53694887E-09 4.67544341E-36 5.12470982E-23 1.04047792E-29 9.45285960E-29 1.42460514E-39 1.00000000E-40 9.21580446E-32 9.86757874E-33 8.48794962E-13 7.03049476E-36 7.40396955E-40 7.86963028E-35 1.00000000E-40 1.00000000E-40 1.33980213E-13 4.80867032E-24 4.87744970E-27 1.00000000E-40 1.00000000E-40 1.26593570E-30 1.24607685E-35 6.76041872E-32 1.19606686E-39 5.60824039E-26 4.76686114E-14 3.47158685E-19 1.34462018E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E+01 2.26201900E+21 1.91212176E+02 1.00000000E+05 8.27918979E-01 3.06525462E+02 7.33935744E-01 2.29169059E-34 7.34518377E-08 1.29268843E-40 1.29268843E-40 1.29268843E-40 1.29268843E-40 1.29396516E-40 2.61470941E-17 6.36376660E-06 8.55216107E-09 1.03215980E-23 5.89240047E-19 6.91809350E-09 1.54262297E-07 1.60342276E-02 1.63708783E-20 1.27186040E-17 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.72313924E-32 3.29732016E-25 5.99449924E-20 4.18145567E-17 1.44677922E-21 7.20986702E-21 2.35702119E-21 3.53422379E-13 9.16700678E-15 1.75693872E-15 1.74166636E-04 2.73686088E-33 4.03164975E-32 1.19632678E-12 1.00000000E-40 1.00000000E-40 1.81261231E-33 3.15666848E-32 1.97659249E-13 6.57533760E-11 4.14460008E-15 1.44759023E-16 1.69923147E-12 3.17856264E-08 5.69395903E-16 1.12299152E-19 2.28085128E-20 1.61247611E-09 4.07401127E-36 3.85835035E-24 9.40238676E-30 6.76316331E-30 1.50981396E-39 1.25478552E-40 1.02539109E-31 5.64724273E-33 2.96717455E-12 1.17308222E-35 1.00000000E-40 1.06690765E-34 1.00000000E-40 1.00000000E-40 4.11585159E-13 1.50314634E-26 6.95541398E-28 1.00000000E-40 1.00000000E-40 1.30323963E-31 1.36490503E-35 7.18919516E-32 1.46494834E-39 7.95266008E-27 2.10320191E-18 2.41917681E-20 8.00491539E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E+01 1.92395442E+21 1.91212176E+02 1.00000000E+05 9.97127239E-01 3.48479169E+02 7.85862401E-01 4.07436806E-34 8.25771729E-08 1.45449434E-40 1.45449434E-40 1.45449434E-40 1.45449434E-40 1.45595176E-40 1.23219668E-17 8.23878318E-06 1.02532582E-08 3.98040416E-24 5.60024672E-19 1.65134288E-08 2.14044899E-07 1.95890924E-02 4.49154614E-21 2.61119722E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.42530558E-34 3.72882890E-26 4.14379330E-20 3.05451208E-17 6.11556074E-22 3.21227750E-21 2.49994306E-21 5.94631057E-13 1.18580167E-14 3.43720301E-15 2.09404007E-04 2.90334117E-33 4.29159293E-32 1.27106503E-12 1.00000000E-40 1.00000000E-40 1.93509312E-33 3.36993192E-32 2.12311924E-13 7.42987389E-11 8.25765071E-15 1.40133186E-16 1.72116091E-12 4.12231649E-08 5.11148136E-16 1.78380300E-20 4.37657730E-21 1.72869316E-09 4.28798823E-36 3.47473246E-25 9.90043492E-30 3.89614752E-31 1.60833470E-39 1.46145726E-40 1.09873322E-31 5.38319201E-33 2.76562356E-12 1.31397197E-35 1.00000000E-40 1.17986908E-34 1.00000000E-40 1.00000000E-40 7.07590426E-13 9.23489649E-29 2.76236302E-28 1.00000000E-40 1.00000000E-40 1.17949173E-32 1.44333060E-35 7.70387679E-32 2.07291643E-39 8.57025693E-28 3.80459123E-19 1.49044535E-21 6.64177181E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E+01 1.66909915E+21 1.91212176E+02 1.00000000E+05 1.19052582E+00 3.91257593E+02 8.11324062E-01 7.59215008E-34 9.16860504E-08 1.61461575E-40 1.61461575E-40 1.61461575E-40 1.61461575E-40 1.61626150E-40 8.28239354E-18 8.82739222E-06 1.17315840E-08 2.22106887E-24 5.39468055E-19 2.69819328E-08 2.48018996E-07 2.25875839E-02 2.14102745E-21 1.77746737E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.76192407E-34 2.00625604E-26 3.89311683E-20 3.06385582E-17 5.02663430E-22 2.75128056E-21 2.57787214E-21 8.14890389E-13 1.47180552E-14 5.79409827E-15 2.40563396E-04 2.96918658E-33 4.45206452E-32 1.31852363E-12 1.00000000E-40 1.00000000E-40 2.01427862E-33 3.49451283E-32 2.21319192E-13 7.88791289E-11 1.11689122E-14 1.36489676E-16 1.65357890E-12 4.41651716E-08 5.23524810E-16 8.88633942E-21 1.32296826E-21 1.81204557E-09 4.44397256E-36 1.39618464E-25 1.02578801E-29 1.90642120E-32 1.66932896E-39 1.54838884E-40 1.14189709E-31 5.43113039E-33 2.46684702E-12 1.39186676E-35 1.00000000E-40 1.21889258E-34 1.00000000E-40 1.00000000E-40 1.02621942E-12 2.01965811E-29 2.50223962E-28 1.00000000E-40 1.00000000E-40 2.60812460E-33 1.45916443E-35 8.06665958E-32 2.70765469E-39 2.96317727E-28 1.49262253E-19 1.48914953E-22 6.29206973E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E+01 1.47596431E+21 1.91212176E+02 1.00000000E+05 1.40040145E+00 4.33056254E+02 8.15362236E-01 1.44569849E-33 1.00444967E-07 1.76633256E-40 1.76633256E-40 1.76633256E-40 1.76633256E-40 1.76816731E-40 5.96633588E-18 8.50867608E-06 1.30957208E-08 1.21287354E-24 4.52806652E-19 3.48082216E-08 2.57070079E-07 2.53614588E-02 1.23880099E-21 1.57176882E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.76470755E-35 1.76568849E-26 3.67503422E-20 2.90831767E-17 3.80127663E-22 2.15790710E-21 2.42942627E-21 9.66043626E-13 1.62872831E-14 8.01456121E-15 2.69635162E-04 2.79944675E-33 4.22431178E-32 1.25133232E-12 1.00000000E-40 1.00000000E-40 1.92061782E-33 3.31509320E-32 2.11442051E-13 7.48300926E-11 1.10684860E-14 1.15669732E-16 1.36917086E-12 4.25575354E-08 5.01077087E-16 6.60278851E-21 4.84344952E-22 1.74194547E-09 4.21762885E-36 1.18759827E-25 9.72485062E-30 1.37012413E-33 1.58608369E-39 1.49054209E-40 1.08590485E-31 5.05170385E-33 1.90475554E-12 1.34875159E-35 1.00000000E-40 1.14678288E-34 1.00000000E-40 1.00000000E-40 1.24135292E-12 9.91149457E-30 2.30985077E-28 1.00000000E-40 1.00000000E-40 1.76111240E-33 1.34785935E-35 7.74791383E-32 3.11628050E-39 2.46296526E-28 7.08043904E-20 6.62157692E-23 5.83366483E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.33486180E+19 1.88156586E+02 1.00000000E+05 8.44274254E+01 2.46456966E+04 4.05185847E+01 1.44884980E-31 5.66421170E-06 9.93529997E-39 9.93529997E-39 9.93529997E-39 9.93529997E-39 9.94583060E-39 3.02326689E-16 4.96053444E-04 1.38955011E-06 2.37985915E-23 1.58345954E-17 2.48668389E-06 1.59268806E-05 2.67808250E+00 5.41013468E-20 8.69720175E-17 1.00000000E-40 1.00000000E-40 1.48891542E-38 4.27077344E-33 9.86525575E-25 2.36482619E-18 1.67975194E-15 1.07336829E-20 6.28604633E-20 1.38836201E-19 6.78635867E-11 1.10806467E-12 6.30607538E-13 2.88778368E-02 1.66102417E-31 2.42587828E-30 7.19285450E-11 1.00000000E-40 1.00000000E-40 1.11150184E-31 1.90784731E-30 1.22867132E-11 4.03731004E-09 3.13978766E-13 3.98129428E-15 4.35081617E-11 2.47976498E-06 2.96514255E-14 2.07013173E-19 5.04795260E-21 1.02120710E-07 2.42833766E-34 6.61323514E-24 5.59290908E-28 3.78327115E-32 9.14433381E-38 8.68050821E-39 6.26508649E-30 2.85388727E-31 5.62900191E-11 7.89959705E-34 1.00000000E-40 6.55285045E-33 1.00000000E-40 1.00000000E-40 8.34829758E-11 3.74842278E-28 1.31646217E-26 1.00000000E-40 1.00000000E-40 9.16647160E-32 7.58286370E-34 4.51880667E-30 2.09787163E-37 1.39059188E-26 2.08223033E-18 2.95927134E-21 3.84112259E-33 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.20351566E+19 1.85805805E+02 1.00000000E+05 1.99463945E+00 5.52379188E+02 2.16023687E-08 5.81094528E-33 1.25968557E-07 2.20111404E-40 2.20111404E-40 2.20111404E-40 2.20111404E-40 2.20349689E-40 1.32435606E-16 1.00536870E-04 1.23085055E-06 9.61467914E-25 1.39595263E-18 5.37482958E-07 3.29694207E-06 1.85680928E+00 1.75973217E-20 1.73014840E-17 1.00000000E-40 1.00000000E-40 1.36575308E-38 4.95456770E-33 1.97099670E-25 5.34391712E-19 3.39312964E-16 3.41527718E-22 2.03897753E-21 2.79298635E-20 1.48304939E-11 2.44798674E-13 1.46843791E-13 2.63429402E-02 3.45444489E-32 4.88352820E-31 1.44941290E-11 1.00000000E-40 1.00000000E-40 2.24742293E-32 3.84888527E-31 2.42690214E-12 7.70969520E-10 2.33483955E-14 2.51640184E-16 2.20280233E-12 5.02427540E-07 6.06001541E-15 2.42619881E-20 2.88054016E-22 2.08025653E-08 4.89941904E-35 1.32025891E-24 1.12785779E-28 7.09766036E-33 1.84614622E-38 1.75841210E-39 1.26516905E-30 5.71334465E-32 2.39420816E-12 1.60274119E-34 1.00000000E-40 1.31875532E-33 1.00000000E-40 1.00000000E-40 1.75014943E-11 6.80027833E-29 2.66265970E-27 1.00000000E-40 1.00000000E-40 1.79172833E-32 1.51789318E-34 9.16528271E-31 4.47060907E-38 2.77157408E-27 1.54903304E-19 5.53475896E-22 8.70924539E-34 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.08590346E+19 1.83535582E+02 1.00000000E+05 2.17036185E+00 5.74139648E+02 4.30447143E-08 1.09461016E-32 1.30083681E-07 2.26271706E-40 2.26271706E-40 2.26271706E-40 2.26271706E-40 2.26522107E-40 2.22496562E-17 1.97362318E-05 9.03460924E-07 5.29112892E-26 1.32588404E-19 1.32106383E-07 7.02573295E-07 1.00098759E+00 2.73857725E-21 3.14551626E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.73848508E-34 3.66763369E-26 1.13478680E-19 6.55173119E-17 8.43519136E-24 5.11751400E-23 5.30901031E-21 3.58000600E-12 5.60042589E-14 4.44272158E-14 2.17954751E-02 6.77358478E-33 9.40047409E-32 2.78972685E-12 1.00000000E-40 1.00000000E-40 4.37991637E-33 7.41720089E-32 4.28112002E-13 1.43390871E-10 1.27792624E-15 1.31732336E-17 7.64846336E-14 9.85749055E-08 1.13101511E-15 1.91555640E-21 1.32126809E-23 4.09727790E-09 9.46422620E-36 2.45092310E-25 2.16844230E-29 1.28299243E-33 3.57133707E-39 3.43609450E-40 2.44957147E-31 1.07616900E-32 7.58217096E-14 3.16668844E-35 1.00000000E-40 2.50844148E-34 1.00000000E-40 1.00000000E-40 4.08996901E-12 7.96837490E-30 4.97790589E-28 1.00000000E-40 1.00000000E-40 3.25793151E-33 2.83271400E-35 1.81310681E-31 1.04829014E-38 5.19497831E-28 6.42531404E-20 1.02076568E-22 1.75130496E-34 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 9.81206614E+18 1.81293017E+02 1.00000000E+05 2.48415558E+00 6.31586927E+02 9.09379608E-08 2.19904521E-32 1.42403202E-07 2.46331913E-40 2.46331913E-40 2.46331913E-40 2.46331913E-40 2.46610693E-40 9.39736075E-18 1.10819245E-05 6.85208270E-07 1.82897977E-26 4.25614154E-20 1.01894746E-07 4.52313251E-07 8.42965271E-01 8.62539620E-22 1.51020829E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.13492887E-34 1.86619065E-26 6.81149679E-20 3.56440346E-17 1.88278777E-24 1.16841770E-23 2.79504339E-21 2.68818336E-12 3.84453313E-14 4.71154215E-14 1.90311871E-02 3.68391022E-33 5.10043591E-32 1.51059112E-12 1.02519596E-40 1.00000000E-40 2.43333443E-33 4.02334404E-32 2.00427125E-13 7.63591851E-11 6.89526639E-17 3.51073832E-18 1.13473399E-14 5.53010647E-08 5.87113881E-16 1.32383769E-22 5.37580373E-25 2.30783533E-09 5.16462234E-36 1.24153089E-25 1.17043642E-29 6.24664416E-34 1.95344978E-39 1.90844911E-40 1.34188223E-31 5.60473262E-33 1.33010941E-14 1.79432954E-35 1.00000000E-40 1.32520530E-34 1.00000000E-40 1.00000000E-40 2.99610909E-12 1.58769637E-30 2.53283462E-28 1.00000000E-40 1.00000000E-40 1.61952681E-33 1.44549720E-35 1.03845394E-31 7.69488062E-39 2.68673142E-28 2.52858021E-20 5.34466834E-23 9.24661772E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 8.88570061E+18 1.78981413E+02 1.00000000E+05 2.82057411E+00 6.93457191E+02 1.91365781E-07 4.43611316E-32 1.55835344E-07 2.67882642E-40 2.67882642E-40 2.67882642E-40 2.67882642E-40 2.68192759E-40 6.80039248E-18 1.06847678E-05 5.20733779E-07 4.54447667E-26 4.50647729E-20 1.16902739E-07 4.74961996E-07 8.15227992E-01 5.17307924E-22 1.29099977E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.41827210E-34 1.68795971E-26 6.72435101E-20 3.36145771E-17 1.39856320E-24 8.82552092E-24 2.56589915E-21 3.06177403E-12 4.11716442E-14 6.66398597E-14 1.67271945E-02 3.46021208E-33 4.80544183E-32 1.41968344E-12 1.06650655E-40 1.00000000E-40 2.33654160E-33 3.78783876E-32 1.60844915E-13 7.12314779E-11 1.79796238E-17 3.46778239E-18 7.48189916E-15 5.32866114E-08 5.22021427E-16 1.94418306E-23 4.10553633E-26 2.23230409E-09 4.88959127E-36 1.11966100E-25 1.09753954E-29 5.46079718E-34 1.85216361E-39 1.82170196E-40 1.27344993E-31 5.13782275E-33 8.83684753E-15 1.73301209E-35 1.00000000E-40 1.22338416E-34 1.00000000E-40 1.00000000E-40 3.34572924E-12 6.75020805E-31 2.29149263E-28 1.00000000E-40 1.00000000E-40 1.45505732E-33 1.30636576E-35 1.02118702E-31 8.68187630E-39 2.44768826E-28 4.89846017E-20 4.95801320E-23 8.45277912E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
