alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.00000000E-01 5.29999912E-01 1.73683328E+19 2.21021414E+02 1.00000000E+05 7.47942381E-01 2.88175948E+02 3.06949619E-04 1.42155985E-26 8.60564886E-08 1.19050560E-40 1.19050560E-40 1.19050560E-40 1.19050560E-40 1.19167709E-40 7.69944576E-17 9.43396448E-06 5.65389758E-05 5.54564983E-27 1.72312821E-22 1.88679290E-09 2.07547219E-07 9.43396448E-01 5.81469083E-19 2.40189665E-20 1.00000000E-40 1.00000000E-40 1.86271895E-38 2.72463600E-28 5.09979608E-20 1.09591621E-21 7.91708988E-17 3.52985696E-23 1.44985806E-22 4.83075742E-22 3.77358580E-13 6.58940765E-16 3.04342194E-18 1.85666756E-01 1.23435280E-32 1.37625165E-31 8.09112967E-12 1.00000000E-40 1.00000000E-40 2.19860280E-23 4.23731758E-29 1.37643202E-13 5.06318131E-12 7.78050641E-21 1.35932733E-20 1.28338927E-13 4.71698224E-10 2.56128680E-17 2.77779792E-23 3.53403487E-27 3.30093702E-10 2.65798060E-31 3.89144210E-21 3.55461530E-27 3.33622000E-29 5.11769498E-34 1.01712710E-40 2.03510059E-28 4.45402950E-29 1.09557073E-14 3.53077760E-35 3.53294111E-33 2.07693654E-31 1.00000000E-40 1.33903068E-39 2.18816159E-16 4.70762524E-26 6.27595821E-29 1.00000000E-40 1.00000000E-40 6.35468768E-31 8.76837475E-32 7.60409242E-29 8.21677474E-38 4.88500168E-24 2.79758740E-18 2.26389547E-19 2.91058369E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.50000000E+00 4.84868169E-01 1.59417876E+19 2.20294351E+02 1.00000000E+05 9.09464599E-01 3.29322623E+02 2.72246989E-03 1.46356302E-25 9.20947795E-08 1.33071284E-40 1.33071284E-40 1.33071284E-40 1.33071284E-40 1.33204512E-40 4.84612419E-17 9.37150768E-06 4.86843767E-05 4.02602688E-27 1.93484553E-22 3.14218385E-09 2.08863790E-07 9.37143825E-01 2.14301729E-19 2.51755558E-20 1.00000000E-40 1.00000000E-40 1.24282149E-38 1.80785963E-28 5.06604966E-20 6.46080691E-22 7.86985902E-17 2.98192338E-23 1.24856068E-22 4.79877647E-22 3.74940277E-13 6.25983194E-16 2.90230521E-18 1.76139416E-01 1.22627883E-32 1.36712390E-31 8.06064909E-12 1.00000000E-40 1.00000000E-40 2.18405516E-23 4.20840156E-29 1.50253993E-13 5.89843536E-12 1.04761051E-20 1.72436273E-20 1.23345554E-13 4.70189032E-10 2.52905064E-17 2.40997818E-23 3.15942407E-27 3.28238287E-10 2.64023595E-31 3.86568663E-21 3.53111288E-27 3.31343040E-29 5.08381738E-34 1.01189401E-40 2.02179402E-28 4.42335121E-29 9.23688467E-15 3.50869809E-35 1.30073179E-33 2.06173222E-31 1.00000000E-40 1.51701671E-39 4.37376749E-16 2.60067199E-26 6.18535358E-29 1.00000000E-40 1.00000000E-40 4.42726552E-31 8.71724228E-32 7.55377074E-29 8.29867204E-38 4.91149049E-24 1.15906093E-18 2.24918186E-19 2.51976752E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.50000000E+00 4.43200320E-01 1.48052227E+19 2.16821244E+02 1.00000000E+05 1.11528832E+00 3.77405543E+02 1.70634007E-02 1.22316034E-24 9.77657998E-08 1.47985197E-40 1.47985197E-40 1.47985197E-40 1.47985197E-40 1.48136649E-40 2.91674052E-17 9.31214012E-06 4.01489782E-05 2.31850641E-27 1.96206356E-22 4.49550127E-09 2.10454401E-07 9.31199700E-01 8.18421644E-20 2.56798340E-20 1.00000000E-40 1.00000000E-40 8.38512718E-39 1.17341425E-28 5.03397897E-20 4.81490673E-22 7.82956006E-17 2.59919838E-23 1.10836493E-22 4.76837255E-22 3.72601245E-13 6.46692344E-16 3.24864571E-18 1.65801097E-01 1.21867373E-32 1.35843053E-31 8.03240174E-12 1.00000000E-40 1.00000000E-40 2.17022675E-23 4.18062592E-29 1.36451653E-13 6.59711129E-12 1.32657882E-20 1.40220344E-20 7.18918117E-14 4.68529380E-10 2.42866109E-17 1.83328606E-23 2.66618331E-27 3.26779650E-10 2.62323219E-31 3.84120604E-21 3.50878430E-27 3.29125178E-29 5.05160929E-34 1.00796425E-40 2.00924654E-28 4.39325155E-29 6.75180415E-15 3.48941386E-35 4.97359612E-34 2.04649342E-31 1.00000000E-40 1.60737961E-39 6.64804843E-16 1.28256203E-26 6.07137123E-29 1.00000000E-40 1.00000000E-40 3.79000058E-31 8.67235578E-32 7.50594054E-29 8.47094029E-38 4.96067504E-24 4.53118243E-19 2.23535656E-19 2.14529795E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.50000000E+00 4.04675007E-01 1.36270994E+19 2.15089728E+02 1.00000000E+05 1.34188269E+00 4.16281366E+02 7.31742438E-02 8.37838367E-24 1.05414267E-07 1.63176857E-40 1.63176857E-40 1.63176857E-40 1.63176857E-40 1.63348100E-40 2.13318822E-17 9.25500387E-06 3.47392161E-05 1.63531286E-27 2.07499645E-22 5.95351442E-09 2.12315030E-07 9.25478116E-01 4.29246205E-20 2.60429650E-20 1.00000000E-40 1.00000000E-40 6.50836999E-39 8.92265814E-29 5.00312056E-20 4.01189150E-22 7.79498580E-17 2.22899595E-23 9.66783458E-23 4.73910647E-22 3.70349652E-13 6.78506429E-16 3.85048819E-18 1.59418333E-01 1.21141935E-32 1.35004650E-31 8.00561466E-12 1.00000000E-40 1.00000000E-40 2.15691485E-23 4.15379714E-29 1.26539964E-13 7.18351074E-12 1.58334640E-20 1.43434203E-20 5.26401242E-14 4.66756628E-10 2.37918160E-17 1.38223489E-23 2.20327838E-27 3.25602131E-10 2.60678368E-31 3.81764713E-21 3.48729829E-27 3.26940539E-29 5.02060543E-34 1.00492303E-40 1.99722849E-28 4.36371232E-29 5.38120421E-15 3.47212249E-35 2.60534331E-34 2.03168653E-31 1.00000000E-40 1.73893469E-39 9.01347236E-16 6.94942960E-27 5.97217614E-29 1.00000000E-40 1.00000000E-40 3.25903957E-31 8.63159796E-32 7.45990767E-29 8.70431265E-38 5.01395964E-24 2.34723254E-19 2.22213420E-19 1.85240902E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.50000000E+00 3.69235009E-01 1.25285933E+19 2.13460375E+02 1.00000000E+05 1.59615538E+00 4.62214326E+02 2.01417703E-01 4.59578110E-23 1.14529931E-07 1.78552105E-40 1.78552105E-40 1.78552105E-40 1.78552105E-40 1.78744662E-40 1.64234528E-17 9.19971842E-06 3.05255415E-05 1.21394901E-27 2.19274804E-22 7.53272107E-09 2.14472567E-07 9.19941019E-01 2.48756777E-20 2.63512684E-20 1.00000000E-40 1.00000000E-40 5.28751075E-39 7.11455257E-29 4.97326910E-20 3.49645539E-22 7.76531684E-17 1.91263924E-23 8.42676554E-23 4.71078344E-22 3.68179002E-13 7.13230057E-16 4.61638838E-18 1.54373416E-01 1.20446298E-32 1.34191583E-31 7.98006913E-12 1.00000000E-40 1.00000000E-40 2.14402962E-23 4.12777050E-29 1.18055670E-13 7.68157824E-12 1.80729598E-20 1.45079657E-20 3.99344771E-14 4.64897132E-10 2.33553457E-17 1.04028336E-23 1.79920069E-27 3.24656771E-10 2.59080372E-31 3.79485340E-21 3.46650882E-27 3.24772710E-29 4.99059930E-34 1.00264093E-40 1.98564369E-28 4.33471084E-29 4.32893143E-15 3.45653398E-35 1.50678134E-34 2.01732465E-31 1.00000000E-40 1.87819561E-39 1.14827969E-15 4.20726010E-27 5.88906783E-29 1.00000000E-40 1.00000000E-40 2.89454409E-31 8.59399056E-32 7.41536482E-29 8.98985094E-38 5.06551465E-24 1.34757746E-19 2.20939696E-19 1.63208554E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.50000000E+00 3.36662978E-01 1.15106177E+19 2.11842667E+02 1.00000000E+05 1.88254761E+00 5.17346476E+02 3.60848317E-01 1.98627627E-22 1.26283833E-07 1.95483551E-40 1.95483551E-40 1.95483551E-40 1.95483551E-40 1.95700516E-40 1.30447689E-17 9.14609883E-06 2.68757052E-05 9.30954748E-28 2.31963951E-22 9.24540057E-09 2.16949160E-07 9.14569898E-01 1.53384306E-20 2.66283893E-20 1.00000000E-40 1.00000000E-40 4.43238782E-39 5.84356621E-29 4.94432480E-20 3.13747587E-22 7.73991919E-17 1.64228571E-23 7.34074881E-23 4.68330857E-22 3.66082907E-13 7.50166838E-16 5.54431269E-18 1.49554718E-01 1.19777729E-32 1.33401104E-31 7.95562323E-12 1.00000000E-40 1.00000000E-40 2.13152704E-23 4.10246944E-29 1.10274466E-13 8.10749648E-12 2.00026698E-20 1.46251336E-20 3.03758632E-14 4.62973530E-10 2.29479026E-17 7.82727484E-24 1.45854289E-27 3.23906554E-10 2.57525572E-31 3.77274880E-21 3.44634454E-27 3.22611561E-29 4.96149027E-34 1.00105631E-40 1.97444402E-28 4.30626260E-29 3.49065228E-15 3.44242983E-35 9.26594277E-35 2.00339726E-31 1.00000000E-40 2.03121316E-39 1.40584200E-15 2.77188154E-27 5.82111318E-29 1.00000000E-40 1.00000000E-40 2.64857050E-31 8.55900634E-32 7.37216237E-29 9.32289135E-38 5.11262809E-24 8.23947365E-20 2.19708437E-19 1.46924215E-32 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.50000000E+00 3.06748003E-01 1.05677710E+19 2.10239862E+02 1.00000000E+05 2.20668194E+00 5.86970890E+02 5.28883133E-01 6.67634671E-22 1.43476288E-07 2.15392331E-40 2.15392331E-40 2.15392331E-40 2.15392331E-40 2.15638430E-40 1.06008334E-17 9.09412569E-06 2.36683496E-05 7.31398223E-28 2.45824101E-22 1.11049277E-08 2.19772856E-07 9.09362792E-01 9.89383323E-21 2.68815650E-20 1.00000000E-40 1.00000000E-40 3.80366761E-39 4.90590208E-29 4.91627739E-20 2.87637310E-22 7.71834984E-17 1.41036421E-23 6.38846364E-23 4.65667171E-22 3.64060780E-13 7.89446660E-16 6.65800489E-18 1.44843315E-01 1.19135673E-32 1.32632868E-31 7.93227340E-12 1.00000000E-40 1.00000000E-40 2.11940183E-23 4.07788457E-29 1.03041474E-13 8.47440142E-12 2.16617950E-20 1.47531307E-20 2.31212105E-14 4.61011026E-10 2.25658595E-17 5.89209038E-24 1.17680470E-27 3.23325620E-10 2.56014597E-31 3.75132556E-21 3.42679709E-27 3.20452187E-29 4.93326750E-34 1.00015288E-40 1.96362051E-28 4.27842497E-29 2.82045246E-15 3.42966786E-35 5.95673856E-35 1.98990067E-31 1.00000000E-40 2.20094392E-39 1.67419240E-15 1.93371098E-27 5.76681243E-29 1.00000000E-40 1.00000000E-40 2.48140010E-31 8.52642964E-32 7.33028436E-29 9.70147494E-38 5.15423178E-24 5.26936023E-20 2.18518162E-19 1.35101819E-32 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E+00 2.79292196E-01 9.69580916E+18 2.08637056E+02 1.00000000E+05 2.58082101E+00 6.89701146E+02 7.62502868E-01 1.73550016E-21 1.74040432E-07 2.42469493E-40 2.42469493E-40 2.42469493E-40 2.42469493E-40 2.42752545E-40 8.75189124E-18 9.04382351E-06 2.08069919E-05 5.84824785E-28 2.61040034E-22 1.31260993E-08 2.22975672E-07 9.04322130E-01 6.58857308E-21 2.71124177E-20 1.00000000E-40 1.00000000E-40 3.32306008E-39 4.18339756E-29 4.88914042E-20 2.68052283E-22 7.70024939E-17 1.21109709E-23 5.55402918E-23 4.63088522E-22 3.62113776E-13 8.31225656E-16 7.99159519E-18 1.40082828E-01 1.18520170E-32 1.31887160E-31 7.91005347E-12 1.00000000E-40 1.00000000E-40 2.10765901E-23 4.05402360E-29 9.62638856E-14 8.79313885E-12 2.30888683E-20 1.48846729E-20 1.75486528E-14 4.59032435E-10 2.21996380E-17 4.43655861E-24 9.46458121E-28 3.22894217E-10 2.54549025E-31 3.73059405E-21 3.40787494E-27 3.18290672E-29 4.90594393E-34 1.00000000E-40 1.95317566E-28 4.25125264E-29 2.27977068E-15 3.41814061E-35 3.95061247E-35 1.97682669E-31 1.00000000E-40 2.39076778E-39 1.95345404E-15 1.40195380E-27 5.72454073E-29 1.00000000E-40 1.00000000E-40 2.36941432E-31 8.49617634E-32 7.28975035E-29 1.01252953E-37 5.19008276E-24 3.47911818E-20 2.17368793E-19 1.26806405E-32 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.50000000E+00 2.54112720E-01 8.88798757E+18 2.07080727E+02 1.00000000E+05 3.06499551E+00 8.73399170E+02 1.07526462E+00 3.51925874E-21 2.36675259E-07 3.01630223E-40 3.01630223E-40 3.01630223E-40 3.01630223E-40 3.01971011E-40 7.33041328E-18 8.99518748E-06 1.83181558E-05 4.74839386E-28 2.77587227E-22 1.53254047E-08 2.26592587E-07 8.99447406E-01 4.51115766E-21 2.73202344E-20 1.00000000E-40 1.00000000E-40 2.94426256E-39 3.61685174E-29 4.86291162E-20 2.53010152E-22 7.68527713E-17 1.03911557E-23 4.82117189E-23 4.60594637E-22 3.60242022E-13 8.75528023E-16 9.58516042E-18 1.35523013E-01 1.17930893E-32 1.31163820E-31 7.88897268E-12 1.00000000E-40 1.00000000E-40 2.09629676E-23 4.03088002E-29 8.99690097E-14 9.07267390E-12 2.43036528E-20 1.50295752E-20 1.33535635E-14 4.57055472E-10 2.18552879E-17 3.34372908E-24 7.59494926E-28 3.22595263E-10 2.53129384E-31 3.71055253E-21 3.38957571E-27 3.16121456E-29 4.87951655E-34 1.00000000E-40 1.94310692E-28 4.22477123E-29 1.84586797E-15 3.40774666E-35 2.69180424E-35 1.96415405E-31 1.00000000E-40 2.60051168E-39 2.24373050E-15 1.04581137E-27 5.69272990E-29 1.00000000E-40 1.00000000E-40 2.29605744E-31 8.46819135E-32 7.25055635E-29 1.05951444E-37 5.22034354E-24 2.36026749E-20 2.16259761E-19 1.21394353E-32 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
9.50000000E+00 2.31038645E-01 8.14209060E+18 2.05525369E+02 1.00000000E+05 3.85291325E+00 1.21817679E+03 1.43555111E+00 5.67993097E-21 3.54770438E-07 5.11017391E-40 5.11017391E-40 5.11017391E-40 5.11017391E-40 5.11481935E-40 6.19711659E-18 8.94821760E-06 1.60996496E-05 3.89717947E-28 2.95617596E-22 1.77211331E-08 2.30662515E-07 8.94738598E-01 3.14831107E-21 2.75032547E-20 1.00000000E-40 1.00000000E-40 2.63756906E-39 3.15669305E-29 4.83759136E-20 2.41266579E-22 7.67313231E-17 8.90704824E-24 4.17926379E-23 4.58185493E-22 3.58445686E-13 9.22532254E-16 1.14880728E-17 1.30971908E-01 1.17367589E-32 1.30462748E-31 7.86904444E-12 1.00000000E-40 1.00000000E-40 2.08531439E-23 4.00844896E-29 8.40638264E-14 9.32041175E-12 2.53398917E-20 1.51754212E-20 1.01327279E-14 4.55094828E-10 2.15211992E-17 2.51973763E-24 6.08462964E-28 3.22415126E-10 2.51756170E-31 3.69120125E-21 3.37189894E-27 3.13938515E-29 4.85398495E-34 1.00000000E-40 1.93341359E-28 4.19899833E-29 1.49333131E-15 3.39840332E-35 1.86793022E-35 1.95185944E-31 1.00000000E-40 2.83407232E-39 2.54509246E-15 7.96463362E-28 5.66996658E-29 1.00000000E-40 1.00000000E-40 2.25257265E-31 8.44246007E-32 7.21270233E-29 1.11126763E-37 5.24538753E-24 1.63182297E-20 2.15190750E-19 1.18445130E-32 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
