alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.00000000E-01 5.03203325E-01 1.92620951E+19 1.89215495E+02 1.00000000E+05 7.01925140E-01 2.71799023E+02 3.91409054E-10 1.45580217E-34 6.57055879E-08 1.15544904E-40 1.15544904E-40 1.15544904E-40 1.15544904E-40 1.15657866E-40 1.55652903E-16 9.93638901E-06 5.60410593E-07 1.93075814E-25 1.47972912E-20 1.98727780E-09 2.18600559E-07 9.93638901E-01 4.35676332E-19 1.29562933E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 9.28653316E-32 1.79417087E-26 1.57257829E-19 2.70774394E-17 3.46946396E-24 2.13847885E-23 2.28242434E-21 3.97455561E-13 9.10863405E-15 1.82132250E-15 1.29839068E-02 2.91196347E-33 3.89029859E-32 1.14868487E-12 1.00000000E-40 1.00000000E-40 1.76451373E-33 3.07526148E-32 1.74790038E-13 3.94948147E-11 2.90617632E-18 2.80228909E-18 1.33457089E-14 4.96819450E-10 3.83136946E-16 7.91618889E-23 3.52633752E-24 1.60985841E-09 3.90585811E-36 1.21484677E-25 9.05426245E-30 6.79048578E-34 1.46735493E-39 1.32913960E-40 1.00224924E-31 4.88026765E-33 1.63715022E-14 1.15151832E-35 1.00000000E-40 1.08865258E-34 1.00000000E-40 1.00000000E-40 2.34213966E-13 2.00645752E-27 2.24892699E-28 1.00000000E-40 1.00000000E-40 3.02412350E-33 1.35286633E-35 7.01689596E-32 1.69049236E-39 2.71667049E-28 9.47621384E-18 4.50090624E-23 1.11680256E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.50000000E+00 4.52754435E-01 1.76448023E+19 1.85850029E+02 1.00000000E+05 8.29536262E-01 3.02934314E+02 2.12943888E-09 2.50938781E-34 7.23615846E-08 1.27445500E-40 1.27445500E-40 1.27445500E-40 1.27445500E-40 1.27571762E-40 2.54446401E-17 9.29299209E-06 3.56679265E-07 1.01007421E-25 2.02620303E-20 1.11654993E-08 2.23917747E-07 8.85069083E-01 1.12608442E-20 1.44341804E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.45297534E-33 1.78668906E-26 6.57618196E-20 2.73952472E-17 2.90873152E-24 1.86504823E-23 2.30028176E-21 5.67186966E-13 1.24810513E-14 4.21944836E-15 1.01506371E-02 2.93592366E-33 3.93621049E-32 1.16463785E-12 1.00000000E-40 1.00000000E-40 1.78846294E-33 3.11122988E-32 1.56569290E-13 4.62613737E-11 8.79599919E-18 3.24457826E-18 9.43124653E-15 1.51914715E-08 3.94252068E-16 6.01188187E-23 1.93473315E-23 1.63568103E-09 3.95198686E-36 1.20760801E-25 9.15518890E-30 6.86635201E-34 1.48528272E-39 1.35519219E-40 1.01495325E-31 4.89349653E-33 1.10121590E-14 1.18213082E-35 1.00000000E-40 1.09917484E-34 1.00000000E-40 1.00000000E-40 4.86304683E-13 4.34120100E-28 2.38314046E-28 1.00000000E-40 1.00000000E-40 2.68600846E-33 1.35152474E-35 7.13193812E-32 1.96030816E-39 2.57025930E-28 7.18242207E-19 4.50773783E-23 1.08310596E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.50000000E+00 4.06574373E-01 1.61358278E+19 1.82501092E+02 1.00000000E+05 1.01148931E+00 3.43719362E+02 8.26397991E-06 5.01661497E-34 8.09840898E-08 1.42732485E-40 1.42732485E-40 1.42732485E-40 1.42732485E-40 1.42876536E-40 1.23186963E-17 8.83443255E-06 2.17746813E-07 6.20794916E-25 2.91947100E-20 2.13689586E-08 2.35356871E-07 7.75837224E-01 2.57573752E-21 1.49563970E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.36206407E-34 1.76870460E-26 6.47087174E-20 2.79099321E-17 2.43276800E-24 1.62486003E-23 2.31872079E-21 7.67183195E-13 1.71568063E-14 9.70289192E-15 7.76683842E-03 2.97178851E-33 4.00892142E-32 1.18784093E-12 1.00000000E-40 1.00000000E-40 1.82819024E-33 3.16797035E-32 1.31135760E-13 5.19472181E-11 2.84629719E-17 4.11711470E-18 6.74671607E-15 2.74766095E-08 4.00989779E-16 3.78453908E-23 1.23879476E-22 1.67941314E-09 4.02575471E-36 1.19247175E-25 9.31247586E-30 7.75269735E-34 1.51412088E-39 1.39742472E-40 1.03543448E-31 4.90763052E-33 6.99918955E-15 1.23269794E-35 1.00000000E-40 1.11164727E-34 1.00000000E-40 1.00000000E-40 7.72615269E-13 6.73423077E-29 2.42565416E-28 1.00000000E-40 1.00000000E-40 2.29364096E-33 1.34432295E-35 7.33192388E-32 2.43988340E-39 2.46514490E-28 1.82155375E-18 4.52678591E-23 1.02780323E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.50000000E+00 3.64335076E-01 1.47430377E+19 1.78990807E+02 1.00000000E+05 1.22111071E+00 3.85552954E+02 1.97928074E-02 2.86263333E-33 8.96973733E-08 1.57898081E-40 1.57898081E-40 1.57898081E-40 1.57898081E-40 1.58060930E-40 7.33424773E-18 8.64635694E-06 1.26426892E-07 3.56911570E-24 4.44265824E-20 3.27702780E-08 2.55118502E-07 6.62095436E-01 9.17325342E-22 1.46672320E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.62064185E-34 1.73709930E-26 6.64048015E-20 2.84248941E-17 1.96392688E-24 1.38493496E-23 2.30503766E-21 1.00816240E-12 2.16908978E-14 2.25524958E-14 5.74382589E-03 3.00279704E-33 4.08085836E-32 1.21011363E-12 1.00000000E-40 1.00000000E-40 1.87185671E-33 3.22376016E-32 1.09313791E-13 5.62973524E-11 1.16719637E-16 5.70319704E-18 5.02271061E-15 3.57056461E-08 3.88355177E-16 1.92808071E-23 7.38994714E-22 1.72956737E-09 4.10050958E-36 1.16796192E-25 9.46219746E-30 1.37676250E-33 1.54375124E-39 1.44345453E-40 1.05665882E-31 4.89864134E-33 4.01281143E-15 1.29062244E-35 1.00000000E-40 1.11959624E-34 1.00000000E-40 1.00000000E-40 1.09899927E-12 9.93063266E-30 2.39498778E-28 1.00000000E-40 1.00000000E-40 1.95083995E-33 1.32693511E-35 7.57256485E-32 3.09943800E-39 2.39991407E-28 5.22791358E-18 4.53521984E-23 9.62889038E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.50000000E+00 3.25712637E-01 1.34643944E+19 1.75212265E+02 1.00000000E+05 1.44844702E+00 4.26673870E+02 2.33504452E-01 6.20861367E-30 9.81825386E-08 1.72306485E-40 1.72306485E-40 1.72306485E-40 1.72306485E-40 1.72488460E-40 4.71331109E-18 8.66318479E-06 6.82649959E-08 1.50998475E-23 7.31741986E-20 4.54360336E-08 2.81921082E-07 5.36030168E-01 3.86857654E-22 1.37603245E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.19607341E-34 1.69118730E-26 6.18235812E-20 2.87872368E-17 1.49171938E-24 1.12239360E-23 2.21319434E-21 1.29346384E-12 2.48522744E-14 7.19755975E-14 4.03886774E-03 3.01792765E-33 4.13165218E-32 1.22544226E-12 1.00000000E-40 1.00000000E-40 1.91106112E-33 3.26272209E-32 9.16785011E-14 5.91984493E-11 5.52773758E-16 9.40304520E-18 4.16488288E-15 4.04013407E-08 3.51694718E-16 8.59459730E-24 4.01041516E-21 1.77761888E-09 4.15710689E-36 1.13393946E-25 9.55750341E-30 4.72325191E-33 1.56686514E-39 1.48315351E-40 1.07352273E-31 4.85091470E-33 2.11021326E-15 1.34558839E-35 1.00000000E-40 1.11827064E-34 1.00000000E-40 1.00000000E-40 1.48725349E-12 1.71677586E-30 2.32094572E-28 1.00000000E-40 1.00000000E-40 1.69736805E-33 1.29671007E-35 7.82317573E-32 3.93009702E-39 2.34834669E-28 1.15901170E-17 4.51726555E-23 8.99835085E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.50000000E+00 2.90406631E-01 1.22914716E+19 1.71127326E+02 1.00000000E+05 1.69841664E+00 4.70105541E+02 4.28683250E-01 1.09095395E-26 1.07179894E-07 1.87222901E-40 1.87222901E-40 1.87222901E-40 1.87222901E-40 1.87425653E-40 3.14353454E-18 8.78125860E-06 3.36796555E-08 5.09761288E-23 1.37017480E-19 5.93952483E-08 3.13585546E-07 3.98830976E-01 1.73502495E-22 1.24646927E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.54016740E-34 1.63366869E-26 5.16899484E-20 2.89162104E-17 1.04361863E-24 8.35369202E-24 1.98982893E-21 1.62312102E-12 2.61989542E-14 3.40840546E-13 2.66546721E-03 3.01559965E-33 4.15375069E-32 1.23187321E-12 1.00000000E-40 1.00000000E-40 1.94382472E-33 3.27954761E-32 6.78924082E-14 6.07301199E-11 2.60243823E-15 1.98655689E-17 4.06441949E-15 4.28973165E-08 2.94770737E-16 6.00562719E-24 1.96595202E-20 1.82073826E-09 4.19015374E-36 1.09233267E-25 9.58240967E-30 2.08994706E-32 1.58133185E-39 1.51007966E-40 1.08449921E-31 4.76288234E-33 1.08420447E-15 1.39195875E-35 1.00000000E-40 1.10445115E-34 1.00000000E-40 1.00000000E-40 2.00259914E-12 3.70592540E-31 2.22216246E-28 1.00000000E-40 1.00000000E-40 1.52027911E-33 1.25213726E-35 8.07790159E-32 4.96584477E-39 2.28654070E-28 2.02324309E-17 4.47074267E-23 8.45693341E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.50000000E+00 2.58123574E-01 1.12212563E+19 1.66610706E+02 1.00000000E+05 1.97855243E+00 5.18981915E+02 5.51357813E-01 7.92775296E-24 1.17464407E-07 2.03921523E-40 2.03921523E-40 2.03921523E-40 2.03921523E-40 2.04148188E-40 2.01795819E-18 8.93092250E-06 1.46941596E-08 1.58192714E-22 3.18699742E-19 7.46874546E-08 3.48690000E-07 2.75181660E-01 7.34255955E-23 1.10094876E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.12636898E-34 1.56904525E-26 4.04718109E-20 2.87265670E-17 6.71441845E-25 5.63273209E-24 1.60176894E-21 1.99529708E-12 2.58295449E-14 1.76433237E-12 1.61301856E-03 2.99982875E-33 4.14541829E-32 1.23019454E-12 1.00000000E-40 1.00000000E-40 1.97315181E-33 3.27477220E-32 2.90774387E-14 6.10918044E-11 1.13247065E-14 5.40489064E-17 4.57761870E-15 4.43004736E-08 2.23649685E-16 1.07342673E-23 8.64796960E-20 1.86013983E-09 4.20372644E-36 1.04618867E-25 9.53862760E-30 8.88206664E-32 1.58859328E-39 1.51673386E-40 1.09055353E-31 4.64031743E-33 5.55664388E-16 1.42610773E-35 1.00000000E-40 1.07087690E-34 1.00000000E-40 1.00000000E-40 2.71595424E-12 9.07965784E-32 2.09806417E-28 1.00000000E-40 1.00000000E-40 1.38645586E-33 1.18767764E-35 8.34811835E-32 6.27731314E-39 2.19335640E-28 3.04939694E-17 4.40237478E-23 8.05655644E-35 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E+00 2.28624543E-01 1.02352011E+19 1.61786838E+02 1.00000000E+05 2.28350770E+00 5.72915144E+02 6.17849597E-01 1.64401665E-21 1.29017962E-07 2.22206270E-40 2.22206270E-40 2.22206270E-40 2.22206270E-40 2.22459944E-40 1.20297931E-18 9.08057982E-06 5.68048126E-09 4.93975498E-22 1.29674387E-18 9.13580733E-08 3.86646423E-07 1.78067519E-01 2.76168159E-23 9.52896951E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.23445540E-35 1.50116695E-26 4.20125279E-20 2.80028500E-17 3.90622150E-25 3.37113581E-24 1.07643973E-21 2.40086223E-12 2.29106446E-14 7.84371386E-12 8.94548505E-04 2.97256084E-33 4.09487777E-32 1.22145820E-12 1.00000000E-40 1.00000000E-40 2.00491131E-33 3.24355203E-32 9.06401302E-15 6.05073010E-11 4.44926809E-14 1.85159611E-16 5.77891061E-15 4.52286283E-08 1.51117796E-16 2.54221027E-23 3.38530768E-19 1.89794743E-09 4.20360482E-36 9.98081039E-26 9.41736612E-30 3.32294118E-31 1.59068915E-39 1.48637327E-40 1.09316201E-31 4.48375462E-33 2.88614858E-16 1.43988583E-35 1.00000000E-40 9.95267347E-35 1.00000000E-40 1.00000000E-40 3.58068277E-12 3.27962785E-32 1.91925171E-28 1.00000000E-40 1.00000000E-40 1.25943865E-33 1.08488835E-35 8.64846198E-32 7.87471643E-39 2.03325943E-28 4.22955623E-17 4.31944847E-23 7.88805689E-35 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.50000000E+00 2.01699635E-01 9.32328154E+18 1.56694240E+02 1.00000000E+05 2.61444164E+00 6.33702377E+02 6.45914931E-01 2.42902579E-21 1.42382292E-07 2.42646226E-40 2.42646226E-40 2.42646226E-40 2.42646226E-40 2.42930842E-40 6.63696050E-19 9.21925338E-06 1.93401684E-09 1.68745880E-21 1.33945080E-17 1.09450326E-07 4.27306125E-07 1.07810906E-01 8.94016848E-24 8.04566274E-19 1.00000000E-40 1.00000000E-40 1.64177872E-40 7.46030802E-35 1.43241841E-26 1.55676203E-19 2.64358794E-17 1.99634451E-25 1.73204035E-24 4.85358482E-22 2.80120946E-12 2.02297353E-14 2.84535140E-11 4.51509746E-04 2.92211746E-33 3.95961219E-32 1.20558739E-12 1.00000000E-40 1.00000000E-40 2.04975973E-33 3.15870652E-32 3.51257032E-15 5.91060806E-11 1.58306038E-13 8.17836339E-16 8.35086615E-15 4.59482319E-08 9.04064645E-17 6.88530592E-23 1.16835837E-18 1.93595105E-09 4.19375711E-36 9.49571020E-26 9.16647037E-30 1.05596377E-30 1.58856175E-39 1.39045019E-40 1.09344414E-31 4.27747929E-33 1.82490775E-16 1.41181453E-35 1.00000000E-40 8.33220661E-35 1.00000000E-40 1.00000000E-40 4.58129648E-12 9.36785543E-32 1.62323744E-28 1.00000000E-40 1.00000000E-40 1.10780022E-33 9.08025213E-36 8.99052646E-32 9.44049592E-39 1.74240766E-28 5.65783705E-17 4.22550178E-23 8.14200173E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
9.50000000E+00 1.77164601E-01 8.47667906E+18 1.51379800E+02 1.00000000E+05 2.97739134E+00 7.05215674E+02 6.48527892E-01 2.55034596E-21 1.58722545E-07 2.66123852E-40 2.66123852E-40 2.66123852E-40 2.66123852E-40 2.66444802E-40 4.73099586E-19 9.34245421E-06 5.75794131E-10 6.60918750E-21 2.43840067E-16 1.28990558E-07 4.70624760E-07 6.08442055E-02 3.37937863E-24 6.57037801E-19 1.00000000E-40 1.00000000E-40 1.58654718E-38 1.72169038E-34 1.36391296E-26 8.06949434E-19 2.43464335E-17 9.36767211E-26 7.72067870E-25 8.11468445E-23 3.10119118E-12 3.07708186E-14 8.61846109E-11 2.05841379E-04 2.80090607E-33 3.64572676E-32 1.18068588E-12 1.00000000E-40 1.00000000E-40 2.13100930E-33 2.94493020E-32 1.61867756E-15 5.68600567E-11 5.26729324E-13 5.26235271E-15 1.61683212E-14 4.65477669E-08 4.91173248E-17 3.01789154E-22 3.53479689E-18 1.97600421E-09 4.17582185E-36 9.01322216E-26 8.64833230E-30 2.75935399E-30 1.57986579E-39 1.20513770E-40 1.09204551E-31 3.98210198E-33 4.51054459E-16 1.29974240E-35 1.00000000E-40 5.42856499E-35 1.00000000E-40 1.00000000E-40 5.69069740E-12 6.65634359E-31 1.14562765E-28 1.00000000E-40 1.00000000E-40 9.24882130E-34 6.23388647E-36 9.38182531E-32 9.99117802E-39 1.25340936E-28 7.32067883E-17 4.11735141E-23 9.05370527E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
