alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.00000000E-01 5.03682455E-01 1.89267669E+19 1.92751208E+02 1.00000000E+05 7.02290652E-01 2.71952264E+02 3.92840937E-10 1.46160232E-34 6.57790612E-08 1.15581617E-40 1.15581617E-40 1.15581617E-40 1.15581617E-40 1.15694619E-40 2.47497825E-16 9.92693677E-06 1.01384011E-06 1.94154483E-25 1.44527471E-20 1.98538736E-09 2.18392609E-07 9.92693677E-01 7.75013290E-19 5.10716816E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.19394467E-32 1.66980425E-26 1.18402281E-18 3.04240906E-17 4.86293844E-24 2.59660941E-23 2.06309399E-21 3.97077471E-13 7.63133551E-15 5.00327413E-12 1.86009101E-02 2.73653190E-33 3.99245675E-32 1.17699353E-12 1.00000000E-40 1.00000000E-40 1.92433821E-33 3.14597379E-32 2.20284389E-14 2.51265916E-11 2.24745637E-18 2.45323008E-18 2.07739110E-14 4.96346839E-10 4.67166946E-16 1.38343284E-22 7.78545267E-21 1.72856654E-09 4.05934699E-36 1.12429123E-25 9.19433703E-30 5.92877432E-34 1.52871554E-39 1.39432435E-40 1.04619068E-31 4.79252112E-33 2.71773190E-14 1.22078246E-35 1.00000000E-40 1.02122468E-34 1.00000000E-40 1.00000000E-40 3.92965626E-12 9.19374384E-28 8.61406715E-29 1.00000000E-40 1.00000000E-40 2.68593529E-33 1.24901460E-35 7.82535814E-32 3.27479371E-39 2.65788709E-28 1.30248636E-17 4.67097367E-23 9.15712936E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.50000000E+00 4.54419522E-01 1.72538562E+19 1.90760093E+02 1.00000000E+05 8.30207126E-01 3.03200700E+02 1.42884339E-09 2.52574053E-34 7.24582626E-08 1.27510885E-40 1.27510885E-40 1.27510885E-40 1.27510885E-40 1.27637219E-40 4.32155301E-17 9.83727951E-06 7.28934221E-07 5.67835050E-26 1.91217154E-20 1.12158307E-08 2.35719338E-07 9.30647707E-01 2.39943966E-20 5.74882701E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.10831585E-33 1.66373889E-26 7.70903586E-19 3.10183124E-17 4.06554550E-24 2.31156225E-23 2.04139487E-21 5.97951066E-13 7.00299819E-15 8.98404471E-12 1.52539355E-02 2.72994284E-33 3.98300667E-32 1.17943588E-12 1.00000000E-40 1.00000000E-40 1.93870747E-33 3.13955648E-32 1.07037057E-14 2.96095327E-11 5.53165374E-18 3.22162136E-18 1.63593455E-14 4.49451962E-09 4.55138855E-16 1.09575005E-22 8.65476839E-21 1.73358559E-09 4.05850859E-36 1.11955735E-25 9.17250534E-30 5.87726212E-34 1.52863815E-39 1.39688549E-40 1.04629050E-31 4.76782350E-33 2.03906978E-14 1.22714788E-35 1.00000000E-40 1.01777022E-34 1.00000000E-40 1.00000000E-40 6.11004289E-12 1.78242956E-28 9.89225216E-29 1.00000000E-40 1.00000000E-40 2.53092520E-33 1.23908683E-35 7.85464786E-32 3.49456968E-39 2.63455038E-28 5.66427804E-19 4.61937951E-23 8.83556850E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.50000000E+00 4.08935319E-01 1.59098350E+19 1.86168271E+02 1.00000000E+05 1.01238943E+00 3.44077251E+02 5.60422094E-07 5.06850659E-34 8.10845898E-08 1.42809911E-40 1.42809911E-40 1.42809911E-40 1.42809911E-40 1.42954052E-40 1.74572422E-17 9.75329086E-06 4.28417669E-07 4.37440465E-26 2.46138964E-20 2.12610118E-08 2.54870391E-07 8.64561467E-01 4.59789864E-21 6.18868311E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 5.61403044E-34 1.65365258E-26 1.25202557E-18 3.24673257E-17 3.91915190E-24 2.21717108E-23 1.99906927E-21 8.14219620E-13 8.04842308E-15 1.72581213E-11 1.17443132E-02 2.71852610E-33 3.96808105E-32 1.18365887E-12 1.00000000E-40 1.00000000E-40 1.97339167E-33 3.12960783E-32 3.82738212E-15 3.36586208E-11 1.07971710E-17 3.30717312E-18 1.06832789E-14 8.71582952E-09 4.23740519E-16 7.37357749E-23 1.05240355E-20 1.74593120E-09 4.06218393E-36 1.11188770E-25 9.13789299E-30 5.79221855E-34 1.53046127E-39 1.40047468E-40 1.04770229E-31 4.73141520E-33 1.24723155E-14 1.23356507E-35 1.00000000E-40 1.00840164E-34 1.00000000E-40 1.00000000E-40 7.14134708E-12 2.67459443E-29 1.12033190E-28 1.00000000E-40 1.00000000E-40 2.39883795E-33 1.22157671E-35 7.92587352E-32 3.79066544E-39 2.58785641E-28 1.86211147E-19 4.56527246E-23 8.65113339E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
3.50000000E+00 3.67421295E-01 1.45094136E+19 1.83413450E+02 1.00000000E+05 1.22234302E+00 3.85990501E+02 2.51840119E-04 2.06898591E-33 8.98181359E-08 1.57997282E-40 1.57997282E-40 1.57997282E-40 1.57997282E-40 1.58160250E-40 1.05314006E-17 9.66635742E-06 2.83239865E-07 1.44103635E-25 3.68092641E-20 3.21461289E-08 2.75715186E-07 7.93512929E-01 1.75233665E-21 6.37606608E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.91615543E-34 1.63723571E-26 2.28878396E-18 3.49836056E-17 3.97386721E-24 2.18169642E-23 1.93162968E-21 1.04904989E-12 9.69172969E-15 3.04114146E-11 9.52716357E-03 2.69806530E-33 3.94006769E-32 1.18761362E-12 1.00000000E-40 1.00000000E-40 2.03229206E-33 3.11017223E-32 1.70663680E-15 3.71226110E-11 2.00458379E-17 4.65485989E-18 8.84867378E-15 1.30309779E-08 4.04622461E-16 4.96131154E-23 1.35794351E-20 1.76334869E-09 4.06492249E-36 1.09973682E-25 9.07362529E-30 5.66603994E-34 1.53207634E-39 1.40254229E-40 1.04892269E-31 4.67755564E-33 8.44481650E-15 1.23646246E-35 1.00000000E-40 9.90174994E-35 1.00000000E-40 1.00000000E-40 7.63001737E-12 4.72878715E-30 1.23295270E-28 1.00000000E-40 1.00000000E-40 2.25974323E-33 1.19397058E-35 8.03129242E-32 4.13421124E-39 2.51340217E-28 3.38250900E-19 4.50486903E-23 8.54729155E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.50000000E+00 3.29574757E-01 1.32164454E+19 1.80615906E+02 1.00000000E+05 1.45023715E+00 4.27295173E+02 4.83333379E-02 5.14304551E-31 9.83481653E-08 1.72448148E-40 1.72448148E-40 1.72448148E-40 1.72448148E-40 1.72630296E-40 6.99673360E-18 9.58471909E-06 1.87325797E-07 7.41504485E-25 6.66968880E-20 4.39887239E-08 2.98681388E-07 7.17811192E-01 8.06793825E-22 6.28813226E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.81851152E-34 1.61523260E-26 3.97595821E-18 3.89395422E-17 4.27636880E-24 2.26009450E-23 1.83807585E-21 1.30682011E-12 1.15893019E-14 4.99217354E-11 7.67004986E-03 2.66893872E-33 3.89743644E-32 1.19102093E-12 1.00000000E-40 1.00000000E-40 2.12678430E-33 3.08008718E-32 8.17229921E-16 3.99500039E-11 4.10772647E-17 7.59902395E-18 8.70527990E-15 1.73452129E-08 3.82644837E-16 3.34030350E-23 1.81552833E-20 1.78724047E-09 4.06829632E-36 1.08360186E-25 8.97717423E-30 5.50284409E-34 1.53404539E-39 1.40297870E-40 1.05025017E-31 4.60741524E-33 5.43294143E-15 1.23479221E-35 1.00000000E-40 9.61765287E-35 1.00000000E-40 1.00000000E-40 7.89235051E-12 1.23079696E-30 1.31817321E-28 1.00000000E-40 1.00000000E-40 2.10909092E-33 1.15541085E-35 8.17767082E-32 4.50878039E-39 2.41293460E-28 1.05159227E-18 4.43871840E-23 8.49839051E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.50000000E+00 2.95071232E-01 1.20374964E+19 1.77544579E+02 1.00000000E+05 1.70107159E+00 4.71028553E+02 2.22309059E-01 1.72632522E-28 1.07420732E-07 1.87432188E-40 1.87432188E-40 1.87432188E-40 1.87432188E-40 1.87635201E-40 4.76626639E-18 9.51212152E-06 1.17368962E-07 3.19925112E-24 1.54689389E-19 5.68485053E-08 3.23981732E-07 6.37723709E-01 3.96048359E-22 5.92385667E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.21463973E-34 1.58786988E-26 6.48295568E-18 4.47684116E-17 4.80912178E-24 2.46182983E-23 1.71706786E-21 1.59056455E-12 1.34014507E-14 7.79093691E-11 5.94575076E-03 2.62979684E-33 3.83611991E-32 1.19270943E-12 1.00000000E-40 1.00000000E-40 2.27216426E-33 3.03609386E-32 4.17449202E-16 4.20713833E-11 9.74919134E-17 1.55347688E-17 1.03182211E-14 2.15445942E-08 3.53999053E-16 2.25486612E-23 2.48479232E-20 1.81853694E-09 4.07191224E-36 1.06363564E-25 8.84038769E-30 5.30684493E-34 1.53618644E-39 1.40047894E-40 1.05142061E-31 4.51993187E-33 3.21841151E-15 1.22660830E-35 1.00000000E-40 9.21232830E-35 1.00000000E-40 1.00000000E-40 8.14086032E-12 4.10339158E-31 1.36878906E-28 1.00000000E-40 1.00000000E-40 1.94540707E-33 1.10439455E-35 8.36802852E-32 4.88714478E-39 2.28713541E-28 2.80016860E-18 4.36467316E-23 8.48593600E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.50000000E+00 2.63662560E-01 1.09468382E+19 1.74452212E+02 1.00000000E+05 1.98250665E+00 5.20356392E+02 3.55797361E-01 3.52227197E-26 1.17822866E-07 2.04232587E-40 2.04232587E-40 2.04232587E-40 2.04232587E-40 2.04459646E-40 3.34618366E-18 9.44976111E-06 7.13184402E-08 1.08802854E-23 4.38035069E-19 7.07798026E-08 3.51766666E-07 5.53391520E-01 2.05648735E-22 5.32233876E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 8.59804531E-35 1.55526221E-26 1.01289853E-17 5.29690408E-17 5.54168950E-24 2.77317712E-23 1.56751676E-21 1.90339231E-12 1.47720971E-14 1.17270563E-10 4.50645629E-03 2.57802962E-33 3.75068576E-32 1.19095128E-12 1.00000000E-40 1.00000000E-40 2.48983631E-33 2.97371626E-32 2.48412156E-16 4.34279168E-11 2.58299347E-16 3.82628361E-17 1.41720686E-14 2.55255670E-08 3.20053381E-16 1.58931172E-23 3.49204419E-20 1.85840311E-09 4.07463183E-36 1.03991124E-25 8.65206258E-30 5.08420900E-34 1.53803447E-39 1.39264871E-40 1.05190098E-31 4.41313611E-33 1.84702027E-15 1.20943362E-35 1.00000000E-40 8.66287143E-35 1.00000000E-40 1.00000000E-40 8.50886014E-12 1.49134336E-31 1.37909117E-28 1.00000000E-40 1.00000000E-40 1.76812961E-33 1.03906961E-35 8.60442171E-32 5.23150037E-39 2.13562040E-28 5.94365013E-18 4.27921342E-23 8.49909843E-35 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.50000000E+00 2.35065942E-01 9.95529993E+18 1.71022038E+02 1.00000000E+05 2.28942170E+00 5.74984880E+02 4.54642277E-01 3.79315199E-24 1.29560298E-07 2.22672157E-40 2.22672157E-40 2.22672157E-40 2.22672157E-40 2.22926434E-40 2.29325141E-18 9.39917471E-06 4.01020190E-08 3.11742269E-23 1.44272166E-18 8.58442561E-08 3.82214515E-07 4.65041611E-01 1.03990688E-22 4.56913337E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.07412918E-35 1.51794654E-26 1.50195656E-17 6.41103854E-17 6.41744959E-24 3.17916514E-23 1.38949084E-21 2.24891643E-12 1.53775850E-14 1.71816641E-10 3.23784610E-03 2.51061917E-33 3.63589272E-32 1.18384597E-12 1.00000000E-40 1.00000000E-40 2.80950502E-33 2.88844895E-32 1.77567201E-16 4.39883057E-11 7.33067330E-16 1.04313359E-16 2.02438004E-14 2.92068656E-08 2.76701662E-16 1.22706387E-23 5.10772155E-20 1.90905651E-09 4.07601051E-36 1.01277553E-25 8.40139337E-30 4.84528472E-34 1.53938567E-39 1.37628449E-40 1.05123502E-31 4.28582403E-33 1.05825660E-15 1.18079503E-35 1.00000000E-40 7.94745884E-35 1.00000000E-40 1.00000000E-40 9.04436940E-12 5.41170921E-32 1.34518098E-28 1.00000000E-40 1.00000000E-40 1.57727337E-33 9.57709152E-36 8.89087420E-32 5.49438974E-39 1.95763668E-28 1.03357190E-17 4.17899918E-23 8.53702907E-35 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.50000000E+00 2.09075867E-01 9.03698885E+18 1.67570234E+02 1.00000000E+05 2.62254992E+00 6.36536095E+02 6.52510780E-01 1.69924388E-22 1.43135088E-07 2.43279108E-40 2.43279108E-40 2.43279108E-40 2.43279108E-40 2.43564570E-40 1.59434098E-18 9.35819654E-06 2.16391742E-08 7.91395051E-23 5.23250753E-18 1.02088050E-07 4.15398115E-07 3.72642918E-01 5.31167546E-23 3.77100958E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 4.45071643E-35 1.47620951E-26 2.15488109E-17 7.88925086E-17 7.29128684E-24 3.58979911E-23 1.18363292E-21 2.63043694E-12 1.51967312E-14 2.46354744E-10 2.25676363E-03 2.42317736E-33 3.48538122E-32 1.16915458E-12 1.00000000E-40 1.00000000E-40 3.26987136E-33 2.77470101E-32 1.51926312E-16 4.37300564E-11 2.15124706E-15 2.99179971E-16 2.88788448E-14 3.25235206E-08 2.29383885E-16 1.07018628E-23 7.88392516E-20 1.97329872E-09 4.07471491E-36 9.82391959E-26 8.07483163E-30 4.60040572E-34 1.53970195E-39 1.34686638E-40 1.04860169E-31 4.13580443E-33 6.64430493E-16 1.13784752E-35 1.00000000E-40 7.04360887E-35 1.00000000E-40 1.00000000E-40 9.72312703E-12 2.39931963E-32 1.26412468E-28 1.00000000E-40 1.00000000E-40 1.37203019E-33 8.58370426E-36 9.23031577E-32 5.61666133E-39 1.75124453E-28 1.55720774E-17 4.05911777E-23 8.60227701E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
9.50000000E+00 1.85455516E-01 8.20165967E+18 1.63777685E+02 1.00000000E+05 2.98128765E+00 7.06348306E+02 9.16459049E-01 1.81704022E-21 1.59047226E-07 2.66368510E-40 2.66368510E-40 2.66368510E-40 2.66368510E-40 2.66689881E-40 1.08796608E-18 9.32494140E-06 1.06488297E-08 1.96980276E-22 2.15187783E-17 1.19573941E-07 4.51438952E-07 2.75837401E-01 2.56080135E-23 3.02007340E-19 1.00000000E-40 1.00000000E-40 5.51806950E-40 3.30414673E-35 1.43073082E-26 2.94176632E-17 9.82262252E-17 7.79583331E-24 3.85365566E-23 9.51716794E-22 3.05187833E-12 1.44748965E-14 3.46864607E-10 1.47337305E-03 2.31147241E-33 3.29365422E-32 1.14511764E-12 1.00000000E-40 1.00000000E-40 3.92072189E-33 2.62738531E-32 1.42119932E-16 4.26568021E-11 6.48232268E-15 8.83791358E-16 3.93250378E-14 3.54399355E-08 1.77411034E-16 1.02332503E-23 1.29250539E-19 2.05563523E-09 4.07035316E-36 9.49164097E-26 7.66054922E-30 4.35788715E-34 1.53880529E-39 1.29973959E-40 1.04325353E-31 3.96186172E-33 5.10252729E-16 1.07810715E-35 1.00000000E-40 5.93649762E-35 1.00000000E-40 1.00000000E-40 1.04593567E-11 2.66275249E-32 1.13477273E-28 1.00000000E-40 1.00000000E-40 1.15149776E-33 7.39595838E-36 9.62859780E-32 5.53170789E-39 1.51457861E-28 2.14701417E-17 3.91498242E-23 8.70271610E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
