alt press den temp eddy H2Oaer SO2aer CO2aer S8aer H2SO4aer C2H2aer C2H4aer C2H6aer CH4aer HCaer1 H H2 H2O OH O O2 CO CO2 HCO H2CO C CH CH2 CH3 CH4 S S2 S3 S4 S8 H2S HS SO SO2 CS CS2 OCS C2 C2H C2H2 C2H4 HO2 H2O2 O3 SO3 H2SO4 HCl Cl Cl2 HOCl ClO C2H6 CH3OH CH2CO CH3CHO C3H4 C3H6 C4H2 C4H4 OClO HCS C2H3 C2H5 1CH2 HCCO HSO CH3O H2COH C4H C2H2OH CH3CO CH2CHO C2H3OH C2H4OH CH3O2 HSO3 HS4 C4H3 O1D H2Oaer_r SO2aer_r CO2aer_r S8aer_r H2SO4aer_r C2H2aer_r C2H4aer_r C2H6aer_r CH4aer_r HCaer1_r
5.92280000E-01 7.00131000E-01 2.46755391E+19 2.05508304E+02 1.00000000E+05 7.02988778E-01 2.72186655E+02 3.92405632E-10 1.46134088E-34 6.59077760E-08 1.15702488E-40 1.15702488E-40 1.15702488E-40 1.15702488E-40 1.15815607E-40 7.87639054E-16 7.14152081E-06 5.24147455E-06 6.67473239E-25 9.29215612E-21 1.42830416E-09 1.57113458E-07 7.14152081E-01 3.80221016E-18 1.75020963E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.27584426E-31 2.03092791E-26 1.09009567E-19 2.63655389E-17 1.78737424E-24 7.88331634E-24 2.16441296E-21 2.85660833E-13 4.95118532E-15 3.50511216E-16 4.29688793E-02 2.60920135E-33 3.80679238E-32 1.10674987E-12 1.00000000E-40 1.00000000E-40 1.75376487E-33 2.98254912E-32 3.87780541E-13 4.14762669E-11 2.11170198E-19 1.09755579E-18 6.85740646E-14 3.57076041E-08 6.50387250E-16 3.67112351E-22 7.70843444E-25 1.55309638E-09 3.83851661E-36 1.38699318E-25 8.76192447E-30 7.97680699E-34 1.43764083E-39 1.21154075E-40 9.78416053E-32 5.05476182E-33 3.62599180E-14 9.89846137E-36 1.00000000E-40 1.07984316E-34 1.00000000E-40 1.00000000E-40 1.91879646E-13 2.33662289E-26 3.05922322E-28 1.00000000E-40 1.00000000E-40 3.75999512E-33 1.47568374E-35 7.19058335E-32 1.20345837E-39 2.40825365E-28 1.22366059E-16 4.62132681E-23 1.33631622E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.77684000E+00 5.97166000E-01 2.14118777E+19 2.02002635E+02 1.00000000E+05 8.29106432E-01 3.03339059E+02 6.95261613E-10 2.48517591E-34 7.25700328E-08 1.27648465E-40 1.27648465E-40 1.27648465E-40 1.27648465E-40 1.27774877E-40 1.06013602E-16 7.59067327E-06 3.75099085E-06 9.67700569E-26 1.13057279E-20 1.01484630E-08 1.85102489E-07 7.40125177E-01 7.52250549E-20 1.74637828E-18 1.00000000E-40 1.00000000E-40 5.68573894E-39 9.64224792E-33 2.02899406E-26 3.51354356E-20 2.75302190E-17 1.50612745E-24 6.99476852E-24 2.25438734E-21 4.91151618E-13 7.85534493E-15 1.08340024E-15 3.75524514E-02 2.71368837E-33 3.97494997E-32 1.15839326E-12 1.00000000E-40 1.00000000E-40 1.83430708E-33 3.11499753E-32 3.58143557E-13 5.01105894E-11 9.53284324E-19 1.24463165E-18 4.78545076E-14 3.79547771E-08 6.18898079E-16 2.39975151E-22 5.16355038E-25 1.62995796E-09 4.00711555E-36 1.38106215E-25 9.14367384E-30 7.84115828E-34 1.50170010E-39 1.28938424E-40 1.02313310E-31 5.18566945E-33 2.51096493E-14 1.07018186E-35 1.00000000E-40 1.11490823E-34 1.00000000E-40 1.00000000E-40 4.51525301E-13 2.56339663E-27 2.88436205E-28 1.00000000E-40 1.00000000E-40 2.55835884E-33 1.49018166E-35 7.53981334E-32 1.70051461E-39 2.52429351E-28 2.27862772E-18 4.74223500E-23 1.16822743E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
2.96140000E+00 5.07918000E-01 1.85297552E+19 1.98536627E+02 1.00000000E+05 1.00881550E+00 3.44174338E+02 1.45223873E-09 4.88527965E-34 8.12135414E-08 1.43003246E-40 1.43003246E-40 1.43003246E-40 1.43003246E-40 1.43147430E-40 4.90448513E-17 8.08983090E-06 2.61620611E-06 4.76059872E-26 1.40211541E-20 2.06446021E-08 2.17840665E-07 7.67271068E-01 1.77690741E-20 1.73844496E-18 1.00000000E-40 1.00000000E-40 1.09517727E-39 2.53899855E-33 2.03073256E-26 3.71239590E-20 2.88253334E-17 1.28684428E-24 6.23600030E-24 2.34725917E-21 7.37382925E-13 1.19887878E-14 2.84839265E-15 3.24491262E-02 2.82068417E-33 4.16020827E-32 1.21434585E-12 1.00000000E-40 1.00000000E-40 1.92662435E-33 3.26006900E-32 3.19428215E-13 5.71567099E-11 1.88802067E-18 1.49510911E-18 3.39965277E-14 4.04456397E-08 6.10657183E-16 1.44631635E-22 3.33093950E-25 1.72168685E-09 4.19343884E-36 1.37816112E-25 9.55809090E-30 7.71824817E-34 1.57304531E-39 1.37621631E-40 1.07298551E-31 5.31286842E-33 1.74431084E-14 1.16207643E-35 1.00000000E-40 1.15234159E-34 1.00000000E-40 1.00000000E-40 7.60965274E-13 2.48968927E-28 2.76552403E-28 1.00000000E-40 1.00000000E-40 2.08588430E-33 1.50351243E-35 7.96145423E-32 2.36954773E-39 2.60952507E-28 4.89957517E-19 4.87229915E-23 1.06015956E-34 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
4.14596000E+00 4.40637000E-01 1.63222192E+19 1.95532284E+02 1.00000000E+05 1.21563324E+00 3.86015996E+02 3.22371679E-09 1.01142761E-33 8.99407540E-08 1.58238836E-40 1.58238836E-40 1.58238836E-40 1.58238836E-40 1.58401771E-40 2.90707976E-17 8.45224821E-06 1.87052126E-06 2.99968685E-26 1.70515272E-20 3.25428974E-08 2.50528574E-07 7.77622802E-01 6.85926864E-21 1.68731889E-18 1.00000000E-40 1.00000000E-40 2.00659060E-40 1.15583628E-33 1.99235057E-26 4.25399467E-20 2.95831355E-17 1.07554610E-24 5.42829746E-24 2.38764644E-21 1.01299813E-12 1.64975181E-14 6.05724499E-15 2.81862485E-02 2.86789177E-33 4.26622114E-32 1.24639679E-12 1.00000000E-40 1.00000000E-40 1.98703507E-33 3.34227010E-32 2.82947286E-13 6.16923875E-11 2.89540317E-18 1.76599910E-18 2.48547667E-14 4.22470934E-08 5.95471064E-16 8.63071681E-23 2.06773632E-25 1.78813521E-09 4.30175275E-36 1.34831351E-25 9.78348769E-30 7.43558984E-34 1.61556756E-39 1.43818178E-40 1.10325558E-31 5.32332153E-33 1.22723647E-14 1.23534900E-35 1.00000000E-40 1.16592878E-34 1.00000000E-40 1.00000000E-40 1.10336523E-12 4.16852542E-29 2.63850052E-28 1.00000000E-40 1.00000000E-40 1.84141536E-33 1.48457607E-35 8.27965714E-32 3.14560064E-39 2.62505163E-28 1.75326210E-19 4.90552773E-23 9.74189094E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
5.33052000E+00 3.89650000E-01 1.46242493E+19 1.92982450E+02 1.00000000E+05 1.43988436E+00 4.27083067E+02 7.34114914E-09 2.14283016E-33 9.84238362E-08 1.72707992E-40 1.72707992E-40 1.72707992E-40 1.72707992E-40 1.72889972E-40 1.94146243E-17 8.66429247E-06 1.38676244E-06 2.12032512E-26 2.02813693E-20 4.54017475E-08 2.81950912E-07 7.70753946E-01 3.33799234E-21 1.59568431E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 6.39249172E-34 1.91770586E-26 4.78279592E-20 2.97747738E-17 8.78269250E-25 4.60853296E-24 2.37347762E-21 1.31134258E-12 2.09747734E-14 1.11535270E-14 2.47578527E-02 2.85728118E-33 4.28932228E-32 1.25335189E-12 1.00000000E-40 1.00000000E-40 2.01421428E-33 3.35888280E-32 2.49381721E-13 6.38452010E-11 3.89429786E-18 2.02293043E-18 1.86139472E-14 4.32918465E-08 5.72968411E-16 5.23582170E-23 1.24424590E-25 1.82664771E-09 4.32945668E-36 1.29420122E-25 9.81212833E-30 7.01206721E-34 1.62808097E-39 1.47197467E-40 1.11303986E-31 5.22309982E-33 8.77386745E-15 1.28530026E-35 1.00000000E-40 1.15532647E-34 1.00000000E-40 1.00000000E-40 1.46301592E-12 1.30828837E-29 2.49646051E-28 1.00000000E-40 1.00000000E-40 1.67940283E-33 1.43605312E-35 8.49012998E-32 3.99892619E-39 2.57610501E-28 7.99438514E-20 4.84494087E-23 9.00591669E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
6.51508000E+00 3.46768000E-01 1.31929501E+19 1.90376707E+02 1.00000000E+05 1.68660154E+00 4.70356642E+02 1.69929285E-08 4.62354860E-33 1.07384971E-07 1.87658488E-40 1.87658488E-40 1.87658488E-40 1.87658488E-40 1.87861105E-40 1.34761526E-17 8.82618946E-06 1.00953641E-06 1.57430771E-26 2.42382507E-20 5.93903327E-08 3.14625818E-07 7.56330537E-01 1.77448995E-21 1.48636927E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 3.83426893E-34 1.83422081E-26 5.29834443E-20 2.97585496E-17 7.13167705E-25 3.88265199E-24 2.33399140E-21 1.64327412E-12 2.55383268E-14 1.90601724E-14 2.13922709E-02 2.82773437E-33 4.28184367E-32 1.25044551E-12 1.00000000E-40 1.00000000E-40 2.03289526E-33 3.35107384E-32 2.15674265E-13 6.45926789E-11 4.95761266E-18 2.28480732E-18 1.38070666E-14 4.40815440E-08 5.44750212E-16 3.15931955E-23 7.39064522E-26 1.85840254E-09 4.33013624E-36 1.23443052E-25 9.76457700E-30 6.55166146E-34 1.63057786E-39 1.49410018E-40 1.11594012E-31 5.08366177E-33 6.22571666E-15 1.32489309E-35 1.00000000E-40 1.13512617E-34 1.00000000E-40 1.00000000E-40 1.84326975E-12 5.13827647E-30 2.36451901E-28 1.00000000E-40 1.00000000E-40 1.56495891E-33 1.37820715E-35 8.69720422E-32 4.95642417E-39 2.50067756E-28 4.02141322E-20 4.75475245E-23 8.43515072E-35 1.00000000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
7.69964000E+00 3.08741000E-01 1.19006255E+19 1.87906255E+02 1.00000000E+05 1.96314749E+00 5.18798850E+02 3.98023223E-08 1.01480358E-32 1.17557017E-07 2.04328101E-40 2.04328101E-40 2.04328101E-40 2.04328101E-40 2.04554379E-40 9.75829598E-18 8.98787143E-06 7.39544497E-07 1.23097964E-26 2.92740384E-20 7.48098177E-08 3.50260043E-07 7.38668643E-01 1.02067886E-21 1.36828046E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 2.47209711E-34 1.75366186E-26 5.75356290E-20 2.97006956E-17 5.76822728E-25 3.25107955E-24 2.28225713E-21 2.02165589E-12 3.01333663E-14 3.09695692E-14 1.85080387E-02 2.79843053E-33 4.26841525E-32 1.24483494E-12 1.00000000E-40 1.00000000E-40 2.05528666E-33 3.33825690E-32 1.85035491E-13 6.45350423E-11 6.12371182E-18 2.60475704E-18 1.03722765E-14 4.48660045E-08 5.15457003E-16 1.91098470E-23 4.41366286E-26 1.89377036E-09 4.32942222E-36 1.17692786E-25 9.69720700E-30 6.09557686E-34 1.63263121E-39 1.51260540E-40 1.11848444E-31 4.93733376E-33 4.47346127E-15 1.36050342E-35 1.00000000E-40 1.11187373E-34 1.00000000E-40 1.00000000E-40 2.24933874E-12 2.20470497E-30 2.24927468E-28 1.00000000E-40 1.00000000E-40 1.47733488E-33 1.31979123E-35 8.95540054E-32 6.04981882E-39 2.41693606E-28 2.21024390E-20 4.66431856E-23 8.01101216E-35 1.73379000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
8.88420000E+00 2.75166000E-01 1.07579033E+19 1.85260935E+02 1.00000000E+05 2.26326206E+00 5.71574021E+02 9.34262008E-08 2.25008715E-32 1.28797572E-07 2.22408777E-40 2.22408777E-40 2.22408777E-40 2.22408777E-40 2.22661559E-40 7.05551755E-18 9.14317183E-06 5.24265188E-07 1.14800514E-26 3.60257148E-20 9.17119028E-08 3.88827265E-07 7.16984488E-01 5.94943831E-22 1.23937041E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.62897588E-34 1.67488272E-26 6.10204747E-20 2.95727509E-17 4.65060147E-25 2.70937588E-24 2.21567384E-21 2.45230040E-12 3.46260488E-14 4.84955525E-14 1.56483390E-02 2.76930572E-33 4.24563693E-32 1.23547524E-12 1.00000000E-40 1.00000000E-40 2.08050597E-33 3.31785608E-32 1.54372675E-13 6.38060600E-11 7.50009690E-18 2.99629735E-18 7.69192023E-15 4.56145775E-08 4.80226270E-16 1.12338899E-23 2.74203792E-26 1.93139465E-09 4.32458631E-36 1.12090205E-25 9.60205839E-30 5.63694260E-34 1.63317529E-39 1.52606105E-40 1.11993479E-31 4.78124169E-33 3.17322030E-15 1.39036570E-35 1.00000000E-40 1.08449283E-34 1.00000000E-40 1.00000000E-40 2.67738033E-12 9.51896055E-31 2.14308918E-28 1.00000000E-40 1.00000000E-40 1.40117950E-33 1.25983780E-35 9.26461930E-32 7.29138967E-39 2.32495141E-28 1.45754181E-20 4.57082224E-23 7.67927299E-35 3.65995000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.00688000E+01 2.45598000E-01 9.73890577E+18 1.82654922E+02 1.00000000E+05 2.58474422E+00 6.29187307E+02 2.17940814E-07 5.01913216E-32 1.41309262E-07 2.42179768E-40 2.42179768E-40 2.42179768E-40 2.42179768E-40 2.42462338E-40 5.12734355E-18 9.28676915E-06 3.66757266E-07 4.52240156E-26 4.50394817E-20 1.10119982E-07 4.30260240E-07 6.90628906E-01 3.53389118E-22 1.09797391E-18 1.00000000E-40 1.00000000E-40 1.00000000E-40 1.09903657E-34 1.59716365E-26 6.24515559E-20 2.93510749E-17 3.71526861E-25 2.23672736E-24 2.13205345E-21 2.94096351E-12 3.86436832E-14 7.21557912E-14 1.30856700E-02 2.74033703E-33 4.21078381E-32 1.22151081E-12 1.00000000E-40 1.00000000E-40 2.10793582E-33 3.28779451E-32 1.25678697E-13 6.25154985E-11 9.11682304E-18 3.49517143E-18 5.70988643E-15 4.63008314E-08 4.40117060E-16 6.41432322E-24 1.93783630E-26 1.97015657E-09 4.31349329E-36 1.06586026E-25 9.47267859E-30 5.17044819E-34 1.63137135E-39 1.53323946E-40 1.11970699E-31 4.61328211E-33 2.23694622E-15 1.41286714E-35 1.00000000E-40 1.05212012E-34 1.00000000E-40 1.00000000E-40 3.12368550E-12 4.10402957E-31 2.04041516E-28 1.00000000E-40 1.00000000E-40 1.32851908E-33 1.19764747E-35 9.62570991E-32 8.69517258E-39 2.22473340E-28 4.09591276E-20 4.47226678E-23 7.40157846E-35 7.73217000E-40 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
1.12533000E+01 2.19575000E-01 8.83377821E+18 1.80033414E+02 1.00000000E+05 2.92382466E+00 6.91448596E+02 5.09969208E-07 1.14939033E-31 1.55160673E-07 2.63606798E-40 2.63606798E-40 2.63606798E-40 2.63606798E-40 2.63922738E-40 3.69074870E-18 9.41513351E-06 2.51350121E-07 4.18593883E-25 5.73143456E-20 1.30054909E-07 4.74525134E-07 6.59128118E-01 2.09328244E-22 9.42966295E-19 1.00000000E-40 1.00000000E-40 1.00000000E-40 7.45901141E-35 1.52020215E-26 6.05853589E-20 2.90200581E-17 2.93023840E-25 1.82625956E-24 2.02975488E-21 3.49357561E-12 4.16163381E-14 9.89300353E-14 1.07696597E-02 2.71150624E-33 4.16214330E-32 1.20237072E-12 1.00000000E-40 1.00000000E-40 2.13740082E-33 3.24673976E-32 1.00607933E-13 6.07522690E-11 1.10624476E-17 4.16094116E-18 4.25613168E-15 4.69072486E-08 3.94169231E-16 3.48058853E-24 1.78264946E-26 2.00937148E-09 4.29492872E-36 1.01159294E-25 9.30480516E-30 4.69203535E-34 1.62673339E-39 1.53327059E-40 1.11745879E-31 4.43231296E-33 1.54408237E-15 1.42673120E-35 1.00000000E-40 1.01415811E-34 1.00000000E-40 1.00000000E-40 3.58820249E-12 1.71879937E-31 1.93740889E-28 1.00000000E-40 1.00000000E-40 1.25558005E-33 1.13279527E-35 1.00413600E-31 1.02796188E-38 2.11641165E-28 2.70434128E-19 4.36769449E-23 7.15252643E-35 1.65316000E-39 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05 1.00000000E-05
