#optical constants for H2SO4 aerosols, 0.1 um radius
#k and w from Kerber ++ (2015), g from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
2.0456202617e-01 9.9722501170e+03 9.9629187036e-01 6.9133461857e-01
2.1011981493e-01 9.9722501170e+03 9.9627612121e-01 6.9042617577e-01
2.1972012012e-01 9.5953415018e+03 9.9624891674e-01 6.8885696749e-01
2.2603272787e-01 9.3304667467e+03 9.9623102865e-01 6.8782514650e-01
2.2686733901e-01 9.2929704359e+03 9.9622866361e-01 6.8768872597e-01
2.3396817538e-01 8.9739534053e+03 9.9615609317e-01 6.8652806586e-01
2.5160583370e-01 8.5382818125e+03 9.9597583658e-01 6.8331287628e-01
2.5616605702e-01 8.4256387551e+03 9.9597583658e-01 6.8162398845e-01
2.5711769230e-01 8.1658191261e+03 9.9597583658e-01 6.8127154842e-01
2.6237469177e-01 7.8166494022e+03 9.9597583658e-01 6.7932460815e-01
2.7182389510e-01 7.4692207785e+03 9.9597583658e-01 6.7582507680e-01
2.7904039446e-01 7.1584914953e+03 9.9597583658e-01 6.7315243183e-01
2.7931680779e-01 7.1465896420e+03 9.9597856431e-01 6.7305006160e-01
2.8719369744e-01 6.8471731744e+03 9.9605629561e-01 6.7013283976e-01
2.9529271977e-01 6.5464376915e+03 9.9613621899e-01 6.6713335065e-01
3.0362013904e-01 6.2496592544e+03 9.9621839624e-01 6.6359159320e-01
3.0946436525e-01 6.0371878056e+03 9.9627606867e-01 6.6068830798e-01
3.1218239618e-01 5.9383716493e+03 9.9624806857e-01 6.5933804898e-01
3.2098611374e-01 5.6244460136e+03 9.9615737607e-01 6.5496455245e-01
3.2863881416e-01 5.3232158999e+03 9.9607854091e-01 6.5116285634e-01
3.3955514151e-01 5.0178308882e+03 9.9596608513e-01 6.4547482130e-01
3.4321025901e-01 4.9013704608e+03 9.9592843152e-01 6.4327990003e-01
3.4891508769e-01 4.7196015343e+03 9.9596456604e-01 6.3985411419e-01
3.6031003577e-01 4.4527647440e+03 9.9603674191e-01 6.3301137552e-01
3.7081456841e-01 4.1832899231e+03 9.9610327787e-01 6.2670333697e-01
3.8063123210e-01 3.9715791906e+03 9.9616545685e-01 6.2080836810e-01
3.8458484978e-01 3.8863136337e+03 9.9614016966e-01 6.1843419558e-01
3.9939345855e-01 3.5901647266e+03 9.9604545436e-01 6.0954153199e-01
4.1521527013e-01 3.2858319293e+03 9.9594425866e-01 5.9832018465e-01
4.2213685278e-01 3.1451878116e+03 9.9589998848e-01 5.9338117137e-01
4.2970391780e-01 2.9914277197e+03 9.9594103545e-01 5.8798156314e-01
4.4446917415e-01 2.7094222537e+03 9.9602112848e-01 5.7744556278e-01
4.6756501933e-01 2.4559314998e+03 9.9614641016e-01 5.6096512878e-01
4.6816323970e-01 2.4492909039e+03 9.9614965516e-01 5.6053825844e-01
4.9243703139e-01 2.1798376204e+03 9.9600690006e-01 5.4315759601e-01
5.1921410409e-01 1.9193214641e+03 9.9584942307e-01 5.2371079911e-01
5.2060264996e-01 1.9058121968e+03 9.9585252365e-01 5.2270809841e-01
5.5037924012e-01 1.6327760347e+03 9.9591901370e-01 5.0121656271e-01
5.7582653349e-01 1.4841277119e+03 9.9597583658e-01 4.8356656531e-01
5.8758043005e-01 1.4154682680e+03 9.9603500315e-01 4.7541417594e-01
6.3837690072e-01 1.1712855650e+03 9.9629070157e-01 4.4045643886e-01
6.3860908934e-01 1.1700769675e+03 9.9629187036e-01 4.4030723597e-01
6.9013126275e-01 9.0189168374e+02 9.9616326429e-01 4.0719942519e-01
7.0824429975e-01 8.4585452844e+02 9.9611805178e-01 3.9687748199e-01
