#optical constants for H2SO4 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
2.0000000000e-01 2.2325139643e+00 9.9777260329e-01 7.6161250000e-01
2.0266141680e-01 2.2325139643e+00 9.9777260329e-01 7.6137224858e-01
2.0430644651e-01 2.2325139643e+00 9.9784223251e-01 7.6122374846e-01
2.2576360246e-01 2.2453253428e+00 9.9875045009e-01 7.5928676808e-01
2.2772781088e-01 2.2464981085e+00 9.9868181706e-01 7.5910945506e-01
2.5000000000e-01 2.2648510694e+00 9.9790358606e-01 7.5709890000e-01
2.5148919832e-01 2.2660782141e+00 9.9785155075e-01 7.5714036822e-01
2.5253342979e-01 2.2669386926e+00 9.9784039297e-01 7.5716944589e-01
2.8014975983e-01 2.2894121872e+00 9.9754530808e-01 7.5793845021e-01
2.8076132327e-01 2.2899098626e+00 9.9754701010e-01 7.5795547981e-01
3.0000000000e-01 2.3056728605e+00 9.9760055261e-01 7.5849120000e-01
3.1207921470e-01 2.3155698320e+00 9.9763416986e-01 7.5597356519e-01
3.1214449789e-01 2.3156233211e+00 9.9763433296e-01 7.5595995841e-01
3.3700000000e-01 2.3421645533e+00 9.9769643008e-01 7.5077940000e-01
3.4764775922e-01 2.3535344563e+00 9.9772303164e-01 7.4784607754e-01
3.4815175172e-01 2.3540726302e+00 9.9773923499e-01 7.4770723401e-01
3.8489885421e-01 2.3840576048e+00 9.9892065381e-01 7.3758387390e-01
3.8727997391e-01 2.3868462828e+00 9.9899720678e-01 7.3692790566e-01
4.0000000000e-01 2.4017434998e+00 9.9885200588e-01 7.3342370000e-01
4.2484195955e-01 2.4308374701e+00 9.9856843138e-01 7.2781726494e-01
4.3141388868e-01 2.4383048803e+00 9.9849341188e-01 7.2633408509e-01
4.7233030036e-01 2.4847965002e+00 9.9889611161e-01 7.1709990192e-01
4.8058740448e-01 2.4933654319e+00 9.9897737812e-01 7.1523640488e-01
4.8800000000e-01 2.5010579624e+00 9.9898940385e-01 7.1356350000e-01
5.1500000000e-01 2.5290776109e+00 9.9903320698e-01 7.1343950000e-01
5.2551608965e-01 2.5399908382e+00 9.9905026764e-01 7.1021250268e-01
5.3536130061e-01 2.5516875240e+00 9.9906623990e-01 7.0719137312e-01
5.5000000000e-01 2.5690791541e+00 9.9908755902e-01 7.0269930000e-01
5.6685329035e-01 2.5891018477e+00 9.9911210337e-01 7.0200890395e-01
5.9637793151e-01 2.6247051775e+00 9.9915510168e-01 7.0079942524e-01
6.1895982424e-01 2.6519363492e+00 9.9925025278e-01 6.9987435665e-01
6.3300000000e-01 2.6768333652e+00 9.9930941250e-01 6.9929920000e-01
6.5494617337e-01 2.7157498460e+00 9.9940188493e-01 6.9824351711e-01
6.6435160773e-01 2.7248302475e+00 9.9944151569e-01 6.9779108488e-01
6.9400000000e-01 2.7534540514e+00 9.9901207910e-01 6.9636490000e-01
7.1773844081e-01 2.7763721397e+00 9.9866824409e-01 6.9789808867e-01
7.4005085447e-01 2.8247001373e+00 9.9834506411e-01 6.9933917489e-01
7.4895503373e-01 2.8439863141e+00 9.9835444505e-01 6.9991426686e-01
8.2439652865e-01 2.8801469185e+00 9.9843392590e-01 7.0478678760e-01
8.2892494879e-01 2.8823174801e+00 9.9843820866e-01 7.0507926353e-01
8.6000000000e-01 2.9048036689e+00 9.9846759798e-01 7.0708630000e-01
9.1835531618e-01 2.9470301049e+00 9.9852278768e-01 7.1353289931e-01
9.1876728393e-01 2.9473282085e+00 9.9852313743e-01 7.1357841001e-01
1.0207634353e+00 2.9841252022e+00 9.9860973124e-01 7.2484607784e-01
1.0230228506e+00 2.9838850002e+00 9.9861164946e-01 7.2509567884e-01
1.0600000000e+00 2.9799539017e+00 9.9863983081e-01 7.2918060000e-01
1.1348631865e+00 2.9719950793e+00 9.9869688621e-01 7.3599003067e-01
1.1396196378e+00 2.9696728270e+00 9.9870051124e-01 7.3642266955e-01
1.2456152696e+00 2.9179223543e+00 9.9877302857e-01 7.4606385556e-01
