# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.600000e-01 4.051140e+03 1.000000e+00 6.169300e-01
4.450000e-01 2.023417e+03 1.000000e+00 4.206395e-01
4.490000e-01 1.929798e+03 1.000000e+00 4.107631e-01
5.560000e-01 1.003697e+03 1.000000e+00 2.515684e-01
7.020000e-01 4.396388e+02 1.000000e+00 1.526533e-01
7.140000e-01 4.128409e+02 1.000000e+00 1.473990e-01
7.250000e-01 3.899573e+02 1.000000e+00 1.428295e-01
7.350000e-01 3.687768e+02 1.000000e+00 1.388082e-01
7.460000e-01 3.487387e+02 9.999994e-01 1.346471e-01
7.580000e-01 3.283433e+02 9.999991e-01 1.303270e-01
7.690000e-01 3.108913e+02 9.999989e-01 1.265547e-01
7.810000e-01 2.931077e+02 9.999986e-01 1.226307e-01
7.940000e-01 2.739734e+02 9.999982e-01 1.185408e-01
8.060000e-01 2.586803e+02 9.999977e-01 1.149932e-01
8.200000e-01 2.421241e+02 9.999972e-01 1.110586e-01
8.330000e-01 2.278891e+02 9.999965e-01 1.075888e-01
8.470000e-01 2.136809e+02 9.999957e-01 1.040360e-01
8.620000e-01 1.987508e+02 9.999948e-01 1.003852e-01
8.770000e-01 1.858775e+02 9.999939e-01 9.696645e-02
8.930000e-01 1.724844e+02 9.999927e-01 9.347471e-02
9.090000e-01 1.609472e+02 9.999912e-01 9.020796e-02
9.260000e-01 1.497092e+02 9.999889e-01 8.692486e-02
9.430000e-01 1.388058e+02 9.999839e-01 8.378641e-02
9.620000e-01 1.283649e+02 9.999765e-01 8.051468e-02
9.800000e-01 1.193531e+02 9.999663e-01 7.759142e-02
1.000000e+00 1.102380e+02 9.999502e-01 7.452881e-02
1.020000e+00 1.019677e+02 9.999328e-01 7.164625e-02
1.042000e+00 9.332819e+01 9.999150e-01 6.863793e-02
1.064000e+00 8.593775e+01 9.999046e-01 6.584331e-02
1.087000e+00 7.862627e+01 9.998955e-01 6.307545e-02
1.111000e+00 7.211686e+01 9.998837e-01 6.039594e-02
1.136000e+00 6.574542e+01 9.998611e-01 5.775928e-02
1.163000e+00 5.963970e+01 9.998291e-01 5.510280e-02
1.190000e+00 5.445074e+01 9.997851e-01 5.264758e-02
1.220000e+00 4.911391e+01 9.997061e-01 5.008679e-02
1.250000e+00 4.460013e+01 9.995733e-01 4.772836e-02
1.266000e+00 4.240487e+01 9.994762e-01 4.653828e-02
1.282000e+00 4.016883e+01 9.993467e-01 4.537290e-02
1.299000e+00 3.795813e+01 9.991904e-01 4.418276e-02
1.316000e+00 3.605064e+01 9.990120e-01 4.305687e-02
1.333000e+00 3.411463e+01 9.987627e-01 4.195557e-02
1.351000e+00 3.221063e+01 9.984277e-01 4.083550e-02
1.370000e+00 3.034744e+01 9.980289e-01 3.970168e-02
1.389000e+00 2.861604e+01 9.975392e-01 3.861401e-02
1.408000e+00 2.712504e+01 9.969334e-01 3.758622e-02
1.429000e+00 2.559780e+01 9.959021e-01 3.649733e-02
1.449000e+00 2.415207e+01 9.942758e-01 3.548838e-02
1.471000e+00 2.269609e+01 9.920192e-01 3.442714e-02
1.493000e+00 2.137237e+01 9.885716e-01 3.341237e-02
1.515000e+00 2.014737e+01 9.849207e-01 3.244139e-02
1.538000e+00 1.898026e+01 9.801858e-01 3.147102e-02
1.562000e+00 1.787701e+01 9.740426e-01 3.050431e-02
1.587000e+00 1.690311e+01 9.669460e-01 2.955690e-02
1.613000e+00 1.590446e+01 9.589040e-01 2.860516e-02
1.639000e+00 1.500446e+01 9.493847e-01 2.769826e-02
1.667000e+00 1.414349e+01 9.371816e-01 2.676945e-02
1.695000e+00 1.337073e+01 9.234756e-01 2.588617e-02
1.724000e+00 1.265722e+01 9.076184e-01 2.501663e-02
1.754000e+00 1.200168e+01 8.895212e-01 2.416236e-02
1.786000e+00 1.139388e+01 8.717389e-01 2.330899e-02
1.818000e+00 1.077544e+01 8.548547e-01 2.249011e-02
1.852000e+00 1.013696e+01 8.363609e-01 2.165709e-02
1.887000e+00 9.620027e+00 8.141543e-01 2.085597e-02
1.923000e+00 9.197971e+00 7.860689e-01 2.007734e-02
1.961000e+00 8.827226e+00 7.541018e-01 1.930191e-02
2.000000e+00 8.500496e+00 7.173217e-01 1.854350e-02
2.041000e+00 8.082964e+00 6.893348e-01 1.779348e-02
2.083000e+00 7.719845e+00 6.623327e-01 1.707864e-02
2.128000e+00 7.399096e+00 6.286979e-01 1.635240e-02
2.174000e+00 7.244925e+00 5.813832e-01 1.564959e-02
2.222000e+00 7.136362e+00 5.334096e-01 1.496337e-02
2.273000e+00 7.001293e+00 4.919481e-01 1.428914e-02
2.326000e+00 7.080226e+00 4.353526e-01 1.362340e-02
2.381000e+00 6.892181e+00 4.015713e-01 1.298601e-02
2.439000e+00 6.850511e+00 3.599618e-01 1.235567e-02
2.500000e+00 7.049289e+00 3.108107e-01 1.174097e-02
2.564000e+00 1.903240e+00 1.000000e+00 1.112410e-02
2.632000e+00 1.654273e+00 1.000000e+00 1.052554e-02
2.688000e+00 1.458714e+00 1.000000e+00 1.005702e-02
2.725000e+00 1.337702e+00 1.000000e+00 9.760573e-03
2.762000e+00 1.199996e+00 1.000000e+00 9.459782e-03
2.770000e+00 1.173032e+00 1.000000e+00 9.397104e-03
2.833000e+00 9.432664e-01 1.000000e+00 8.898951e-03
2.841000e+00 9.214372e-01 1.000000e+00 8.841331e-03
2.882000e+00 2.576650e+01 3.138886e-02 8.547789e-03
2.915000e+00 4.616741e+01 1.596425e-02 8.326724e-03
2.941000e+00 6.231628e+01 1.095814e-02 8.155422e-03
2.985000e+00 9.823656e+01 6.284452e-03 7.884957e-03
3.021000e+00 1.294519e+02 4.536648e-03 7.682841e-03
3.077000e+00 1.826961e+02 3.109261e-03 7.390544e-03
3.175000e+00 2.727177e+02 2.299045e-03 6.967158e-03
3.279000e+00 3.277545e+02 2.288215e-03 6.633667e-03
3.344000e+00 3.373366e+02 2.421017e-03 6.463704e-03
3.413000e+00 3.272870e+02 2.583452e-03 6.288907e-03
3.472000e+00 3.080472e+02 2.780533e-03 6.152157e-03
3.559000e+00 2.655498e+02 3.108251e-03 5.939377e-03
3.623000e+00 2.315823e+02 3.374480e-03 5.772758e-03
3.690000e+00 2.003706e+02 3.585640e-03 5.581111e-03
3.759000e+00 1.754669e+02 3.692646e-03 5.374705e-03
3.817000e+00 1.650229e+02 3.574776e-03 5.197256e-03
3.846000e+00 1.652532e+02 3.454626e-03 5.116692e-03
3.861000e+00 1.659908e+02 3.390151e-03 5.076850e-03
3.906000e+00 1.597480e+02 3.363672e-03 4.963651e-03
3.953000e+00 1.552608e+02 3.267293e-03 4.842385e-03
4.000000e+00 1.548354e+02 3.116971e-03 4.727017e-03
4.082000e+00 1.566109e+02 2.886615e-03 4.544815e-03
4.149000e+00 1.557486e+02 2.806458e-03 4.415449e-03
4.219000e+00 1.464664e+02 2.930473e-03 4.301156e-03
4.274000e+00 1.224639e+02 3.401241e-03 4.215827e-03
4.292000e+00 1.135010e+02 3.562201e-03 4.177662e-03
4.367000e+00 9.422081e+01 3.776547e-03 4.012874e-03
4.464000e+00 9.041007e+01 3.454732e-03 3.821104e-03
4.587000e+00 8.704793e+01 3.155437e-03 3.610828e-03
4.717000e+00 7.905027e+01 3.060062e-03 3.410430e-03
4.808000e+00 7.211307e+01 3.048705e-03 3.276981e-03
4.950000e+00 6.379910e+01 2.959280e-03 3.080792e-03
