# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.600000e-01 8.239770e+01 1.000000e+00 8.305830e-01
4.450000e-01 8.358431e+01 1.000000e+00 8.333916e-01
4.490000e-01 8.358435e+01 1.000000e+00 8.405185e-01
5.560000e-01 8.845116e+01 1.000000e+00 8.369366e-01
7.020000e-01 8.019677e+01 1.000000e+00 8.274506e-01
7.140000e-01 8.142224e+01 1.000000e+00 8.263242e-01
7.250000e-01 8.966478e+01 1.000000e+00 8.182885e-01
7.350000e-01 8.841567e+01 1.000000e+00 8.433671e-01
7.460000e-01 8.484867e+01 9.999966e-01 8.292630e-01
7.580000e-01 8.565801e+01 9.999950e-01 8.216367e-01
7.690000e-01 8.058874e+01 9.999941e-01 8.282184e-01
7.810000e-01 8.564751e+01 9.999924e-01 8.164836e-01
7.940000e-01 9.053969e+01 9.999920e-01 8.367214e-01
8.060000e-01 8.620538e+01 9.999875e-01 8.393297e-01
8.200000e-01 8.628680e+01 9.999878e-01 8.177553e-01
8.330000e-01 8.355573e+01 9.999854e-01 8.244293e-01
8.470000e-01 8.100646e+01 9.999834e-01 8.182001e-01
8.620000e-01 8.963664e+01 9.999811e-01 8.231737e-01
8.770000e-01 8.892233e+01 9.999812e-01 8.395344e-01
8.930000e-01 8.559043e+01 9.999784e-01 8.336656e-01
9.090000e-01 8.664407e+01 9.999748e-01 8.207966e-01
9.260000e-01 8.069493e+01 9.999690e-01 8.286476e-01
9.430000e-01 8.427231e+01 9.999580e-01 8.132402e-01
9.620000e-01 9.097933e+01 9.999482e-01 8.367693e-01
9.800000e-01 8.774158e+01 9.999301e-01 8.360471e-01
1.000000e+00 9.121369e+01 9.998711e-01 8.033457e-01
1.020000e+00 8.405620e+01 9.998671e-01 8.181355e-01
1.042000e+00 7.991209e+01 9.998461e-01 8.214864e-01
1.064000e+00 8.869599e+01 9.998419e-01 8.203432e-01
1.087000e+00 9.068590e+01 9.998548e-01 8.386804e-01
1.111000e+00 8.900880e+01 9.998442e-01 8.273668e-01
1.136000e+00 8.829131e+01 9.998271e-01 8.198658e-01
1.163000e+00 8.087693e+01 9.997984e-01 8.209240e-01
1.190000e+00 8.448669e+01 9.996857e-01 7.998488e-01
1.220000e+00 9.138894e+01 9.997393e-01 8.314583e-01
1.250000e+00 8.985363e+01 9.996574e-01 8.396159e-01
1.266000e+00 9.010644e+01 9.995873e-01 8.270360e-01
1.282000e+00 9.287088e+01 9.993547e-01 7.982499e-01
1.299000e+00 8.857049e+01 9.988595e-01 8.213088e-01
1.316000e+00 8.610417e+01 9.992316e-01 8.058305e-01
1.333000e+00 8.103233e+01 9.991198e-01 8.163962e-01
1.351000e+00 8.216148e+01 9.911167e-01 7.942111e-01
1.370000e+00 8.200540e+01 9.987793e-01 8.142022e-01
1.389000e+00 8.878313e+01 9.984888e-01 8.093760e-01
1.408000e+00 9.292842e+01 9.983822e-01 8.262221e-01
1.429000e+00 9.546373e+01 9.980131e-01 8.255721e-01
1.449000e+00 9.255631e+01 9.975225e-01 8.391267e-01
1.471000e+00 8.974865e+01 9.966451e-01 8.376229e-01
1.493000e+00 9.023253e+01 9.864047e-01 8.040366e-01
1.515000e+00 8.800389e+01 9.935020e-01 7.943328e-01
1.538000e+00 8.535812e+01 9.921996e-01 8.044943e-01
1.562000e+00 8.607801e+01 9.833371e-01 7.857653e-01
1.587000e+00 8.034738e+01 9.883670e-01 8.199293e-01
1.613000e+00 8.223755e+01 9.866789e-01 8.184924e-01
1.639000e+00 8.919306e+01 9.815516e-01 8.038641e-01
1.667000e+00 9.498958e+01 9.826875e-01 8.238000e-01
1.695000e+00 9.716892e+01 9.817117e-01 8.421729e-01
1.724000e+00 9.914675e+01 9.745067e-01 8.232376e-01
1.754000e+00 9.155408e+01 9.756505e-01 8.401763e-01
1.786000e+00 8.759529e+01 9.715232e-01 8.285139e-01
1.818000e+00 8.780237e+01 9.625357e-01 8.036016e-01
1.852000e+00 8.400955e+01 9.630679e-01 8.115218e-01
1.887000e+00 8.302502e+01 9.593666e-01 8.064036e-01
1.923000e+00 8.378313e+01 9.577949e-01 8.072497e-01
1.961000e+00 8.379888e+01 9.565281e-01 8.304803e-01
2.000000e+00 8.856316e+01 9.540741e-01 8.378259e-01
2.041000e+00 9.631420e+01 9.512362e-01 8.261536e-01
2.083000e+00 1.007983e+02 9.521231e-01 8.335393e-01
2.128000e+00 1.004667e+02 9.515505e-01 8.346748e-01
2.174000e+00 9.501810e+01 9.457279e-01 8.396893e-01
2.222000e+00 8.743343e+01 9.320171e-01 8.321979e-01
2.273000e+00 8.087723e+01 9.268899e-01 8.118279e-01
2.326000e+00 7.909070e+01 9.147007e-01 7.966482e-01
2.381000e+00 8.318386e+01 9.140327e-01 7.966778e-01
2.439000e+00 8.945710e+01 9.140753e-01 8.214702e-01
2.500000e+00 9.761478e+01 9.041956e-01 8.398255e-01
2.564000e+00 1.042754e+02 1.000000e+00 8.391032e-01
2.632000e+00 1.031894e+02 1.000000e+00 8.543891e-01
2.688000e+00 9.483276e+01 1.000000e+00 8.496718e-01
2.725000e+00 9.228353e+01 1.000000e+00 8.276403e-01
2.762000e+00 8.025238e+01 1.000000e+00 8.343426e-01
2.770000e+00 8.017503e+01 1.000000e+00 8.303930e-01
2.833000e+00 7.723238e+01 1.000000e+00 8.295125e-01
2.841000e+00 8.059631e+01 1.000000e+00 8.149069e-01
2.882000e+00 9.071364e+01 6.882578e-01 8.976889e-01
2.915000e+00 9.463397e+01 6.037675e-01 9.326635e-01
2.941000e+00 9.598179e+01 5.658769e-01 9.458431e-01
2.985000e+00 9.453256e+01 5.208966e-01 9.604803e-01
3.021000e+00 9.327110e+01 5.032646e-01 9.652117e-01
3.077000e+00 9.194501e+01 4.933029e-01 9.674023e-01
3.175000e+00 9.110858e+01 4.936534e-01 9.644441e-01
3.279000e+00 9.118503e+01 4.981970e-01 9.578751e-01
3.344000e+00 9.143572e+01 5.008093e-01 9.537489e-01
3.413000e+00 9.174354e+01 5.024937e-01 9.505040e-01
3.472000e+00 9.203049e+01 5.036027e-01 9.480707e-01
3.559000e+00 9.244432e+01 5.039773e-01 9.460420e-01
3.623000e+00 9.272797e+01 5.036415e-01 9.453519e-01
3.690000e+00 9.295652e+01 5.025668e-01 9.453949e-01
3.759000e+00 9.307788e+01 5.007829e-01 9.458228e-01
3.817000e+00 9.311227e+01 4.989596e-01 9.464429e-01
3.846000e+00 9.315810e+01 4.985437e-01 9.464468e-01
3.861000e+00 9.318678e+01 4.984136e-01 9.463866e-01
3.906000e+00 9.326058e+01 4.978848e-01 9.461044e-01
3.953000e+00 9.335516e+01 4.971859e-01 9.461727e-01
4.000000e+00 9.347662e+01 4.967973e-01 9.461421e-01
4.082000e+00 9.368257e+01 4.965870e-01 9.455174e-01
4.149000e+00 9.381166e+01 4.966675e-01 9.442997e-01
4.219000e+00 9.387882e+01 4.969606e-01 9.421067e-01
4.274000e+00 9.375048e+01 4.970977e-01 9.395147e-01
4.292000e+00 9.367797e+01 4.971975e-01 9.389005e-01
4.367000e+00 9.402241e+01 5.012459e-01 9.377136e-01
4.464000e+00 9.541830e+01 5.063137e-01 9.391896e-01
4.587000e+00 9.675921e+01 5.122330e-01 9.395204e-01
4.717000e+00 9.844587e+01 5.212323e-01 9.374795e-01
4.808000e+00 9.962780e+01 5.314573e-01 9.349399e-01
4.950000e+00 1.013910e+02 5.439660e-01 9.297174e-01
5.102000e+00 1.010323e+02 5.525608e-01 9.190920e-01
5.181000e+00 1.000799e+02 5.498127e-01 9.142363e-01
5.263000e+00 9.909667e+01 5.468667e-01 9.048282e-01
5.319000e+00 9.729247e+01 5.371566e-01 8.991448e-01
5.376000e+00 9.560506e+01 5.323907e-01 8.934283e-01
5.435000e+00 9.391370e+01 5.242258e-01 8.894129e-01
5.495000e+00 9.327923e+01 5.178028e-01 8.869145e-01
5.556000e+00 9.266780e+01 5.079606e-01 8.846855e-01
5.618000e+00 9.192235e+01 5.017440e-01 8.806666e-01
5.650000e+00 9.153511e+01 4.986529e-01 8.797084e-01
5.682000e+00 9.117658e+01 4.962983e-01 8.790921e-01
5.747000e+00 9.054927e+01 4.962509e-01 8.754840e-01
5.814000e+00 9.017458e+01 4.986769e-01 8.708405e-01
5.882000e+00 9.019965e+01 5.063007e-01 8.628713e-01
5.952000e+00 9.169144e+01 5.073844e-01 8.692918e-01
6.024000e+00 9.309609e+01 5.070100e-01 8.790371e-01
6.061000e+00 9.366104e+01 5.079051e-01 8.826091e-01
6.098000e+00 9.430586e+01 5.114630e-01 8.851909e-01
6.135000e+00 9.514880e+01 5.139602e-01 8.893823e-01
6.173000e+00 9.585833e+01 5.170003e-01 8.916760e-01
6.211000e+00 9.663165e+01 5.199844e-01 8.939540e-01
6.250000e+00 9.758969e+01 5.253754e-01 8.955268e-01
6.329000e+00 9.925228e+01 5.324902e-01 8.985727e-01
6.410000e+00 1.009725e+02 5.504523e-01 8.950645e-01
6.494000e+00 1.051341e+02 5.935956e-01 8.941174e-01
6.536000e+00 1.080954e+02 6.191075e-01 8.967409e-01
6.579000e+00 1.126419e+02 6.503767e-01 9.032900e-01
6.623000e+00 1.178837e+02 6.795555e-01 9.124319e-01
6.667000e+00 1.207033e+02 6.865030e-01 9.244653e-01
6.711000e+00 1.198350e+02 6.758614e-01 9.335561e-01
6.803000e+00 1.152105e+02 6.593947e-01 9.448641e-01
6.897000e+00 9.773458e+01 5.991984e-01 9.565496e-01
6.993000e+00 7.313812e+01 4.376340e-01 9.616434e-01
7.092000e+00 7.800500e+01 4.352676e-01 9.472072e-01
7.194000e+00 8.569856e+01 4.664858e-01 9.314669e-01
7.299000e+00 9.199302e+01 4.833265e-01 9.160843e-01
7.353000e+00 9.355602e+01 4.833082e-01 9.154873e-01
7.463000e+00 9.522962e+01 4.789584e-01 9.206368e-01
7.576000e+00 9.516410e+01 4.752772e-01 9.267788e-01
7.634000e+00 9.476676e+01 4.740558e-01 9.280824e-01
7.752000e+00 9.352652e+01 4.712889e-01 9.279078e-01
7.874000e+00 9.280663e+01 4.711142e-01 9.234031e-01
8.000000e+00 9.286272e+01 4.737810e-01 9.171152e-01
8.065000e+00 9.316312e+01 4.763946e-01 9.128252e-01
8.130000e+00 9.340647e+01 4.790082e-01 9.086438e-01
8.264000e+00 9.468288e+01 4.883766e-01 8.956766e-01
8.403000e+00 9.706123e+01 5.014310e-01 8.772455e-01
8.547000e+00 9.895580e+01 5.045680e-01 8.692603e-01
8.621000e+00 9.952993e+01 5.038395e-01 8.683285e-01
8.696000e+00 9.992523e+01 5.018275e-01 8.692817e-01
8.850000e+00 1.004315e+02 4.959258e-01 8.742521e-01
8.929000e+00 1.006482e+02 4.928930e-01 8.769639e-01
9.009000e+00 1.008833e+02 4.899073e-01 8.795669e-01
9.091000e+00 1.010113e+02 4.850840e-01 8.841649e-01
9.174000e+00 1.010438e+02 4.808718e-01 8.875065e-01
9.259000e+00 1.009294e+02 4.768534e-01 8.908809e-01
9.346000e+00 1.008363e+02 4.756604e-01 8.923128e-01
9.434000e+00 1.007817e+02 4.762095e-01 8.914522e-01
9.524000e+00 1.009465e+02 4.765416e-01 8.895110e-01
9.615000e+00 1.011899e+02 4.746300e-01 8.901441e-01
9.709000e+00 1.014116e+02 4.723922e-01 8.923771e-01
9.804000e+00 1.014214e+02 4.731297e-01 8.987895e-01
9.901000e+00 9.926636e+01 4.709961e-01 9.034803e-01
1.010100e+01 9.805301e+01 4.864725e-01 8.702260e-01
1.020400e+01 1.013887e+02 5.080980e-01 8.413484e-01
1.030900e+01 1.032215e+02 5.164755e-01 8.273899e-01
1.038400e+01 1.036562e+02 5.172391e-01 8.241699e-01
1.041700e+01 1.037337e+02 5.165674e-01 8.241080e-01
1.052600e+01 1.037926e+02 5.099315e-01 8.306532e-01
1.063800e+01 1.040358e+02 5.003213e-01 8.430787e-01
1.075300e+01 1.042623e+02 4.904900e-01 8.556376e-01
1.087000e+01 1.039969e+02 4.852815e-01 8.584208e-01
1.098900e+01 1.041654e+02 4.900077e-01 8.511204e-01
1.111100e+01 1.046499e+02 4.960260e-01 8.427065e-01
1.123600e+01 1.054118e+02 4.980560e-01 8.427168e-01
1.136400e+01 1.071795e+02 5.006754e-01 8.537700e-01
1.144200e+01 1.080072e+02 5.038416e-01 8.580193e-01
1.149400e+01 1.084295e+02 5.074935e-01 8.594012e-01
1.176500e+01 1.038332e+02 4.910145e-01 8.229857e-01
1.190500e+01 1.003226e+02 4.794402e-01 7.841070e-01
1.219500e+01 9.525064e+01 4.596539e-01 7.205231e-01
1.250000e+01 9.654836e+01 4.823452e-01 6.933551e-01
1.265800e+01 9.923986e+01 5.120143e-01 6.898839e-01
1.282100e+01 1.065491e+02 5.464616e-01 7.150537e-01
1.315800e+01 1.161411e+02 5.496809e-01 7.745540e-01
1.351400e+01 1.198632e+02 5.557647e-01 8.003443e-01
1.388900e+01 1.216994e+02 5.622603e-01 8.164740e-01
1.428600e+01 1.230563e+02 5.631319e-01 8.285595e-01
1.470600e+01 1.236499e+02 5.586099e-01 8.375267e-01
1.492500e+01 1.236113e+02 5.560120e-01 8.411555e-01
1.538500e+01 1.214273e+02 5.445548e-01 8.476083e-01
1.587300e+01 1.165985e+02 5.253696e-01 8.517907e-01
1.612900e+01 1.130526e+02 5.105541e-01 8.531764e-01
1.666700e+01 1.040461e+02 4.636708e-01 8.512497e-01
1.694900e+01 1.010196e+02 4.444958e-01 8.443411e-01
1.724100e+01 1.018920e+02 4.426093e-01 8.278420e-01
1.754400e+01 1.060741e+02 4.579980e-01 8.030159e-01
1.785700e+01 1.100585e+02 4.740051e-01 7.803356e-01
1.818200e+01 1.117980e+02 4.773428e-01 7.699751e-01
1.851900e+01 1.122595e+02 4.684749e-01 7.681842e-01
1.886800e+01 1.120414e+02 4.535057e-01 7.613661e-01
1.960800e+01 1.171435e+02 4.809410e-01 7.141321e-01
2.000000e+01 1.243608e+02 5.228225e-01 7.155449e-01
2.040800e+01 1.320161e+02 5.535584e-01 7.283288e-01
2.083300e+01 1.373414e+02 5.687969e-01 7.359593e-01
2.127700e+01 1.404696e+02 5.785519e-01 7.376183e-01
2.222200e+01 1.375376e+02 5.751985e-01 7.394197e-01
2.272700e+01 1.339824e+02 5.594355e-01 7.411374e-01
2.325600e+01 1.327232e+02 5.450287e-01 7.325231e-01
2.439000e+01 1.370049e+02 5.719150e-01 7.002721e-01
2.500000e+01 1.415888e+02 6.052715e-01 6.821953e-01
