tot_time [s],surface_temp [K],precip_rate [m/s]
0,213.719,0.000879313
3600,217.438,1.03518e-05
7200,221.157,8.48726e-11
10800,224.876,7.02581e-11
14400,228.595,6.69666e-11
18000,232.314,6.66572e-11
21600,232.579,6.62367e-11
25200,232.844,6.66296e-11
28800,233.109,6.72259e-11
32400,233.375,6.78763e-11
36000,233.64,6.85443e-11
39600,233.905,6.9221e-11
43200,234.091,6.98585e-11
46800,234.278,7.05884e-11
50400,234.464,7.1292e-11
54000,234.651,7.19936e-11
57600,234.837,7.26992e-11
61200,235.023,7.34104e-11
64800,235.155,7.40787e-11
68400,235.287,7.48456e-11
72000,235.418,7.5584e-11
75600,235.55,7.63199e-11
79200,235.681,7.70599e-11
82800,235.813,7.78057e-11
86400,235.907,7.85059e-11
90000,236.001,7.87692e-11
93600,236.095,7.93826e-11
97200,236.189,8.00873e-11
100800,236.283,8.08193e-11
104400,236.377,8.15629e-11
108000,236.416,8.22107e-11
111600,236.455,8.29469e-11
115200,236.494,8.37039e-11
118800,236.533,8.44709e-11
122400,236.571,8.52456e-11
126000,236.61,8.60272e-11
129600,236.603,4.59002e-06
133200,236.596,4.60353e-06
136800,236.588,4.63448e-06
140400,236.581,4.66467e-06
144000,236.573,4.69414e-06
147600,236.566,4.72291e-06
151200,236.51,4.75055e-06
154800,236.453,7.58131e-06
158400,236.397,1.01933e-05
162000,236.34,3.58238e-06
165600,236.284,4.77564e-06
169200,236.227,7.60896e-06
172800,236.058,8.2346e-06
176400,235.889,1.02477e-05
180000,235.72,1.4408e-05
183600,235.55,1.55732e-05
187200,235.381,2.05444e-05
190800,235.212,1.17958e-05
194400,235.098,1.0521e-05
198000,234.985,1.56165e-05
201600,234.871,1.4407e-05
205200,234.757,1.82121e-05
208800,234.644,1.25266e-05
212400,234.53,1.20083e-05
216000,234.451,1.4393e-05
219600,234.372,2.06076e-05
223200,234.293,1.16871e-05
226800,234.214,1.06928e-05
230400,234.135,1.07773e-05
234000,234.056,1.47397e-05
237600,234,1.59081e-05
241200,233.945,1.87974e-05
244800,233.889,1.7833e-05
248400,233.833,1.16574e-05
252000,233.778,1.03546e-05
255600,233.722,1.13011e-05
259200,233.682,1.5897e-05
262800,233.642,1.4544e-05
266400,233.602,1.82718e-05
270000,233.562,1.21509e-05
273600,233.522,1.11877e-05
277200,233.482,1.30635e-05
280800,233.454,1.21189e-05
284400,233.427,1.60799e-05
288000,233.399,2.0431e-05
291600,233.371,1.17544e-05
295200,233.344,1.0559e-05
298800,233.316,1.06506e-05
302400,233.294,1.49938e-05
306000,233.272,1.622e-05
309600,233.251,1.34076e-05
313200,233.229,1.78933e-05
316800,233.207,1.76089e-05
320400,233.185,1.14211e-05
324000,233.169,1.03624e-05
327600,233.152,1.02804e-05
331200,233.135,1.48164e-05
334800,233.118,1.47234e-05
338400,233.102,2.04563e-05
342000,233.085,1.15259e-05
345600,233.073,1.0484e-05
349200,233.061,1.81681e-05
352800,233.049,1.20685e-05
356400,233.037,1.17866e-05
360000,233.025,1.22308e-05
363600,233.014,1.47987e-05
367200,233.004,2.08084e-05
370800,232.995,1.16174e-05
374400,232.986,1.04575e-05
378000,232.977,1.05474e-05
381600,232.967,1.62536e-05
