# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.600000e-01 3.909058e+03 1.000000e+00 6.161035e-01
4.450000e-01 1.977668e+03 1.000000e+00 4.191935e-01
4.490000e-01 1.876989e+03 1.000000e+00 4.090898e-01
5.560000e-01 9.898550e+02 1.000000e+00 2.511817e-01
7.020000e-01 4.316754e+02 9.999995e-01 1.523944e-01
7.140000e-01 4.035228e+02 9.999993e-01 1.470886e-01
7.250000e-01 3.811730e+02 9.999991e-01 1.425301e-01
7.350000e-01 3.621198e+02 9.999987e-01 1.385764e-01
7.460000e-01 3.424558e+02 9.999981e-01 1.344230e-01
7.580000e-01 3.224404e+02 9.999978e-01 1.301108e-01
7.690000e-01 3.053130e+02 9.999976e-01 1.263452e-01
7.810000e-01 2.878595e+02 9.999974e-01 1.224281e-01
7.940000e-01 2.702896e+02 9.999973e-01 1.183942e-01
8.060000e-01 2.552092e+02 9.999971e-01 1.148512e-01
8.200000e-01 2.388828e+02 9.999966e-01 1.109216e-01
8.330000e-01 2.238341e+02 9.999956e-01 1.074120e-01
8.470000e-01 2.098874e+02 9.999941e-01 1.038651e-01
8.620000e-01 1.952217e+02 9.999928e-01 1.002204e-01
8.770000e-01 1.825847e+02 9.999917e-01 9.680718e-02
8.930000e-01 1.701903e+02 9.999900e-01 9.335949e-02
9.090000e-01 1.581023e+02 9.999871e-01 9.005964e-02
9.260000e-01 1.470695e+02 9.999828e-01 8.678175e-02
9.430000e-01 1.363588e+02 9.999697e-01 8.364836e-02
9.620000e-01 1.261096e+02 9.999456e-01 8.038178e-02
9.800000e-01 1.167409e+02 9.999214e-01 7.743111e-02
1.000000e+00 1.078305e+02 9.999100e-01 7.437447e-02
1.020000e+00 9.930189e+01 9.999053e-01 7.146789e-02
1.042000e+00 9.129174e+01 9.999024e-01 6.849519e-02
1.064000e+00 8.369421e+01 9.998948e-01 6.567864e-02
1.087000e+00 7.657330e+01 9.998805e-01 6.291737e-02
1.111000e+00 6.992777e+01 9.998535e-01 6.021893e-02
1.136000e+00 6.375146e+01 9.997909e-01 5.758959e-02
1.163000e+00 5.783762e+01 9.996310e-01 5.494050e-02
1.190000e+00 5.281253e+01 9.995196e-01 5.249202e-02
1.220000e+00 4.763701e+01 9.994119e-01 4.993839e-02
1.250000e+00 4.288128e+01 9.992170e-01 4.754612e-02
1.266000e+00 4.077343e+01 9.990942e-01 4.636028e-02
1.282000e+00 3.862281e+01 9.989139e-01 4.519917e-02
1.299000e+00 3.649805e+01 9.986689e-01 4.401338e-02
1.316000e+00 3.467090e+01 9.983308e-01 4.289153e-02
1.333000e+00 3.281519e+01 9.978240e-01 4.179428e-02
1.351000e+00 3.112997e+01 9.971880e-01 4.069573e-02
1.370000e+00 2.934607e+01 9.961592e-01 3.956563e-02
1.389000e+00 2.771694e+01 9.939863e-01 3.848154e-02
1.408000e+00 2.624288e+01 9.900940e-01 3.744100e-02
1.429000e+00 2.475016e+01 9.852752e-01 3.634046e-02
1.449000e+00 2.348935e+01 9.822611e-01 3.535089e-02
1.471000e+00 2.207290e+01 9.799803e-01 3.429358e-02
1.493000e+00 2.075949e+01 9.777280e-01 3.328257e-02
1.515000e+00 1.954774e+01 9.751341e-01 3.231521e-02
1.538000e+00 1.847835e+01 9.714514e-01 3.136203e-02
1.562000e+00 1.738285e+01 9.664873e-01 3.039852e-02
1.587000e+00 1.627786e+01 9.600413e-01 2.942866e-02
1.613000e+00 1.531401e+01 9.521071e-01 2.848090e-02
1.639000e+00 1.445274e+01 9.422250e-01 2.757779e-02
1.667000e+00 1.368070e+01 9.303808e-01 2.666447e-02
1.695000e+00 1.293581e+01 9.165164e-01 2.578454e-02
1.724000e+00 1.224871e+01 9.004690e-01 2.491829e-02
1.754000e+00 1.160836e+01 8.788435e-01 2.405676e-02
1.786000e+00 1.102957e+01 8.566398e-01 2.319679e-02
1.818000e+00 1.047592e+01 8.363507e-01 2.238173e-02
1.852000e+00 9.962042e+00 8.130424e-01 2.156211e-02
1.887000e+00 9.891059e+00 7.528994e-01 2.075533e-02
1.923000e+00 1.021466e+01 6.729410e-01 1.998041e-02
1.961000e+00 9.956232e+00 6.325942e-01 1.920018e-02
2.000000e+00 9.410655e+00 6.128884e-01 1.844568e-02
2.041000e+00 8.950560e+00 5.886660e-01 1.769955e-02
2.083000e+00 8.556457e+00 5.623245e-01 1.698089e-02
2.128000e+00 8.239075e+00 5.285857e-01 1.625158e-02
2.174000e+00 8.036906e+00 4.903913e-01 1.555309e-02
2.222000e+00 7.892200e+00 4.488549e-01 1.486453e-02
2.273000e+00 7.926087e+00 4.022452e-01 1.418845e-02
2.326000e+00 8.047513e+00 3.524612e-01 1.352148e-02
2.381000e+00 8.408871e+00 3.011283e-01 1.288319e-02
2.439000e+00 9.317307e+00 2.393991e-01 1.224714e-02
2.500000e+00 1.072266e+01 1.807568e-01 1.161750e-02
2.564000e+00 1.641846e+00 1.000000e+00 1.098807e-02
2.632000e+00 1.382302e+00 1.000000e+00 1.037448e-02
2.688000e+00 1.184446e+00 1.000000e+00 9.895933e-03
2.725000e+00 1.422965e+01 7.188464e-02 9.567686e-03
2.762000e+00 4.245978e+01 2.092833e-02 9.257804e-03
2.770000e+00 5.109766e+01 1.700011e-02 9.196497e-03
2.833000e+00 1.120571e+02 7.054296e-03 8.771038e-03
2.841000e+00 1.202018e+02 6.583007e-03 8.724854e-03
2.882000e+00 1.538250e+02 5.125621e-03 8.489880e-03
2.915000e+00 1.700234e+02 4.704125e-03 8.321761e-03
2.941000e+00 1.762562e+02 4.519979e-03 8.188479e-03
2.985000e+00 1.872150e+02 4.162141e-03 7.960962e-03
3.021000e+00 1.965708e+02 3.869558e-03 7.777586e-03
3.077000e+00 2.120552e+02 3.444601e-03 7.500875e-03
3.175000e+00 2.452197e+02 2.915437e-03 7.068973e-03
3.279000e+00 2.684755e+02 2.683902e-03 6.676761e-03
3.344000e+00 2.761183e+02 2.644718e-03 6.462265e-03
3.413000e+00 2.676413e+02 2.689626e-03 6.248471e-03
3.472000e+00 2.640394e+02 2.695044e-03 6.072897e-03
3.559000e+00 2.417576e+02 2.818800e-03 5.830172e-03
3.623000e+00 2.209904e+02 2.888977e-03 5.644836e-03
3.690000e+00 2.058468e+02 2.883478e-03 5.451428e-03
3.759000e+00 1.931851e+02 2.815234e-03 5.252546e-03
3.817000e+00 1.872393e+02 2.723802e-03 5.094817e-03
3.846000e+00 1.844580e+02 2.667647e-03 5.016310e-03
3.861000e+00 1.837198e+02 2.637007e-03 4.977455e-03
3.906000e+00 1.815407e+02 2.547850e-03 4.863562e-03
3.953000e+00 1.792010e+02 2.470500e-03 4.750904e-03
4.000000e+00 1.754110e+02 2.423112e-03 4.644514e-03
4.082000e+00 1.688435e+02 2.332924e-03 4.464506e-03
4.149000e+00 1.621433e+02 2.257310e-03 4.320250e-03
4.219000e+00 1.535050e+02 2.271566e-03 4.190512e-03
4.274000e+00 1.431997e+02 2.217450e-03 4.069708e-03
4.292000e+00 1.414793e+02 2.185959e-03 4.032148e-03
4.367000e+00 1.449509e+02 1.928098e-03 3.878323e-03
4.464000e+00 1.494460e+02 1.713646e-03 3.707393e-03
4.587000e+00 1.475986e+02 1.574219e-03 3.514293e-03
4.717000e+00 1.389003e+02 1.474574e-03 3.320978e-03
4.808000e+00 1.355122e+02 1.368898e-03 3.189406e-03
4.950000e+00 1.349889e+02 1.160033e-03 2.991150e-03
5.102000e+00 1.432224e+02 9.308959e-04 2.797822e-03
5.181000e+00 1.493084e+02 8.287749e-04 2.704888e-03
5.263000e+00 1.572675e+02 7.364028e-04 2.614117e-03
5.319000e+00 1.634806e+02 6.806017e-04 2.554900e-03
5.376000e+00 1.717117e+02 6.258453e-04 2.496288e-03
5.435000e+00 1.815147e+02 5.821099e-04 2.440660e-03
5.495000e+00 1.909475e+02 5.467017e-04 2.386924e-03
5.556000e+00 2.007639e+02 5.213273e-04 2.336964e-03
5.618000e+00 2.095568e+02 5.098535e-04 2.292870e-03
5.650000e+00 2.105410e+02 5.109200e-04 2.272628e-03
5.682000e+00 2.116313e+02 5.097248e-04 2.251691e-03
5.747000e+00 2.156340e+02 5.047952e-04 2.209683e-03
5.814000e+00 2.148159e+02 5.248949e-04 2.179149e-03
5.882000e+00 2.003195e+02 5.572656e-04 2.148784e-03
5.952000e+00 1.855769e+02 5.785728e-04 2.110403e-03
6.024000e+00 1.716485e+02 5.964751e-04 2.068898e-03
6.061000e+00 1.639916e+02 6.077203e-04 2.047619e-03
6.098000e+00 1.546895e+02 6.254791e-04 2.026941e-03
6.135000e+00 1.439882e+02 6.465246e-04 2.004926e-03
6.173000e+00 1.331964e+02 6.553970e-04 1.976194e-03
6.211000e+00 1.259427e+02 6.539158e-04 1.947514e-03
6.250000e+00 1.206966e+02 6.378365e-04 1.915880e-03
6.329000e+00 1.133672e+02 6.044746e-04 1.857061e-03
6.410000e+00 1.087330e+02 5.593968e-04 1.798427e-03
6.494000e+00 1.067513e+02 5.038654e-04 1.739608e-03
6.536000e+00 1.056940e+02 4.802166e-04 1.711946e-03
6.579000e+00 1.048353e+02 4.502152e-04 1.682077e-03
6.623000e+00 1.057626e+02 4.138970e-04 1.651499e-03
6.667000e+00 1.091497e+02 3.774303e-04 1.622874e-03
6.711000e+00 1.124595e+02 3.464493e-04 1.595609e-03
6.803000e+00 1.180473e+02 2.955252e-04 1.541820e-03
6.897000e+00 1.223926e+02 2.596542e-04 1.492279e-03
6.993000e+00 1.226125e+02 2.160285e-04 1.435700e-03
7.092000e+00 1.355035e+02 1.724563e-04 1.380717e-03
7.194000e+00 1.486803e+02 1.373081e-04 1.324984e-03
7.299000e+00 1.681672e+02 1.102315e-04 1.268705e-03
7.353000e+00 1.826733e+02 9.908421e-05 1.238519e-03
7.463000e+00 2.278939e+02 9.137131e-05 1.180801e-03
7.576000e+00 2.792747e+02 9.806590e-05 1.132713e-03
7.634000e+00 3.013159e+02 1.028556e-04 1.112295e-03
7.752000e+00 3.352749e+02 1.101440e-04 1.074039e-03
7.874000e+00 3.712031e+02 1.161581e-04 1.032050e-03
8.000000e+00 4.219117e+02 1.271448e-04 9.876252e-04
8.065000e+00 4.444139e+02 1.333067e-04 9.679604e-04
8.130000e+00 4.733335e+02 1.431657e-04 9.486308e-04
8.264000e+00 4.978490e+02 1.608968e-04 9.259209e-04
8.403000e+00 4.971140e+02 1.783555e-04 9.147805e-04
8.547000e+00 4.709626e+02 1.977492e-04 9.199936e-04
8.621000e+00 4.453915e+02 2.072234e-04 9.317865e-04
8.696000e+00 4.137183e+02 2.189134e-04 9.507769e-04
