# wavelength[um] extinction_xsection[m^2/kg] ssa g
3.600000e-01 1.025387e+03 1.000000e+00 7.387522e-01
4.450000e-01 1.002665e+03 1.000000e+00 7.351093e-01
4.490000e-01 1.005531e+03 1.000000e+00 8.057440e-01
5.560000e-01 1.030898e+03 1.000000e+00 7.723021e-01
7.020000e-01 6.681008e+02 9.999995e-01 5.440729e-01
7.140000e-01 7.140248e+02 9.999993e-01 5.699986e-01
7.250000e-01 7.615195e+02 9.999991e-01 5.686363e-01
7.350000e-01 8.022591e+02 9.999988e-01 5.495498e-01
7.460000e-01 8.020937e+02 9.999983e-01 5.122833e-01
7.580000e-01 7.358432e+02 9.999982e-01 5.177040e-01
7.690000e-01 7.363517e+02 9.999983e-01 5.569109e-01
7.810000e-01 7.896629e+02 9.999984e-01 5.907894e-01
7.940000e-01 8.663591e+02 9.999984e-01 6.089576e-01
8.060000e-01 9.349602e+02 9.999984e-01 6.092287e-01
8.200000e-01 9.727870e+02 9.999982e-01 5.921866e-01
8.330000e-01 9.388162e+02 9.999979e-01 5.954502e-01
8.470000e-01 9.301227e+02 9.999975e-01 6.285527e-01
8.620000e-01 9.920317e+02 9.999974e-01 6.664808e-01
8.770000e-01 1.078712e+03 9.999973e-01 6.863252e-01
8.930000e-01 1.174006e+03 9.999971e-01 6.916224e-01
9.090000e-01 1.239196e+03 9.999965e-01 6.850883e-01
9.260000e-01 1.228744e+03 9.999957e-01 6.807748e-01
9.430000e-01 1.218694e+03 9.999934e-01 6.999817e-01
9.620000e-01 1.260647e+03 9.999898e-01 7.267302e-01
9.800000e-01 1.342394e+03 9.999869e-01 7.477221e-01
1.000000e+00 1.435898e+03 9.999863e-01 7.575850e-01
1.020000e+00 1.507268e+03 9.999866e-01 7.574179e-01
1.042000e+00 1.513793e+03 9.999874e-01 7.514846e-01
1.064000e+00 1.494466e+03 9.999882e-01 7.547656e-01
1.087000e+00 1.509160e+03 9.999884e-01 7.659041e-01
1.111000e+00 1.561431e+03 9.999874e-01 7.786309e-01
1.136000e+00 1.628797e+03 9.999836e-01 7.890873e-01
1.163000e+00 1.680735e+03 9.999730e-01 7.948076e-01
1.190000e+00 1.682692e+03 9.999673e-01 7.946974e-01
1.220000e+00 1.647591e+03 9.999645e-01 7.945262e-01
1.250000e+00 1.626185e+03 9.999591e-01 7.967249e-01
1.266000e+00 1.627300e+03 9.999557e-01 7.973786e-01
1.282000e+00 1.634257e+03 9.999502e-01 7.987750e-01
1.299000e+00 1.645217e+03 9.999425e-01 8.001812e-01
1.316000e+00 1.657161e+03 9.999310e-01 8.009186e-01
1.333000e+00 1.665409e+03 9.999136e-01 8.022263e-01
1.351000e+00 1.669233e+03 9.998920e-01 8.028114e-01
1.370000e+00 1.661685e+03 9.998577e-01 8.038153e-01
1.389000e+00 1.643208e+03 9.997852e-01 8.045921e-01
1.408000e+00 1.616517e+03 9.996600e-01 8.052379e-01
1.429000e+00 1.583507e+03 9.995189e-01 8.058519e-01
1.449000e+00 1.556750e+03 9.994484e-01 8.058753e-01
1.471000e+00 1.529035e+03 9.994160e-01 8.064146e-01
1.493000e+00 1.507693e+03 9.993904e-01 8.067159e-01
1.515000e+00 1.491663e+03 9.993592e-01 8.066674e-01
1.538000e+00 1.481679e+03 9.993018e-01 8.057916e-01
1.562000e+00 1.469600e+03 9.992211e-01 8.049537e-01
1.587000e+00 1.452196e+03 9.991145e-01 8.040863e-01
1.613000e+00 1.433618e+03 9.989778e-01 8.024747e-01
1.639000e+00 1.409224e+03 9.988045e-01 8.005447e-01
1.667000e+00 1.381168e+03 9.985971e-01 7.977369e-01
1.695000e+00 1.343110e+03 9.983635e-01 7.948392e-01
1.724000e+00 1.300980e+03 9.981045e-01 7.915383e-01
1.754000e+00 1.253494e+03 9.977618e-01 7.884193e-01
1.786000e+00 1.212093e+03 9.974351e-01 7.851240e-01
1.818000e+00 1.176039e+03 9.971719e-01 7.825102e-01
1.852000e+00 1.143569e+03 9.968733e-01 7.805884e-01
1.887000e+00 1.110706e+03 9.958096e-01 7.799084e-01
1.923000e+00 1.083723e+03 9.941413e-01 7.794786e-01
1.961000e+00 1.052351e+03 9.933824e-01 7.795161e-01
2.000000e+00 1.019177e+03 9.931628e-01 7.793470e-01
2.041000e+00 9.820276e+02 9.927945e-01 7.785843e-01
2.083000e+00 9.410541e+02 9.923349e-01 7.767673e-01
2.128000e+00 8.907912e+02 9.916390e-01 7.733985e-01
2.174000e+00 8.390222e+02 9.907383e-01 7.678797e-01
2.222000e+00 7.833436e+02 9.896570e-01 7.599558e-01
2.273000e+00 7.337328e+02 9.882146e-01 7.495231e-01
2.326000e+00 6.813268e+02 9.863925e-01 7.375344e-01
2.381000e+00 6.378378e+02 9.839562e-01 7.251417e-01
2.439000e+00 5.925910e+02 9.796221e-01 7.135453e-01
2.500000e+00 5.454957e+02 9.730984e-01 7.041563e-01
2.564000e+00 4.825395e+02 1.000000e+00 6.957707e-01
2.632000e+00 4.269371e+02 1.000000e+00 6.930577e-01
2.688000e+00 3.776537e+02 1.000000e+00 6.935885e-01
2.725000e+00 3.418489e+02 9.401777e-01 6.987989e-01
2.762000e+00 3.276063e+02 8.159526e-01 7.049544e-01
2.770000e+00 3.297070e+02 7.825403e-01 7.061120e-01
2.833000e+00 3.626760e+02 6.014606e-01 7.095980e-01
