    cm-1  microns   25%       38%       50%       75%       84.5%     95.6%

    400.  25.000    3.03E-01  3.27E-01  3.19E-01  2.00E-01  9.90E-02  2.12E-01
    410.  24.390    3.05E-01  3.28E-01  3.28E-01  2.26E-01  1.44E-01  2.45E-01
    430.  23.256    3.29E-01  3.56E-01  3.71E-01  3.00E-01  2.19E-01  2.74E-01
    440.  22.727    3.43E-01  3.72E-01  3.80E-01  3.20E-01  2.31E-01  2.48E-01
    450.  22.222    3.51E-01  3.78E-01  3.84E-01  3.29E-01  2.29E-01  2.18E-01
    470.  21.277    3.54E-01  3.74E-01  3.61E-01  2.90E-01  1.99E-01  1.93E-01
    480.  20.833    3.53E-01  3.68E-01  3.50E-01  2.57E-01  1.69E-01  1.94E-01
    490.  20.408    3.51E-01  3.63E-01  3.45E-01  2.40E-01  1.45E-01  1.97E-01
    500.  20.000    3.49E-01  3.57E-01  3.44E-01  2.35E-01  1.46E-01  2.09E-01
    510.  19.608    3.49E-01  3.49E-01  3.44E-01  2.38E-01  1.61E-01  2.41E-01
    530.  18.868    3.52E-01  3.48E-01  3.53E-01  2.61E-01  2.16E-01  4.05E-01
    540.  18.519    3.55E-01  3.54E-01  3.60E-01  2.99E-01  2.91E-01  5.69E-01
    550.  18.182    3.60E-01  3.64E-01  3.75E-01  3.62E-01  3.91E-01  7.40E-01
    560.  17.857    3.68E-01  3.79E-01  4.02E-01  4.57E-01  5.20E-01  8.02E-01
    570.  17.544    3.83E-01  4.04E-01  4.43E-01  5.54E-01  5.75E-01  6.99E-01
    580.  17.241    4.12E-01  4.43E-01  4.96E-01  5.94E-01  5.49E-01  5.40E-01
    590.  16.949    4.22E-01  4.60E-01  5.09E-01  5.64E-01  4.68E-01  4.15E-01
    600.  16.667    4.15E-01  4.48E-01  4.79E-01  4.79E-01  4.00E-01  3.40E-01
    620.  16.129    3.74E-01  3.81E-01  3.79E-01  3.52E-01  2.90E-01  2.53E-01
    630.  15.873    3.58E-01  3.50E-01  3.38E-01  2.99E-01  2.44E-01  2.32E-01
    650.  15.385    3.40E-01  3.22E-01  2.99E-01  2.21E-01  1.75E-01  2.03E-01
    670.  14.925    3.29E-01  3.04E-01  2.77E-01  1.91E-01  1.51E-01  1.83E-01
    680.  14.706    3.22E-01  2.95E-01  2.68E-01  1.83E-01  1.44E-01  1.76E-01
    700.  14.286    3.09E-01  2.80E-01  2.54E-01  1.73E-01  1.34E-01  1.60E-01
    720.  13.889    2.94E-01  2.66E-01  2.42E-01  1.71E-01  1.25E-01  1.43E-01
    740.  13.514    2.79E-01  2.53E-01  2.30E-01  1.65E-01  1.16E-01  1.26E-01
    760.  13.158    2.62E-01  2.40E-01  2.21E-01  1.60E-01  1.08E-01  1.10E-01
    780.  12.821    2.42E-01  2.26E-01  2.13E-01  1.57E-01  1.00E-01  9.00E-02
    790.  12.658    2.33E-01  2.18E-01  2.10E-01  1.57E-01  9.90E-02  9.00E-02
