# wavelength[um] extinction_xsection[m^2/kg] ssa g
1.510000e-01 9.666740e+03 4.792473e-01 8.040231e-01
1.530000e-01 9.665041e+03 4.722526e-01 8.067408e-01
1.550000e-01 9.677715e+03 4.664504e-01 8.089911e-01
1.570000e-01 9.732859e+03 4.639943e-01 8.116163e-01
1.590000e-01 9.831600e+03 4.654470e-01 8.153841e-01
1.610000e-01 9.926402e+03 4.686515e-01 8.198556e-01
1.630000e-01 9.919758e+03 4.694532e-01 8.232601e-01
1.650000e-01 9.821946e+03 4.671355e-01 8.229156e-01
1.680000e-01 9.748509e+03 4.650962e-01 8.172342e-01
1.700000e-01 9.741397e+03 4.659621e-01 8.088483e-01
1.720000e-01 9.778144e+03 4.692249e-01 7.983454e-01
1.750000e-01 9.833262e+03 4.727922e-01 7.876012e-01
1.770000e-01 9.873447e+03 4.753558e-01 7.804585e-01
1.800000e-01 9.910908e+03 4.754687e-01 7.756686e-01
1.820000e-01 9.932733e+03 4.744228e-01 7.740597e-01
1.850000e-01 9.962149e+03 4.725516e-01 7.724388e-01
1.880000e-01 9.992286e+03 4.716100e-01 7.695962e-01
1.910000e-01 1.002050e+04 4.717607e-01 7.651025e-01
1.940000e-01 1.004880e+04 4.723020e-01 7.598526e-01
1.970000e-01 1.007792e+04 4.727191e-01 7.545889e-01
2.000000e-01 1.010917e+04 4.722548e-01 7.501739e-01
2.030000e-01 1.014114e+04 4.715752e-01 7.463792e-01
2.070000e-01 1.018877e+04 4.705677e-01 7.422417e-01
2.100000e-01 1.022624e+04 4.691802e-01 7.390728e-01
2.140000e-01 1.029112e+04 4.669120e-01 7.362655e-01
2.180000e-01 1.036623e+04 4.650765e-01 7.336901e-01
2.210000e-01 1.043742e+04 4.638195e-01 7.321528e-01
2.250000e-01 1.053397e+04 4.630275e-01 7.295307e-01
2.300000e-01 1.066034e+04 4.635006e-01 7.254418e-01
2.340000e-01 1.077837e+04 4.656889e-01 7.210984e-01
2.380000e-01 1.088955e+04 4.691355e-01 7.148771e-01
2.430000e-01 1.100435e+04 4.745966e-01 7.059600e-01
2.480000e-01 1.110286e+04 4.806317e-01 6.963230e-01
2.530000e-01 1.120291e+04 4.874588e-01 6.874293e-01
2.580000e-01 1.134966e+04 4.972281e-01 6.806798e-01
2.640000e-01 1.157929e+04 5.109647e-01 6.763317e-01
2.690000e-01 1.182245e+04 5.236601e-01 6.779096e-01
2.750000e-01 1.204052e+04 5.317345e-01 6.833744e-01
2.820000e-01 1.211308e+04 5.284126e-01 6.824720e-01
2.880000e-01 1.187456e+04 5.084224e-01 6.685702e-01
2.950000e-01 1.163231e+04 4.915878e-01 6.529202e-01
3.020000e-01 1.161053e+04 4.863730e-01 6.406574e-01
3.100000e-01 1.177444e+04 4.873572e-01 6.303162e-01
3.180000e-01 1.204230e+04 4.920431e-01 6.214269e-01
3.260000e-01 1.244310e+04 5.028001e-01 6.134957e-01
3.350000e-01 1.292108e+04 5.183868e-01 6.035515e-01
3.440000e-01 1.343814e+04 5.374288e-01 5.924095e-01
3.540000e-01 1.424467e+04 5.726385e-01 5.732111e-01
3.600000e-01 1.890279e+04 8.778592e-01 4.027003e-01
3.650000e-01 1.680783e+04 1.000000e+00 3.392704e-01
3.760000e-01 1.463134e+04 1.000000e+00 3.402090e-01
3.870000e-01 1.445388e+04 1.000000e+00 3.402011e-01
3.940000e-01 1.468288e+04 1.000000e+00 3.402125e-01
4.250000e-01 1.703459e+04 9.991979e-01 3.946007e-01
4.480000e-01 1.747437e+04 9.998948e-01 4.747318e-01
4.710000e-01 1.327498e+04 9.999869e-01 5.422496e-01
5.000000e-01 nan nan nan
5.100000e-01 6.898190e+03 9.999955e-01 4.892611e-01
5.200000e-01 6.310222e+03 9.999966e-01 4.672558e-01
5.300000e-01 5.673491e+03 9.999969e-01 4.408340e-01
5.400000e-01 5.254483e+03 9.999973e-01 4.193084e-01
5.500000e-01 4.781789e+03 9.999974e-01 3.949007e-01
5.600000e-01 4.461502e+03 9.999975e-01 3.757692e-01
5.700000e-01 4.088566e+03 9.999977e-01 3.545311e-01
5.800000e-01 3.830776e+03 9.999977e-01 3.381194e-01
5.900000e-01 3.524466e+03 9.999977e-01 3.200018e-01
6.000000e-01 3.374315e+03 1.000000e+00 3.087444e-01
6.500000e-01 2.443092e+03 1.000000e+00 2.496742e-01
7.000000e-01 1.793461e+03 9.999984e-01 2.078157e-01
7.500000e-01 1.357815e+03 9.999981e-01 1.778830e-01
8.000000e-01 1.023760e+03 9.999979e-01 1.536540e-01
8.500000e-01 7.894255e+02 9.999976e-01 1.347827e-01
9.000000e-01 6.168206e+02 9.999973e-01 1.193795e-01
9.500000e-01 4.921325e+02 9.999970e-01 1.068841e-01
1.000000e+00 3.971552e+02 9.999967e-01 9.633260e-02
1.050000e+00 3.223111e+02 9.999962e-01 8.717679e-02
1.100000e+00 2.645760e+02 9.999956e-01 7.933326e-02
1.150000e+00 2.187820e+02 9.999950e-01 7.247919e-02
1.200000e+00 1.827079e+02 9.999943e-01 6.651842e-02
1.250000e+00 1.542361e+02 9.999935e-01 6.133370e-02
1.300000e+00 1.311076e+02 9.999927e-01 5.673858e-02
1.350000e+00 1.121639e+02 9.999918e-01 5.264538e-02
1.400000e+00 9.652845e+01 9.999908e-01 4.898253e-02
1.450000e+00 8.353112e+01 9.999899e-01 4.569102e-02
1.500000e+00 7.265489e+01 9.999888e-01 4.272181e-02
1.550000e+00 6.349709e+01 9.999877e-01 4.003380e-02
1.600000e+00 5.574149e+01 9.999866e-01 3.759233e-02
1.650000e+00 4.913774e+01 9.999853e-01 3.536798e-02
1.700000e+00 4.348616e+01 9.999840e-01 3.333561e-02
1.750000e+00 3.862635e+01 9.999825e-01 3.147367e-02
1.800000e+00 3.442859e+01 9.999810e-01 2.976357e-02
1.850000e+00 3.078733e+01 9.999794e-01 2.818917e-02
1.900000e+00 2.761617e+01 9.999778e-01 2.673648e-02
1.950000e+00 2.484399e+01 9.999760e-01 2.539323e-02
2.000000e+00 nan nan nan
2.220000e+00 1.435900e+01 1.000000e+00 1.948755e-02
2.500000e+00 8.876835e+00 1.000000e+00 1.538883e-02
2.860000e+00 5.155991e+00 1.000000e+00 1.177420e-02
3.330000e+00 2.793029e+00 1.000000e+00 8.695380e-03
4.000000e+00 1.336408e+00 1.000000e+00 6.032767e-03
5.000000e+00 5.456696e-01 1.000000e+00 3.864391e-03
6.670000e+00 1.718838e-01 1.000000e+00 2.173081e-03
6.710000e+00 1.675638e-01 1.000000e+00 2.146178e-03
6.760000e+00 1.626536e-01 1.000000e+00 2.114576e-03
6.800000e+00 1.588543e-01 1.000000e+00 2.089793e-03
6.850000e+00 1.542599e-01 1.000000e+00 2.059423e-03
6.900000e+00 1.498305e-01 1.000000e+00 2.029710e-03
6.940000e+00 1.464010e-01 1.000000e+00 2.006400e-03
6.990000e+00 1.422509e-01 1.000000e+00 1.977823e-03
7.040000e+00 1.382469e-01 1.000000e+00 1.949851e-03
7.090000e+00 1.341811e-01 1.000000e+00 1.921490e-03
7.140000e+00 1.304567e-01 1.000000e+00 1.894694e-03
7.170000e+00 1.420538e-01 9.030665e-01 1.878884e-03
7.190000e+00 1.411354e-01 8.988583e-01 1.868454e-03
7.220000e+00 1.396087e-01 8.936584e-01 1.852971e-03
7.250000e+00 1.387046e-01 8.846677e-01 1.837680e-03
7.270000e+00 1.381200e-01 8.786632e-01 1.827591e-03
7.300000e+00 1.370466e-01 8.710593e-01 1.812612e-03
7.330000e+00 1.364947e-01 8.603320e-01 1.797816e-03
7.350000e+00 1.367629e-01 8.493256e-01 1.788053e-03
7.380000e+00 1.387260e-01 8.237570e-01 1.773556e-03
7.410000e+00 1.414427e-01 7.949139e-01 1.759235e-03
7.430000e+00 1.457157e-01 7.621717e-01 1.748893e-03
7.460000e+00 1.497380e-01 7.298240e-01 1.734865e-03
7.490000e+00 1.545318e-01 6.959073e-01 1.721006e-03
7.520000e+00 1.608675e-01 6.578825e-01 1.707312e-03
7.550000e+00 1.679312e-01 6.193073e-01 1.692917e-03
7.580000e+00 1.736845e-01 5.884691e-01 1.678698e-03
7.610000e+00 1.829452e-01 5.499126e-01 1.665498e-03
7.630000e+00 1.897252e-01 5.239242e-01 1.655940e-03
7.660000e+00 1.904469e-01 5.145774e-01 1.643841e-03
7.690000e+00 1.889837e-01 5.105073e-01 1.631049e-03
7.720000e+00 1.862814e-01 5.098998e-01 1.618406e-03
7.750000e+00 1.832638e-01 5.110781e-01 1.606727e-03
7.780000e+00 1.786107e-01 5.171200e-01 1.595181e-03
7.810000e+00 1.676874e-01 5.423814e-01 1.582958e-03
7.840000e+00 1.552838e-01 5.776493e-01 1.571675e-03
7.870000e+00 1.430941e-01 6.191977e-01 1.561314e-03
7.910000e+00 1.283029e-01 6.767023e-01 1.545573e-03
7.940000e+00 1.171620e-01 7.309936e-01 1.534705e-03
7.970000e+00 1.097720e-01 7.685113e-01 1.523181e-03
8.000000e+00 1.016410e-01 8.175968e-01 1.511786e-03
8.030000e+00 9.516149e-02 8.602750e-01 1.500518e-03
8.060000e+00 9.103940e-02 8.858987e-01 1.489376e-03
8.100000e+00 8.656008e-02 9.134538e-01 1.474711e-03
8.130000e+00 8.405316e-02 9.268750e-01 1.463855e-03
8.160000e+00 8.201491e-02 9.360027e-01 1.453118e-03
8.200000e+00 7.963003e-02 9.453428e-01 1.438984e-03
8.230000e+00 7.804422e-02 9.505497e-01 1.428519e-03
8.260000e+00 7.631292e-02 9.580542e-01 1.418167e-03
8.300000e+00 7.458007e-02 9.615338e-01 1.404539e-03
8.330000e+00 7.305820e-02 9.674851e-01 1.394446e-03
8.370000e+00 7.160310e-02 9.683919e-01 1.381158e-03
8.400000e+00 7.030748e-02 9.722096e-01 1.371316e-03
8.440000e+00 6.901791e-02 9.717146e-01 1.358356e-03
8.480000e+00 6.744876e-02 9.756742e-01 1.345579e-03
8.510000e+00 6.653419e-02 9.751986e-01 1.336114e-03
8.550000e+00 6.532710e-02 9.747437e-01 1.323648e-03
8.580000e+00 6.413968e-02 9.789633e-01 1.314414e-03
8.620000e+00 6.267392e-02 9.833740e-01 1.302250e-03
8.660000e+00 6.178428e-02 9.792136e-01 1.290254e-03
8.700000e+00 6.043377e-02 9.827946e-01 1.278423e-03
8.730000e+00 5.975833e-02 9.802989e-01 1.269657e-03
8.770000e+00 5.863501e-02 9.809597e-01 1.258108e-03
8.810000e+00 5.783063e-02 9.766474e-01 1.246715e-03
8.850000e+00 5.663352e-02 9.793672e-01 1.235477e-03
8.890000e+00 5.604419e-02 9.719580e-01 1.224390e-03
8.930000e+00 5.513210e-02 9.704379e-01 1.213451e-03
8.970000e+00 5.420126e-02 9.695990e-01 1.202658e-03
9.010000e+00 5.335955e-02 9.675050e-01 1.192009e-03
9.050000e+00 5.237988e-02 9.682756e-01 1.181501e-03
9.090000e+00 5.178081e-02 9.623362e-01 1.171130e-03
9.130000e+00 5.141151e-02 9.523603e-01 1.160896e-03
9.170000e+00 5.098243e-02 9.437141e-01 1.150795e-03
9.220000e+00 5.014154e-02 9.388778e-01 1.138354e-03
9.260000e+00 4.983724e-02 9.283809e-01 1.128545e-03
9.300000e+00 4.927411e-02 9.229272e-01 1.118863e-03
9.350000e+00 4.911953e-02 9.061701e-01 1.106934e-03
9.390000e+00 4.900110e-02 8.929687e-01 1.097528e-03
9.430000e+00 4.903056e-02 8.773743e-01 1.088241e-03
9.480000e+00 4.919102e-02 8.561937e-01 1.076797e-03
9.520000e+00 4.869529e-02 8.504537e-01 1.067771e-03
9.570000e+00 4.844068e-02 8.371830e-01 1.056648e-03
9.610000e+00 4.776978e-02 8.348838e-01 1.047874e-03
9.660000e+00 4.653981e-02 8.393302e-01 1.037059e-03
9.710000e+00 4.450113e-02 8.598273e-01 1.026411e-03
9.760000e+00 4.266151e-02 8.786522e-01 1.015926e-03
