# wavelength[um] extinction_xsection[m^2/kg] ssa g
1.510000e-01 7.378350e+01 5.938186e-01 8.746421e-01
1.530000e-01 7.378903e+01 5.896917e-01 8.814314e-01
1.550000e-01 7.379459e+01 5.852695e-01 8.888668e-01
1.570000e-01 7.380018e+01 5.808883e-01 8.963313e-01
1.590000e-01 7.380600e+01 5.769164e-01 9.031856e-01
1.610000e-01 7.381232e+01 5.737635e-01 9.087400e-01
1.630000e-01 7.382064e+01 5.726730e-01 9.110748e-01
1.650000e-01 7.383194e+01 5.740341e-01 9.095530e-01
1.680000e-01 7.385316e+01 5.775831e-01 9.043759e-01
1.700000e-01 7.387404e+01 5.826769e-01 8.962716e-01
1.720000e-01 7.389855e+01 5.888298e-01 8.861187e-01
1.750000e-01 7.392775e+01 5.943572e-01 8.768180e-01
1.770000e-01 7.394678e+01 5.978436e-01 8.707759e-01
1.800000e-01 7.396582e+01 5.989088e-01 8.686235e-01
1.820000e-01 7.397557e+01 5.983805e-01 8.691702e-01
1.850000e-01 7.398897e+01 5.970516e-01 8.710102e-01
1.880000e-01 7.400419e+01 5.966232e-01 8.714450e-01
1.910000e-01 7.402221e+01 5.975223e-01 8.697775e-01
1.940000e-01 7.404123e+01 5.989912e-01 8.671504e-01
1.970000e-01 7.405977e+01 6.004355e-01 8.645026e-01
2.000000e-01 7.407580e+01 6.011030e-01 8.630137e-01
2.030000e-01 7.409129e+01 6.015025e-01 8.620532e-01
2.070000e-01 7.411168e+01 6.017139e-01 8.614307e-01
2.100000e-01 7.412541e+01 6.016678e-01 8.611829e-01
2.140000e-01 7.414207e+01 6.006934e-01 8.624371e-01
2.180000e-01 7.415908e+01 5.997445e-01 8.637306e-01
2.210000e-01 7.417068e+01 5.985608e-01 8.654771e-01
2.250000e-01 7.418714e+01 5.973638e-01 8.672332e-01
2.300000e-01 7.420803e+01 5.959139e-01 8.694078e-01
2.340000e-01 7.422387e+01 5.943859e-01 8.717665e-01
2.380000e-01 7.424019e+01 5.932131e-01 8.735433e-01
2.430000e-01 7.426214e+01 5.922726e-01 8.749564e-01
2.480000e-01 7.428488e+01 5.917740e-01 8.756521e-01
2.530000e-01 7.430795e+01 5.913660e-01 8.762223e-01
2.580000e-01 7.433002e+01 5.903094e-01 8.778975e-01
2.640000e-01 7.435556e+01 5.886287e-01 8.806058e-01
2.690000e-01 7.437582e+01 5.865618e-01 8.840084e-01
2.750000e-01 7.440138e+01 5.845682e-01 8.873303e-01
2.820000e-01 7.443593e+01 5.852506e-01 8.861217e-01
2.880000e-01 7.447737e+01 5.916208e-01 8.754238e-01
2.950000e-01 7.452780e+01 5.990508e-01 8.630982e-01
3.020000e-01 7.456937e+01 6.037129e-01 8.552499e-01
