#optical constants for S8 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
1.0672843515e-01 2.1624829592e+00 5.7680288462e-01 7.6161250000e-01
1.0683785069e-01 2.1625854540e+00 5.7680288462e-01 7.6161250000e-01
1.1875478737e-01 2.1737486198e+00 5.7982815057e-01 7.6161250000e-01
1.2232952492e-01 2.1770972478e+00 5.9038744947e-01 7.6161250000e-01
1.2679601896e-01 2.1783584024e+00 6.0358087834e-01 7.6161250000e-01
1.3843935288e-01 2.1816460020e+00 5.8079395564e-01 7.6161250000e-01
1.4157188604e-01 2.1831887390e+00 5.7466334120e-01 7.6161250000e-01
1.5033732541e-01 2.1875056183e+00 5.5554269810e-01 7.6161250000e-01
1.5881660633e-01 2.1916815678e+00 5.5245659194e-01 7.6161250000e-01
1.6777064122e-01 2.2046520567e+00 5.4919769504e-01 7.3332993688e-01
1.7806062661e-01 2.2195577548e+00 5.5882369044e-01 7.0082758850e-01
1.8619485143e-01 2.2221817977e+00 5.6643303173e-01 7.0662001716e-01
2.0053390190e-01 2.2268074732e+00 5.6800074425e-01 7.1683093813e-01
2.0864832068e-01 2.2290450872e+00 5.6888790731e-01 7.2092608625e-01
2.2453938991e-01 2.2334271729e+00 5.6410747033e-01 7.2894591910e-01
2.3272298476e-01 2.2392561142e+00 5.6164563727e-01 7.4768822621e-01
2.5055875041e-01 2.2519600215e+00 5.5491943346e-01 7.8853621582e-01
2.5783494702e-01 2.2564566380e+00 5.5217544241e-01 7.9317343393e-01
2.8218211308e-01 2.2715029425e+00 5.5286167400e-01 8.0869021085e-01
2.8775037581e-01 2.2765633256e+00 5.5301861702e-01 8.1778638510e-01
3.1317074454e-01 2.2996651097e+00 5.7115033605e-01 8.5931246146e-01
3.1922198190e-01 2.3017966686e+00 5.7546653369e-01 8.6007085857e-01
