#optical constants for S8 aerosols, 0.1 um radius
#k, w and g from Kerber++ (2015), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
1.1847522310e-01 9.3464360854e+03 4.8870887750e-01 6.2376000000e-01
1.1941047541e-01 9.4763120333e+03 4.8870887750e-01 6.2376000000e-01
1.2130489306e-01 9.7393846671e+03 4.9892400393e-01 6.2376000000e-01
1.2549308676e-01 9.7641364010e+03 5.2150768722e-01 6.2376000000e-01
1.3463494884e-01 9.8181637344e+03 5.1156560051e-01 6.2376000000e-01
1.3629037709e-01 9.8279471213e+03 5.0915652728e-01 6.2376000000e-01
1.4912953571e-01 9.9078038302e+03 4.9047225437e-01 6.2376000000e-01
1.5048865680e-01 9.9162572609e+03 4.9045227111e-01 6.2376000000e-01
1.5904083575e-01 9.6440542425e+03 4.9032652781e-01 6.2376000000e-01
1.6389046475e-01 9.4875778822e+03 4.9025522337e-01 6.2376000000e-01
1.6481666805e-01 9.4576933443e+03 4.8688471369e-01 6.2376000000e-01
1.6949059475e-01 9.6291172906e+03 4.6987601256e-01 6.2376000000e-01
1.7497450003e-01 9.8302485329e+03 4.5792031741e-01 6.2376000000e-01
1.7691366767e-01 9.9013706945e+03 4.5994960500e-01 6.2357269813e-01
1.9134414951e-01 1.0084321855e+04 4.7505072213e-01 6.1668880038e-01
1.9484807926e-01 1.0128745043e+04 4.7648260412e-01 6.1579722058e-01
2.0941527335e-01 1.0284309120e+04 4.8243549254e-01 6.2060004821e-01
2.1738033430e-01 1.0369368559e+04 4.8441837525e-01 6.1625584399e-01
2.3178156443e-01 1.0384808389e+04 4.8800352675e-01 6.1117142487e-01
2.4254054244e-01 1.0396343292e+04 4.9021140204e-01 6.4395270166e-01
2.5872858096e-01 1.0025341309e+04 4.9353338765e-01 6.3355799422e-01
2.6052884414e-01 1.0028301642e+04 4.9390282391e-01 6.3246583455e-01
2.8626591252e-01 1.0070623385e+04 4.8712449751e-01 6.1928999283e-01
2.9330626372e-01 1.0175339374e+04 4.8527029261e-01 6.1775937363e-01
3.0414917963e-01 1.0336613525e+04 4.8718130685e-01 6.2892690364e-01
3.2129149536e-01 1.0470197395e+04 4.9020256143e-01 6.3093609561e-01
3.3161917940e-01 1.0550677303e+04 4.9547935849e-01 5.8966440260e-01
3.4917057140e-01 1.0800534368e+04 5.0444701604e-01 4.7052719497e-01
3.4989442601e-01 1.0810838975e+04 5.6152656012e-01 4.6593916313e-01
3.5186171626e-01 1.1164899556e+04 7.1665720036e-01 4.5830159606e-01
3.5265405485e-01 1.1148502642e+04 7.7913704745e-01 4.5533587269e-01
3.5440880729e-01 1.1112189223e+04 8.0082658291e-01 4.4876783430e-01
3.5617229111e-01 1.1075695114e+04 8.2304513143e-01 4.4216711437e-01
3.5794454976e-01 1.1039019415e+04 8.4505207472e-01 4.3553355026e-01
3.6234469359e-01 1.0947961404e+04 8.7718351412e-01 4.2373209683e-01
3.6981224206e-01 1.0793425520e+04 9.1358193798e-01 4.1064895191e-01
3.6986692735e-01 1.0792293845e+04 9.1364474016e-01 4.1055314328e-01
3.7798633845e-01 1.0444216034e+04 9.2296930779e-01 4.0777235804e-01
3.8199028912e-01 1.0206797620e+04 9.2756756109e-01 4.0877198852e-01
3.9139654487e-01 9.9113531274e+03 9.3836997851e-01 4.1804879724e-01
3.9498630720e-01 9.7986009826e+03 9.5148937452e-01 4.2490883305e-01
3.9776151928e-01 9.7197470702e+03 9.6163185834e-01 4.3021226334e-01
4.0887197458e-01 9.4040584514e+03 9.7893141226e-01 4.5805396448e-01
4.1213118516e-01 9.2902243022e+03 9.8400617182e-01 4.6755437710e-01
4.1983270581e-01 9.0212339964e+03 9.8892801558e-01 4.9105941813e-01
4.2699285914e-01 8.7585916132e+03 9.9350388540e-01 5.1229683449e-01
4.3699034552e-01 8.4871965088e+03 9.9989302180e-01 5.3731575609e-01
4.4160730655e-01 8.3618629429e+03 9.9984199734e-01 5.4599714222e-01
4.5873254580e-01 8.0513826071e+03 9.9965273732e-01 5.5360926958e-01
4.7141511078e-01 7.3273964585e+03 9.9951257563e-01 5.3971874371e-01
4.8110031593e-01 7.0264283667e+03 9.9940553934e-01 5.2166959643e-01
4.8692766197e-01 6.8119910587e+03 9.9934113828e-01 5.0869209678e-01
4.9010623493e-01 6.6950244976e+03 9.9932789688e-01 5.0158579373e-01
5.0916194499e-01 6.4018669470e+03 9.9924851397e-01 4.5367201196e-01
5.2328920428e-01 6.0809478998e+03 9.9918966217e-01 4.1958653072e-01
5.3490062400e-01 5.7864335844e+03 9.9914129093e-01 3.9397147212e-01
5.4311047233e-01 5.5864878524e+03 9.9910709008e-01 3.7694882289e-01
5.4570262144e-01 5.5233576787e+03 9.9910629435e-01 3.7180599906e-01
5.6069725551e-01 5.2261057489e+03 9.9910169133e-01 3.4404349153e-01
5.7526424778e-01 4.9310696008e+03 9.9909721959e-01 3.2033620869e-01
5.9293481550e-01 4.6170066318e+03 9.9909179513e-01 2.9482430428e-01
6.0577578189e-01 4.4599364577e+03 9.9908785324e-01 2.7851018282e-01
6.1803547773e-01 4.3099763611e+03 9.9910697334e-01 2.6441222947e-01
6.3710435839e-01 4.0230272810e+03 9.9913671297e-01 2.4468456364e-01
6.5711817533e-01 3.7663391420e+03 9.9916792632e-01 2.2671531462e-01
6.7567155601e-01 3.5376748941e+03 9.9919686199e-01 2.1209006322e-01
6.7775428595e-01 3.5120059401e+03 9.9919788982e-01 2.1055509125e-01
6.9899214066e-01 3.2741572975e+03 9.9920837075e-01 1.9580325004e-01
7.2090573142e-01 3.0327762494e+03 9.9921918515e-01 1.8254554455e-01
7.4348168999e-01 2.7996374810e+03 9.9923032644e-01 1.7033870993e-01
7.5363206197e-01 2.6989942140e+03 9.9923533567e-01 1.6532024231e-01
7.6675738251e-01 2.5688536496e+03 9.9919613630e-01 1.5918863357e-01
7.9446237224e-01 2.3335954378e+03 9.9911339410e-01 1.4748951348e-01
8.3337917615e-01 2.0893295918e+03 9.9899716731e-01 1.3316121764e-01
8.4058782671e-01 2.0387591387e+03 9.9897563835e-01 1.3069898410e-01
8.6812293336e-01 1.8455936066e+03 9.9890828195e-01 1.1987768719e-01
9.0883079319e-01 1.6023874823e+03 9.9880870236e-01 1.0387949828e-01
9.3757674343e-01 1.4754011217e+03 9.9873838401e-01 9.2582339832e-02
9.6092681676e-01 1.3722512586e+03 9.9875014851e-01 8.3405761013e-02
1.0210969493e+00 1.1391124902e+03 9.9878046414e-01 5.9758898941e-02
1.0457564598e+00 1.0609553189e+03 9.9879288838e-01 5.0067711293e-02
1.0903959419e+00 9.1947255735e+02 9.9889964002e-01 3.2524394819e-02
1.1664181955e+00 7.3028409736e+02 9.9908144096e-01 2.6476491564e-03
1.1701149408e+00 7.2108440227e+02 9.9907827058e-01 1.1948282473e-03
1.3010021541e+00 5.2820157740e+02 9.9896601993e-01 0.0000000000e+00
1.3067458887e+00 5.1973728408e+02 9.9897926894e-01 0.0000000000e+00
1.4511147129e+00 3.6092894265e+02 9.9931228302e-01 0.0000000000e+00
1.4591330888e+00 3.5210858281e+02 9.9930245631e-01 0.0000000000e+00
1.6185475969e+00 2.3998366736e+02 9.9910709008e-01 0.0000000000e+00
1.6289756506e+00 2.3264904857e+02 9.9910279340e-01 0.0000000000e+00
1.8032987319e+00 1.4738962292e+02 9.9903096700e-01 0.0000000000e+00
1.8052992641e+00 1.4609075248e+02 9.9903014272e-01 0.0000000000e+00
1.9819850065e+00 3.1375331012e+01 9.9904645997e-01 0.0000000000e+00
2.0135987593e+00 3.6577510743e+01 9.9904937956e-01 0.0000000000e+00
2.2201098360e+00 7.0559801507e+01 9.9809184793e-01 0.0000000000e+00
2.2459323194e+00 6.9818563847e+01 9.9797211660e-01 0.0000000000e+00
2.4774136616e+00 6.3173862562e+01 9.9735841680e-01 0.0000000000e+00
2.5050730490e+00 6.2099028244e+01 9.9728508666e-01 0.0000000000e+00
2.7645801246e+00 5.2014672200e+01 9.9677106168e-01 0.0000000000e+00
2.7941140196e+00 5.2014672200e+01 9.9671256170e-01 0.0000000000e+00
3.0848947883e+00 5.2014672200e+01 9.9454372798e-01 0.0000000000e+00
3.1165051885e+00 5.0731303232e+01 9.9430795688e-01 0.0000000000e+00
3.4425231977e+00 3.7495108995e+01 9.9299366190e-01 0.0000000000e+00
3.4760945765e+00 3.6484904308e+01 9.9285832369e-01 0.0000000000e+00
3.8415722900e+00 2.5487223784e+01 9.9075724508e-01 0.0000000000e+00
3.8771741980e+00 2.4617022428e+01 9.9055257485e-01 0.0000000000e+00
4.2868588384e+00 1.4603285805e+01 9.8865631320e-01 0.0000000000e+00
4.3245312896e+00 1.8552472558e+01 9.8848194292e-01 0.0000000000e+00
4.8235054501e+00 7.0859717750e+01 9.8694299584e-01 0.0000000000e+00
4.8247078810e+00 7.0985768063e+01 9.8693987872e-01 0.0000000000e+00
5.2433729214e+00 3.6231884058e-02 9.8585455355e-01 0.0000000000e+00
