# wavelength[um] extinction_xsection[m^2/kg] ssa g
1.510000e-01 7.841735e+02 5.778115e-01 8.743001e-01
1.530000e-01 7.843326e+02 5.735355e-01 8.807875e-01
1.550000e-01 7.845030e+02 5.689396e-01 8.879118e-01
1.570000e-01 7.846663e+02 5.643548e-01 8.950714e-01
1.590000e-01 7.848209e+02 5.601508e-01 9.016471e-01
1.610000e-01 7.849721e+02 5.567508e-01 9.069710e-01
1.630000e-01 7.851863e+02 5.554458e-01 9.091935e-01
1.650000e-01 7.855682e+02 5.566639e-01 9.076993e-01
1.680000e-01 7.865398e+02 5.600042e-01 9.026581e-01
1.700000e-01 7.877224e+02 5.649454e-01 8.948312e-01
1.720000e-01 7.891812e+02 5.708612e-01 8.850424e-01
1.750000e-01 7.907787e+02 5.759907e-01 8.760442e-01
1.770000e-01 7.917736e+02 5.791870e-01 8.701866e-01
1.800000e-01 7.926041e+02 5.799080e-01 8.680154e-01
1.820000e-01 7.929597e+02 5.791778e-01 8.684585e-01
1.850000e-01 7.934342e+02 5.775650e-01 8.701102e-01
1.880000e-01 7.940349e+02 5.768425e-01 8.704213e-01
1.910000e-01 7.948161e+02 5.774325e-01 8.687249e-01
1.940000e-01 7.956483e+02 5.785878e-01 8.661056e-01
1.970000e-01 7.964333e+02 5.797250e-01 8.634578e-01
2.000000e-01 7.970474e+02 5.801093e-01 8.619029e-01
2.030000e-01 7.976428e+02 5.802347e-01 8.608617e-01
2.070000e-01 7.984467e+02 5.800852e-01 8.601184e-01
2.100000e-01 7.989408e+02 5.797871e-01 8.597517e-01
2.140000e-01 7.995444e+02 5.784859e-01 8.607920e-01
2.180000e-01 8.001898e+02 5.772053e-01 8.618794e-01
2.210000e-01 8.006250e+02 5.757780e-01 8.634385e-01
2.250000e-01 8.012695e+02 5.742477e-01 8.649747e-01
2.300000e-01 8.021110e+02 5.723738e-01 8.668819e-01
2.340000e-01 8.027573e+02 5.705050e-01 8.690024e-01
2.380000e-01 8.034289e+02 5.689919e-01 8.705633e-01
2.430000e-01 8.043498e+02 5.676154e-01 8.717476e-01
2.480000e-01 8.053054e+02 5.666818e-01 8.722434e-01
2.530000e-01 8.062803e+02 5.658352e-01 8.726219e-01
2.580000e-01 8.072307e+02 5.643269e-01 8.740666e-01
2.640000e-01 8.083459e+02 5.620943e-01 8.764719e-01
2.690000e-01 8.092538e+02 5.595429e-01 8.795838e-01
2.750000e-01 8.103865e+02 5.569557e-01 8.825927e-01
2.820000e-01 8.118291e+02 5.570298e-01 8.811970e-01
2.880000e-01 8.134314e+02 5.630145e-01 8.707073e-01
2.950000e-01 8.154086e+02 5.699594e-01 8.586539e-01
3.020000e-01 8.169896e+02 5.741437e-01 8.508707e-01
3.100000e-01 8.182224e+02 5.759095e-01 8.465508e-01
3.180000e-01 8.191437e+02 5.762815e-01 8.443748e-01
3.260000e-01 8.198786e+02 5.754151e-01 8.441405e-01
3.350000e-01 8.207765e+02 5.745453e-01 8.438224e-01
3.440000e-01 8.217891e+02 5.734778e-01 8.438899e-01
3.540000e-01 8.231312e+02 5.704860e-01 8.468018e-01
3.600000e-01 8.261659e+02 6.212226e-01 8.050323e-01
3.650000e-01 7.962538e+02 1.000000e+00 5.725962e-01
3.760000e-01 8.930239e+02 1.000000e+00 6.491109e-01
3.870000e-01 7.883537e+02 1.000000e+00 4.974823e-01
3.940000e-01 7.792307e+02 1.000000e+00 5.746841e-01
4.250000e-01 8.570573e+02 9.811478e-01 5.478864e-01
4.480000e-01 8.380480e+02 9.990333e-01 6.348148e-01
4.710000e-01 9.337882e+02 9.998710e-01 6.146969e-01
5.000000e-01 nan nan nan
5.100000e-01 8.453347e+02 9.999677e-01 6.345286e-01
5.200000e-01 8.252361e+02 9.999738e-01 6.166575e-01
5.300000e-01 9.694037e+02 9.999829e-01 6.648631e-01
5.400000e-01 1.058133e+03 9.998825e-01 5.454502e-01
5.500000e-01 9.475572e+02 9.999843e-01 6.813919e-01
5.600000e-01 9.196630e+02 9.999856e-01 6.454295e-01
5.700000e-01 7.801770e+02 9.999822e-01 5.935646e-01
5.800000e-01 7.981812e+02 9.999858e-01 6.486553e-01
5.900000e-01 7.717194e+02 9.999785e-01 5.593602e-01
6.000000e-01 6.739510e+02 1.000000e+00 4.893579e-01
6.500000e-01 8.840968e+02 1.000000e+00 6.037860e-01
7.000000e-01 1.007337e+03 9.999946e-01 6.714623e-01
7.500000e-01 9.842628e+02 9.999946e-01 6.385199e-01
8.000000e-01 8.386473e+02 9.999943e-01 5.749598e-01
8.500000e-01 9.073731e+02 9.999567e-01 3.591535e-01
9.000000e-01 7.415284e+02 9.999775e-01 4.045357e-01
9.500000e-01 9.360402e+02 9.999963e-01 6.127492e-01
1.000000e+00 9.486559e+02 9.999948e-01 6.221516e-01
1.050000e+00 1.147621e+03 9.999972e-01 7.155428e-01
1.100000e+00 1.076333e+03 9.999958e-01 6.408614e-01
1.150000e+00 1.091584e+03 9.999972e-01 7.507969e-01
1.200000e+00 1.326484e+03 9.999882e-01 5.013764e-01
1.250000e+00 1.121281e+03 9.999948e-01 4.454107e-01
1.300000e+00 8.035528e+02 9.999963e-01 6.145640e-01
1.350000e+00 1.035163e+03 9.999904e-01 4.336414e-01
1.400000e+00 6.664816e+02 9.999940e-01 3.402599e-01
1.450000e+00 7.529677e+02 9.999949e-01 2.098739e-01
1.500000e+00 5.723628e+02 9.999948e-01 2.536639e-01
1.550000e+00 8.598720e+02 9.999923e-01 2.355858e-01
1.600000e+00 5.848250e+02 9.999934e-01 1.147645e-01
1.650000e+00 6.831140e+02 9.999951e-01 2.010511e-01
1.700000e+00 7.918565e+02 9.999961e-01 2.234148e-01
1.750000e+00 7.886328e+02 9.999964e-01 2.514895e-01
1.800000e+00 9.478480e+02 9.999961e-01 2.953507e-01
1.850000e+00 1.222510e+03 9.999955e-01 2.225064e-01
1.900000e+00 9.465577e+02 9.999964e-01 2.100543e-01
1.950000e+00 9.590925e+02 9.999972e-01 3.220166e-01
2.000000e+00 nan nan nan
2.220000e+00 1.758263e+03 1.000000e+00 4.821126e-01
2.500000e+00 1.472398e+03 1.000000e+00 4.976830e-01
2.860000e+00 2.002129e+03 1.000000e+00 5.895843e-01
3.330000e+00 1.314513e+03 1.000000e+00 4.694354e-01
4.000000e+00 1.415558e+03 1.000000e+00 5.048801e-01
5.000000e+00 5.864694e+02 1.000000e+00 4.724057e-01
6.670000e+00 1.997362e+02 1.000000e+00 2.253993e-01
6.710000e+00 1.947809e+02 1.000000e+00 2.221010e-01
6.760000e+00 1.892353e+02 1.000000e+00 2.182859e-01
6.800000e+00 1.849278e+02 1.000000e+00 2.153152e-01
6.850000e+00 1.796997e+02 1.000000e+00 2.116997e-01
6.900000e+00 1.746396e+02 1.000000e+00 2.081884e-01
6.940000e+00 1.707088e+02 1.000000e+00 2.054514e-01
6.990000e+00 1.659372e+02 1.000000e+00 2.021168e-01
7.040000e+00 1.613184e+02 1.000000e+00 1.988746e-01
7.090000e+00 1.565496e+02 1.000000e+00 1.955903e-01
7.140000e+00 1.522300e+02 1.000000e+00 1.925249e-01
7.170000e+00 1.497281e+02 9.998301e-01 1.907267e-01
7.190000e+00 1.480723e+02 9.998224e-01 1.895428e-01
7.220000e+00 1.456280e+02 9.998130e-01 1.877903e-01
7.250000e+00 1.432317e+02 9.997960e-01 1.860655e-01
7.270000e+00 1.416596e+02 9.997845e-01 1.849306e-01
7.300000e+00 1.393389e+02 9.997699e-01 1.832502e-01
7.330000e+00 1.370633e+02 9.997487e-01 1.815958e-01
7.350000e+00 1.355714e+02 9.997261e-01 1.805069e-01
7.380000e+00 1.333719e+02 9.996709e-01 1.788945e-01
7.410000e+00 1.312155e+02 9.996047e-01 1.773065e-01
7.430000e+00 1.295621e+02 9.995234e-01 1.761485e-01
7.460000e+00 1.274800e+02 9.994367e-01 1.746012e-01
7.490000e+00 1.254387e+02 9.993375e-01 1.730769e-01
7.520000e+00 1.234387e+02 9.992145e-01 1.715751e-01
7.550000e+00 1.212516e+02 9.990752e-01 1.699878e-01
7.580000e+00 1.191072e+02 9.989521e-01 1.684244e-01
7.610000e+00 1.172311e+02 9.987779e-01 1.669894e-01
7.630000e+00 1.157851e+02 9.986470e-01 1.659404e-01
7.660000e+00 1.141697e+02 9.985996e-01 1.646422e-01
7.690000e+00 1.123690e+02 9.985813e-01 1.632597e-01
7.720000e+00 1.106000e+02 9.985824e-01 1.618964e-01
7.750000e+00 1.090652e+02 9.985931e-01 1.606513e-01
7.780000e+00 1.075534e+02 9.986305e-01 1.594225e-01
7.810000e+00 1.058613e+02 9.987663e-01 1.581119e-01
7.840000e+00 1.043899e+02 9.989336e-01 1.569153e-01
7.870000e+00 1.031322e+02 9.991050e-01 1.558299e-01
7.910000e+00 1.009918e+02 9.993074e-01 1.541520e-01
7.940000e+00 9.960250e+01 9.994678e-01 1.530065e-01
7.970000e+00 9.806306e+01 9.995656e-01 1.517833e-01
8.000000e+00 9.655055e+01 9.996791e-01 1.505762e-01
8.030000e+00 9.506824e+01 9.997670e-01 1.493850e-01
8.060000e+00 9.361665e+01 9.998158e-01 1.482094e-01
8.100000e+00 9.172381e+01 9.998650e-01 1.466655e-01
8.130000e+00 9.033557e+01 9.998879e-01 1.455249e-01
8.160000e+00 8.897323e+01 9.999031e-01 1.443989e-01
8.200000e+00 8.719554e+01 9.999183e-01 1.429196e-01
8.230000e+00 8.589063e+01 9.999267e-01 1.418264e-01
8.260000e+00 8.460897e+01 9.999385e-01 1.407467e-01
8.300000e+00 8.293670e+01 9.999440e-01 1.393280e-01
8.330000e+00 8.170832e+01 9.999530e-01 1.382792e-01
