alt           press         den           temp          eddy          H2Oaer        SO2aer        H2Saer        CO2aer        S8aer         H2SO4aer      C2H2aer       C2H4aer       C2H6aer       CH4aer        HCaer1        H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           C2            C2H           C2H2          C2H4          HO2           H2O2          O3            SO3           H2SO4         HCl           Cl            Cl2           HOCl          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          1CH2          HCCO          HSO           CH3O          H2COH         C4H           C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          HS4           C4H3          O1D           H2Oaer_r      SO2aer_r      H2Saer_r      CO2aer_r      S8aer_r       H2SO4aer_r    C2H2aer_r     C2H4aer_r     C2H6aer_r     CH4aer_r      HCaer1_r      
5.00000E-001  5.07755E-001  1.92697E+019  1.90851E+002  1.00000E+005  9.79846E+001  3.79406E+004  1.39605E-038  1.77540E-003  2.03136E-032  9.17373E-006  1.61297E-038  1.61297E-038  1.61297E-038  1.61297E-038  1.61455E-038  5.20885E-013  9.84726E-006  7.35146E-007  1.16818E-019  5.60516E-017  1.96945E-009  2.16640E-007  9.84726E-001  1.52451E-015  1.42586E-014  1.00000E-040  1.00000E-040  2.49871E-035  3.95706E-024  5.92235E-022  9.04823E-015  2.12911E-014  5.77285E-018  1.25789E-017  3.07452E-019  3.93890E-013  5.36560E-013  2.72229E-013  1.52630E-002  3.19785E-031  5.28485E-030  1.59091E-010  8.02043E-039  1.00000E-040  2.35038E-031  4.00017E-030  1.53971E-011  6.56953E-009  8.91395E-015  1.86949E-014  1.16498E-010  4.92363E-010  2.33332E-012  1.18912E-016  1.35228E-017  2.11926E-007  6.44685E-034  7.06633E-021  1.43469E-027  1.30343E-026  1.96435E-037  6.19845E-039  1.27074E-029  1.36062E-030  1.17038E-010  9.69417E-034  1.02091E-037  1.08512E-032  1.00000E-040  1.00000E-040  1.84742E-011  6.63055E-022  6.72539E-025  1.00000E-040  1.00000E-040  1.74557E-028  1.71818E-033  9.32177E-030  1.64923E-037  7.73306E-024  6.57290E-012  4.78688E-017  1.85406E-032  6.24913E-034  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  9.68302E-001  3.67479E+019  1.90851E+002  1.00000E+005  5.10590E+001  1.89039E+004  6.40072E-039  4.52629E+001  1.41332E-032  4.52988E-006  7.97220E-039  7.97220E-039  7.97220E-039  7.97220E-039  7.98007E-039  1.61253E-015  3.92463E-004  5.27424E-007  6.36548E-022  3.63393E-017  4.26649E-007  9.51358E-006  9.88854E-001  1.00962E-018  7.84375E-016  1.00000E-040  1.00000E-040  1.00000E-040  5.37969E-030  2.03350E-023  3.69689E-018  2.57876E-015  8.92250E-020  4.44643E-019  1.45361E-019  2.17961E-011  5.65343E-013  1.08353E-013  1.07411E-002  1.68786E-031  2.48638E-030  7.37792E-011  1.00000E-040  1.00000E-040  1.11786E-031  1.94676E-030  1.21899E-011  4.05511E-009  2.55603E-013  8.92750E-015  1.04794E-010  1.96027E-006  3.51155E-014  6.92565E-018  1.40663E-018  9.94437E-008  2.51250E-034  2.37950E-022  5.79859E-028  4.17094E-028  9.31124E-038  7.73844E-039  6.32373E-030  3.48274E-031  1.82990E-010  7.23457E-034  1.00000E-040  6.57977E-033  1.58400E-039  2.17430E-040  2.53830E-011  9.27012E-025  4.28950E-026  1.00000E-040  1.00000E-040  8.03727E-030  8.41757E-034  4.43368E-030  9.03455E-038  4.90452E-025  1.29707E-016  1.49194E-018  4.93675E-033  1.00730E-032  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  1.00603E+000  3.81798E+019  1.90851E+002  1.00000E+005  5.03421E+001  1.75937E+004  5.37729E-039  3.96760E+001  2.05703E-032  4.16909E-006  7.34333E-039  7.34333E-039  7.34333E-039  7.34333E-039  7.35069E-039  6.22101E-016  4.15953E-004  5.17658E-007  2.00959E-022  2.82741E-017  8.33716E-007  1.08065E-005  9.88998E-001  2.26765E-019  1.31832E-016  1.00000E-040  1.00000E-040  1.00000E-040  2.23421E-032  1.88258E-024  2.09208E-018  1.54214E-015  3.08757E-020  1.62179E-019  1.26215E-019  3.00212E-011  5.98678E-013  1.73535E-013  1.05722E-002  1.46581E-031  2.16670E-030  6.41725E-011  1.00000E-040  1.00000E-040  9.76973E-032  1.70138E-030  1.07190E-011  3.75113E-009  4.16905E-013  7.07493E-015  8.68965E-011  2.08124E-006  2.58064E-014  9.00591E-019  2.20961E-019  8.72768E-008  2.16488E-034  1.75429E-023  4.99845E-028  1.96705E-029  8.12002E-038  7.37848E-039  5.54719E-030  2.71782E-031  1.39628E-010  6.63387E-034  1.00000E-040  5.95682E-033  7.37425E-040  1.20169E-040  3.57242E-011  4.66244E-027  1.39464E-026  1.00000E-040  1.00000E-040  5.95492E-031  7.28697E-034  3.88947E-030  1.04656E-037  4.32688E-026  1.92083E-017  7.52483E-020  3.35324E-033  1.72942E-032  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  1.00630E+000  3.81898E+019  1.90851E+002  1.00000E+005  5.21307E+001  1.71324E+004  4.73159E-039  3.55263E+001  3.32445E-032  4.01475E-006  7.07008E-039  7.07008E-039  7.07008E-039  7.07008E-039  7.07729E-039  3.62669E-016  3.86534E-004  5.13703E-007  9.72562E-023  2.36222E-017  1.18148E-006  1.08603E-005  9.89065E-001  9.37513E-020  7.78317E-017  1.00000E-040  1.00000E-040  1.00000E-040  7.71511E-033  8.78499E-025  1.70472E-018  1.34160E-015  2.20106E-020  1.20473E-019  1.12880E-019  3.56824E-011  6.44474E-013  2.53712E-013  1.05338E-002  1.30015E-031  1.94947E-030  5.77355E-011  1.00000E-040  1.00000E-040  8.82012E-032  1.53018E-030  9.69112E-012  3.45396E-009  4.89064E-013  5.97661E-015  7.24069E-011  1.93390E-006  2.29241E-014  3.89115E-019  5.79301E-020  7.93458E-008  1.94593E-034  6.11361E-024  4.49172E-028  8.34784E-031  7.30966E-038  6.78008E-039  5.00014E-030  2.37818E-031  1.08018E-010  6.09471E-034  1.00000E-040  5.33729E-033  3.64197E-040  1.00000E-040  4.49361E-011  8.84368E-028  1.09568E-026  1.00000E-040  1.00000E-040  1.14205E-031  6.38939E-034  3.53223E-030  1.18563E-037  1.29752E-026  6.53590E-018  6.52069E-021  2.75517E-033  2.19900E-032  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  9.99061E-001  3.79152E+019  1.90851E+002  1.00000E+005  5.46179E+001  1.68899E+004  4.25131E-039  3.18005E+001  5.63846E-032  3.91752E-006  6.88899E-039  6.88899E-039  6.88899E-039  6.88899E-039  6.89614E-039  2.32697E-016  3.31852E-004  5.10754E-007  4.73040E-023  1.76602E-017  1.35758E-006  1.00262E-005  9.89138E-001  4.83153E-020  6.13016E-017  1.00000E-040  1.00000E-040  1.00000E-040  3.80840E-033  6.88647E-025  1.43332E-018  1.13429E-015  1.48256E-020  8.41619E-020  9.47516E-020  3.76773E-011  6.35231E-013  3.12581E-013  1.05162E-002  1.09183E-031  1.64755E-030  4.88040E-011  1.00000E-040  1.00000E-040  7.49072E-032  1.29294E-030  8.24659E-012  2.91850E-009  4.31689E-013  4.51131E-015  5.33999E-011  1.65981E-006  1.95428E-014  2.57520E-019  1.88902E-020  6.79387E-008  1.64494E-034  4.63183E-024  3.79285E-028  5.34371E-032  6.18599E-038  5.81336E-039  4.23521E-030  1.97025E-031  7.42886E-011  5.26035E-034  1.00000E-040  4.47264E-033  1.74553E-040  1.00000E-040  4.84148E-011  3.86564E-028  9.00880E-027  1.00000E-040  1.00000E-040  6.86863E-032  5.25687E-034  3.02181E-030  1.21540E-037  9.60597E-027  2.76149E-018  2.58252E-021  2.27522E-033  2.09782E-032  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  9.41845E-001  3.57627E+019  1.90751E+002  1.00000E+005  3.11830E+001  9.10282E+003  2.10521E-039  1.49654E+001  5.35129E-032  2.09206E-006  3.66958E-039  3.66958E-039  3.66958E-039  3.66958E-039  3.67347E-039  1.11664E-016  1.83216E-004  5.13227E-007  8.78995E-024  5.84847E-018  9.18450E-007  5.88255E-006  9.89143E-001  1.99822E-020  3.21229E-017  1.00000E-040  1.00000E-040  5.49927E-039  1.57740E-033  3.64371E-025  8.73442E-019  6.20412E-016  3.96446E-021  2.32173E-020  5.12788E-020  2.50652E-011  4.09261E-013  2.32913E-013  1.06660E-002  6.13495E-032  8.95992E-031  2.65666E-011  1.00000E-040  1.00000E-040  4.10530E-032  7.04658E-031  4.53806E-012  1.49117E-009  1.15967E-013  1.47048E-015  1.60696E-011  9.15895E-007  1.09517E-014  7.64598E-020  1.86445E-021  3.77180E-008  8.96900E-035  2.44258E-024  2.06573E-028  1.39734E-032  3.37744E-038  3.20612E-039  2.31399E-030  1.05408E-031  2.07906E-011  2.91769E-034  1.00000E-040  2.42028E-033  1.00000E-040  1.00000E-040  3.08342E-011  1.38447E-028  4.86232E-027  1.00000E-040  1.00000E-040  3.38561E-032  2.80071E-034  1.66901E-030  7.74843E-038  5.13611E-027  7.69066E-019  1.09300E-021  1.41871E-033  6.33562E-033  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  5.88948E-001  2.24327E+019  1.90157E+002  1.00000E+005  1.05914E+000  2.93310E+002  1.00000E-040  1.14707E-008  3.08558E-033  6.68886E-008  1.16878E-040  1.16878E-040  1.16878E-040  1.16878E-040  1.17004E-040  7.03226E-017  5.33845E-005  6.53575E-007  5.10534E-025  7.41243E-019  2.85401E-007  1.75066E-006  9.85956E-001  9.34408E-021  9.18699E-018  1.00000E-040  1.00000E-040  7.25207E-039  2.63085E-033  1.04659E-025  2.83759E-019  1.80173E-016  1.81349E-022  1.08269E-021  1.48306E-020  7.87491E-012  1.29987E-013  7.79733E-014  1.39880E-002  1.83429E-032  2.59313E-031  7.69630E-012  1.00000E-040  1.00000E-040  1.19337E-032  2.04374E-031  1.28867E-012  4.09381E-010  1.23979E-014  1.33620E-016  1.16968E-012  2.66786E-007  3.21784E-015  1.28830E-020  1.52955E-022  1.10460E-008  2.60157E-035  7.01050E-025  5.98886E-029  3.76882E-033  9.80294E-039  9.33707E-040  6.71798E-031  3.03376E-032  1.27131E-012  8.51047E-035  1.00000E-040  7.00252E-034  1.00000E-040  1.00000E-040  9.29320E-012  3.61091E-029  1.41386E-027  1.00000E-040  1.00000E-040  9.51398E-033  8.05993E-035  4.86672E-031  2.37387E-038  1.47169E-027  8.22528E-020  2.93893E-022  4.62456E-034  1.12825E-033  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  2.85775E-001  1.10017E+019  1.88139E+002  1.00000E+005  2.12197E+000  5.61339E+002  1.10174E-040  4.20850E-008  1.07020E-032  1.27183E-007  2.21227E-040  2.21227E-040  2.21227E-040  2.21227E-040  2.21472E-040  2.17536E-017  1.92962E-005  8.83317E-007  5.17316E-026  1.29632E-019  1.29161E-007  6.86909E-007  9.78669E-001  2.67752E-021  3.07538E-018  1.00000E-040  1.00000E-040  1.00000E-040  5.61054E-034  3.58586E-026  1.10949E-019  6.40565E-017  8.24712E-024  5.00341E-023  5.19064E-021  3.50019E-012  5.47556E-014  4.34367E-014  2.13095E-002  6.62256E-033  9.19088E-032  2.72753E-012  1.00000E-040  1.00000E-040  4.28226E-033  7.25183E-032  4.18567E-013  1.40194E-010  1.24943E-015  1.28795E-017  7.47793E-014  9.63771E-008  1.10580E-015  1.87285E-021  1.29181E-023  4.00592E-009  9.25321E-036  2.39628E-025  2.12009E-029  1.25439E-033  3.49171E-039  3.35948E-040  2.39496E-031  1.05217E-032  7.41312E-014  3.09608E-035  1.00000E-040  2.45251E-034  1.00000E-040  1.00000E-040  3.99878E-012  7.79071E-030  4.86692E-028  1.00000E-040  1.00000E-040  3.18529E-033  2.76956E-035  1.77268E-031  1.02492E-038  5.07915E-028  6.28205E-020  9.98006E-023  1.71226E-034  2.38225E-034  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  2.15576E-001  8.39108E+018  1.86080E+002  1.00000E+005  2.88182E+000  7.32692E+002  1.32501E-040  1.05495E-007  2.55107E-032  1.65199E-007  2.85765E-040  2.85765E-040  2.85765E-040  2.85765E-040  2.86088E-040  1.09017E-017  1.28559E-005  7.94897E-007  2.12176E-026  4.93747E-020  1.18206E-007  5.24720E-007  9.77908E-001  1.00062E-021  1.75196E-018  1.00000E-040  1.00000E-040  1.00000E-040  2.47669E-034  2.16493E-026  7.90189E-020  4.13500E-017  2.18419E-024  1.35546E-023  3.24248E-021  3.11851E-012  4.45997E-014  5.46577E-014  2.20777E-002  4.27363E-033  5.91692E-032  1.75241E-012  1.18931E-040  1.00000E-040  2.82286E-033  4.66740E-032  2.32512E-013  8.85828E-011  7.99907E-017  4.07274E-018  1.31638E-014  6.41537E-008  6.81100E-016  1.53576E-022  6.23637E-025  2.67728E-009  5.99138E-036  1.44028E-025  1.35780E-029  7.24661E-034  2.26616E-039  2.21396E-040  1.55669E-031  6.50194E-033  1.54303E-014  2.08157E-035  1.00000E-040  1.53735E-034  1.00000E-040  1.00000E-040  3.47573E-012  1.84186E-030  2.93829E-028  1.00000E-040  1.00000E-040  1.87878E-033  1.67689E-035  1.20469E-031  8.92668E-039  3.11683E-028  2.93336E-020  6.20025E-023  1.07268E-034  2.02766E-035  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  1.86632E-001  7.34806E+018  1.83963E+002  1.00000E+005  3.39025E+000  8.33515E+002  1.38981E-040  2.30016E-007  5.33208E-032  1.87310E-007  3.21987E-040  3.21987E-040  3.21987E-040  3.21987E-040  3.22360E-040  8.17387E-018  1.28428E-005  6.25907E-007  5.46233E-026  5.41665E-020  1.40514E-007  5.70890E-007  9.79880E-001  6.21789E-022  1.55174E-018  1.00000E-040  1.00000E-040  1.00000E-040  1.70472E-034  2.02888E-026  8.08247E-020  4.04037E-017  1.68103E-024  1.06080E-023  3.08414E-021  3.68016E-012  4.94871E-014  8.00992E-014  2.01056E-002  4.15907E-033  5.77600E-032  1.70642E-012  1.28191E-040  1.00000E-040  2.80845E-033  4.55287E-032  1.93331E-013  8.56181E-011  2.16110E-017  4.16817E-018  8.99302E-015  6.40489E-008  6.27454E-016  2.33685E-023  4.93473E-026  2.68316E-009  5.87715E-036  1.34580E-025  1.31921E-029  6.56372E-034  2.22625E-039  2.18963E-040  1.53065E-031  6.17551E-033  1.06216E-014  2.08303E-035  1.00000E-040  1.47047E-034  1.00000E-040  1.00000E-040  4.02147E-012  8.11355E-031  2.75431E-028  1.00000E-040  1.00000E-040  1.74894E-033  1.57021E-035  1.22744E-031  1.04354E-038  2.94205E-028  5.88781E-020  5.95939E-023  1.01600E-034  6.34947E-036  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
